SOSR_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SOSR101,13749,3709,5234,544,23234,3659,703,1139,151,5656,2572,1310,2431,216,6522,2116,1268,3918,197,7493,9949,3108,6645,470,20178,6853,4636,10083,542,22114,33648,9274,11926,896,55747,21334,12783,15401,1801,51320,24843,21232,17098,1968,65137,30017,28309,16591,2412,77320,19259,26744,13264,1617,60880,22281,28844,11715,1623,64471,51115,71282,21650,3068,147112,38720,61140,10454,2013,112331,31450,59762,7705,1166,100089,22298,44408,3567,670,70943,70776,189162,11454,1315,272707,13256,33032,10587,733,57606,5262,4998,2649,381,13293,423157,605701,183509,21788,1234155
SOSR102,1939,304,697,71,3007,809,75,222,19,1117,563,117,548,39,1261,486,101,1035,32,1662,2717,305,1948,92,5058,2009,493,3471,121,6095,13518,1208,4204,252,19177,9064,1709,5831,535,17140,9446,3276,6172,565,19455,10787,5403,5422,541,22152,6090,5640,3910,317,15950,6673,6449,3372,280,16774,13823,16686,5278,490,36285,9655,15767,2283,252,27957,7052,14482,1437,146,23119,4136,9903,543,78,14660,8913,25603,1229,109,35855,3833,7999,3330,177,15340,1598,729,742,107,3180,113105,116245,51679,4212,285246
SOSR111,282,41,112,11,440,127,7,51,9,188,85,33,124,7,252,78,19,214,13,323,482,81,443,23,1030,352,80,812,18,1263,2571,245,982,59,3864,1689,376,1189,101,3356,1750,712,1325,107,3901,2077,1218,1056,90,4442,1156,1273,786,64,3277,1311,1445,609,46,3414,2806,3443,904,93,7239,1760,2928,336,32,5061,1224,2346,190,29,3787,620,1543,71,9,2246,1150,3222,166,17,4566,789,1691,622,31,3130,323,136,159,22,639,20633,20844,10147,784,52406
SOSR112,824,129,314,35,1305,412,40,119,13,587,299,53,322,24,698,234,55,638,14,936,1353,166,1220,55,2799,934,241,2193,61,3430,7082,662,2598,132,10470,4560,1045,3295,287,9191,4990,1971,3393,260,10616,5932,3151,2749,276,12119,3217,3110,1881,166,8376,3743,3532,1563,155,8999,7396,8299,2245,237,18176,4634,6871,929,108,12534,3172,5448,514,63,9193,1591,3606,198,22,5418,3496,7725,433,31,11691,2210,3974,1688,100,7980,968,324,504,65,1864,57062,50405,26802,2120,136394
SOSR113,480,62,173,13,731,222,13,64,7,306,163,28,165,10,362,116,26,337,4,488,792,89,654,32,1567,543,117,1131,27,1819,3992,324,1273,81,5667,2450,436,1627,139,4655,2577,940,1683,141,5334,2925,1428,1237,113,5696,1536,1340,836,62,3772,1573,1435,648,58,3721,3098,3374,936,90,7492,1816,2756,353,35,4969,1261,2145,212,20,3633,659,1358,74,4,2091,1603,2934,186,17,4738,1140,1837,842,54,3870,555,155,286,34,1032,27520,20791,12711,937,61951
SOSR114,548,73,160,14,795,255,21,61,9,347,158,31,152,6,358,159,24,302,14,505,946,83,624,30,1682,627,124,1064,41,1861,4681,343,1250,62,6330,2707,516,1668,155,5051,2875,951,1628,138,5595,3165,1672,1248,126,6219,1592,1569,913,57,4128,1824,1763,653,61,4303,3367,4092,984,90,8533,2146,3402,359,50,5960,1479,2720,213,24,4433,775,1710,101,11,2590,1581,3555,208,21,5370,1222,2030,868,46,4172,617,225,266,43,1153,30730,24915,12735,1007,69379
SOSR115,835,107,233,16,1197,443,29,86,7,570,249,57,204,21,527,221,46,398,14,684,1353,101,809,41,2302,995,160,1490,44,2688,7069,468,1677,100,9319,4239,738,2240,218,7432,4446,1371,2087,191,8091,4895,2276,1751,148,9068,2407,2172,1135,83,5803,2708,2453,841,86,6087,4960,5681,1328,121,12091,2931,4539,520,67,8060,2126,3738,333,31,6224,1064,2338,114,15,3531,2322,4938,310,29,7605,1890,3084,1298,78,6350,967,291,369,42,1672,46119,34597,17235,1340,99291
SOSR121,226,29,67,4,323,119,7,23,3,152,69,18,53,5,136,66,15,112,0,189,368,44,188,7,602,265,56,335,7,670,1799,124,382,15,2322,1075,214,487,48,1823,1168,438,532,29,2171,1351,610,411,40,2413,668,668,279,17,1631,706,721,225,6,1665,1323,1551,335,22,3232,860,1355,130,17,2359,602,1135,74,12,1823,333,724,31,0,1092,721,1632,77,9,2436,511,1046,288,22,1863,253,90,100,15,454,12489,10462,4115,290,27359
SOSR122,101,17,40,8,171,65,4,16,0,82,43,12,24,0,80,42,9,46,0,99,209,21,115,12,358,180,30,186,7,404,989,82,213,19,1296,539,115,295,40,990,584,214,237,25,1060,626,331,185,22,1163,320,319,116,8,760,364,313,97,7,786,688,700,144,9,1547,401,598,50,9,1056,263,462,31,3,761,133,286,12,0,437,314,676,53,4,1052,264,444,176,18,901,133,55,63,8,264,6259,4686,2109,199,13249
SOSR131,1814,317,289,33,2448,831,93,122,10,1059,487,154,228,15,877,461,122,418,14,1016,2261,285,770,44,3357,1508,417,1194,52,3178,7740,937,1349,107,10129,5291,1338,1747,181,8563,6058,2377,1842,188,10467,6921,3591,1512,144,12170,3695,3498,1025,74,8288,4594,3823,970,88,9478,8223,8615,1479,128,18443,5390,7425,652,67,13537,3844,6531,426,43,10846,2236,4673,180,20,7111,6511,13706,592,42,20849,3188,7275,1511,71,12041,1462,772,386,49,2666,72516,65939,16692,1380,156531
