SOSR_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SOSR101,1872081,1944031,3816113,743562,544298,1287861,251650,372014,623663,136075,132416,268488,65264,53555,118821,1196549,1102284,2298836,571359,738169,1309533,5.5,4.9,5.2,63.9,56.7,60.2,60.4,53.9,57.1,190004,190484,380485,30717,51397,82119,402152,467774,869928,161350,206861,368213,272488,140107,412596,11794,21475,33266,28463,44441,72907,312745,206027,518767,1807420,1859654,3667074,360670,363893,724564,1138764,1188032,2326797,909081,922272,1831348
SOSR102,415334,449243,864580,162900,102261,265156,58892,110123,169013,20465,26898,47364,13551,10308,23861,255809,249590,505395,138505,176694,315202,5.3,4.1,4.7,61.6,55.6,58.5,58.3,53.3,55.7,19816,21558,41365,5758,11931,17695,51165,72871,124034,33105,48841,81940,112606,61457,174063,4109,7569,11677,7120,12750,19867,123830,81772,205604,409671,431123,840801,70641,75354,146001,271971,285779,557752,182911,196489,379400
SOSR111,74028,82006,156032,31887,19737,51627,10248,21566,31815,2477,3346,5821,2600,2142,4744,47211,46794,94008,22859,31001,53860,5.5,4.6,5,63.8,57.1,60.2,60.3,54.4,57.2,2154,2683,4842,965,2078,3048,6971,11482,18449,5557,8724,14285,21260,13314,34575,837,1543,2383,1164,2068,3231,23257,16931,40188,73247,79094,152345,13942,15322,29264,45301,48631,93928,36741,40792,77538
SOSR112,206389,223909,430296,81637,53458,135093,27236,52636,79871,6809,9000,15805,6551,5082,11637,122234,120181,242415,71015,89623,160628,5.4,4.2,4.8,59.2,53.7,56.3,56.1,51.4,53.6,8275,9416,17689,2780,5763,8544,20612,32547,53158,13915,22625,36541,53224,32151,85381,2240,4187,6426,3203,6170,9375,58669,42511,101181,193930,208916,402839,38923,42367,81294,120635,129638,250273,98860,109021,207881
SOSR113,93686,100380,194069,32620,19457,52076,12106,23231,35339,3442,4188,7628,3221,2420,5645,51390,49297,100685,35982,44661,80640,6.3,4.9,5.6,54.9,49.1,51.9,51.4,46.7,49,2348,2791,5138,1020,2206,3227,7531,11916,19446,6171,10031,16201,26507,15195,41701,1069,1930,3003,1515,2788,4300,29094,19908,49003,88190,93343,181526,16389,17538,33931,56844,59584,116431,42174,46059,88233
SOSR114,103126,112298,215422,39250,24469,63722,12747,25649,38399,3660,4562,8227,2899,2477,5377,58560,57149,115718,37164,47737,84905,5,4.3,4.6,56.8,50.9,53.7,54,48.7,51.2,2644,3280,5929,1173,2566,3734,8625,14044,22671,6523,11197,17721,28630,16350,44977,1013,2061,3073,1658,3066,4718,31298,21470,52768,98397,104839,203235,18382,20153,38535,62557,66091,128650,47590,52777,100366
SOSR115,148791,158203,306994,53197,31997,85199,18615,36883,55503,5834,6813,12646,4058,3266,7328,81705,78960,160669,56476,68400,124877,5,4.1,4.6,54.9,49.9,52.3,52.2,47.8,49.9,4048,5177,9224,1725,3892,5619,12229,20292,32526,9628,16521,26149,42774,22445,65219,1478,2925,4403,2373,4243,6616,46625,29611,76232,141404,147997,289398,24795,26589,51382,93595,96850,190448,63730,69338,133069
SOSR121,39913,41225,81135,14742,8601,23349,5323,10528,15849,1649,1795,3447,1076,875,1949,22791,21800,44592,14493,16851,31341,4.7,4,4.4,57.1,52.9,55,54.4,50.8,52.6,1201,1438,2641,517,1089,1599,3553,5790,9344,2666,4544,7210,12120,6032,18147,367,858,1223,688,1133,1817,13170,8021,21195,39389,40031,79414,6103,6421,12524,26690,26911,53601,16520,17316,33831
SOSR122,22203,21751,43955,7500,4450,11948,2772,5081,7854,922,953,1878,650,433,1078,11844,10912,22753,8142,8885,17028,5.5,4,4.7,53.3,50.2,51.8,50.4,48.2,49.3,620,746,1371,257,542,799,1746,2815,4562,1386,2198,3586,6097,3166,9265,196,435,631,351,549,897,6638,4150,10784,20830,20249,41083,2938,3046,5980,14771,14206,28979,7954,8149,16102
SOSR131,244092,231426,475521,102178,56376,158559,31991,61475,93468,10998,11747,22743,5170,4040,9209,150340,133644,283980,74052,80079,154129,3.4,3,3.2,61.6,57.7,59.7,59.5,56,57.8,7291,8960,16251,2601,6303,8907,23010,36885,59901,16602,26244,42845,69356,30935,100295,2301,4539,6838,4114,6845,10961,75769,42324,118091,238351,225778,464130,29806,29916,59720,174715,163317,338037,81524,81370,162898
