SOSR_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR101,1268285,1265610,2533893,7778,6105,13888,14887,12770,27657,4358,5079,9442,103651,131247,234892,5747,6411,12156,9824,9214,19042,15374,18019,33395,7373,8191,15563,12214,14172,26385,21362,24201,45567,98625,85977,184600,15395,19283,34678,13425,12176,25598,26228,26087,52314,11000,9527,20523,18686,17700,36385,3991,8470,12461,22559,27088,49646,31087,29327,60411,16504,17625,34123,32425,25998,58425,3691,3448,7139,39390,37502,76897,17691,13002,30697,36428,51699,88119,4690,6221,10905,5908,6816,12728,18064,18373,36435,14307,13963,28270,5583,7237,12821,8287,16830,25119,82000,71514,153507,11589,12224,23817,40836,52084,92915,157253,167726,324973,109022,104799,213827,6223,6705,12928,2321728,2370429,4692155
SOSR102,406895,425665,832558,209,194,401,476,395,871,944,1179,2117,2638,3424,6065,849,864,1717,515,435,947,558,642,1196,2006,2466,4469,796,879,1672,517,587,1108,4935,3993,8931,599,857,1459,501,467,966,341,344,681,1326,1244,2568,2482,2416,4893,296,681,981,828,1046,1875,568,519,1088,856,1040,1894,1150,966,2116,1284,1369,2655,7331,7223,14559,995,512,1503,2109,4859,6973,572,833,1408,315,421,737,2338,2471,4810,581,546,1127,135,247,389,671,2001,2675,22549,23034,45584,1769,1990,3762,973,1406,2376,16629,18118,34750,22624,23782,46402,532,567,1099,511714,539686,1051395
SOSR111,77608,83745,161354,27,28,52,71,62,135,137,150,287,209,348,549,46,47,91,38,35,77,104,108,206,340,381,727,45,45,93,73,84,155,1276,1047,2327,38,107,146,43,32,71,200,220,415,129,108,243,150,110,254,32,84,111,75,76,157,29,26,56,197,183,377,260,243,511,203,239,445,1095,1073,2174,130,77,207,407,922,1329,51,81,131,40,41,80,414,408,820,105,102,207,39,88,124,104,305,409,2608,2632,5242,205,240,444,107,151,263,1958,2244,4198,4747,4829,9575,118,104,222,93461,100805,194269
SOSR112,206466,219785,426253,100,51,154,329,274,605,345,425,767,915,1100,2009,144,145,285,242,189,431,492,387,881,743,867,1609,156,123,279,180,239,421,3564,3042,6602,184,304,486,193,155,344,715,776,1490,469,362,828,771,726,1501,83,238,318,257,308,567,169,97,266,477,499,976,1343,1273,2609,549,614,1165,2985,3070,6050,526,327,853,1488,2424,3911,158,231,387,132,160,298,891,1021,1916,473,419,890,207,276,481,301,720,1019,7854,7828,15684,702,829,1533,510,581,1094,4789,4966,9754,16057,16609,32665,543,350,889,256476,271792,528266
SOSR113,94206,98388,192592,12,4,12,44,40,82,174,236,408,260,308,570,110,118,233,54,40,97,113,101,217,404,522,926,119,88,202,55,77,132,552,492,1040,55,112,170,31,31,60,19,4,27,206,210,419,341,234,574,57,143,206,57,65,119,42,36,72,152,170,326,183,147,328,283,340,625,1477,1470,2952,71,32,108,455,1079,1530,83,90,170,47,72,117,372,395,770,73,64,129,19,47,68,131,412,538,4081,4233,8311,335,415,752,112,159,279,2049,2213,4257,7851,7761,15617,181,128,314,114887,120460,235348
SOSR114,104627,111745,216367,42,15,59,43,39,86,158,215,370,382,432,818,65,62,121,51,41,89,244,188,435,397,497,892,53,53,109,65,78,143,1224,1117,2332,76,145,223,56,44,100,47,45,95,214,194,413,302,250,557,54,110,164,71,90,158,64,55,118,202,214,418,218,226,446,304,365,667,1476,1532,3010,119,78,200,586,1092,1678,58,84,140,63,81,141,493,497,990,141,127,274,33,81,114,116,364,481,4110,4169,8274,308,377,682,93,124,218,2037,1975,4013,9231,9160,18396,203,144,349,128038,136091,264128
SOSR115,149835,155748,305579,15,9,19,39,24,66,248,378,629,347,461,801,154,138,295,94,69,161,232,175,401,681,923,1603,104,88,191,85,90,175,735,620,1355,106,134,235,45,22,65,33,25,66,377,309,680,404,238,637,67,185,250,82,103,183,86,64,148,277,268,542,196,152,353,514,541,1054,2069,2213,4283,89,47,136,395,1053,1442,106,117,224,63,94,160,631,637,1272,125,115,235,71,129,204,110,405,519,6931,7148,14078,517,668,1181,159,196,351,2988,3068,6057,13522,13478,26998,293,214,507,182822,190341,373167
SOSR121,41193,41631,82821,0,0,5,4,3,7,74,101,173,43,71,120,25,25,52,18,10,28,30,30,62,196,203,394,24,26,51,28,21,51,150,123,272,25,39,62,10,8,22,10,10,15,86,74,160,119,55,175,20,40,53,20,25,44,24,10,34,45,64,110,19,14,41,135,135,274,578,586,1162,13,15,25,67,255,329,34,32,60,16,26,42,153,176,330,25,18,41,18,27,41,19,81,104,1828,1830,3656,161,184,346,24,33,58,706,762,1471,3369,3347,6717,75,48,121,49359,50171,99534
SOSR122,21462,20824,42287,0,0,0,3,0,8,33,46,77,27,61,87,15,14,22,7,6,17,23,22,41,111,108,226,15,11,27,16,15,32,57,52,110,10,23,31,4,6,8,3,0,8,42,36,79,62,40,99,8,19,28,7,5,19,9,8,18,34,45,82,7,10,16,60,60,122,329,310,641,10,6,10,42,149,189,8,12,26,7,15,24,86,89,174,11,3,20,14,40,52,10,52,66,986,909,1900,74,105,180,0,13,14,379,387,759,2722,2457,5182,74,54,123,26784,26017,52811
SOSR131,242912,227480,470384,34,7,42,52,36,79,391,506,901,772,898,1670,276,225,503,135,106,237,254,253,512,1127,1294,2419,231,160,391,157,168,322,702,598,1300,146,238,383,154,108,265,132,103,236,568,445,1015,1245,847,2084,100,208,309,125,136,264,615,440,1056,341,404,746,49,33,81,798,782,1586,3315,3261,6585,89,66,152,340,1096,1434,151,205,350,139,174,320,1073,1060,2132,141,111,249,86,173,259,175,510,690,9096,9216,18316,942,1136,2082,195,241,436,5015,5049,10063,25243,22900,48144,490,411,907,297813,281081,578892
SOSR179,27,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
SOSR201,1328093,1351246,2679336,13163,10230,23396,4781,4348,9129,3576,4424,7999,72092,92927,165014,5835,6411,12243,6386,6538,12924,4908,5914,10816,8242,9244,17484,20543,23733,44276,11463,12757,24220,126386,106950,233332,8061,10902,18961,10981,9749,20731,12445,12245,24691,7234,6637,13871,27180,28830,56009,2480,5838,8320,6377,8197,14571,9222,8750,17977,26545,30027,56578,10046,8225,18273,5035,5071,10104,38529,38347,76872,16611,11485,28093,22591,33145,55738,5289,7257,12545,7549,9111,16661,12648,13148,25800,32987,30942,63929,3725,5502,9230,5240,11396,16640,75520,71715,147233,9259,9991,19241,39206,50387,89591,146332,159321,305657,98227,95343,193564,5196,5651,10845,2249962,2321946,4571908
