SOSR_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SOSR615,264,1246,14,1524,6781,399,9,8710,60,927,5,990,7353,480,8,8829,11,162,0,177,4615,459,3,5258,6,3,0,7,1646,276,7,1930,9343,3730,520,13596,36312,3117,109,53136
SOSR621,127,420,11,556,2771,198,3,3527,24,378,0,402,2611,186,5,3208,0,52,0,53,1489,152,0,1699,0,5,0,5,415,43,0,463,3126,1265,176,4559,12621,1190,55,18429
SOSR622,55,208,0,269,1284,90,0,1636,3,138,0,145,1310,113,0,1575,0,19,0,18,622,90,0,732,0,0,0,0,165,72,0,235,1145,545,56,1733,5491,600,7,7841
SOSR631,647,2280,28,2950,14432,1018,15,18414,123,1721,9,1844,11549,910,3,14315,22,266,0,291,4876,468,3,5638,0,5,0,10,1009,136,4,1154,15740,6375,715,22828,59488,5661,124,88099
SOSR679,0,6,0,3,42,30,0,77,0,0,0,0,33,0,0,33,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,35,10,0,47,211,110,13,374
SOSR703,660,1526,21,2209,10662,1851,144,14864,162,1482,8,1661,7713,1260,77,10705,15,280,3,300,3016,449,24,3789,3,13,0,22,661,127,6,809,20541,6236,964,27743,67440,13661,2519,111361
SOSR712,118,305,10,440,2638,411,21,3507,39,238,5,278,1723,317,7,2328,3,41,0,44,579,85,8,715,0,0,0,0,144,30,0,180,4064,1310,225,5598,14185,2350,96,22232
SOSR714,25,74,0,97,654,169,13,935,5,71,0,73,435,87,0,598,0,9,0,9,143,26,0,178,0,0,0,0,29,8,0,32,808,318,59,1177,3483,1024,29,5716
SOSR715,82,317,52,448,948,213,8,1622,22,126,10,162,441,91,3,698,3,23,4,29,118,21,0,165,3,6,0,8,17,0,0,27,2620,2682,961,6264,5948,1579,43,13831
SOSR721,65,278,38,382,988,195,7,1572,20,154,19,184,538,115,5,851,0,22,6,27,133,23,0,189,0,9,0,9,17,0,0,24,1886,1972,630,4489,5344,1023,65,10920
SOSR722,50,272,23,342,1060,227,4,1636,19,127,7,145,951,202,0,1302,9,22,3,26,218,38,0,281,0,6,0,8,21,4,0,34,1853,1712,456,4021,5353,1192,17,10585
SOSR731,168,658,38,861,4994,1201,22,7082,51,513,14,574,4244,922,14,5758,8,73,3,82,1057,232,0,1379,0,6,0,12,116,18,0,145,5423,3156,553,9135,21798,7441,343,38714
SOSR779,4,0,0,4,69,34,0,106,0,0,0,0,27,11,0,40,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,29,9,0,37,285,151,17,494
SOSR802,2639,5734,112,8481,34687,1434,179,44784,421,8229,50,8695,24783,1272,153,34910,88,2026,15,2129,15841,1026,49,19045,9,105,0,110,6328,753,7,7199,77435,24259,3046,104741,247295,16623,1016,369675
SOSR822,0,8,0,8,53,4,0,69,0,8,0,12,41,9,0,62,0,6,0,6,18,4,0,33,0,0,0,0,6,0,0,6,125,41,0,166,294,23,0,479
SOSR831,8,15,0,19,44,15,0,74,0,9,0,9,39,13,0,58,0,3,0,3,9,0,0,9,0,0,0,0,7,0,0,7,85,27,0,117,350,90,0,553
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,13,18,0,32,152,46,0,227,0,16,0,15,125,33,0,175,0,3,0,3,30,3,0,36,0,0,0,0,4,0,0,4,208,45,7,264,712,353,6,1332
SOSR921,11,38,0,51,289,46,0,380,0,25,0,27,225,27,0,281,0,6,0,6,105,26,0,139,0,0,0,0,39,0,0,37,207,119,14,339,1039,198,8,1578
SOSR922,3,21,0,22,97,41,0,164,0,9,0,9,55,28,0,92,0,3,0,3,31,16,0,45,0,0,0,0,6,0,0,10,97,49,13,150,509,163,3,828
SOSR931,4,10,0,19,79,23,0,120,6,11,0,13,87,19,0,120,0,4,0,4,50,16,0,69,0,0,0,0,9,0,0,10,76,46,12,133,426,328,5,893
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
