SOSR_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
SOSR313,893,2477,6763,6409,5985,4380,918,86,9,27916,1685,730,1178,881,811,1000,670,147,12,7115,103,129,335,291,332,414,131,16,0,1758,59,77,225,163,116,66,18,10,9,740,2739,3416,8497,7746,7250,5865,1742,258,26,37532,174,250,338,213,216,189,33,0,0,1408,258,99,108,51,53,87,40,5,0,692,432,343,449,265,266,274,66,3,0,2109,3172,3759,8948,8012,7516,6138,1809,260,26,39639,1869,488,814,842,1075,2455,6007,3874,1066,18479,342,450,1079,876,823,800,672,360,125,5529,5379,4698,10840,9734,9412,9387,8479,4500,1214,63645,443,1820,4013,3913,4128,2644,395,23,0,17382,2055,1333,3077,3460,2835,2523,712,77,4,16077,117,199,700,400,292,396,104,8,0,2218,59,79,176,129,89,52,44,7,3,629,2682,3429,7962,7902,7343,5611,1251,118,11,36311,85,118,215,128,152,129,9,0,0,833,226,106,192,158,135,128,29,0,0,978,316,221,408,285,285,262,33,0,0,1811
SOSR314,844,2357,6585,6739,6614,4796,980,107,8,29040,1439,710,1145,887,1016,1114,660,128,9,7107,177,119,308,334,364,464,151,24,3,1939,69,129,235,190,161,126,38,14,0,959,2524,3313,8281,8156,8158,6498,1826,275,24,39045,148,215,328,234,280,238,35,0,4,1474,224,83,74,62,57,99,34,3,0,637,368,296,408,292,339,335,65,3,4,2104,2890,3612,8686,8444,8494,6832,1894,278,26,41156,1986,473,769,819,1250,2457,6322,4177,1203,19455,432,625,1536,1347,1268,1066,780,506,215,7773,5309,4707,10988,10616,11012,10354,8993,4959,1444,68380,396,1545,4003,3862,4356,2737,399,30,0,17328,1938,1154,2961,3324,3056,2515,781,84,4,15819,246,244,648,476,431,410,129,12,6,2601,68,73,166,128,103,100,26,9,9,672,2640,3018,7774,7793,7942,5762,1336,139,16,36417,89,129,167,139,173,122,10,3,0,828,241,100,183,187,145,148,28,0,0,1035,331,228,350,326,316,268,39,3,0,1861
SOSR315,1189,3026,8513,8889,9126,7222,1582,142,12,39700,1775,975,1559,1425,1660,2026,1191,197,15,10822,203,193,514,506,620,852,360,35,7,3283,107,138,317,253,245,188,61,20,6,1332,3270,4335,10894,11070,11649,10284,3192,396,40,55138,273,349,466,362,368,409,52,3,0,2282,291,131,141,81,129,175,77,10,4,1038,569,484,604,446,491,582,125,10,4,3316,3837,4818,11497,11510,12144,10872,3322,406,44,58455,3025,1156,2189,1970,2577,5491,12984,7512,1899,38796,558,735,2186,1969,2072,2037,1513,795,314,12181,7417,6715,15878,15449,16795,18397,17812,8716,2254,109428,559,2082,5045,5241,6008,4170,680,45,4,23829,2407,1656,4128,4777,4387,4306,1331,135,8,23138,326,286,1037,664,708,890,227,18,5,4155,95,124,245,179,187,143,51,30,8,1064,3389,4147,10454,10859,11297,9512,2289,223,25,52188,142,177,262,253,272,212,23,0,0,1345,310,149,260,215,217,234,54,6,0,1440,455,328,526,466,488,445,79,3,3,2787
SOSR321,410,989,2538,2980,3452,2830,648,67,0,13912,658,332,526,517,692,977,501,92,8,4303,105,75,145,183,266,328,129,10,5,1233,39,63,112,108,129,92,31,8,0,587,1207,1461,3323,3787,4538,4227,1313,171,10,20040,111,140,188,174,185,199,32,4,0,1031,101,39,49,31,59,79,31,3,0,391,217,179,237,203,240,277,60,3,0,1417,1422,1634,3561,3996,4779,4506,1376,175,10,21459,1162,420,783,852,1108,2525,5694,3184,604,16339,238,215,538,496,592,558,569,330,76,3612,2824,2278,4887,5341,6482,7583,7641,3697,690,41418,168,583,1537,1865,2283,1675,286,25,0,8426,861,548,1300,1761,1858,1855,526,51,9,8763,122,116,316,243,286,354,99,11,0,1550,39,47,84,73,86,67,19,9,0,426,1192,1302,3229,3952,4515,3949,923,93,6,19162,62,74,130,116,150,105,13,0,0,661,98,46,93,82,92,117,23,0,0,545,157,120,221,198,246,225,32,0,0,1198
SOSR322,182,453,1161,1279,1499,1592,415,42,0,6609,176,126,220,198,295,411,235,64,4,1734,28,34,104,113,157,244,87,12,0,784,18,23,59,33,59,55,28,8,0,283,405,631,1542,1621,2009,2307,762,129,7,9410,31,61,102,78,92,108,19,0,0,494,48,26,29,24,21,48,15,3,0,214,82,87,128,103,120,153,35,3,0,707,482,720,1669,1726,2126,2461,800,129,7,10122,473,202,341,327,506,1394,3169,1602,276,8295,82,98,251,262,306,403,377,198,52,2030,1042,1020,2264,2323,2935,4262,4348,1923,334,20448,79,291,664,693,1056,879,146,14,0,3815,283,220,552,714,762,861,271,34,5,3700,29,50,117,120,128,233,67,8,0,755,15,19,34,39,49,44,17,4,3,223,405,575,1365,1568,1998,2020,499,57,6,8495,27,34,49,43,57,53,7,0,0,267,35,20,51,33,31,50,10,0,0,231,60,55,103,80,84,102,18,0,0,496
SOSR331,2755,5560,13053,16634,20895,18033,5607,1176,94,83807,3458,1507,2001,2339,3341,4567,2870,797,117,20998,462,361,854,969,1332,1712,629,121,17,6447,232,292,501,517,635,487,299,196,45,3200,6899,7722,16413,20459,26205,24794,9406,2287,267,114454,296,444,605,458,674,731,108,4,0,3323,488,153,180,149,173,328,114,10,0,1596,781,601,781,613,844,1056,223,15,0,4922,7683,8319,17198,21067,27049,25855,9629,2306,268,119377,5179,1577,2968,3131,4414,10541,22013,11325,2090,63238,1200,1362,3560,3937,4727,4379,2999,1386,314,23871,14066,11261,23724,28136,36188,40774,34645,15015,2673,206481,1143,3198,6750,8915,13011,9210,2214,371,25,44841,4665,2496,5716,8726,9928,9323,3188,542,39,44607,651,584,1619,1207,1396,1682,431,69,9,7644,224,173,313,350,466,365,200,115,25,2226,6680,6451,14395,19193,24806,20573,6033,1097,92,99322,173,242,293,272,397,376,47,0,0,1801,478,198,281,256,324,454,70,6,0,2056,647,436,578,520,720,830,117,3,0,3858
SOSR379,0,0,12,16,22,6,3,0,0,70,0,3,0,3,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,11,0,3,16,28,25,10,6,0,0,90,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,23,28,29,10,6,0,0,88,0,3,4,0,3,0,3,0,0,21,0,5,40,74,45,16,6,0,0,192,8,8,69,102,77,26,14,0,0,302,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,2783,14236,51746,54239,48215,33775,6482,503,27,211998,10589,13396,16432,11143,9607,10301,5798,1131,86,78495,717,998,1944,1619,1557,1818,566,99,12,9327,224,574,1321,939,672,433,158,58,20,4406,14314,29203,71441,67944,60047,46326,13005,1794,146,304224,755,2044,3129,2280,2185,1788,243,8,0,12432,2518,1700,1235,687,577,746,246,36,8,7747,3269,3741,4360,2965,2761,2538,492,43,3,20176,17582,32947,75807,70911,62807,48865,13496,1843,151,324405,17110,7721,8633,7919,10224,19261,41728,28893,11428,152925,1128,1542,3598,3073,2696,2264,1853,1534,913,18595,35821,42208,88040,81893,75735,70387,57073,32262,12494,495920,1058,10117,33897,29895,31002,20651,3062,117,7,129806,13986,17221,26877,30414,25790,22038,6603,663,42,143625,842,1292,4710,3068,1736,2074,642,57,10,14446,211,482,901,598,487,376,130,58,24,3259,16097,29112,66378,63978,59021,45137,10431,899,81,291145,404,1051,1747,1318,1168,726,74,0,4,6492,2371,1507,1750,1573,1219,972,190,10,3,9594,2777,2560,3498,2890,2391,1697,261,12,7,16088
SOSR412,405,1405,3917,3775,3947,2916,525,28,3,16920,927,622,869,559,623,762,452,75,0,4892,68,59,139,132,140,197,70,3,3,821,34,47,97,83,58,58,16,7,0,394,1437,2139,5030,4542,4767,3927,1064,108,12,23021,62,190,210,138,158,149,11,3,0,921,178,102,75,42,33,50,18,0,0,493,236,288,284,188,190,200,29,3,0,1416,1670,2421,5308,4729,4958,4129,1093,112,12,24439,1238,384,573,544,765,1546,3392,2385,860,11697,126,140,304,265,290,221,195,162,106,1806,3033,2945,6185,5543,6019,5896,4684,2661,976,37941,168,917,2138,2049,2659,1566,214,6,0,9711,1302,1044,1967,2245,2091,1890,459,41,4,11033,81,106,399,204,149,204,48,0,0,1194,28,33,66,52,52,42,17,9,0,293,1574,2103,4568,4549,4942,3699,736,60,9,22235,45,82,103,68,110,63,3,0,0,479,156,68,108,85,89,82,15,0,0,600,199,155,213,152,196,145,18,0,0,1081
SOSR413,290,927,2598,2665,2997,2398,517,47,0,12443,793,516,709,605,675,882,571,110,3,4868,51,65,145,120,158,199,67,9,0,823,35,41,81,58,65,47,20,11,3,358,1179,1558,3536,3439,3897,3528,1177,170,11,18493,69,138,192,150,151,140,21,0,0,858,109,75,64,36,50,79,26,0,0,449,176,216,258,184,203,215,43,4,0,1304,1355,1769,3792,3626,4098,3745,1217,174,11,19795,1087,436,936,954,988,1746,4222,3314,1071,14758,138,131,328,298,328,354,257,193,89,2110,2575,2342,5053,4879,5414,5840,5700,3684,1169,36662,136,626,1502,1533,2037,1407,236,13,0,7486,1034,818,1597,1822,1941,1894,556,57,9,9725,60,73,289,158,129,195,66,10,0,977,26,32,56,32,64,49,14,16,5,298,1252,1549,3448,3545,4164,3536,873,100,7,18489,37,57,86,73,85,64,7,0,0,416,132,72,70,77,95,95,18,0,0,561,167,128,154,150,178,159,33,0,0,977
SOSR414,93,355,1023,1046,1028,818,185,18,0,4566,258,153,259,192,264,308,222,42,0,1702,12,17,39,28,45,70,25,6,0,243,11,15,21,28,18,16,5,9,0,124,378,541,1340,1295,1360,1203,437,77,0,6642,14,23,49,31,44,46,6,0,0,215,33,13,19,6,15,20,6,0,0,121,49,40,69,40,60,65,3,0,0,336,431,575,1409,1343,1421,1265,447,83,3,6977,347,81,156,146,232,527,1702,1323,402,4916,27,31,70,71,67,72,85,78,39,535,799,686,1636,1561,1722,1863,2233,1481,443,12430,39,223,510,538,712,438,74,7,0,2545,349,252,587,726,671,714,203,32,0,3543,23,29,112,52,54,71,27,0,0,371,10,14,12,13,18,13,3,3,0,87,418,526,1231,1330,1453,1238,308,46,6,6547,9,20,30,16,21,17,4,0,0,113,49,20,29,37,23,18,11,0,0,188,53,36,54,49,46,39,12,0,0,296
SOSR415,449,1457,3952,4041,4202,3535,775,75,4,18492,885,551,783,670,782,1128,716,174,17,5706,63,59,173,176,209,297,124,27,0,1129,53,58,125,74,104,84,34,20,4,549,1439,2131,5032,4965,5288,5052,1657,296,32,25877,65,127,197,138,169,188,29,0,0,918,104,62,64,50,54,95,21,3,3,460,163,196,265,189,227,279,48,3,4,1381,1603,2324,5295,5155,5516,5328,1702,299,31,27254,1286,324,572,610,970,2252,5840,3888,1370,17107,180,178,376,388,451,489,427,377,161,3025,3069,2817,6237,6155,6934,8071,7969,4570,1560,47388,186,845,2081,2113,2700,1859,301,19,6,10113,1178,917,2088,2547,2552,2438,791,94,4,12616,87,96,412,227,210,277,90,18,0,1415,54,40,79,62,62,73,30,13,0,412,1506,1887,4668,4948,5527,4648,1212,146,8,24554,45,64,101,76,108,75,5,0,0,475,113,54,95,82,81,117,22,3,0,571,154,124,193,162,187,193,30,3,0,1042
SOSR421,136,379,949,1056,1184,1086,297,23,3,5097,196,125,198,174,227,366,253,55,4,1606,20,19,36,37,59,89,43,6,0,308,9,7,34,28,36,22,11,7,0,158,360,529,1218,1293,1497,1562,604,94,5,7165,19,20,48,23,40,59,3,0,0,226,17,15,24,9,10,19,13,0,0,104,38,39,71,33,49,81,14,0,0,328,404,570,1288,1322,1553,1648,619,92,5,7493,358,88,138,158,224,670,1667,1030,376,4713,44,48,108,131,127,154,167,120,70,965,807,704,1533,1614,1898,2468,2457,1241,452,13174,47,188,473,514,653,587,101,14,0,2581,328,239,540,662,739,788,254,19,3,3573,24,28,121,68,62,101,30,4,0,443,14,5,29,12,25,19,7,4,0,123,416,465,1163,1257,1480,1501,398,41,9,6723,6,26,14,17,23,27,6,0,0,132,22,18,28,28,22,31,9,0,0,146,27,41,43,42,51,59,12,0,0,280
SOSR422,69,183,512,473,600,652,164,11,0,2665,105,74,107,116,161,226,144,37,7,970,13,8,15,27,37,63,32,6,0,205,8,11,19,19,21,9,10,3,4,100,192,270,655,632,817,954,351,55,11,3940,30,41,64,36,44,50,0,0,0,267,24,5,10,12,15,16,0,0,0,85,50,51,73,48,63,71,9,0,0,357,246,320,730,679,877,1020,355,55,11,4299,211,84,141,154,263,550,1260,686,166,3505,40,30,67,76,112,164,174,81,29,774,497,435,933,910,1249,1740,1788,830,202,8580,28,102,238,238,373,349,56,3,0,1387,134,110,300,353,376,490,152,21,0,1933,4,8,49,28,35,54,19,10,3,212,8,6,12,9,17,14,5,0,0,70,169,228,593,628,804,915,227,31,3,3602,12,12,21,15,17,23,0,0,0,100,21,13,14,10,18,27,4,0,0,107,32,22,38,28,33,50,4,0,0,204
SOSR431,843,1880,4700,5847,7351,6722,2239,367,27,29976,1153,691,762,766,1225,1915,1288,405,39,8248,86,91,239,254,305,452,180,30,4,1641,81,80,130,150,186,164,106,51,10,966,2157,2733,5833,7021,9073,9259,3814,853,81,40829,71,122,186,131,189,226,30,0,0,958,141,50,55,46,72,120,33,0,0,507,208,173,240,174,263,341,60,4,0,1469,2366,2909,6071,7191,9336,9601,3882,855,79,42296,1779,446,740,936,1253,3067,6299,3341,690,18542,295,342,887,872,1053,1049,767,412,88,5767,4437,3700,7702,9008,11644,13717,10944,4607,859,66608,301,894,1959,2532,3818,2957,748,129,7,13340,1551,1122,2128,3366,3828,3956,1417,229,25,17622,118,124,441,299,342,404,143,28,4,1901,88,73,102,100,142,123,77,36,7,746,2055,2207,4627,6303,8135,7443,2385,416,41,33609,38,66,81,70,113,74,12,6,0,449,113,49,70,74,96,147,27,0,0,566,146,111,146,141,206,221,41,6,0,1012
SOSR479,0,0,0,10,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,6438,24194,87476,100009,85594,58477,11861,813,41,374911,18835,20013,20255,14658,12805,14524,10441,2040,147,113715,862,1230,3656,3578,3215,3323,1087,132,17,17111,392,1154,2734,1972,1385,871,280,93,27,8898,26535,46594,114114,120217,102999,77192,23675,3075,232,514630,1355,2752,4371,3385,3338,2893,511,34,3,18639,4574,2020,1483,703,722,985,566,63,4,11123,5932,4773,5854,4091,4068,3876,1081,95,6,29765,32462,51363,119970,124304,107064,81068,24752,3169,242,544400,26089,9131,11053,9802,11657,21311,55711,39333,13274,197371,2100,2841,6903,6216,5019,3897,3147,2731,1833,34678,60648,63332,137925,140322,123749,106272,83614,45232,15345,776449,2687,17997,58794,51657,53146,33028,5127,193,4,222641,24591,26420,41813,52783,43503,34165,11244,1144,59,235729,927,1583,7637,5196,2849,3227,932,105,5,22472,443,919,1828,1230,1046,674,219,78,37,6479,28647,46913,110078,110875,100554,71099,17523,1516,99,487315,859,1482,2522,2235,2185,1411,139,11,0,10837,4619,1965,2810,2996,2160,1769,369,27,3,16712,5476,3449,5329,5229,4341,3184,508,36,7,27552
SOSR511,375,1023,2778,3194,3055,2351,449,21,0,13243,699,336,478,401,386,456,346,55,3,3157,46,59,142,129,167,170,49,7,0,773,17,24,82,58,53,27,5,4,0,279,1143,1446,3479,3782,3662,3005,846,82,4,17452,69,96,144,116,105,83,16,0,0,632,108,39,49,17,33,32,16,3,0,305,182,135,193,135,135,118,31,3,0,934,1320,1582,3670,3917,3797,3125,876,85,4,18386,889,239,460,518,485,950,2338,1605,483,7963,83,109,243,212,210,174,158,97,75,1356,2294,1933,4376,4645,4493,4249,3369,1790,561,27709,219,680,1515,1499,1921,1175,122,5,0,7136,992,564,1402,2060,1766,1361,434,36,0,8611,55,73,248,148,125,135,24,6,0,823,21,32,39,47,35,15,8,0,0,208,1290,1351,3211,3750,3844,2691,588,42,3,16784,55,44,73,58,59,56,9,0,0,347,155,54,89,94,87,53,12,4,0,540,207,100,162,154,144,111,18,4,0,889
SOSR512,730,1695,4537,4746,4768,3801,806,58,5,21160,1136,520,774,714,702,989,661,118,14,5619,65,94,195,219,271,298,82,17,6,1246,39,74,140,92,94,67,20,10,3,537,1968,2383,5649,5767,5837,5150,1567,203,23,28560,95,139,199,160,159,127,22,0,0,894,172,48,78,56,37,71,35,0,0,496,269,180,275,214,198,198,56,0,0,1395,2240,2565,5925,5981,6040,5350,1624,202,23,29955,1218,429,767,708,808,1489,3892,2781,981,13075,270,254,699,699,616,629,464,283,130,4032,3722,3255,7389,7385,7462,7471,5974,3262,1137,47058,422,1183,2512,2627,3286,2152,344,13,0,12536,1520,856,2079,2759,2618,2298,776,76,0,12983,71,97,383,215,215,263,66,15,0,1328,24,42,75,60,84,47,16,11,5,360,2033,2176,5049,5663,6200,4768,1199,104,11,27205,56,74,74,80,90,50,7,0,0,434,148,59,104,107,88,112,12,0,0,633,202,129,180,188,184,166,22,0,0,1072
SOSR513,368,1000,3711,4203,3524,2399,463,25,0,15697,501,189,443,435,381,410,250,46,3,2658,35,45,255,299,277,299,122,28,0,1366,19,36,147,123,59,51,14,3,0,451,922,1277,4550,5063,4236,3167,846,102,5,20171,63,88,96,86,87,78,12,0,0,517,92,24,20,22,23,18,13,0,0,217,158,117,115,117,110,99,23,5,0,733,1076,1392,4671,5177,4349,3263,871,103,5,20902,681,200,360,323,385,769,1904,1002,180,5797,273,366,1210,1328,1221,985,422,189,48,6037,2025,1958,6234,6824,5957,5016,3191,1288,231,32740,211,691,2418,2191,1999,1225,213,5,0,8955,607,371,1337,1695,1061,797,250,34,0,6157,30,90,396,242,197,247,97,6,0,1308,31,35,102,57,37,38,6,4,0,312,880,1191,4250,4192,3297,2302,562,52,3,16732,44,43,77,62,60,33,6,0,0,321,68,35,91,70,39,43,9,0,0,346,108,75,169,136,99,74,16,0,0,671
SOSR514,122,294,866,1112,1010,713,171,7,0,4297,245,107,236,191,219,258,175,31,0,1461,22,9,45,75,79,82,14,0,0,334,19,13,34,26,24,9,8,3,0,130,406,427,1177,1399,1335,1060,367,43,5,6221,25,30,65,50,38,35,7,0,0,248,25,13,9,11,15,14,6,0,0,92,51,45,75,61,53,51,11,0,0,340,456,468,1250,1465,1383,1114,378,41,5,6564,328,71,109,142,178,388,1110,631,184,3140,74,50,154,145,149,127,104,77,35,920,856,595,1518,1751,1709,1620,1593,756,221,10618,70,173,483,553,640,381,57,3,0,2355,296,159,523,875,748,555,197,22,0,3369,19,16,70,88,50,56,17,3,0,330,6,9,17,26,14,12,4,0,0,84,388,354,1101,1543,1454,999,277,31,0,6139,20,7,40,16,23,26,0,0,0,133,33,8,22,29,29,30,5,0,0,156,53,13,56,45,59,51,8,0,0,284
SOSR515,463,1237,3746,3746,3824,2991,712,68,0,16781,595,280,570,492,572,791,507,110,9,3931,60,64,262,319,332,414,181,18,3,1656,37,66,138,117,96,71,22,17,5,562,1153,1644,4715,4680,4819,4270,1422,219,14,22937,66,116,161,119,152,141,24,3,0,777,94,31,36,41,32,60,29,3,3,325,158,141,198,155,187,203,46,8,3,1106,1317,1794,4914,4835,5002,4476,1472,220,18,24039,1016,291,451,514,682,1462,4027,2383,663,11490,321,320,851,817,869,727,527,280,123,4847,2651,2402,6217,6165,6560,6667,6025,2885,804,40378,242,807,2176,2069,2249,1630,314,18,0,9506,778,494,1591,1980,1730,1602,524,73,5,8780,45,100,393,263,283,387,109,9,0,1596,41,41,63,62,65,48,27,14,0,369,1113,1444,4222,4375,4326,3667,976,114,7,20248,43,59,80,72,83,60,3,0,0,399,92,40,79,108,78,80,20,6,0,494,136,94,157,180,163,138,22,6,0,890
