SOSR_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR431,334,1495,6084,23113,15840,3152,816,3506,54341,0,22,55,148,77,18,0,43,368,0,0,14,18,10,10,4,5,58,0,20,69,163,93,23,5,46,424,4,13,3,6,0,0,0,5,41,0,25,20,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,7,10,0,4,0,10,27,7,40,35,23,6,7,0,20,123,250,463,148,148,53,21,0,310,1395,113,215,66,104,52,15,22,79,665,701,2234,6396,23550,16046,3217,853,3962,56953
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,518,3626,28008,214520,287133,39847,6576,19603,599829,140,5610,26477,41568,3942,340,151,4818,83044,90,2199,9222,15719,3286,338,113,1619,32585,230,7814,35703,57288,7223,675,263,6435,115629,125,4141,11024,3154,250,26,35,1537,20290,200,4131,8154,1823,74,6,9,1111,15501,241,5080,8385,2452,95,4,13,1311,17585,138,2283,5329,1634,61,3,18,677,10139,22,186,246,107,104,41,31,58,789,725,15824,33138,9167,575,83,97,4699,64306,278,952,839,205,83,15,10,1722,4103,46,147,165,195,126,21,13,299,1012,1798,28361,97845,281367,295150,40643,6961,32760,784879
SOSR511,23,118,980,8526,12787,1202,174,949,24764,7,337,1115,1160,83,0,7,273,2988,0,24,98,285,47,3,0,31,487,7,359,1215,1450,132,6,7,302,3480,4,135,213,92,4,0,0,51,507,0,10,70,25,0,0,0,12,123,0,0,12,3,0,0,0,9,24,0,0,13,23,0,0,0,6,36,3,3,0,0,0,0,0,0,10,6,151,311,144,11,0,0,77,700,26,169,79,20,3,0,0,181,483,5,12,10,13,12,0,0,10,60,67,802,2597,10154,12941,1210,180,1529,29481
SOSR512,55,433,2892,16564,16113,1853,343,2241,40499,15,685,2061,1576,122,3,11,539,5019,3,61,206,300,158,23,0,92,846,19,745,2266,1876,280,29,16,625,5866,0,135,180,74,8,0,0,49,451,0,4,16,0,0,0,0,4,15,0,4,14,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,15,15,11,7,0,4,4,52,4,156,221,87,15,0,6,57,548,157,336,188,81,23,3,8,610,1408,12,26,29,18,21,4,3,30,135,249,1696,5597,18635,16452,1886,367,3569,48447
SOSR513,70,378,1002,7625,7907,841,136,2010,19968,27,329,893,718,133,9,0,535,2647,9,83,227,309,68,5,0,105,819,43,413,1122,1028,201,21,4,642,3461,11,223,292,92,4,3,3,184,814,0,62,87,14,0,0,0,17,185,0,44,72,30,0,0,0,58,204,0,83,77,14,0,0,0,18,192,0,0,5,4,0,0,0,0,10,13,417,529,155,7,8,6,276,1402,635,960,159,72,67,15,6,461,2377,47,122,36,18,17,3,14,56,317,806,2286,2850,8900,8198,884,164,3442,27524
SOSR514,14,95,884,4245,3818,386,68,680,10192,6,62,193,187,81,4,0,72,604,0,26,45,58,34,3,0,8,185,6,82,244,249,116,14,3,86,790,0,10,83,45,3,0,0,14,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,84,46,3,0,0,21,156,10,32,37,6,20,0,0,60,159,0,10,12,12,10,0,7,15,53,38,225,1251,4552,3965,393,79,852,11356
SOSR515,100,498,3064,14105,10537,1196,226,2802,32519,8,423,1203,534,49,10,8,475,2701,5,28,83,100,34,10,0,58,315,15,446,1283,636,83,18,8,531,3014,3,130,179,83,6,0,5,109,515,0,0,17,8,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,6,4,133,192,99,11,0,5,117,557,727,1126,218,138,107,19,12,734,3078,53,102,51,49,21,0,30,108,405,897,2300,4807,15019,10761,1229,266,4294,39577
SOSR521,66,362,1802,6067,3685,518,129,1459,14097,3,124,263,121,29,0,3,109,662,0,6,22,21,9,0,0,26,87,3,130,281,144,44,3,3,131,743,0,42,58,33,6,0,0,56,199,0,10,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,50,59,33,6,0,0,56,210,298,468,61,48,57,18,8,365,1318,12,42,24,23,12,7,6,38,166,386,1050,2228,6327,3795,546,155,2045,16534
SOSR522,40,258,1138,3569,1881,242,70,769,7961,7,50,152,69,14,0,0,54,348,0,0,7,0,8,0,0,0,13,7,51,152,69,15,0,0,54,361,0,27,21,6,8,0,0,17,78,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,27,21,8,8,0,0,15,82,234,364,57,56,33,0,6,289,1050,18,40,37,25,11,0,9,65,201,297,742,1407,3729,1948,248,87,1196,9655
