SOSR_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
SOSR512,22642,12641,13563,14045,14427,13770,11120,6556,2743,111513,14,20,21,30,41,46,55,46,16,286,10,8,18,20,9,41,50,12,0,160,11,0,19,22,13,41,116,7,0,227,9,9,26,16,18,60,59,0,0,193,0,6,6,13,8,33,61,10,0,135,567,854,1102,988,960,1202,816,389,133,7013,0,5,7,7,10,20,23,6,0,79,0,0,0,9,6,14,6,4,0,35,0,0,0,0,3,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,601,885,1191,1067,1019,1412,1126,427,136,7859,618,905,1212,1098,1057,1459,1178,467,153,8146,15,21,56,19,22,39,23,12,10,209,23268,13569,14837,15166,15506,15253,12323,7037,2902,119864
SOSR513,15894,6742,10528,10605,8264,6271,3231,1524,458,63515,42,30,33,26,22,40,26,13,8,238,78,32,64,88,113,153,159,30,7,722,112,18,71,99,102,239,316,63,5,1014,42,12,79,117,134,182,153,18,3,754,20,12,31,41,57,108,125,27,0,422,566,782,1854,1743,1942,2141,2100,764,80,11967,14,4,18,15,17,49,46,15,0,173,3,6,32,18,12,27,7,6,0,112,10,0,0,7,0,10,8,0,0,40,0,0,0,0,0,0,0,0,0,0,840,866,2161,2131,2372,2899,2917,924,96,15205,880,897,2190,2161,2394,2941,2944,943,100,15443,11,43,137,51,25,39,32,7,0,346,16781,7678,12858,12809,10684,9248,6210,2466,563,79299
SOSR514,5553,2520,2899,3598,3419,3062,2901,1479,533,25968,16,10,13,15,9,11,20,13,3,115,3,6,0,4,0,7,3,0,0,19,3,0,0,0,3,3,5,0,0,19,0,0,8,4,6,13,12,3,0,51,0,4,0,4,6,4,5,6,0,24,157,147,236,186,193,298,248,87,28,1570,0,0,0,0,0,7,0,0,0,14,0,0,3,0,3,0,0,0,0,7,0,6,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,160,158,250,199,215,334,280,94,28,1713,176,168,259,217,219,344,297,108,27,1833,0,8,30,23,3,6,0,3,0,83,5733,2694,3194,3836,3643,3414,3198,1591,561,27874
SOSR515,18159,8852,10906,10950,10843,10604,8765,4667,1737,85480,32,31,36,40,41,49,71,34,12,349,41,21,47,58,56,134,221,14,0,584,74,11,64,64,83,174,251,36,0,749,23,15,32,47,56,142,153,18,0,482,14,12,18,31,38,111,128,31,0,388,640,824,1507,1214,1517,1998,2281,884,152,11012,4,10,9,13,13,41,41,10,0,134,11,3,9,11,14,29,8,0,0,88,10,0,0,5,4,12,8,0,0,48,0,0,0,0,0,0,0,0,0,0,812,890,1683,1439,1779,2636,3085,995,153,13481,847,921,1721,1480,1823,2684,3158,1028,164,13826,6,133,181,57,32,34,28,8,4,490,19015,9908,12807,12491,12696,13327,11946,5698,1904,99799
SOSR521,6899,3366,4043,4174,4494,5016,4173,2163,697,35032,19,12,15,14,31,23,26,24,11,171,5,5,28,11,17,48,62,9,0,187,7,13,13,18,13,98,114,6,3,294,21,4,18,26,30,58,75,9,0,249,9,0,17,10,12,38,78,10,0,174,268,357,857,723,830,1015,881,290,33,5253,4,0,4,0,4,14,13,0,0,35,3,3,6,8,15,16,9,0,0,54,5,0,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,320,379,954,800,918,1283,1240,323,37,6256,342,393,970,819,952,1307,1263,342,46,6428,0,19,52,20,10,8,9,0,0,120,7245,3785,5059,5022,5453,6325,5446,2507,738,41575
SOSR522,4012,2175,2329,2254,2347,2729,2377,1195,350,19760,29,19,40,23,28,39,31,19,7,229,3,5,8,7,8,36,42,10,0,125,23,12,11,18,8,46,85,12,0,212,3,3,0,12,7,40,41,11,0,121,6,0,18,8,5,16,37,4,0,97,208,258,465,448,501,707,754,244,20,3603,0,8,15,15,3,16,12,0,0,66,3,9,6,4,3,10,3,0,0,41,0,0,4,0,0,0,7,0,0,19,0,0,0,0,0,0,0,0,0,0,247,293,529,517,542,877,980,272,20,4284,275,312,567,541,568,915,1012,292,25,4512,0,12,45,3,6,0,5,0,0,77,4289,2496,2939,2802,2920,3646,3386,1481,373,24346
SOSR531,25613,15037,15992,19385,23326,24522,17961,7439,1515,150795,40,75,74,60,88,96,108,53,9,596,176,61,239,264,210,368,380,41,0,1744,313,67,168,307,299,494,549,62,3,2259,119,79,258,347,355,537,452,54,0,2198,83,59,115,147,209,265,247,45,0,1170,1279,3245,8843,8051,8259,7219,3987,970,121,41988,32,14,39,54,74,108,65,0,0,383,25,15,74,58,54,47,29,5,0,306,19,10,9,18,14,20,14,0,0,114,0,0,0,0,0,0,0,0,0,3,2048,3554,9750,9238,9468,9067,5718,1174,129,50156,2092,3631,9820,9300,9558,9160,5825,1223,141,50751,38,117,290,126,74,75,40,12,5,774,27741,18781,26105,28811,32959,33753,23823,8679,1662,202315
SOSR579,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,0,0,33,37,61,29,0,0,4,164,3,141,549,999,951,560,178,32,3,3413
SOSR603,31636,21796,32643,24453,22078,21468,19043,11380,4665,189159,34,27,30,36,37,42,37,55,12,316,5,54,51,28,29,53,41,7,0,264,37,90,182,102,59,92,53,12,7,629,13,45,66,45,63,78,36,7,0,349,4,20,45,37,40,50,57,9,0,258,12,13,48,26,34,53,30,10,3,231,583,963,1030,690,714,672,569,262,170,5651,4,5,11,10,11,7,6,0,0,47,8,9,25,19,13,18,4,4,0,92,0,0,0,0,0,0,0,0,0,0,660,1198,1447,955,967,1018,791,312,176,7520,698,1220,1482,992,1003,1058,830,362,186,7837,21,71,169,51,34,56,44,14,7,476,32359,23092,34293,25494,23122,22581,19915,11761,4857,197474
SOSR611,13377,9566,11811,9367,9439,8901,7810,4998,2113,77384,16,14,14,14,4,22,24,24,8,137,10,18,36,14,14,17,11,6,0,125,11,38,46,26,35,30,23,9,0,221,9,19,40,17,10,39,9,3,0,136,4,7,12,5,18,8,6,3,0,66,13,14,21,15,14,13,0,0,0,93,233,577,430,310,385,347,225,174,50,2746,4,5,3,4,4,4,0,0,0,25,0,3,8,3,0,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,281,683,604,396,475,461,293,202,57,3443,297,693,615,407,485,484,319,220,63,3584,11,53,46,20,10,8,15,3,3,170,13685,10309,12473,9793,9935,9388,8144,5220,2182,81130
SOSR612,7570,4827,5525,4726,5220,5472,4937,3131,1214,42629,13,10,10,7,8,16,23,20,11,115,0,0,8,3,0,11,0,3,0,27,3,6,18,7,10,18,10,3,0,77,10,11,14,10,21,12,10,7,0,91,0,0,7,0,0,7,6,0,0,17,0,4,3,0,13,6,4,0,0,30,178,345,263,170,206,188,117,55,35,1555,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,193,364,317,193,247,236,149,68,35,1805,202,376,323,199,257,256,175,88,43,1919,0,8,23,16,4,6,7,6,0,69,7771,5212,5863,4938,5482,5738,5119,3226,1256,44614
SOSR613,1876,1273,1175,1192,1429,1758,1689,1165,450,12003,6,3,0,0,0,4,4,6,8,38,0,0,0,0,0,5,8,0,0,8,0,0,0,0,4,5,7,0,0,20,6,0,0,0,4,6,0,0,0,23,3,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,43,57,65,33,59,43,30,13,6,342,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,55,61,44,69,65,50,13,4,409,47,64,69,46,69,64,57,20,11,447,7,0,6,0,0,0,0,0,0,13,1930,1336,1244,1238,1500,1823,1740,1183,461,12458
SOSR614,2891,1635,1856,1826,1869,2310,2030,1159,354,15922,0,5,4,3,6,3,6,3,4,40,0,0,6,0,5,3,3,0,0,11,7,3,6,8,7,3,3,0,0,37,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,5,4,0,0,6,0,0,0,0,0,4,3,0,0,8,57,74,55,61,66,70,27,17,10,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,67,76,67,66,81,83,51,21,10,514,68,83,73,71,89,90,55,20,9,554,0,0,5,3,0,0,0,0,0,8,2956,1715,1933,1899,1958,2402,2085,1177,361,16486
SOSR615,10775,6073,7281,6582,7214,8320,8537,5127,1874,61766,17,8,20,10,14,26,40,19,14,186,3,5,7,7,9,15,18,5,0,63,0,11,13,15,12,23,20,4,0,95,12,9,13,17,20,30,22,3,0,114,8,0,0,5,5,9,11,0,0,38,8,0,11,6,11,12,4,3,0,54,215,281,247,198,223,257,177,92,38,1728,0,0,0,0,0,7,0,0,0,10,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,241,308,289,244,288,352,248,109,35,2111,263,319,312,256,300,384,287,126,52,2295,3,13,44,19,7,9,8,3,7,110,11037,6403,7630,6856,7521,8710,8829,5258,1930,64168
SOSR621,3419,1786,2154,2271,2628,3244,2995,1628,448,20572,3,0,7,8,6,10,18,3,3,56,0,0,5,0,5,14,4,3,0,29,9,8,9,22,18,31,11,9,0,110,3,10,10,4,19,17,12,0,0,71,0,5,6,3,9,0,5,0,0,36,0,3,6,0,11,16,13,0,0,50,69,90,126,110,130,203,147,54,13,938,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,88,120,169,138,196,275,191,66,15,1245,91,121,171,151,198,281,209,69,17,1300,0,6,21,11,3,3,5,0,0,60,3511,1915,2351,2432,2829,3527,3208,1699,463,21934
SOSR622,1281,705,756,846,1143,1532,1489,711,226,8679,0,3,0,0,6,5,11,0,0,19,0,0,4,0,0,4,7,0,0,18,0,0,0,0,3,9,5,0,0,18,0,0,4,0,3,10,0,0,0,25,3,0,0,5,0,0,0,0,0,19,0,0,0,0,4,4,3,0,0,9,45,46,50,30,40,81,55,15,3,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,51,63,42,51,106,72,19,9,461,49,49,68,42,56,109,83,24,10,486,0,0,0,3,0,0,0,0,0,7,1332,757,820,884,1194,1636,1575,732,235,9170
SOSR631,17478,9735,9554,11778,14734,17568,13741,5426,1089,101104,38,32,38,27,43,69,41,36,14,351,22,18,18,21,27,33,36,13,4,179,26,31,65,52,55,71,59,21,0,380,18,8,34,30,35,72,41,8,3,246,14,16,52,20,13,26,10,7,0,154,11,7,64,30,25,50,16,6,0,206,392,507,540,398,430,499,361,131,38,3287,3,6,9,3,0,3,0,0,0,20,0,0,6,0,10,7,3,0,0,32,0,0,0,0,0,0,0,0,0,0,476,585,788,554,596,765,527,174,51,4515,507,621,828,586,646,835,568,207,66,4858,0,14,47,23,20,15,3,3,4,128,17993,10362,10426,12382,15396,18414,14315,5638,1154,106089
SOSR679,0,0,4,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,0,0,0,0,30,0,3,17,28,18,16,7,0,0,90,0,0,9,11,8,9,4,0,0,41,0,0,3,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,0,9,5,9,20,17,47,48,21,4,0,175,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,14,63,71,82,75,33,7,0,347,5,19,63,71,82,75,33,7,0,350,0,0,3,4,0,0,0,0,0,13,5,21,69,78,90,77,33,3,0,378
SOSR703,24147,13836,22378,18475,14333,11164,7345,2939,701,115318,25,79,52,31,17,32,19,7,0,259,180,222,454,281,247,361,325,70,7,2150,365,203,594,491,505,931,994,187,19,4293,107,153,311,295,372,421,418,85,6,2163,161,165,285,266,313,526,588,174,19,2501,155,148,326,232,331,500,485,143,9,2325,13,13,24,43,61,81,79,19,0,328,612,637,1037,796,689,636,328,138,40,4912,33,41,66,57,68,67,56,6,0,393,0,0,0,0,0,0,0,0,0,0,1631,1576,3092,2461,2583,3522,3269,824,101,19061,1657,1657,3147,2492,2604,3557,3281,827,102,19321,64,1315,675,199,84,144,77,24,6,2586,25868,16800,26196,21165,17025,14864,10705,3789,809,137228
SOSR712,5056,2456,4363,3656,2895,2580,1471,537,167,23182,3,6,4,12,4,10,0,4,0,35,24,28,71,43,35,65,37,6,3,315,69,44,144,81,112,262,344,65,5,1123,27,29,50,47,50,111,116,13,0,435,51,30,86,64,73,171,204,46,0,721,17,22,36,36,41,69,55,9,0,287,10,25,8,4,10,43,25,0,0,128,201,185,245,225,187,164,56,25,7,1291,6,0,14,14,17,10,11,6,0,71,0,0,0,0,0,0,0,0,0,0,401,358,653,515,522,889,854,165,14,4380,406,360,656,525,529,902,851,172,14,4415,5,13,35,10,6,21,7,8,0,101,5469,2827,5054,4199,3426,3507,2328,715,180,27703
SOSR714,1331,682,1100,812,632,559,326,123,28,5588,0,11,7,4,0,4,0,0,0,26,0,9,16,10,11,37,38,3,0,129,11,12,37,6,26,63,59,10,0,234,11,7,14,12,27,42,49,8,0,171,9,12,13,10,18,49,26,3,0,135,3,9,20,11,23,42,47,13,4,159,0,0,0,0,0,6,9,4,0,17,39,57,111,100,130,116,33,8,5,607,0,0,9,0,0,4,9,0,0,22,0,0,0,0,0,0,0,0,0,0,74,116,218,150,238,361,265,52,3,1479,72,117,224,156,242,365,269,53,3,1503,0,5,8,0,0,13,0,0,0,29,1406,803,1329,970,869,935,598,178,32,7119
SOSR715,4275,2823,2996,2580,1967,1343,543,144,29,16694,24,26,33,20,15,10,6,0,0,134,4,10,10,16,14,18,6,0,0,77,7,6,11,11,15,33,39,3,0,131,4,24,40,21,42,52,18,10,0,214,4,8,15,17,17,29,19,0,0,112,0,0,8,9,21,19,17,3,0,74,0,0,4,0,4,5,3,0,0,19,104,90,184,120,116,88,35,8,0,743,0,0,0,0,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,122,137,274,193,225,261,145,22,0,1381,149,160,302,211,239,272,145,22,0,1513,0,0,18,8,3,8,3,0,0,42,4419,2990,3317,2796,2207,1622,698,165,27,18250
SOSR721,2844,1983,2128,1667,1418,1033,474,111,26,11675,22,9,29,9,13,4,0,0,0,85,21,14,16,20,29,70,56,16,0,249,46,18,38,65,73,115,119,26,0,493,24,19,39,35,57,82,66,7,0,321,10,19,37,20,19,87,41,15,0,248,5,13,31,13,20,56,35,6,0,167,4,3,3,5,3,14,12,0,0,47,52,56,125,95,93,93,36,0,0,564,0,0,5,0,3,9,4,4,0,27,0,0,0,0,0,0,0,0,0,0,160,150,287,252,297,525,373,78,0,2121,184,159,319,260,309,533,374,75,0,2207,0,0,35,4,5,7,5,0,0,65,3020,2148,2483,1932,1726,1572,851,189,24,13943
SOSR722,2843,1784,1836,1449,1282,984,595,172,29,10982,21,20,19,10,6,9,8,0,0,105,13,8,14,18,18,67,96,16,0,263,41,12,44,55,65,137,182,20,0,551,16,3,26,22,54,111,106,5,0,355,8,4,23,17,37,109,133,25,0,356,9,3,12,14,34,106,112,8,5,303,8,0,3,7,4,18,8,6,0,55,96,68,133,103,95,91,42,16,0,645,0,0,8,0,4,0,4,4,0,21,0,0,0,0,0,0,0,0,0,0,195,101,267,232,310,635,695,107,4,2541,219,122,283,245,315,647,700,106,11,2644,0,0,11,0,3,4,0,0,0,17,3061,1909,2130,1699,1603,1636,1302,281,34,13646
SOSR731,6523,4262,4543,4466,4776,4092,2517,790,122,32091,13,31,24,8,21,26,16,9,0,148,106,106,163,100,121,324,451,96,0,1460,219,113,284,248,280,717,931,172,6,2972,119,131,353,299,356,562,583,67,9,2474,77,70,167,126,237,477,580,143,8,1880,70,50,181,192,138,301,309,52,0,1297,17,22,33,19,29,86,103,14,0,323,259,294,640,524,555,432,222,23,0,2952,18,0,29,32,32,39,35,6,0,195,0,0,0,0,0,0,0,0,0,0,878,787,1854,1526,1744,2943,3212,578,24,13547,894,817,1875,1535,1774,2966,3225,588,24,13695,5,96,141,44,15,22,14,0,0,345,7420,5173,6564,6046,6569,7082,5758,1379,145,46134
SOSR779,0,15,23,22,20,17,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,3,0,9,18,11,11,0,0,46,0,0,4,8,10,3,6,0,0,31,0,10,10,15,18,22,0,0,0,78,0,0,4,12,3,8,5,0,0,23,0,11,12,25,32,30,8,0,0,122,0,0,3,3,3,5,0,4,0,23,0,0,5,14,7,10,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,88,103,82,35,6,0,384,0,24,33,88,103,82,35,6,0,384,0,0,9,0,0,0,0,0,0,17,0,37,65,112,124,106,40,10,0,494
SOSR802,81170,57879,74738,67262,54269,43013,33481,18383,6883,437076,37,54,58,33,46,32,64,46,19,393,272,1103,844,525,601,656,559,201,85,4844,29,187,204,114,97,136,81,24,4,870,30,123,135,119,111,135,95,9,3,765,3,38,25,13,24,41,38,12,0,188,13,47,49,32,32,41,34,5,3,248,4,30,23,11,30,29,33,9,0,159,11,12,16,13,13,7,3,0,0,70,814,1296,1358,888,669,519,380,310,189,6425,0,0,0,0,0,0,0,0,0,0,1173,2839,2647,1714,1572,1561,1214,565,287,13577,1210,2893,2700,1750,1616,1592,1273,612,307,13963,129,132,179,177,139,179,153,49,7,1151,82516,60910,77611,69193,56022,44784,34910,19045,7199,452187
SOSR822,129,70,48,93,101,69,58,30,6,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,132,78,54,94,99,69,62,33,6,614
SOSR831,89,122,111,55,64,65,52,8,4,576,0,0,0,0,0,0,0,0,0,0,0,7,9,4,0,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,3,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,6,15,24,6,8,9,7,0,0,74,6,15,24,6,8,9,7,0,0,73,0,0,0,0,0,0,0,0,0,0,94,140,134,61,71,74,58,9,7,649
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,266,93,190,197,192,154,139,24,4,1263,0,6,0,0,3,0,0,0,0,9,0,0,4,8,11,0,0,0,0,22,0,8,0,0,0,0,0,0,0,9,0,4,15,4,16,6,4,0,0,42,0,0,0,0,7,0,0,0,0,3,8,12,34,30,24,71,34,10,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,0,10,9,28,67,46,60,78,39,10,0,328,9,26,68,46,63,78,36,16,0,337,0,0,0,0,0,0,0,0,0,6,276,125,264,240,258,227,175,36,4,1605
SOSR921,252,138,125,197,218,323,231,126,37,1638,7,3,0,3,4,3,7,0,0,23,0,3,3,8,4,3,13,0,0,29,0,0,0,0,0,0,0,0,0,6,4,0,6,0,14,38,31,11,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,0,0,0,0,6,4,6,0,3,5,0,5,0,0,29,14,7,13,7,26,52,44,12,0,176,13,8,11,11,26,51,49,12,0,202,0,0,0,0,0,0,0,0,0,8,263,149,133,205,249,380,281,139,37,1846
SOSR922,155,66,74,89,68,125,58,40,10,676,4,0,0,7,0,0,0,0,0,6,0,19,28,8,3,0,0,0,0,62,0,16,12,0,0,0,4,0,0,21,0,14,14,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,8,15,26,8,24,36,35,13,0,162,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,0,15,0,0,0,0,3,3,0,0,0,3,9,65,83,17,36,39,41,13,0,298,14,67,83,21,36,39,41,13,0,310,0,3,4,0,0,0,0,0,0,3,165,136,161,116,100,164,92,45,10,993
