SOSR_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
SOSR412,17724,11123,11889,11079,12002,11685,9427,6057,2395,93373,30,9,12,18,22,27,38,31,11,198,0,3,12,5,8,7,9,0,0,58,3,15,23,16,31,28,27,3,0,156,6,14,20,12,18,18,18,9,0,122,334,542,488,389,422,376,259,117,71,2997,0,0,7,6,6,12,0,5,0,38,0,0,3,6,3,17,6,0,0,40,0,3,3,0,3,3,5,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,353,577,562,439,496,466,335,132,78,3433,383,592,577,459,516,495,367,163,86,3633,3,7,21,17,10,10,19,0,0,88,18111,11721,12486,11553,12526,12190,9815,6220,2485,97091
SOSR413,14787,9033,9284,9238,10490,11182,11417,7423,2888,85752,29,27,23,36,25,39,43,26,15,257,9,24,7,12,34,30,30,8,0,154,15,11,31,26,21,70,76,13,0,255,8,0,18,6,12,22,20,7,0,90,335,480,566,450,524,652,503,199,90,3802,3,3,3,7,10,19,23,3,0,65,0,0,0,4,3,4,31,5,0,51,7,0,5,0,6,14,7,0,0,45,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,383,521,633,514,599,811,688,236,90,4469,410,542,662,546,622,846,729,265,104,4733,3,10,20,18,17,14,15,8,8,112,15194,9586,9963,9802,11126,12047,12164,7702,2997,90590
SOSR414,4901,2806,3147,3225,3416,3787,4632,3003,1053,29970,3,5,5,5,15,8,18,10,7,78,0,0,0,0,5,7,0,0,0,9,0,3,9,11,7,16,24,4,0,82,0,0,0,0,0,5,7,4,0,10,91,123,135,91,133,157,172,80,32,1002,0,0,5,0,0,13,0,3,0,23,0,0,0,0,0,0,3,0,0,9,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,125,145,99,144,190,209,90,32,1137,98,135,151,109,161,205,233,102,40,1219,5,3,12,3,0,6,0,0,0,38,5001,2940,3309,3340,3582,4001,4860,3103,1089,31230
SOSR415,19328,10556,11879,11990,13347,14921,14747,9294,3912,109969,14,24,26,14,35,52,61,48,26,296,17,7,10,21,18,44,55,16,3,188,34,22,17,47,51,156,176,63,3,569,10,3,14,14,26,39,53,4,0,161,389,574,694,534,702,1001,912,356,116,5272,4,3,3,7,12,27,45,8,0,106,14,3,27,13,14,22,48,20,0,160,7,0,16,7,14,8,6,0,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,465,616,774,635,840,1298,1303,462,128,6517,486,637,802,653,875,1346,1354,510,150,6815,9,56,297,122,36,28,15,9,3,572,19814,11250,12976,12768,14264,16290,16116,9808,4067,117352
SOSR421,5110,2751,2974,3132,3600,4543,4387,2405,1109,30005,9,5,6,11,14,18,20,20,5,117,0,3,0,0,6,9,20,13,0,54,3,0,3,3,10,23,56,10,0,110,0,0,6,0,4,12,8,0,0,34,99,172,158,147,201,329,287,119,49,1563,3,0,6,3,6,10,17,0,0,46,0,3,0,4,4,6,6,4,0,27,4,6,6,8,0,10,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,188,178,165,234,398,404,145,49,1876,117,195,184,178,253,417,425,164,58,1994,0,4,4,5,0,7,5,0,0,20,5233,2949,3163,3316,3852,4966,4819,2566,1164,32026
SOSR422,2821,1575,1724,1692,2194,3055,2873,1466,418,17815,8,8,7,5,13,11,13,9,5,76,0,0,0,0,0,8,16,4,0,46,5,3,3,5,8,33,61,3,0,125,0,0,3,0,0,15,21,6,0,44,85,129,136,132,193,320,315,103,19,1420,5,0,5,4,0,9,15,0,0,37,0,3,0,0,0,21,16,0,0,53,4,0,4,6,0,11,0,0,0,19,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,97,135,157,147,214,415,441,112,22,1745,107,145,158,150,228,428,457,119,23,1823,0,5,0,0,0,3,4,0,0,18,2930,1720,1886,1847,2423,3484,3331,1584,440,19658
SOSR431,24330,13896,11900,15302,20278,23352,18382,7752,1636,136833,31,47,43,44,50,80,68,35,9,414,31,23,47,77,36,72,81,17,3,382,34,41,107,83,88,169,173,36,4,742,9,28,117,130,162,140,73,10,0,665,505,1002,1844,1372,1506,1748,1228,373,64,9637,12,12,28,49,40,56,38,8,4,245,4,3,14,18,35,49,51,12,0,191,8,11,12,24,18,29,13,3,0,116,0,0,3,0,0,12,0,0,0,21,0,0,0,0,0,0,0,0,0,0,609,1123,2173,1742,1884,2269,1657,457,69,11996,639,1166,2224,1793,1938,2355,1730,488,76,12404,7,64,153,73,34,15,27,12,3,392,24978,15130,14280,17164,22253,25719,20137,8252,1723,149628
SOSR479,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,0,0,25,0,0,0,15,7,3,0,0,0,25,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40
SOSR501,381284,236434,277301,282555,248932,215014,171134,94852,38316,1945823,284,218,308,317,293,421,458,323,146,2761,62,202,288,244,219,222,199,66,11,1518,91,137,276,224,215,284,240,64,9,1534,42,72,154,188,205,252,152,29,3,1104,16,32,85,93,139,114,69,25,5,570,5940,7515,7818,6042,5486,5123,4101,2534,1381,45952,20,20,44,44,57,93,125,28,7,434,34,29,74,65,44,48,28,8,0,319,20,23,56,33,23,21,15,4,0,188,10,4,8,10,10,17,17,5,0,77,6234,8028,8789,6936,6400,6178,4942,2763,1420,51692,6519,8244,9097,7254,6693,6600,5398,3089,1563,54455,366,511,1024,632,635,910,788,267,78,5203,388166,245189,287428,290440,256255,222529,177310,98207,39957,2005481
SOSR511,14649,7998,8637,9287,9076,8382,6787,3797,1420,70040,10,14,18,5,17,27,28,28,10,152,0,3,3,0,4,5,6,0,0,35,0,5,10,6,9,14,11,0,5,56,4,0,0,8,5,7,9,0,0,40,4,0,5,0,0,0,0,0,0,12,252,388,386,335,347,381,208,83,76,2466,0,0,0,0,8,5,10,0,0,23,0,3,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,268,396,409,358,368,423,253,93,77,2651,275,407,428,360,385,452,280,116,91,2799,5,9,26,8,9,14,11,3,0,92,14933,8413,9091,9666,9478,8854,7074,3920,1511,72939
