SOSR_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
SOSR101,709,2051,8727,3947,1677,8785,2749,10739,709,40091,4937,17978,20875,10541,8632,12534,9017,13118,2385,100020,34865,89355,47990,16613,21750,16964,22360,21112,6621,277631,60978,90550,39152,11779,21400,13499,21261,14763,5921,279298,54016,58289,32250,9314,16564,10495,21537,14567,4446,221468,33056,37313,24274,6604,12088,7787,20038,13700,2895,157757,8736,13990,6038,1950,3815,2691,5193,4206,945,47561,1478,2502,584,212,489,488,359,476,296,6876,150,188,39,5,33,40,12,35,82,582,198936,312207,179925,60955,86446,73282,102528,92708,24302,1131287,605,2783,1298,9617,3826,18236,851,4248,627,42093,4937,24385,4323,22356,17835,16473,2198,4862,1809,99180,31589,113004,10381,32660,43892,18375,4106,9253,5192,268439,42688,93868,8377,25218,49748,14726,3468,8307,4752,251149,34462,64060,6750,24145,49461,13762,3803,10165,3157,209774,16719,37847,4662,17106,37908,9996,3132,9867,1946,139180,3354,10337,1037,3565,10811,2455,585,2333,628,35104,354,971,94,244,1201,283,31,160,196,3536,45,44,7,13,60,30,0,6,73,277,134741,347311,36930,134920,214751,94344,18175,49191,18375,1048730
SOSR102,217,232,3687,1200,276,3008,931,4742,208,14512,968,2314,7493,2974,1192,2733,1769,3862,398,23696,5050,11137,15036,4292,2682,3003,4571,5363,943,52086,8992,11840,12071,3527,2809,2144,5057,4411,986,51831,9498,9893,10430,3359,3090,2171,5886,4823,962,50121,6263,6934,7958,2509,2613,1837,5537,4413,631,38706,1544,2435,1586,559,666,569,1277,1096,178,9912,262,343,128,38,80,89,131,110,83,1272,29,21,5,3,7,11,4,4,33,119,32815,45152,58409,18462,13422,15552,25168,28832,4435,242252,251,447,608,4037,860,6997,293,2113,194,15792,1080,3808,1392,7823,3501,4208,376,1341,305,23824,4641,18105,2672,9350,9033,3796,600,1877,708,50786,6463,17522,2138,7605,10691,3376,511,2103,674,51075,6208,13979,2022,8399,12382,3912,649,3017,687,51265,3542,9053,1298,6615,9835,3320,565,3039,409,37674,685,2117,252,1179,2272,733,124,605,144,8107,75,154,11,49,205,61,10,55,73,703,10,7,0,4,6,5,0,0,27,58,22960,65188,10394,45067,48788,26401,3121,14147,3216,239277
SOSR111,48,36,709,213,57,655,179,961,40,2898,169,282,1505,435,171,432,374,756,82,4215,975,1501,3183,781,452,593,1257,1269,203,10206,1516,1614,2272,678,506,449,1368,990,202,9603,1451,1411,1865,629,517,443,1308,905,156,8685,1016,959,1369,400,408,380,1260,883,120,6791,315,387,284,118,120,145,332,239,32,1977,50,43,24,5,15,17,17,31,13,219,4,0,0,0,0,4,0,5,8,22,5550,6232,11208,3259,2254,3126,6098,6042,854,44615,55,57,142,761,182,1507,27,437,44,3219,197,531,228,1418,608,742,54,292,66,4146,798,2904,592,2141,1712,896,165,647,133,9986,1027,2793,480,1692,1876,766,134,661,130,9562,1044,2162,369,1693,2194,801,137,713,122,9243,592,1483,243,1300,1705,658,91,697,80,6842,116,355,53,226,441,142,23,144,20,1518,19,14,0,16,38,14,0,7,14,124,0,0,0,0,4,0,0,0,12,13,3853,10299,2101,9249,8768,5529,630,3601,619,44645
SOSR112,143,81,1920,649,155,1740,397,2334,148,7561,512,689,3562,1204,370,1151,850,2075,211,10622,2409,3880,7582,2373,1077,1599,2561,3890,516,25892,3469,4134,5447,1847,1146,1180,2511,2911,465,23112,3741,3784,4415,1850,1239,1135,2845,2687,427,22121,3085,3234,3604,1397,1181,1018,2824,2410,323,19068,1069,1400,916,353,365,405,859,728,114,6210,256,215,109,23,66,72,101,90,59,987,26,10,8,4,3,8,9,4,31,104,14704,17428,27569,9707,5602,8307,12959,17121,2294,115683,96,190,298,2169,458,3449,99,1018,119,7898,476,1578,633,3585,1397,1774,128,857,159,10596,1920,7693,1409,5400,3897,2306,262,1898,348,25127,2487,7038,1099,4226,4216,1729,224,1808,323,23150,2701,6162,926,4265,5101,1811,271,1890,335,23466,1821,4665,684,3387,4623,1601,254,1879,210,19122,492,1353,172,768,1299,475,77,431,74,5139,76,89,10,66,141,36,4,48,69,546,9,4,3,0,11,3,0,0,18,44,10072,28772,5238,23860,21155,13194,1321,9825,1651,115094
SOSR113,69,28,810,189,48,728,172,1054,67,3161,169,235,1565,386,137,401,377,782,67,4116,825,1196,3328,904,339,511,1356,1386,206,10059,1372,1359,2537,771,368,433,1422,1040,213,9511,1520,1357,2230,744,415,454,1591,1146,219,9669,1339,1122,1783,629,452,428,1548,1112,165,8570,454,488,433,174,155,194,420,300,57,2659,90,92,32,17,17,32,47,40,18,378,3,3,3,0,0,4,3,3,13,40,5833,5881,12725,3801,1929,3175,6931,6869,1021,48171,48,68,122,855,151,1412,29,406,47,3148,158,449,244,1250,549,743,85,304,70,3847,818,2581,577,2143,1487,961,220,712,163,9666,1018,2446,437,1937,1730,886,202,686,147,9496,1083,2177,475,2040,2072,930,192,896,123,9997,805,1760,300,1673,1960,864,105,903,99,8475,204,459,70,329,504,221,26,189,52,2043,31,40,3,19,42,15,0,16,25,193,3,0,0,0,0,0,0,4,3,15,4159,9975,2228,10255,8504,6044,864,4104,734,46874
SOSR114,80,37,1008,230,48,760,172,1152,80,3571,241,269,1748,406,132,464,430,1037,82,4813,1210,1559,3714,819,403,582,1368,1815,211,11678,1816,1779,2773,730,428,478,1416,1470,224,11110,1933,1582,2372,741,502,506,1576,1509,195,10907,1537,1191,1928,558,537,586,1749,1472,189,9747,577,483,545,136,177,223,538,430,90,3196,176,87,74,20,24,38,70,53,42,573,30,11,9,0,4,4,3,4,15,71,7600,6991,14162,3634,2254,3632,7329,8932,1122,55659,43,78,160,1007,210,1472,37,524,64,3605,187,661,343,1503,694,770,102,497,54,4818,880,3287,663,2334,1866,1043,179,800,149,11204,1403,3030,527,2023,2137,857,148,844,161,11126,1415,2557,476,2139,2485,1041,134,981,148,11383,925,1960,408,1939,2292,1006,136,1058,110,9830,239,545,70,373,594,261,31,256,55,2430,56,32,7,21,65,19,4,24,26,258,5,0,0,0,9,0,0,0,13,22,5154,12157,2652,11334,10355,6481,772,4988,788,54678
SOSR115,87,59,1620,398,60,856,246,1486,86,4887,251,302,2521,661,134,488,667,1283,128,6427,1444,1823,5066,1131,423,629,1856,2284,301,14965,2431,2259,4077,1033,536,579,2077,1754,308,15052,2743,2175,3490,1152,703,667,2528,1898,334,15688,2383,1952,2982,916,741,686,2686,2100,297,14749,970,876,807,248,278,263,826,667,106,5037,218,126,67,21,43,48,112,91,56,781,37,7,0,0,0,6,0,0,23,78,10564,9562,20631,5549,2920,4223,10996,11568,1629,77649,56,91,248,1537,267,1826,60,770,104,4952,243,695,432,1996,765,892,136,544,98,5795,1215,3942,880,3132,2428,1272,265,1093,221,14446,1806,4160,775,2826,2907,1231,205,1043,244,15190,1998,3906,802,2989,3474,1405,218,1377,237,16408,1519,3251,531,2841,3311,1363,227,1480,196,14715,444,915,149,534,936,343,53,343,79,3795,86,48,11,25,91,27,9,39,39,362,7,7,4,0,4,0,0,0,11,33,7371,16996,3828,15879,14181,8358,1172,6695,1221,75695
SOSR121,18,15,401,97,25,290,73,450,40,1417,79,63,626,155,47,147,157,309,33,1617,343,415,1253,249,128,139,464,510,91,3586,698,642,1183,284,160,153,544,424,78,4157,882,677,1141,317,206,192,694,569,126,4807,712,622,955,272,204,192,785,589,94,4422,282,270,252,72,73,80,229,173,40,1483,83,40,26,0,6,14,18,15,11,214,8,0,0,0,0,0,0,0,4,13,3104,2746,5842,1454,855,1209,2964,3034,512,21719,20,22,80,405,75,575,20,215,31,1435,59,162,105,514,199,229,21,126,28,1442,318,1008,219,686,591,300,51,221,57,3443,522,1249,213,716,841,288,47,263,67,4210,607,1247,245,882,1138,397,70,349,77,4999,428,978,144,794,948,392,49,389,56,4189,121,298,38,147,265,101,15,70,24,1084,22,14,6,9,29,6,0,10,7,106,4,4,0,0,4,0,0,0,0,16,2101,4978,1048,4153,4084,2287,272,1649,342,20930
SOSR122,14,10,173,54,11,95,31,192,22,600,33,42,339,100,15,64,67,170,16,848,184,231,594,159,60,86,204,299,35,1853,367,275,509,129,74,88,266,283,56,2032,461,298,513,172,107,86,363,327,54,2388,473,304,490,163,117,117,424,389,56,2532,174,132,128,34,47,31,142,91,23,805,36,32,7,0,8,11,18,8,8,126,6,0,0,0,0,0,0,0,3,17,1740,1324,2758,807,438,567,1527,1768,265,11191,6,14,18,173,39,215,8,90,10,583,28,104,64,257,103,125,9,75,9,773,159,441,106,363,290,138,22,155,40,1712,279,539,96,323,424,106,27,145,34,1978,344,519,111,443,561,196,41,186,34,2429,294,546,103,444,474,192,42,228,27,2357,76,117,26,101,138,57,5,48,12,575,13,8,0,4,22,6,3,7,0,62,0,0,0,0,0,0,0,0,4,0,1197,2288,526,2114,2054,1036,161,933,174,10477
SOSR131,346,131,3052,855,136,1439,571,2730,220,9482,812,670,3838,978,313,709,1007,2022,230,10574,3584,2032,5881,1012,504,684,2283,3033,396,19397,6693,2914,5660,1059,687,772,3009,2543,542,23872,9757,4139,6238,1396,1158,1153,4356,3217,664,32081,10495,3817,5423,1237,1131,1122,4319,3498,591,31627,6679,1874,1459,300,418,449,1405,1232,318,14139,2333,320,141,25,58,81,142,250,184,3532,358,17,19,0,3,3,0,26,39,469,41062,15908,31713,6858,4412,6412,17081,18553,3174,145170,171,193,546,2263,573,3035,119,1438,195,8536,439,1148,712,2467,1369,1288,231,984,152,8798,2026,5004,1272,2805,3444,1334,346,1434,293,17969,3922,6766,1195,3040,5224,1414,323,1390,381,23668,5963,7679,1364,4281,7413,2112,480,1997,505,31794,5442,6203,1025,3561,6556,1886,423,2089,429,27627,3121,1780,263,696,1995,463,113,592,244,9273,945,137,30,41,259,53,10,138,151,1754,114,6,4,0,7,7,3,19,21,185,22153,28922,6412,19157,26848,11598,2058,10084,2378,129601
