SOSR_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR101,16511,389254,405759,439622,77551,517171,268589,26604,295192,275853,16277,292134,117470,7274,124745,69232,3999,73235,1187279,520966,1708243
SOSR102,5391,113033,118426,124299,19672,143979,58133,5589,63722,56952,2989,59948,23045,1220,24267,10354,614,10967,278177,143124,421301
SOSR111,1121,21156,22277,22807,3482,26292,10834,955,11795,9925,519,10447,4357,213,4568,2156,132,2284,51200,26458,77660
SOSR112,2881,63803,66694,62969,10576,73547,26951,2914,29869,23878,1589,25471,10947,813,11766,5854,445,6294,133491,80152,213636
SOSR113,1410,30305,31712,30184,5256,35444,11769,1327,13097,10176,816,10998,4564,365,4933,2447,204,2645,60549,38277,98827
SOSR114,1454,33322,34781,33376,6004,39385,13176,1372,14542,11736,865,12599,5574,424,6002,2615,230,2847,67933,42221,110153
SOSR115,2212,44508,46723,49144,8938,58081,18165,1949,20112,16204,1296,17502,7544,685,8223,3861,384,4246,97126,57759,154891
SOSR121,567,9700,10267,12800,2326,15126,4959,494,5449,4736,342,5079,2335,171,2508,1230,84,1316,26627,13112,39741
SOSR122,295,6256,6551,6546,1539,8084,2466,333,2803,2052,209,2257,988,126,1111,570,66,636,12914,8521,21442
SOSR131,2932,41930,44869,68293,12978,81276,26712,3214,29926,26779,2461,29242,15119,1343,16461,9962,633,10598,149805,62566,212373
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,18209,431908,450122,463810,79944,543751,262969,26879,289853,273549,15605,289156,105000,6546,111547,52258,3154,55413,1175801,564033,1739836
SOSR203,1984,46846,48836,45431,7252,52680,20980,2428,23407,19431,1255,20686,7961,525,8489,3318,264,3582,99109,58578,157684
SOSR211,475,9768,10240,10738,1701,12441,6568,574,7143,6188,366,6549,2870,227,3091,1984,133,2120,28817,12765,41587
SOSR212,1348,28454,29801,31021,4705,35731,14127,1324,15454,14109,831,14939,6055,396,6452,2547,218,2763,69211,35923,105140
SOSR213,1306,30680,31987,31437,4266,35703,13239,999,14240,12209,606,12814,5410,293,5700,2284,153,2434,65885,37000,102882
SOSR214,785,20452,21240,20390,2971,23364,7111,633,7743,6125,352,6479,2780,186,2964,1163,100,1263,38354,24693,63048
SOSR215,1215,28324,29541,29567,4634,34200,10953,963,11915,10550,712,11265,4739,330,5068,1997,150,2144,59031,35106,94135
SOSR221,353,7967,8320,8478,1457,9937,2916,271,3186,2751,190,2940,1289,89,1377,523,34,558,16307,10009,26316
SOSR222,215,4192,4403,4495,1004,5495,1532,236,1763,1468,173,1643,635,90,723,278,50,330,8617,5747,14366
SOSR231,2224,33741,35966,55232,8872,64106,20530,2163,22689,20805,1642,22449,10816,867,11686,5387,359,5747,114997,47642,162638
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,12257,204030,216290,238126,42748,280876,130667,13401,144070,127579,6789,134370,52324,2913,55238,29477,1453,30928,590436,271333,861772
SOSR302,5377,83781,89154,106655,22784,129439,49816,6001,55816,47288,3145,50433,17940,1195,19135,8654,473,9133,235731,117379,353110
SOSR303,3361,47730,51095,48306,10622,58931,23447,2801,26251,19823,1484,21305,8459,632,9093,5235,375,5609,108635,63650,172279
SOSR311,2081,28711,30787,31129,6400,37528,13216,1364,14578,11341,772,12112,5039,348,5389,2907,180,3085,65717,37764,103483
SOSR312,701,12745,13451,13595,2208,15805,4972,484,5458,4120,227,4353,1822,108,1929,1063,52,1119,26278,15829,42107
SOSR313,1255,16521,17773,18534,4370,22905,8315,927,9236,7697,545,8242,3641,271,3921,2271,130,2402,41713,22764,64477
SOSR314,1173,16655,17829,18587,4298,22888,8511,999,9516,8030,738,8766,3709,366,4073,2209,220,2432,42219,23281,65498
SOSR315,1790,27188,28977,30470,8079,38549,12263,1500,13773,10777,951,11725,5332,511,5843,3683,252,3933,64317,38481,102799
