SOSR_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR313,..,320,224,48,59,35,26,8,0,723,..,503,535,143,206,265,168,55,10,1886,..,421,720,530,880,1537,1812,1546,757,8193,287,407,283,184,196,273,260,111,41,2033,0,9,19,7,5,17,17,0,0,79,16081,8901,10448,9911,9179,8894,7501,4223,1314,76443,..,383,6292,9938,9565,9515,8815,4614,793,49917,..,2695,5692,2954,2027,1431,724,225,32,15782,..,392,1656,2187,1909,943,427,312,201,8039,32348,..,..,..,..,..,..,..,..,32348,..,5624,..,..,..,..,..,..,..,5624,..,4563,1596,697,474,261,57,3,0,7655,..,912,444,232,304,503,439,302,130,3265,..,648,546,215,185,108,58,18,8,1782,..,994,1167,417,462,554,377,129,17,4121,..,868,1784,1402,2020,2958,3008,2244,1002,15293,577,778,657,406,406,472,468,192,58,4011,8,10,42,13,11,20,23,5,5,141,32931,17873,19870,18463,17366,16771,14409,8052,2245,147978
SOSR314,..,299,275,58,75,69,33,13,7,823,..,448,641,161,241,301,244,87,16,2150,..,323,612,476,850,1523,1866,1632,814,8088,225,349,243,131,189,250,204,112,41,1741,3,6,22,3,9,6,13,0,0,73,15357,8474,10002,9937,9967,9259,7843,4540,1463,76834,..,320,6455,10513,10661,10151,9137,4789,849,52886,..,2183,4848,2980,2494,1583,777,274,29,15179,..,274,1331,2066,1973,957,485,348,239,7674,31111,..,..,..,..,..,..,..,..,31111,..,5936,..,..,..,..,..,..,..,5936,..,4838,1809,714,602,336,68,0,0,8366,..,829,478,235,333,588,578,373,188,3599,..,615,637,247,208,177,93,22,9,2008,..,907,1428,397,532,626,499,199,28,4621,..,663,1460,1256,1933,2992,3230,2454,1138,15123,458,651,534,319,405,454,413,194,60,3482,7,18,52,20,13,20,14,0,0,138,31575,17230,19026,18740,19155,17883,15302,8662,2549,150122
SOSR315,..,402,283,111,94,103,62,26,6,1089,..,504,487,197,424,578,447,164,27,2839,..,402,803,667,1348,2613,3178,2504,1058,12576,434,533,385,243,307,420,442,190,67,3019,8,16,42,8,10,20,8,7,0,113,22099,11921,13656,13942,14580,15960,14327,7273,2104,115859,..,447,8329,13444,14576,16915,16877,8066,1301,79946,..,3062,7264,4719,4192,3225,1729,505,52,24750,..,481,2017,3004,2752,1431,883,567,356,11488,44535,..,..,..,..,..,..,..,..,44535,..,7936,..,..,..,..,..,..,..,7936,..,7356,2795,1279,1001,538,115,0,0,13084,..,1364,711,391,548,968,940,547,338,5808,..,791,739,350,318,266,162,59,13,2701,..,976,1171,541,905,1184,1009,357,58,6211,..,822,1845,1774,3161,5314,6095,4068,1548,24629,852,975,825,591,597,774,842,348,95,5897,19,34,87,21,18,30,11,7,4,221,45406,24253,25777,26108,28061,30645,28661,14524,3766,227205
SOSR321,..,171,86,32,41,57,29,9,0,425,..,110,147,66,133,262,173,58,15,971,..,109,239,228,454,1031,1140,853,308,4353,126,206,160,98,119,165,188,97,23,1186,0,4,8,5,5,5,3,4,0,33,8038,4187,4548,5145,5986,6892,5767,2773,696,44035,..,97,2494,4883,6112,7490,7145,3176,434,31832,..,942,2478,1969,1838,1493,800,216,32,9774,..,167,701,1021,1029,579,325,256,125,4200,16498,..,..,..,..,..,..,..,..,16498,..,2983,..,..,..,..,..,..,..,2983,..,2835,1117,509,438,224,29,0,0,5152,..,506,261,137,266,411,404,282,141,2412,..,311,214,106,130,125,87,30,6,1008,..,217,316,156,282,492,385,141,23,2016,..,251,547,596,1153,2169,2361,1525,463,9067,256,387,312,219,263,331,369,197,31,2370,7,7,19,6,7,7,8,0,0,59,16759,8702,8450,9596,11526,13326,11918,5834,1263,87374
SOSR322,..,57,42,11,22,15,13,0,3,157,..,80,47,31,68,129,81,25,4,469,..,69,123,116,232,523,574,410,143,2192,69,96,60,45,60,105,92,44,13,586,0,0,8,0,3,3,0,0,0,14,3453,1722,1991,2018,2472,3241,2663,1286,312,19166,..,56,893,1669,2272,3433,3176,1466,184,13151,..,479,1211,817,854,734,418,106,8,4620,..,93,392,472,431,248,149,133,67,1983,6889,..,..,..,..,..,..,..,..,6889,..,987,..,..,..,..,..,..,..,987,..,1096,516,234,177,100,19,0,0,2129,..,266,125,62,104,161,164,104,48,1044,..,106,100,45,65,32,35,6,5,394,..,139,111,84,150,284,215,64,10,1062,..,153,307,353,646,1274,1312,757,227,5034,139,183,141,116,131,204,179,94,23,1213,0,0,7,0,3,3,7,4,0,36,7036,3570,3803,3851,4826,6472,5667,2744,585,38547
SOSR331,..,826,516,257,274,267,206,72,25,2450,..,388,445,268,535,941,722,218,36,3559,..,363,558,597,1449,2909,3234,2153,653,11916,635,1004,689,381,494,835,914,424,131,5512,6,27,36,10,18,21,26,3,0,149,34710,19413,17968,23355,30277,32408,24571,10481,2250,195432,..,670,12645,27394,37447,42199,34359,14151,1821,170683,..,3092,8385,7118,8058,6899,3248,830,70,37688,..,345,1741,2883,3496,2078,1270,966,545,13330,70716,..,..,..,..,..,..,..,..,70716,..,16435,..,..,..,..,..,..,..,16435,..,13710,5871,2497,1916,921,150,3,0,25076,..,1375,649,425,787,1533,1938,1495,701,8898,..,1536,1169,634,738,724,532,209,44,5592,..,776,1093,707,1232,1979,1671,567,70,8102,..,827,1668,1995,4220,7578,7787,4485,1223,29779,1306,1887,1490,880,1049,1630,1903,798,202,11135,22,41,91,29,38,43,46,10,3,329,72036,40694,34817,44557,58970,65587,52911,23515,4675,397766
SOSR379,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,..,2294,2316,550,317,218,113,22,16,5845,..,5825,6384,1531,1402,1723,1236,388,98,18587,..,2242,6714,5958,7569,13921,17398,14912,8600,77308,1317,2148,1844,1033,915,1065,762,411,206,9700,26,58,108,60,80,204,184,50,5,782,99528,70337,85463,81711,75726,74075,62770,36667,14251,600521,..,2236,53952,93016,83740,80351,70706,37488,8305,429781,..,9733,37526,20803,15565,11289,5580,1517,211,102225,..,1124,6532,13657,16930,10476,4612,2945,2088,58353,202027,..,..,..,..,..,..,..,..,202027,..,61622,..,..,..,..,..,..,..,61622,..,36671,24607,7326,4992,2874,487,17,0,76975,..,7059,5814,1965,2099,3832,3636,2111,1302,27823,..,4745,5511,1630,983,723,359,70,27,14051,..,12467,16314,4532,3640,3837,2622,837,177,44423,..,4395,14834,14394,18044,25908,27514,20675,11610,137370,2698,4033,4009,2487,2119,2011,1433,687,309,19796,59,141,212,130,169,293,324,87,21,1436,204788,144227,169316,159933,148275,141594,117260,66441,24056,1175897
SOSR412,..,122,74,28,13,9,8,5,0,261,..,243,193,60,112,132,85,24,6,856,..,263,507,375,715,1228,1433,1435,665,6631,158,226,133,78,94,107,82,32,18,928,0,0,7,3,3,6,5,0,0,26,8366,5490,5974,5722,6221,6000,4863,3224,1011,46859,..,181,3694,5785,6270,6530,5667,3174,591,31890,..,1255,3270,1701,1434,993,366,116,19,9161,..,174,879,1335,1532,751,289,177,103,5235,16995,..,..,..,..,..,..,..,..,16995,..,4070,..,..,..,..,..,..,..,4070,..,3435,1373,432,296,144,25,0,0,5703,..,419,237,101,127,218,244,142,78,1566,..,248,207,81,72,39,24,7,0,673,..,492,506,178,250,278,183,58,17,1960,..,477,1242,1040,1617,2380,2328,1931,956,11971,302,441,313,229,218,201,140,51,29,1918,0,0,15,7,4,10,11,0,0,50,17298,11189,11750,10892,11823,11542,9263,5654,1788,91190
SOSR413,..,109,91,30,20,19,6,5,3,291,..,196,212,84,93,134,121,51,9,897,..,233,383,250,570,1220,1581,1400,809,6442,120,176,136,98,99,132,104,40,19,924,3,0,0,6,0,7,5,0,0,25,7058,4352,4551,4589,5338,5774,6015,3691,1297,42662,..,115,2459,4308,5168,5932,6979,4331,819,30117,..,973,2378,1549,1419,1046,599,165,39,8172,..,164,685,1021,1197,651,317,228,123,4390,14103,..,..,..,..,..,..,..,..,14103,..,3278,..,..,..,..,..,..,..,3278,..,2502,1101,471,378,188,31,0,0,4683,..,429,217,116,167,233,251,132,80,1634,..,230,200,99,76,73,27,10,5,717,..,391,493,217,197,279,243,97,22,1936,..,430,916,726,1351,2349,2608,2033,1121,11533,259,344,296,218,214,236,188,75,24,1863,0,7,8,3,3,5,7,3,0,51,14366,8871,8743,8735,10177,10991,11255,7075,2247,82470
SOSR414,..,26,18,9,4,11,4,0,0,79,..,55,71,18,37,58,35,20,0,286,..,43,97,108,189,413,647,559,270,2325,34,46,38,20,30,34,28,15,5,248,5,0,0,0,3,3,0,0,0,9,2365,1396,1580,1695,1774,2010,2465,1480,440,15200,..,37,1053,1749,1783,2109,2984,1774,319,11805,..,333,883,492,447,361,263,92,11,2867,..,31,158,337,426,190,82,56,49,1323,4743,..,..,..,..,..,..,..,..,4743,..,1101,..,..,..,..,..,..,..,1101,..,874,374,123,94,51,11,0,0,1527,..,93,68,26,24,70,72,47,25,431,..,65,58,36,26,21,13,3,0,217,..,114,193,95,84,113,72,35,3,711,..,100,251,264,441,769,996,811,381,4002,64,85,86,52,61,69,59,30,10,515,5,4,7,3,3,5,0,0,0,24,4808,2830,3129,3172,3380,3751,4545,2847,798,29261
SOSR415,..,123,84,28,29,24,12,5,4,309,..,155,231,71,129,169,120,60,9,947,..,211,453,324,713,1393,1797,1826,993,7711,138,210,146,79,101,159,124,47,28,1033,0,4,5,10,3,6,6,0,0,43,9253,4978,5945,6048,6732,7461,7296,4563,1567,53836,..,176,3655,6344,7114,8377,9160,5036,1029,40897,..,1106,3390,1973,1709,1479,837,240,30,10762,..,130,734,1238,1305,649,308,231,161,4743,18481,..,..,..,..,..,..,..,..,18481,..,3932,..,..,..,..,..,..,..,3932,..,3221,1307,461,369,211,54,3,0,5636,..,409,272,110,153,284,251,174,95,1744,..,242,238,90,76,79,39,9,5,779,..,381,566,228,300,369,255,119,22,2234,..,440,1077,955,1700,2884,3192,2642,1369,14260,279,391,354,218,224,300,221,92,35,2115,3,11,34,22,12,16,5,0,5,106,18759,10440,11613,11634,12963,14649,14335,8550,2739,105690
SOSR421,..,31,18,6,8,6,6,4,4,78,..,36,71,31,30,58,52,21,3,301,..,49,116,62,177,387,514,456,249,2006,36,73,35,31,33,40,45,19,7,322,0,0,0,0,0,3,0,0,0,7,2414,1350,1508,1576,1798,2236,2096,1155,390,14522,..,63,944,1707,1944,2623,2660,1267,249,11460,..,243,810,519,477,463,231,70,6,2814,..,22,157,258,327,165,71,55,46,1107,4840,..,..,..,..,..,..,..,..,4840,..,1075,..,..,..,..,..,..,..,1075,..,802,334,115,75,51,15,0,0,1393,..,127,80,20,36,92,68,51,24,489,..,55,44,18,21,22,13,4,4,171,..,93,139,71,73,112,98,40,15,636,..,129,288,232,453,794,988,698,359,3933,84,120,73,71,69,87,89,33,11,635,0,0,3,0,0,3,0,0,0,11,4928,2729,2871,3007,3469,4408,4230,2216,703,28572
SOSR422,..,15,5,3,0,6,0,0,0,30,..,23,27,8,19,42,26,7,0,152,..,26,49,52,136,256,315,260,111,1201,26,40,20,22,27,32,21,11,5,209,0,0,0,0,0,0,0,0,0,3,1328,717,849,853,1034,1474,1274,677,180,8396,..,71,571,813,973,1587,1610,802,131,6560,..,163,442,288,330,317,199,46,3,1796,..,27,117,181,199,125,55,34,22,748,2665,..,..,..,..,..,..,..,..,2665,..,457,..,..,..,..,..,..,..,457,..,487,242,92,74,36,6,0,0,933,..,133,58,43,53,63,52,25,16,448,..,33,11,13,11,18,5,0,0,94,..,43,41,19,57,89,59,18,4,330,..,65,156,154,365,627,689,440,178,2673,59,71,43,54,66,64,47,21,8,426,0,0,0,0,0,0,0,0,0,3,2721,1557,1685,1649,2123,2929,2725,1386,354,17130
SOSR431,..,178,122,47,39,39,21,8,0,460,..,95,117,70,155,247,156,46,12,895,..,114,180,194,454,1018,1150,808,309,4233,178,271,196,117,157,175,175,84,33,1377,0,6,10,0,5,5,5,0,0,38,11339,6172,5576,7418,9606,10708,8158,3331,776,63083,..,206,4128,9147,12397,14483,12111,4800,664,57938,..,840,2754,2308,2697,2513,1162,252,23,12557,..,83,401,723,1086,663,344,233,152,3680,23094,..,..,..,..,..,..,..,..,23094,..,5681,..,..,..,..,..,..,..,5681,..,4659,1984,684,472,253,36,0,0,8092,..,412,214,106,173,338,343,297,156,2025,..,340,277,121,110,126,66,26,3,1057,..,221,350,209,333,532,358,106,18,2121,..,328,645,750,1616,3070,2968,1637,517,11525,371,529,434,275,300,339,332,146,40,2767,0,29,55,20,12,3,6,5,0,146,23467,13322,11230,14344,19203,22318,17724,7502,1577,130687
SOSR479,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,..,2815,2886,857,512,408,180,52,22,7744,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2182,3119,2662,1575,1430,1688,1439,768,369,15227,117,142,247,146,175,428,381,101,30,1764,181979,114072,141479,143653,127302,111674,89363,48284,17520,975321,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4394,5807,5617,3790,3225,3085,2491,1255,519,30184,234,249,471,317,349,673,654,195,47,3191,373970,231372,271466,276821,245264,213261,169248,90197,29735,1901339
SOSR511,..,124,89,43,25,12,10,5,0,304,..,180,206,69,89,105,83,37,5,777,..,134,279,253,470,817,945,773,399,4069,107,162,111,62,57,80,74,28,15,698,3,5,4,4,3,6,4,7,0,37,6925,3989,4444,4806,4758,4360,3544,1963,657,35448,..,143,2772,5080,5148,4956,4178,2122,401,24801,..,972,2323,1263,992,777,346,92,9,6764,..,122,577,1059,976,372,194,127,84,3520,14121,..,..,..,..,..,..,..,..,14121,..,2833,..,..,..,..,..,..,..,2833,..,2380,747,312,188,112,31,0,0,3760,..,315,222,91,101,178,167,99,52,1223,..,249,214,109,68,39,18,7,3,708,..,365,478,190,209,222,166,55,7,1691,..,305,758,718,1028,1446,1467,1082,536,7337,221,295,243,156,130,145,123,56,21,1384,5,9,14,10,7,12,6,3,0,72,14348,7973,8355,8985,8847,8247,6688,3639,1114,68201
SOSR512,..,199,119,41,29,31,12,3,0,422,..,294,284,103,125,187,93,33,4,1132,..,297,521,385,819,1330,1567,1300,729,6952,183,245,194,131,133,209,136,77,27,1333,4,5,10,6,5,8,16,5,0,54,10527,5974,6598,7046,7400,6938,5637,3308,1181,54604,..,214,3995,7036,7545,7435,6429,3436,770,36859,..,1664,3657,2320,1899,1365,604,169,34,11705,..,181,811,1439,1427,703,307,218,119,5207,21169,..,..,..,..,..,..,..,..,21169,..,3815,..,..,..,..,..,..,..,3815,..,3593,1208,458,347,185,40,4,0,5838,..,649,336,175,206,317,322,186,92,2271,..,385,307,133,105,75,31,15,0,1045,..,646,755,302,303,375,191,79,15,2673,..,591,1271,1126,1753,2554,2622,1881,987,12771,381,472,415,330,270,369,259,122,42,2658,14,8,15,6,11,23,16,4,5,107,21567,12210,12762,13330,13862,13386,10822,6111,2066,106110
SOSR513,..,100,115,35,29,19,4,0,0,296,..,130,267,99,85,77,36,7,0,711,..,172,402,249,356,478,390,285,99,2435,112,153,194,115,116,235,223,83,13,1232,3,8,23,0,5,3,12,0,0,58,7035,2973,5092,4867,3670,2863,1681,770,198,29139,..,91,2878,5046,3880,2959,1649,668,97,17272,..,838,3112,2048,1257,698,186,39,0,8192,..,102,478,757,615,294,135,69,32,2475,14198,..,..,..,..,..,..,..,..,14198,..,1866,..,..,..,..,..,..,..,1866,..,1673,516,190,105,45,8,0,0,2533,..,411,212,114,133,186,135,73,29,1300,..,200,253,83,75,51,8,0,0,670,..,274,571,239,224,189,96,21,5,1626,..,359,949,762,936,1076,716,453,146,5396,235,289,355,241,230,402,450,179,24,2407,4,12,43,14,7,5,15,3,0,99,14440,6122,9359,9497,7459,5913,3396,1507,334,58030
SOSR514,..,48,49,18,10,8,4,0,0,131,..,73,102,33,39,53,23,10,0,328,..,32,83,105,207,326,392,274,147,1566,44,50,37,25,22,21,24,17,10,252,0,0,3,3,0,5,0,0,0,13,2555,1118,1457,1902,1754,1566,1415,724,240,12732,..,34,746,1771,1668,1626,1692,812,126,8480,..,252,870,674,486,304,158,34,0,2779,..,15,164,367,415,157,75,45,37,1280,5169,..,..,..,..,..,..,..,..,5169,..,872,..,..,..,..,..,..,..,872,..,716,266,100,65,40,11,0,0,1205,..,112,57,29,27,65,58,38,19,407,..,79,110,52,28,23,9,0,0,294,..,152,281,94,106,100,48,21,3,819,..,81,192,275,415,596,697,398,202,2859,102,90,79,65,67,54,54,22,10,545,0,0,8,3,0,3,0,6,0,19,5266,2412,2773,3442,3268,2966,2812,1380,407,24727
SOSR515,..,113,80,30,24,13,13,9,0,280,..,155,252,66,94,131,90,25,8,831,..,196,388,304,524,914,1082,857,451,4723,127,188,149,84,107,193,209,76,23,1158,0,3,16,0,5,10,3,3,0,48,7989,3914,5235,5270,5079,5130,4317,2194,746,39871,..,180,3080,5173,5098,5407,4793,2368,468,26559,..,1107,3090,1993,1548,1188,565,155,24,9666,..,128,626,957,952,457,244,136,88,3586,16318,..,..,..,..,..,..,..,..,16318,..,2431,..,..,..,..,..,..,..,2431,..,2397,758,338,260,122,22,4,0,3897,..,456,237,132,167,265,223,122,58,1673,..,240,217,88,64,53,34,7,0,709,..,311,555,209,233,299,205,63,13,1896,..,428,969,829,1390,1923,2051,1349,638,9579,250,342,341,240,271,320,389,141,34,2322,3,16,39,5,7,18,14,4,0,105,16574,8028,9916,9955,9992,10044,8543,4349,1330,78732
SOSR521,..,31,27,11,6,15,7,0,0,99,..,35,82,16,63,65,41,24,4,322,..,76,152,119,242,457,462,384,163,2064,63,66,69,56,54,62,50,16,6,443,0,4,9,0,0,0,4,0,0,17,2997,1558,1922,2014,2128,2311,1917,983,281,16110,..,98,1036,1756,1904,2285,2206,1007,198,10488,..,407,1025,672,644,597,274,75,3,3708,..,62,281,438,407,213,136,99,27,1665,6113,..,..,..,..,..,..,..,..,6113,..,860,..,..,..,..,..,..,..,860,..,998,370,196,152,66,4,0,0,1793,..,284,147,89,113,144,127,55,29,991,..,63,65,40,30,38,21,3,0,259,..,86,149,76,109,153,104,41,8,721,..,176,336,323,615,1004,981,651,248,4333,147,145,124,125,99,125,106,33,15,924,0,3,11,4,0,0,4,0,0,24,6263,3178,3536,3725,4082,4631,3964,1966,527,31873
SOSR522,..,16,12,0,4,9,5,0,0,35,..,18,28,14,25,43,31,10,3,164,..,57,84,74,108,240,243,179,69,1063,39,65,44,35,31,39,34,11,4,294,0,0,5,0,0,0,0,0,0,9,1860,1066,1129,1096,1084,1295,1040,529,147,9250,..,117,617,911,978,1219,1201,604,118,5764,..,278,636,449,362,279,133,49,10,2192,..,64,194,234,214,156,70,39,21,981,3678,..,..,..,..,..,..,..,..,3678,..,428,..,..,..,..,..,..,..,428,..,643,232,115,79,26,6,0,0,1104,..,267,123,89,84,106,77,35,15,794,..,29,30,5,14,11,3,0,0,98,..,33,63,34,57,88,60,20,8,363,..,101,198,202,344,582,593,340,113,2479,85,120,78,61,59,79,67,12,3,581,0,6,8,0,0,0,0,0,0,6,3768,2093,2178,2098,2186,2548,2214,1106,284,18479
SOSR531,..,188,160,71,68,64,35,22,7,611,..,108,153,76,136,191,146,52,0,869,..,163,265,216,481,956,984,663,221,3948,247,322,271,176,183,254,240,107,54,1857,5,13,17,6,5,10,7,4,4,63,11535,5964,5845,8045,10121,10856,7751,3176,751,64047,..,193,3858,9333,12746,14609,11515,4491,616,57375,..,846,2864,2570,2911,2496,1125,260,22,13092,..,83,410,850,1021,620,350,253,146,3734,23525,..,..,..,..,..,..,..,..,23525,..,4871,..,..,..,..,..,..,..,4871,..,4602,1798,699,478,235,39,0,0,7852,..,548,239,150,207,382,494,369,235,2626,..,335,341,151,171,154,108,41,7,1327,..,219,391,215,300,426,353,126,8,2044,..,427,771,777,1539,2580,2554,1351,378,10373,519,621,511,372,359,471,474,204,81,3614,11,17,41,14,10,21,18,6,3,141,24061,12773,11223,15137,19744,22012,17029,7105,1495,130583
