SOSR_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR101,121710,68946,42939,24239,8765,1746,380485,1927,15919,19915,17451,13447,9764,3103,590,82119,66004,261513,217355,142512,94634,58049,23170,6689,869928,27412,70968,80468,75866,57215,35252,15880,5155,368213,38385,84130,78900,77415,66475,39718,20846,6726,412596,5211,5282,5795,6187,5670,3521,1273,333,33266,4033,7219,10284,14761,15750,12474,6240,2137,72907,47633,96628,94978,98367,87887,55712,28362,9204,518767,2020,5651,6073,5135,4956,4610,2819,996,32259,33881,56072,47053,34999,30661,27660,24598,19416,274343,183661,614105,587561,443266,331741,215282,106697,43800,2526109
SOSR102,10810,8100,6328,4529,1515,268,41365,399,2867,3754,3484,3352,2905,793,145,17695,7727,32275,29230,21850,15173,11898,4748,1138,124034,3863,12766,16018,17844,15134,10481,4615,1221,81940,15970,32950,30905,31307,30216,19670,10020,3022,174063,2300,1879,1737,1828,1881,1413,521,118,11677,1152,1567,2161,3512,4410,4274,2163,622,19867,19429,36400,34803,36654,36506,25357,12695,3762,205604,342,572,695,801,1011,1193,806,274,5694,6987,7894,7449,7206,7621,8746,9488,7126,62509,39173,102151,102767,95929,85126,65106,34662,13932,538847
SOSR111,1281,966,740,515,172,29,4842,64,513,627,604,574,504,140,21,3048,872,4733,4549,3286,2168,1921,740,182,18449,578,2473,2833,2964,2622,1827,789,204,14285,3263,7794,6638,6025,5417,3445,1584,413,34575,472,524,393,340,316,251,72,14,2383,211,328,373,522,699,673,331,92,3231,3943,8642,7405,6888,6429,4366,1984,522,40188,46,96,114,123,110,182,133,40,845,1349,1678,1555,1380,1445,1508,1624,1024,11562,6903,19223,18367,16200,14089,10820,5576,2026,93209
SOSR112,3950,3249,2828,2295,966,246,17689,163,1270,1598,1684,1671,1560,520,80,8544,2554,12991,11424,9035,7221,6246,2860,823,53158,1439,5522,6383,7090,6969,5525,2717,887,36541,8125,18097,15254,14380,13944,9513,4715,1351,85381,1234,1314,916,921,953,745,275,69,6426,568,862,979,1466,1934,2071,1156,356,9375,9921,20276,17153,16761,16833,12328,6137,1774,101181,151,326,291,344,430,613,437,194,2785,5504,6418,5460,5091,4703,5134,5326,3642,41269,19911,50780,46256,43250,40656,33693,18969,7649,261173
SOSR113,1136,917,912,839,300,56,5138,42,424,585,587,684,659,218,26,3227,700,4226,3972,3305,2875,2881,1176,319,19446,529,2231,2846,3129,3232,2689,1238,302,16201,3430,8177,7183,7248,7328,5170,2507,656,41701,508,568,424,434,532,415,94,31,3003,220,407,439,631,927,990,504,176,4300,4159,9149,8049,8312,8794,6576,3107,863,49003,56,122,135,143,231,278,216,73,1256,2220,2720,2401,2335,2495,2815,2678,1763,19418,7739,19823,19119,18720,19230,16746,8923,3396,113694
SOSR114,1419,1073,994,782,301,55,5929,61,501,740,721,714,752,213,30,3734,1043,5228,5029,3867,3078,2829,1285,324,22671,645,2626,3075,3314,3243,2973,1442,408,17721,3879,8766,7778,7572,7886,5581,2745,764,44977,539,572,436,440,527,387,137,38,3073,262,397,469,759,1040,1053,572,169,4718,4677,9741,8687,8771,9449,7020,3453,970,52768,51,121,124,170,187,306,223,89,1277,2305,2742,2584,2508,2862,3204,3039,1840,21076,8842,22197,21656,20429,20522,17863,9949,3710,125171
SOSR115,1843,1751,1808,1674,560,87,9224,83,653,927,1087,1279,1243,311,43,5619,1180,6475,6643,5723,5176,4935,1932,461,32526,830,3242,4362,5004,5575,4621,2021,501,26149,5117,11902,11112,11094,11951,9029,3981,1033,65219,685,771,612,637,782,670,214,36,4403,317,519,689,965,1480,1571,846,221,6616,6118,13188,12416,12698,14211,11270,5041,1288,76232,77,160,205,203,344,444,323,86,1835,3379,3659,3633,3830,4388,5062,4556,2539,31040,11706,28847,30032,30289,32773,29240,14747,4997,182634
SOSR121,550,546,559,478,168,17,2641,19,153,278,321,379,362,77,10,1599,284,1596,1923,1920,1714,1427,408,69,9344,212,804,1253,1532,1601,1284,437,84,7210,1351,2891,3079,3476,3599,2607,949,189,18147,190,192,175,188,237,170,57,6,1223,89,127,179,292,468,454,173,33,1817,1634,3218,3435,3953,4301,3238,1180,235,21195,22,36,46,77,111,135,62,22,509,866,808,868,904,1131,1396,968,457,7398,3055,6932,8356,9243,9790,8320,3307,903,49893
SOSR122,253,279,302,267,81,9,1371,4,85,113,172,205,183,30,5,799,169,776,860,838,946,706,234,31,4562,101,381,530,765,908,646,215,36,3586,657,1494,1486,1717,2001,1398,446,70,9265,87,93,83,100,142,90,21,4,631,48,63,82,168,221,222,71,13,897,791,1657,1652,1986,2365,1712,547,89,10784,16,14,21,30,53,69,34,8,236,604,588,649,828,971,966,583,203,5391,1689,3662,4088,4886,5752,4548,1726,373,26727
SOSR131,2858,3673,3835,3084,970,125,16251,96,766,1415,2036,2263,1915,370,39,8907,2206,9152,11763,13055,11367,9217,2697,432,59901,1353,4212,6593,9920,10445,7366,2530,424,42845,8039,14937,16881,20661,21376,12957,4641,799,100295,1047,894,980,1279,1493,887,225,40,6838,578,706,1122,2075,2911,2488,927,155,10961,9664,16537,18984,24020,25776,16327,5789,989,118091,141,215,284,409,644,661,389,79,2822,6479,5891,6776,8096,9458,8576,4935,1510,51725,20027,38407,48669,61212,63787,47152,17683,3599,300541
