SOSR_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SOSR312,133,2531,206,0,2868,150,2189,186,0,2518,330,4472,415,6,5213,519,4304,452,14,5294,751,4627,431,3,5821,890,5143,368,12,6412,787,5284,332,12,6416,457,3024,278,6,3763,112,878,135,0,1120,4122,32452,2788,60,39427,139,2371,191,0,2694,177,2046,140,0,2366,620,4362,388,8,5381,1011,4227,365,6,5607,1272,4570,325,5,6176,1569,5124,324,5,7021,1146,5328,313,6,6794,519,3430,334,6,4289,77,1409,245,0,1729,6525,32863,2638,43,42066,270,4900,394,0,5565,328,4237,326,4,4888,952,8835,798,16,10597,1530,8539,820,23,10901,2027,9196,762,8,11997,2459,10263,690,22,13432,1934,10616,646,18,13209,973,6449,609,16,8050,186,2287,381,6,2859,10651,65321,5428,101,81494
SOSR313,230,4701,445,0,5380,219,3996,479,68,4761,564,9113,1163,142,10981,886,7880,963,62,9796,1036,7496,883,21,9436,1118,7439,836,26,9414,917,6866,695,12,8493,481,3656,361,10,4508,110,969,135,3,1220,5572,52114,5959,341,63991,221,4241,351,0,4811,287,4218,394,35,4934,1110,9474,917,92,11595,1771,8225,763,26,10778,1817,7559,647,12,10041,2002,7558,667,20,10245,1314,6911,609,29,8858,581,3852,403,12,4846,94,1561,246,0,1906,9195,53593,4991,220,68002,448,8939,800,7,10191,498,8216,877,96,9694,1676,18590,2072,232,22568,2661,16102,1725,86,20574,2856,15051,1535,38,19472,3121,14992,1498,40,19657,2233,13775,1303,39,17347,1061,7508,759,22,9352,204,2529,382,3,3125,14767,105708,10954,562,131990
SOSR314,225,4512,567,0,5310,189,3837,679,104,4808,551,8797,1642,433,11424,970,8203,1449,137,10756,1179,8480,1356,30,11039,1209,8029,1114,18,10370,949,7204,830,15,9004,517,3923,524,3,4964,125,1113,209,0,1444,5919,54090,8374,739,69123,247,4240,489,0,4973,273,3737,452,51,4516,1041,9032,1134,131,11338,1671,8290,922,27,10908,1990,8071,877,22,10961,1995,7728,690,10,10425,1426,6966,681,24,9093,608,4111,530,3,5246,80,1739,394,3,2218,9327,53910,6166,279,69683,476,8749,1056,9,10286,462,7575,1135,152,9327,1591,17828,2773,567,22766,2639,16486,2367,169,21660,3173,16552,2233,46,22000,3206,15752,1807,28,20794,2383,14166,1512,39,18100,1120,8030,1053,4,10210,202,2852,602,3,3665,15247,107999,14538,1017,138801
SOSR315,358,6276,781,3,7424,318,5382,1013,79,6788,851,12113,2911,278,16153,1383,11593,2476,79,15530,1839,12589,2371,27,16823,2167,14053,2179,46,18441,1859,14305,1652,20,17831,971,6881,866,13,8729,183,1723,347,0,2255,9929,84909,14598,544,109971,412,5884,736,4,7035,416,5317,685,31,6453,1527,12627,1612,167,15939,2566,11648,1360,44,15616,2977,12052,1385,16,16429,3688,13594,1483,40,18805,2677,13155,1373,19,17221,970,6671,945,12,8598,142,2570,575,0,3290,15373,83517,10161,338,109388,769,12159,1519,12,14461,736,10704,1694,107,13237,2376,24743,4529,445,32088,3948,23239,3840,125,31146,4811,24636,3754,45,33248,5851,27646,3660,82,37241,4535,27458,3021,35,35051,1939,13548,1815,27,17329,326,4300,926,6,5549,25298,168424,24753,876,219358
SOSR321,144,2324,354,0,2823,102,1841,332,19,2288,302,3761,826,99,4980,508,4076,754,19,5361,837,4932,710,8,6488,974,5963,649,11,7598,877,6130,638,11,7656,381,2958,356,5,3701,67,540,87,5,696,4184,32517,4717,173,41593,144,2106,299,6,2546,169,1701,234,13,2123,545,4019,513,59,5127,981,4215,487,16,5701,1310,4807,515,10,6641,1660,5775,565,10,8011,1109,5402,574,12,7097,349,2539,343,3,3239,43,736,111,0,890,6308,31298,3645,120,41373,284,4431,654,6,5370,278,3539,570,29,4414,845,7774,1337,152,10110,1488,8292,1243,41,11060,2148,9739,1228,19,13135,2633,11736,1213,22,15605,1983,11534,1215,19,14748,727,5500,701,10,6942,106,1280,194,3,1584,10492,63822,8357,296,82962
SOSR322,54,851,140,0,1047,52,854,113,4,1029,168,1824,270,54,2316,220,1824,285,13,2333,317,2278,342,4,2939,464,3370,424,4,4264,386,3572,386,14,4355,184,1539,200,7,1932,31,246,57,0,334,1866,16352,2226,101,20548,58,772,113,0,940,72,837,109,5,1019,270,1832,240,21,2358,387,1730,235,7,2355,520,2127,249,3,2898,738,3104,368,10,4218,504,2970,328,9,3809,163,1255,173,4,1595,28,308,61,0,400,2734,14926,1885,52,19601,109,1623,260,0,1989,127,1688,224,8,2048,437,3654,512,75,4675,599,3549,518,13,4691,835,4410,592,3,5833,1200,6473,795,17,8487,888,6538,715,24,8168,351,2794,371,13,3525,62,547,118,0,733,4602,31278,4107,157,40152
SOSR331,665,11712,1691,9,14072,551,8851,1854,164,11420,1392,17498,4839,556,24278,2538,20658,4935,239,28372,4117,26719,5350,97,36287,5185,30924,4666,50,40822,3652,27761,3237,61,34702,1482,12028,1507,17,15041,258,2089,323,0,2674,19845,158235,28400,1186,207676,700,10757,1399,6,12865,629,7684,1140,87,9544,2229,16610,2709,226,21775,4212,19660,2687,66,26627,6755,24346,3168,48,34321,7892,26772,3200,44,37907,4708,22184,2524,46,29466,1397,9245,1193,14,11855,194,2006,287,0,2492,28731,139258,18321,545,186853,1373,22465,3085,16,26935,1189,16539,2996,245,20966,3624,34103,7554,783,46059,6749,40320,7626,304,55002,10880,51066,8516,147,70611,13076,57693,7870,92,78733,8361,49942,5762,112,64173,2884,21270,2699,38,26888,459,4096,612,3,5166,48581,297493,46721,1732,394529
SOSR379,0,0,0,0,8,0,6,5,0,8,0,24,40,6,69,3,29,74,6,107,0,32,45,0,77,0,7,16,0,26,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,9,102,187,17,317,0,3,4,0,6,0,3,4,5,9,0,9,12,7,35,0,3,3,0,7,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,10,65,0,8,10,0,11,0,5,8,5,18,0,30,57,15,102,3,28,77,6,114,0,31,45,0,79,4,14,16,0,34,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,10,121,220,24,380
SOSR401,1531,32718,1572,53,35872,2213,38047,1942,73,42285,5436,78041,4560,227,88267,8273,69765,3865,159,82056,10779,61696,3262,151,75880,12192,55600,2598,152,70541,8033,46908,2133,168,57243,4012,26595,1657,60,32322,1231,10272,1000,19,12519,53709,419637,22581,1059,496985,1739,30828,1437,42,34043,2740,36039,1728,56,40562,8394,76828,3914,190,89325,13169,68305,3326,138,84941,17124,58463,2678,131,78403,19524,54554,2346,244,76664,11861,51114,2316,247,65531,4852,32887,2375,71,40191,893,18072,1792,25,20777,80293,427088,21909,1148,530439,3270,63545,3010,92,69913,4960,74088,3670,132,82852,13832,154864,8473,418,177588,21444,138064,7189,297,166999,27910,120157,5936,284,154288,31717,110148,4944,400,147206,19891,98021,4451,415,122775,8860,59483,4029,132,72511,2121,28343,2789,42,33295,133999,846724,44486,2208,1027419
SOSR412,154,2706,177,0,3039,156,2639,151,3,2952,401,5429,355,13,6198,605,4626,308,7,5547,842,4847,330,5,6021,955,4681,260,0,5898,596,3872,213,11,4696,333,2138,185,0,2661,97,772,112,0,976,4146,31699,2097,43,37982,149,2566,146,0,2862,216,2502,148,0,2869,663,5305,314,7,6288,1072,4643,281,9,6010,1408,4832,257,7,6501,1507,4512,256,6,6286,893,3993,226,4,5115,387,2886,283,0,3563,55,1227,215,0,1507,6354,32470,2134,42,41002,304,5269,323,0,5899,371,5140,302,3,5824,1062,10736,672,21,12486,1680,9267,595,17,11553,2251,9680,586,10,12526,2468,9193,514,10,12190,1490,7866,441,19,9815,721,5029,472,0,6220,151,2002,330,0,2485,10501,64174,4226,82,78984
