SOSR_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SOSR413,110,2268,195,4,2578,145,1947,246,0,2341,281,4009,761,10,5067,460,3777,637,14,4893,737,4199,476,14,5427,925,4494,425,8,5842,800,4591,313,7,5704,465,2995,223,5,3691,124,929,115,5,1177,4051,29211,3399,62,36721,125,2126,165,0,2422,175,1942,131,0,2247,574,4016,295,7,4896,815,3805,291,8,4917,1258,4128,313,6,5703,1511,4391,291,9,6198,1229,4912,308,9,6463,490,3250,272,6,4012,83,1578,158,3,1823,6253,30150,2224,49,38676,236,4396,364,7,5004,320,3891,374,4,4590,860,8028,1058,20,9963,1274,7583,927,18,9802,1992,8328,792,17,11126,2431,8886,713,14,12047,2023,9500,623,15,12164,950,6242,499,8,7702,212,2509,271,8,2997,10304,59358,5619,112,75396
SOSR414,40,717,45,0,799,42,611,36,3,694,120,1438,78,4,1639,168,1312,82,6,1569,212,1424,76,0,1722,284,1503,79,0,1868,292,1846,96,0,2237,183,1206,98,0,1481,49,350,46,0,443,1396,10405,626,22,12445,47,669,34,0,759,47,626,26,0,693,182,1402,83,8,1671,303,1383,83,0,1769,385,1408,66,3,1862,527,1527,77,3,2133,463,2053,112,0,2628,185,1314,124,0,1620,36,550,60,0,645,2170,10939,657,15,13781,89,1390,77,0,1557,86,1240,58,3,1387,301,2840,154,12,3309,468,2697,166,3,3340,597,2832,143,0,3582,810,3030,153,6,4001,753,3894,206,0,4860,365,2519,217,0,3103,87,900,104,0,1089,3565,21348,1285,35,26233
SOSR415,125,2670,273,0,3071,148,2469,206,50,2875,414,5419,409,266,6504,585,5149,420,106,6256,853,5569,508,32,6965,1153,6396,521,12,8086,955,6537,477,6,7971,481,3695,387,0,4570,160,1222,178,3,1563,4874,39125,3388,477,47861,163,2409,229,0,2798,174,2205,117,8,2504,678,5351,414,28,6466,1072,5039,385,12,6503,1471,5421,395,7,7300,1909,5886,402,13,8213,1381,6249,504,11,8145,549,4269,412,4,5235,113,2110,281,3,2505,7508,38945,3134,88,49678,288,5084,502,4,5872,319,4677,326,57,5379,1087,10764,825,297,12976,1660,10183,802,122,12768,2327,10995,910,36,14264,3064,12286,921,28,16290,2334,12782,977,15,16116,1037,7968,802,9,9808,268,3336,461,3,4067,12374,78076,6521,564,97536
SOSR421,37,692,82,0,807,39,611,55,0,705,102,1321,116,6,1534,171,1293,149,3,1615,282,1476,145,0,1898,345,1959,164,0,2470,290,2000,168,0,2457,125,985,131,0,1241,37,351,63,0,452,1426,10671,1071,13,13180,32,658,83,0,779,48,574,47,0,665,187,1323,111,0,1621,299,1293,114,0,1700,427,1401,118,0,1951,566,1785,133,5,2498,404,1805,157,5,2363,160,1048,121,0,1327,24,573,115,0,711,2143,10457,1000,16,13612,71,1352,166,0,1583,83,1181,100,4,1368,285,2644,224,4,3163,470,2588,263,5,3316,712,2878,267,0,3852,917,3746,300,7,4966,690,3802,323,5,4819,290,2029,252,0,2566,59,921,181,0,1164,3573,21128,2074,20,26795
SOSR422,42,396,60,0,497,36,368,30,0,436,80,766,90,0,936,98,721,83,0,909,158,969,126,0,1251,229,1335,169,3,1741,216,1381,190,0,1793,88,647,90,0,830,21,151,33,0,202,971,6741,876,9,8588,33,337,55,0,423,38,301,35,0,375,126,736,82,0,950,172,685,82,0,939,234,826,114,0,1173,366,1214,165,4,1744,258,1124,154,0,1540,86,578,96,0,757,14,193,31,0,236,1329,5990,812,5,8138,77,726,115,0,913,73,663,71,5,809,209,1504,171,0,1886,274,1408,170,0,1847,396,1791,242,0,2423,596,2550,341,3,3484,476,2505,342,4,3331,172,1226,181,0,1584,30,347,64,0,440,2296,12729,1688,18,16726
SOSR431,198,3800,439,6,4445,191,3078,430,38,3738,488,6059,1155,130,7828,828,6913,1261,64,9068,1432,8912,1303,25,11668,1982,10520,1221,7,13719,1250,8825,872,13,10961,476,3674,453,5,4611,82,675,104,5,865,6924,52445,7234,296,66900,224,3314,400,5,3942,215,2535,234,14,3000,638,5229,554,23,6449,1315,6247,529,11,8098,2300,7535,746,18,10591,2938,8251,801,10,12000,1532,6964,669,11,9174,456,2815,369,3,3641,53,681,123,0,854,9671,43571,4422,88,57752,423,7112,846,13,8389,402,5616,666,58,6734,1129,11288,1709,153,14280,2142,13156,1784,73,17164,3727,16446,2046,34,22253,4918,18767,2019,15,25719,2777,15788,1542,27,20137,935,6485,821,12,8252,135,1355,224,3,1723,16593,96014,11660,386,124656
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40
SOSR501,2412,55421,2817,63,60713,2823,56805,3702,190,63523,6887,122025,9018,548,138475,10904,121475,7945,388,140711,13908,103772,6074,372,124118,14735,87040,4491,397,106670,10310,69758,3545,342,83955,5042,37171,3019,118,45355,1543,11828,1975,28,15374,68557,665295,42598,2453,778901,2738,52532,2764,67,58103,3740,55759,3154,187,62845,11247,129355,7866,478,148949,18434,124348,6703,242,149730,24015,102768,5094,262,132138,25526,85885,3941,513,115861,15914,73166,3830,446,93356,6008,42704,4001,140,52848,1180,19824,3528,45,24582,108809,686352,40875,2380,838412,5145,107960,5577,129,118813,6570,112569,6855,379,126375,18133,251386,16889,1024,287428,29336,245828,14650,632,290440,37922,206541,11163,635,256255,40264,172925,8437,910,222529,26227,142922,7381,788,177310,11049,79869,7021,267,98207,2723,31650,5510,78,39957,177360,1351640,83472,4837,1617314
SOSR511,86,2095,118,4,2300,74,1693,160,0,1932,221,3701,450,14,4384,396,3839,412,9,4653,474,3699,320,6,4504,590,3427,229,5,4253,409,2766,194,0,3372,197,1471,116,3,1790,41,433,89,0,561,2494,23125,2091,44,27749,128,2099,101,0,2329,103,1653,93,0,1860,389,4030,276,7,4706,748,4048,216,4,5014,923,3844,204,6,4978,1054,3356,174,7,4597,604,2927,168,3,3701,243,1707,174,7,2128,44,721,182,0,949,4246,24378,1593,41,30255,212,4188,220,6,4627,181,3347,257,3,3786,613,7731,723,26,9091,1142,7887,622,8,9666,1394,7548,525,9,9478,1649,6781,407,14,8854,1016,5687,361,11,7074,444,3183,285,3,3920,84,1155,270,0,1511,6737,47501,3680,89,58003
SOSR512,157,3231,331,0,3724,127,2789,337,13,3265,315,6116,957,26,7421,544,5931,908,15,7405,769,5953,743,8,7470,923,5857,689,21,7488,616,4877,483,8,5986,353,2631,284,9,3271,124,865,144,4,1137,3920,38259,4881,110,47164,166,3030,289,3,3485,159,2657,282,7,3096,600,6130,657,28,7419,1083,6043,634,6,7765,1356,6146,521,11,8038,1552,5674,522,11,7767,954,4899,469,14,6334,457,2956,344,5,3763,100,1435,231,4,1766,6435,38961,3946,84,49428,321,6258,618,3,7209,288,5447,610,15,6364,918,12243,1617,56,14837,1629,11977,1540,19,15166,2119,12103,1261,22,15506,2477,11536,1213,39,15253,1574,9776,952,23,12323,810,5587,631,12,7037,225,2298,379,10,2902,10356,77221,8826,192,96591
SOSR513,73,1654,303,0,2029,62,1505,393,14,1978,224,4727,1287,82,6316,395,5024,1411,45,6867,367,4311,1285,21,5979,348,3644,1027,29,5045,202,2544,446,12,3203,85,1013,201,4,1294,21,178,37,0,231,1766,24598,6379,199,32940,72,1449,266,4,1793,81,1461,319,23,1882,392,5056,1039,59,6542,576,4562,797,12,5948,530,3488,686,4,4707,528,3087,574,15,4202,323,2298,359,18,3003,118,897,160,0,1173,16,272,47,0,330,2635,22565,4243,131,29578,145,3102,575,5,3815,141,2969,708,40,3860,619,9779,2323,137,12858,971,9580,2211,51,12809,895,7793,1968,25,10684,877,6735,1599,39,9248,521,4850,802,32,6210,204,1910,355,7,2466,36,446,83,0,563,4403,47159,10623,332,62518
SOSR514,43,721,96,0,856,25,510,59,8,596,83,1263,176,28,1549,119,1476,157,23,1768,173,1379,156,5,1708,194,1293,134,3,1625,164,1324,104,0,1593,88,598,75,0,760,20,161,46,0,221,891,8729,997,62,10676,23,633,69,0,729,30,421,59,0,510,151,1361,132,3,1649,267,1643,157,3,2074,333,1460,141,5,1934,333,1338,121,5,1793,256,1254,101,0,1607,98,638,93,3,834,17,262,61,0,340,1507,9009,935,20,11464,68,1355,165,0,1589,52,931,113,8,1106,228,2625,312,30,3194,387,3115,311,23,3836,498,2841,299,3,3643,528,2630,254,6,3414,420,2576,209,0,3198,187,1239,163,3,1591,34,419,110,0,561,2399,17734,1938,77,22147
SOSR515,121,2164,370,3,2656,87,1979,334,101,2503,324,4981,910,116,6329,483,4811,869,48,6208,556,5092,907,22,6586,696,5212,761,12,6681,523,4949,559,14,6038,270,2297,317,4,2890,72,599,135,0,808,3128,32090,5155,320,40698,122,1977,346,0,2447,122,1832,325,30,2307,498,5148,765,66,6480,768,4764,730,15,6277,932,4524,654,9,6116,1122,4915,591,22,6649,798,4605,493,15,5912,302,2162,341,3,2808,49,824,227,0,1099,4718,30745,4459,160,40084,244,4138,718,4,5104,213,3815,658,128,4808,825,10130,1679,181,12807,1252,9577,1597,57,12491,1494,9618,1557,32,12696,1815,10125,1351,34,13327,1319,9552,1049,28,11946,566,4466,656,8,5698,120,1426,357,4,1904,7845,62836,9613,480,80781
SOSR521,51,793,134,0,975,43,770,162,7,983,137,1875,517,21,2552,183,1862,496,8,2557,248,2053,565,0,2863,319,2467,495,4,3281,259,2248,352,0,2866,109,980,189,0,1281,32,241,43,0,317,1390,13288,2957,51,17680,63,753,132,4,946,57,681,127,7,877,229,1892,359,31,2504,341,1792,322,11,2462,406,1867,312,9,2592,482,2189,371,5,3045,342,1922,307,4,2581,126,908,196,0,1226,15,344,63,0,423,2063,12343,2183,67,16650,115,1541,262,4,1925,100,1454,292,20,1866,363,3771,879,52,5059,518,3656,823,20,5022,649,3920,878,10,5453,806,4653,865,8,6325,607,4172,661,9,5446,236,1884,382,0,2507,53,584,109,0,738,3446,25631,5139,118,34335
SOSR522,54,482,83,0,620,54,500,64,3,621,125,1173,184,22,1503,172,1077,204,0,1447,192,1149,222,0,1563,190,1407,232,0,1832,158,1409,240,0,1806,71,618,105,0,796,12,128,39,0,179,1034,7941,1367,28,10373,45,448,90,0,587,82,510,72,11,671,171,1091,149,21,1436,241,965,132,7,1350,240,982,132,6,1365,296,1314,202,3,1810,229,1150,196,4,1580,80,505,109,0,685,10,146,46,0,198,1411,7108,1121,47,9688,96,938,172,0,1204,136,1005,130,12,1292,300,2268,332,45,2939,416,2039,336,3,2802,433,2135,355,6,2920,495,2721,434,0,3646,387,2556,439,5,3386,155,1121,215,0,1481,23,269,81,0,373,2441,15045,2494,79,20052
SOSR531,220,4013,566,3,4807,228,4090,1570,59,5940,566,10375,5476,174,16591,990,11522,5513,100,18116,1575,13270,4966,64,19874,1881,13714,3609,48,19251,1176,10593,1495,28,13287,450,3889,531,5,4877,94,658,93,0,840,7181,72117,23815,483,103590,195,3511,479,3,4197,212,2944,635,47,3843,678,7151,1574,113,9515,1271,8028,1366,28,10697,2210,9346,1516,12,13079,2781,10352,1354,22,14508,1450,8132,944,14,10535,390,2992,411,0,3797,59,680,74,4,818,9238,53137,8359,251,70987,422,7523,1048,7,8998,443,7031,2204,111,9785,1240,17519,7047,290,26105,2260,19550,6878,126,28811,3784,22616,6483,74,32959,4652,24061,4965,75,33753,2629,18723,2437,40,23823,839,6881,938,12,8679,146,1339,166,5,1662,16417,125255,32169,733,174575
SOSR579,0,8,7,0,14,3,46,28,0,81,11,222,193,24,459,29,465,416,37,945,30,427,374,53,896,23,234,196,24,473,3,69,41,0,119,0,11,0,0,15,0,0,0,0,0,105,1492,1256,143,3002,5,3,3,0,8,0,20,15,0,37,7,57,28,3,94,0,30,20,7,55,7,30,22,0,57,7,43,29,3,86,5,43,14,0,61,0,10,5,0,17,0,0,0,4,3,23,242,123,16,405,5,6,10,0,19,6,69,43,0,121,11,278,223,33,549,31,492,432,37,999,38,459,399,61,951,33,280,220,29,560,9,115,54,0,178,0,22,6,0,32,0,0,0,4,3,129,1727,1382,164,3410
SOSR603,228,4872,287,0,5386,322,5626,353,53,6359,998,15079,1093,139,17311,1090,10535,758,42,12417,1488,8989,583,21,11078,1777,8349,468,19,10611,1209,7524,443,22,9198,640,4167,342,7,5165,175,1443,165,4,1787,7929,66602,4484,300,79311,272,4575,268,6,5120,428,5476,314,9,6227,1443,14662,852,28,16985,2001,10472,599,10,13073,2540,9040,438,20,12046,2938,8573,418,38,11972,1935,8266,494,22,10716,807,5316,462,13,6599,144,2616,308,4,3070,12500,69009,4145,154,85810,496,9452,550,6,10503,755,11101,667,69,12586,2435,29741,1940,169,34293,3089,21006,1347,51,25494,4030,18032,1017,34,23122,4713,16928,887,56,22581,3139,15794,937,44,19915,1449,9484,808,14,11761,319,4067,464,7,4857,20434,135604,8626,456,165114
SOSR611,121,2131,155,3,2404,133,2458,219,44,2852,397,5529,436,10,6366,464,4014,247,10,4740,593,3854,234,3,4684,614,3612,213,8,4441,452,3052,198,5,3711,254,1895,155,0,2304,73,624,87,0,782,3100,27167,1937,85,32293,129,2130,119,5,2379,184,2287,194,4,2670,584,5164,320,39,6107,824,4018,203,11,5054,1075,3967,201,13,5249,1153,3588,202,8,4950,743,3454,217,5,4427,327,2364,219,0,2914,77,1181,140,3,1399,5103,28160,1816,74,35156,250,4257,272,8,4786,313,4750,411,47,5521,980,10691,755,46,12473,1291,8034,453,20,9793,1667,7816,432,10,9935,1773,7202,414,8,9388,1203,6510,416,15,8144,582,4263,377,3,5220,146,1805,224,3,2182,8202,55328,3757,159,67450
SOSR612,57,1174,82,0,1310,72,1141,72,6,1295,172,2516,197,13,2889,252,1903,140,12,2301,366,2089,158,4,2615,415,2090,149,0,2659,307,1913,139,9,2366,179,1206,129,0,1518,54,366,58,0,472,1867,14392,1123,32,17422,80,1130,75,0,1285,111,1151,64,0,1325,364,2441,161,13,2978,510,1985,136,3,2631,589,2145,129,0,2865,721,2227,127,3,3080,493,2122,142,3,2759,170,1381,158,0,1715,24,662,98,0,785,3054,15252,1089,33,19424,132,2306,163,0,2602,182,2290,135,9,2619,536,4957,357,23,5863,758,3891,277,16,4938,953,4236,290,4,5482,1133,4322,279,6,5738,801,4039,276,7,5119,348,2587,283,6,3226,75,1032,153,0,1256,4915,29645,2208,69,36845
SOSR613,14,306,27,0,353,20,270,21,0,306,51,518,27,0,593,76,464,45,0,584,86,575,32,0,690,134,670,29,0,833,127,628,49,0,809,63,414,42,0,526,21,139,24,0,184,586,3987,301,4,4875,13,323,21,0,358,29,269,20,0,322,85,545,27,6,654,114,513,29,0,654,193,592,27,0,806,250,708,29,0,990,178,714,44,0,935,82,518,52,0,654,9,250,19,0,278,937,4431,277,3,5659,28,628,53,0,714,48,540,36,0,625,129,1059,52,6,1244,191,977,76,0,1238,275,1163,62,0,1500,381,1379,60,0,1823,301,1338,99,0,1740,150,940,96,0,1183,27,390,43,0,461,1525,8423,574,6,10535
SOSR614,13,387,39,0,436,22,379,27,0,427,59,800,61,4,924,103,747,68,0,917,122,727,59,0,908,173,956,72,0,1208,121,808,64,0,993,77,405,34,0,517,10,119,13,0,142,702,5329,437,7,6471,25,371,46,0,449,28,353,28,0,410,126,825,58,0,1006,201,718,61,0,985,223,763,60,0,1045,276,856,56,0,1190,180,839,65,0,1087,74,542,46,0,666,12,178,30,0,215,1157,5447,452,7,7055,39,756,88,0,881,49,732,56,0,833,185,1620,120,5,1933,310,1464,127,3,1899,345,1488,116,0,1958,455,1819,123,0,2402,304,1652,129,0,2085,149,949,84,0,1177,26,291,41,0,361,1860,10770,891,8,13527
SOSR615,80,1523,126,0,1733,87,1380,103,11,1578,242,3225,203,27,3695,318,2727,197,15,3266,511,2840,183,0,3537,607,3330,197,9,4138,573,3395,269,0,4239,298,1870,197,3,2369,63,571,118,0,754,2771,20872,1594,70,25307,102,1287,119,0,1504,119,1391,77,5,1588,471,3252,197,13,3939,620,2790,183,3,3595,860,2920,199,0,3978,1067,3282,212,0,4571,817,3523,246,3,4596,291,2307,283,4,2889,51,947,168,6,1169,4390,21713,1687,43,27830,174,2815,242,0,3233,209,2774,178,7,3167,707,6478,396,44,7630,940,5516,380,19,6856,1367,5763,383,7,7521,1671,6611,416,9,8710,1391,6913,515,8,8829,599,4181,481,3,5258,112,1520,286,7,1930,7165,42582,3279,109,53136
SOSR621,22,442,60,0,535,29,419,41,3,494,66,999,81,17,1163,112,1011,74,10,1219,198,1109,95,0,1406,244,1361,107,0,1712,204,1304,102,0,1618,98,706,74,0,875,21,164,17,0,202,1004,7516,657,36,9210,10,419,33,0,469,18,379,19,0,420,129,978,74,9,1188,204,946,66,3,1217,298,1046,77,0,1422,392,1329,90,4,1818,256,1226,110,4,1594,95,643,86,0,826,13,223,26,0,265,1425,7185,583,18,9216,40,865,97,0,1002,50,802,55,8,916,198,1976,151,21,2351,319,1956,141,11,2432,496,2155,175,3,2829,636,2684,201,3,3527,458,2531,212,5,3208,191,1345,154,0,1699,34,385,48,0,463,2429,14702,1237,55,18429
SOSR622,13,169,20,0,198,14,161,20,0,188,34,349,29,0,410,43,357,19,3,422,98,454,34,0,590,120,645,55,0,815,86,682,69,0,831,41,293,47,0,378,4,61,31,0,99,451,3168,320,6,3941,13,171,23,0,204,10,136,16,0,165,35,350,25,0,415,98,327,33,0,461,120,450,37,0,606,192,588,44,0,820,100,587,51,0,738,38,270,53,0,352,0,88,37,0,138,605,2973,320,0,3901,23,342,36,0,403,27,294,39,0,356,70,698,56,0,820,141,682,49,3,884,215,910,75,0,1194,314,1231,92,0,1636,188,1265,122,0,1575,72,561,98,0,732,13,153,75,0,235,1060,6137,638,7,7841
SOSR631,158,2677,286,0,3123,126,2088,158,9,2381,354,4442,385,34,5210,623,4950,411,13,5993,963,6176,478,13,7630,1344,7490,560,7,9405,945,6359,515,3,7827,369,2536,259,5,3167,49,472,68,5,591,4926,37195,3120,89,45324,160,2351,227,0,2746,157,1813,151,3,2118,549,4277,378,16,5219,1093,4901,393,7,6385,1612,5741,411,3,7761,2052,6466,483,4,9014,1090,4984,414,0,6485,330,1929,214,0,2469,39,462,66,0,565,7081,32911,2739,41,42774,318,5027,517,0,5864,280,3901,313,12,4502,898,8722,762,47,10426,1715,9844,800,23,12382,2574,11915,892,20,15396,3399,13959,1048,15,18414,2037,11344,926,3,14315,696,4464,470,3,5638,87,932,135,4,1154,12002,70105,5862,124,88099
SOSR679,0,0,0,0,0,0,8,0,0,9,0,29,25,3,58,0,40,24,3,67,10,32,22,0,71,7,35,20,0,63,0,22,0,0,25,0,3,0,0,4,0,0,0,0,0,23,165,99,8,296,0,4,0,0,4,0,3,0,0,6,0,9,3,0,13,0,9,3,0,16,5,11,4,0,18,0,13,3,0,11,4,5,0,0,9,0,0,0,0,0,0,0,0,0,0,9,50,12,0,75,0,5,0,0,5,3,13,0,0,15,0,38,29,3,69,0,46,30,4,78,14,42,31,0,90,7,46,25,0,77,3,26,0,0,33,0,6,0,0,3,0,0,0,0,0,36,217,115,13,374
SOSR703,145,2877,380,89,3492,165,3756,748,1096,5770,573,9952,1859,505,12888,780,8035,1447,153,10412,791,6499,1228,68,8585,635,5734,1016,72,7457,432,4372,705,32,5539,174,1518,233,7,1928,31,278,54,0,364,3729,43016,7677,2027,56444,191,2766,373,12,3331,176,3417,489,114,4207,931,10681,1532,167,13310,1216,8302,1182,46,10752,1197,6246,979,24,8441,1100,5354,879,73,7408,666,3881,581,44,5167,178,1431,236,8,1858,25,337,73,8,448,5680,42412,6330,491,54913,336,5639,750,99,6828,346,7178,1240,1217,9975,1500,20632,3390,675,26196,1999,16344,2626,199,21165,1987,12740,2204,84,17025,1740,11084,1901,144,14864,1097,8249,1287,77,10705,355,2946,473,24,3789,57,622,129,6,809,9410,85430,14006,2519,111361
SOSR712,23,647,77,0,743,9,549,71,5,641,120,1926,249,20,2318,153,1706,194,10,2056,121,1317,173,0,1617,118,1357,191,9,1669,91,913,164,5,1165,27,276,41,0,339,0,51,7,0,55,665,8724,1165,50,10603,31,617,84,0,729,57,584,73,0,715,184,2294,248,19,2737,244,1679,209,5,2137,229,1392,189,3,1810,234,1372,211,7,1835,119,885,159,3,1165,46,284,44,4,375,5,96,19,0,120,1153,9204,1230,43,11630,56,1262,154,0,1474,66,1134,143,13,1350,306,4218,497,35,5054,393,3384,407,10,4199,351,2710,364,6,3426,355,2732,400,21,3507,206,1794,321,7,2328,67,557,80,8,715,6,144,27,0,180,1812,17926,2393,96,22232
SOSR714,16,112,41,0,167,10,177,46,6,244,28,483,116,5,629,30,358,106,0,492,29,283,89,0,397,26,331,86,4,449,32,246,52,0,323,7,86,14,0,110,0,10,6,0,16,175,2083,547,20,2823,6,101,42,4,155,19,185,40,0,241,48,549,106,0,701,46,341,86,0,476,43,325,105,0,472,59,335,83,8,485,29,209,35,0,267,3,49,9,0,72,0,15,3,0,20,266,2106,507,11,2889,26,209,83,4,319,34,366,86,6,489,71,1029,220,8,1329,80,698,188,0,970,76,605,193,0,869,86,663,168,13,935,52,455,86,0,598,12,142,30,0,178,0,26,10,0,32,434,4192,1055,29,5716
SOSR715,74,659,102,0,833,103,537,76,3,717,187,1163,237,7,1587,161,1051,185,0,1402,109,841,157,0,1103,82,615,128,3,830,36,289,59,0,384,8,69,12,0,87,0,6,3,0,10,755,5222,958,14,6945,73,589,69,0,726,122,533,62,5,720,229,1285,197,10,1730,210,1029,151,3,1392,141,866,96,0,1108,107,587,84,8,793,34,244,33,3,309,10,67,8,0,82,5,18,0,0,18,940,5206,704,26,6879,145,1246,169,0,1560,226,1067,136,0,1432,420,2447,432,18,3317,373,2074,342,8,2796,253,1702,252,3,2207,191,1200,215,8,1622,71,535,86,3,698,13,134,18,0,165,6,24,3,0,27,1692,10429,1662,43,13831
SOSR721,44,436,39,0,511,68,434,39,5,543,109,944,116,16,1182,95,755,102,3,954,86,674,101,0,865,68,568,97,6,732,24,349,64,6,437,6,85,17,0,109,0,8,0,0,12,501,4247,572,28,5346,57,418,35,0,511,57,472,45,0,577,146,1015,108,20,1297,151,748,74,6,975,125,661,75,3,865,103,632,102,4,835,33,315,59,0,417,7,64,10,0,76,0,17,0,0,17,693,4343,510,33,5577,100,850,73,0,1023,125,909,83,3,1118,258,1959,223,35,2483,247,1503,176,4,1932,212,1336,175,5,1726,174,1194,200,7,1572,63,660,120,5,851,14,147,21,0,189,3,22,0,0,24,1192,8586,1076,65,10920
