SOSR_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
SOSR614,6,9,17,15,17,12,8,0,0,76,203,304,669,706,712,616,132,10,0,3353,6,18,38,41,37,38,15,6,0,190,0,10,26,29,28,25,0,0,0,114,29,36,120,116,88,113,22,0,0,523,0,3,20,31,28,31,9,0,0,122,44,104,243,164,119,124,31,4,0,837,3,14,26,33,40,36,7,0,0,169,99,77,127,122,118,88,22,3,0,656,119,64,79,54,56,48,19,6,0,438,3,19,52,55,56,63,23,7,0,268,0,4,9,8,9,9,3,0,0,42,5,13,18,25,21,15,0,0,0,90,0,7,9,18,15,19,5,0,0,81,8,18,53,53,54,36,15,3,0,243,6,14,44,43,53,43,12,0,0,217,5,27,87,109,128,121,22,0,0,498,10,34,93,126,148,127,28,0,0,562,14,86,230,253,246,288,67,3,0,1187,8,10,32,23,24,26,8,0,0,117
SOSR615,19,32,60,60,68,43,28,9,4,314,712,1159,2794,2598,2886,2459,589,57,4,13265,56,134,346,267,223,216,87,21,0,1363,4,20,73,92,93,74,21,0,0,375,104,176,513,475,532,452,75,3,0,2327,0,21,91,111,102,86,12,0,0,422,163,336,709,493,467,403,88,7,0,2668,21,58,138,112,163,123,26,7,0,642,368,357,557,477,514,447,128,11,0,2857,416,233,354,239,258,241,61,7,0,1824,17,64,201,226,341,369,127,13,0,1361,5,26,47,49,45,40,9,0,0,223,7,28,113,112,102,56,11,0,0,433,7,29,68,44,50,46,23,3,0,275,24,72,247,212,174,153,54,9,0,959,7,59,142,171,193,161,43,4,0,776,12,62,296,381,402,332,73,3,0,1573,28,110,437,533,559,459,101,11,0,2256,50,288,938,798,920,941,233,17,0,4178,32,35,76,56,56,73,24,6,0,351
SOSR621,3,10,17,33,22,21,7,5,0,113,236,298,856,907,1072,979,238,25,0,4612,23,58,178,148,157,148,55,11,0,782,0,14,81,77,69,59,13,0,0,312,47,47,130,136,119,126,35,4,0,644,3,10,41,34,39,36,7,0,0,163,42,81,205,190,185,174,54,10,0,942,10,15,27,42,40,46,17,5,0,208,110,84,137,127,181,141,52,9,0,852,120,74,197,122,131,149,41,4,0,837,4,20,45,60,83,102,35,8,0,351,0,3,11,14,22,8,7,0,0,66,0,3,20,37,24,29,8,0,0,126,4,6,23,9,23,19,9,0,0,99,4,23,76,72,115,97,48,8,0,445,9,18,54,50,68,79,24,4,0,303,0,24,72,134,183,145,31,5,0,601,17,43,152,239,228,185,45,3,0,906,13,70,203,232,318,324,78,6,0,1237,13,17,22,30,32,31,11,0,0,158
SOSR622,0,5,3,8,18,12,9,0,0,55,100,113,284,317,414,465,106,10,0,1795,11,15,49,57,60,61,26,8,0,283,5,6,20,16,28,24,8,0,0,106,14,20,53,64,73,68,18,0,0,306,0,7,11,22,17,11,4,0,0,64,13,35,62,45,59,84,21,3,0,325,0,11,29,12,12,16,10,4,0,90,48,33,63,41,71,69,15,3,0,333,45,27,50,37,50,63,18,0,0,293,3,5,19,29,31,71,18,0,0,174,0,0,0,0,8,5,3,0,0,22,0,0,8,7,19,6,3,0,0,38,0,5,9,0,10,20,3,0,0,49,0,9,15,36,43,42,13,0,0,153,6,6,23,21,31,37,4,0,0,137,7,7,19,60,66,45,14,0,0,208,3,14,38,60,93,94,14,0,0,318,7,29,82,90,124,148,38,0,3,523,5,0,12,14,9,17,11,0,0,65
SOSR631,36,25,89,106,146,131,50,31,0,621,1277,1526,3725,4844,5802,5120,1249,188,10,23736,246,444,1156,1176,1353,1484,906,310,34,7109,3,44,159,182,189,182,35,5,0,802,155,251,569,721,875,801,192,21,3,3598,10,13,121,195,237,206,40,4,0,828,321,455,981,1035,1041,954,259,16,0,5066,56,81,160,237,306,273,70,5,0,1190,582,405,524,573,762,634,155,21,0,3655,699,317,508,421,467,458,159,16,0,3051,28,85,229,347,536,642,158,21,0,2044,12,16,55,67,92,90,27,0,0,354,6,40,118,167,146,109,22,4,0,610,16,30,76,90,117,104,60,12,6,505,49,108,357,524,559,470,202,32,0,2299,34,78,190,298,369,336,76,9,0,1385,23,101,408,625,889,729,120,4,0,2905,68,137,536,994,1132,991,239,8,0,4108,71,345,1017,1297,1715,1746,337,15,0,6543,79,63,115,159,178,197,62,5,0,866
SOSR679,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,6,3,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,5,29,40,42,23,7,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,17,18,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
SOSR703,62,121,325,226,155,107,39,7,0,1054,1512,2859,9567,7964,6246,4359,1132,91,7,33737,21,51,122,98,126,125,56,11,0,599,9,56,307,358,337,188,25,5,0,1283,71,122,374,412,403,266,79,9,0,1730,6,40,244,300,246,202,39,8,0,1075,171,405,1426,1365,1065,710,206,13,0,5363,27,74,253,265,253,200,58,9,0,1128,635,682,1387,867,713,542,194,23,0,5053,1022,720,1777,913,524,363,117,12,0,5453,59,204,791,656,629,577,163,16,0,3103,24,50,165,140,97,79,23,0,0,575,9,49,259,223,187,114,45,3,0,883,10,56,202,205,205,140,77,26,0,929,55,283,1221,1011,679,549,219,21,0,4048,49,168,542,480,453,302,83,8,0,2076,157,1358,3433,3173,2723,1680,360,21,0,12900,119,345,1251,1481,1286,999,259,16,0,5750,138,709,3324,2508,1641,1240,385,27,5,9971,145,223,496,286,200,137,56,3,0,1548
SOSR712,7,11,70,55,42,28,14,4,0,229,303,433,1969,1495,1299,1083,302,22,0,6904,3,0,13,8,16,28,11,0,0,79,0,4,20,26,10,13,0,0,0,70,16,21,67,65,44,47,15,0,0,278,3,4,35,31,35,46,10,0,0,168,43,73,267,219,156,143,44,5,0,939,7,16,47,64,28,40,9,0,0,207,183,120,275,151,104,117,53,5,0,1017,114,75,288,142,82,91,22,0,0,824,8,27,111,92,105,102,27,5,0,483,3,18,52,29,21,27,4,3,0,168,0,3,31,34,15,21,4,0,0,107,7,11,35,16,24,33,13,0,0,129,6,16,206,163,150,132,39,4,0,725,5,18,84,77,75,69,21,3,0,350,23,101,562,564,554,395,89,0,0,2293,61,57,282,282,288,259,72,8,0,1305,36,171,964,795,559,464,135,0,0,3143,35,27,85,66,60,35,19,4,0,332
SOSR714,4,3,15,9,12,10,0,0,0,56,58,141,476,294,262,242,54,3,0,1531,3,8,12,12,13,9,8,0,0,59,0,3,8,7,5,6,3,0,0,32,3,4,8,10,5,8,0,0,0,45,0,0,3,7,12,3,5,0,0,32,10,23,86,57,42,48,12,0,0,275,0,4,10,6,3,3,4,0,0,41,29,16,59,35,23,34,7,0,0,197,19,27,66,25,27,24,9,0,0,203,7,16,23,20,21,18,7,5,0,106,0,7,12,14,11,12,0,0,0,54,0,6,7,8,3,5,3,0,0,19,0,0,4,5,0,6,0,0,0,20,3,6,50,26,16,23,4,0,0,133,0,9,27,15,18,19,4,0,0,88,0,53,139,124,84,77,12,0,0,487,9,32,97,66,51,45,26,0,0,330,4,60,216,140,117,98,27,4,0,664,0,0,5,6,0,7,3,0,0,19
SOSR715,14,18,31,18,17,11,0,0,0,104,96,182,642,576,511,348,85,8,0,2448,0,4,13,8,5,13,4,0,0,43,4,12,53,114,94,49,0,0,0,317,9,3,25,24,9,7,0,0,0,76,0,0,8,12,8,11,0,0,0,42,9,21,75,79,55,51,20,0,0,311,0,0,4,4,0,4,0,0,0,16,37,35,102,83,56,47,22,0,0,381,26,17,54,37,41,21,11,0,0,199,6,9,25,31,30,17,3,3,0,130,0,3,0,3,5,3,0,0,0,12,0,0,10,7,0,6,0,0,0,24,0,5,5,3,4,8,0,0,0,32,0,6,26,24,17,17,4,3,0,90,0,12,18,24,18,24,5,0,0,106,19,46,185,168,162,100,40,3,0,712,17,57,204,182,171,108,30,6,0,775,16,62,280,264,212,189,52,6,0,1073,8,9,38,22,29,20,3,0,0,129
SOSR721,4,8,10,19,14,8,4,0,0,68,89,179,517,476,431,406,101,10,0,2211,0,6,15,16,12,17,12,0,0,85,4,6,58,91,77,57,3,0,0,295,4,5,16,14,12,11,0,0,0,64,0,0,8,10,16,14,0,0,0,55,14,28,49,82,53,44,10,0,0,281,0,0,0,6,0,9,4,0,0,29,27,25,60,64,61,41,9,0,0,284,49,98,185,98,67,59,6,4,0,569,7,18,37,36,24,22,16,5,0,165,0,0,13,3,5,11,0,0,0,34,0,0,3,14,7,10,0,0,0,39,0,0,4,5,3,13,4,0,0,27,0,3,25,29,17,29,10,0,0,116,3,14,33,29,27,28,15,0,0,148,12,37,145,153,154,117,37,0,0,655,13,38,129,130,135,106,31,4,0,588,8,24,121,109,116,135,33,0,0,543,7,18,52,25,22,21,5,0,0,147
SOSR722,4,3,10,16,7,14,0,0,0,64,50,112,356,357,372,345,86,4,0,1683,8,25,26,31,19,18,23,0,0,156,0,0,11,13,15,16,0,0,0,57,3,0,8,7,8,14,3,0,0,46,0,0,7,6,17,7,4,0,0,41,8,18,38,42,42,42,13,0,0,215,0,4,0,10,5,3,3,0,0,32,12,18,75,45,48,45,23,0,0,272,3,4,33,16,16,39,15,0,0,132,5,7,10,5,20,17,11,3,0,70,0,0,6,5,0,3,0,0,0,10,0,0,0,9,5,5,0,0,0,21,0,0,0,3,3,0,5,0,0,12,0,3,18,14,24,22,11,0,0,90,0,6,20,17,21,21,4,0,0,95,8,47,137,187,167,122,29,6,0,697,12,32,122,113,122,114,25,0,0,548,8,28,101,91,88,113,34,0,0,474,4,12,32,44,27,26,11,4,0,156
SOSR731,26,30,50,63,73,57,22,0,0,324,466,621,1614,1671,1940,1549,399,27,4,8293,164,333,449,285,287,294,134,32,5,1980,12,63,265,309,367,188,30,4,0,1234,39,57,95,90,123,110,37,5,0,543,3,9,37,58,70,67,17,0,0,268,72,123,397,461,485,402,92,8,0,2037,13,31,68,58,77,68,18,0,0,333,157,87,143,133,199,159,51,0,0,935,172,74,184,138,159,157,52,12,0,940,12,24,113,118,190,197,45,3,0,707,3,3,13,19,17,15,3,0,0,83,0,7,33,27,38,30,14,0,0,145,4,9,40,38,46,41,18,7,0,201,19,33,153,156,172,131,66,9,0,737,20,30,80,114,135,129,34,3,0,542,26,174,534,570,603,417,88,5,0,2419,42,82,233,332,360,324,70,5,0,1448,36,85,295,280,363,370,97,7,0,1534,22,45,103,85,88,60,35,0,0,441
SOSR779,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,3,9,15,7,6,9,3,0,0,48,0,0,3,10,23,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,16,0,0,6,3,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,12,0,10,14,16,17,13,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,5,3,4,5,4,0,0,0,14,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOSR802,94,229,631,422,284,152,50,13,6,1887,6831,13559,31985,29247,23479,13881,3178,294,29,122472,35,64,137,102,85,113,70,29,5,628,0,15,33,40,36,19,5,0,0,148,289,425,1038,817,865,501,159,29,0,4131,23,144,529,487,403,243,42,3,0,1879,770,2075,5089,3835,2682,1608,426,50,3,16547,71,235,423,441,398,309,81,9,3,1970,2890,3300,4255,2169,1625,1271,468,61,7,16045,4291,3530,4100,1876,1086,737,187,25,0,15837,91,364,1397,1147,1036,859,298,25,5,5220,97,316,975,995,800,407,89,18,4,3709,29,287,979,995,699,397,119,22,6,3527,71,354,830,658,503,385,152,39,11,2996,287,2593,7726,7257,5119,2980,962,137,9,27063,168,594,1775,1519,1195,915,285,33,3,6481,692,4645,17687,21403,18287,9224,1513,86,3,73542,1099,2239,5246,5679,4911,3128,872,97,8,23274,641,2928,8226,6735,5117,3648,1014,82,0,28391,677,779,1003,761,626,425,170,39,6,4473
SOSR822,0,0,0,0,0,0,0,0,0,0,14,15,20,38,44,25,10,0,0,166,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,3,3,4,15,7,6,0,0,0,45,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,0,0,0,15,6,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,11,14,3,9,0,0,38,0,0,0,0,4,0,0,0,0,6,0,0,13,32,25,15,0,0,0,87,4,0,9,12,17,8,0,0,0,39,5,9,0,7,15,0,3,0,0,34,0,3,0,4,0,0,0,0,0,5
SOSR831,0,0,0,0,0,0,0,0,0,4,7,20,48,26,21,28,9,0,0,156,4,7,4,4,7,8,10,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,9,10,3,4,4,5,0,0,36,0,0,0,0,3,0,0,0,0,3,4,0,0,0,3,5,0,0,0,13,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,3,0,4,6,10,4,0,6,0,0,26,0,0,0,3,0,0,0,0,0,9,16,32,42,13,9,3,0,0,0,111,0,0,8,8,7,3,0,0,0,26,0,4,9,0,6,0,0,0,0,22,0,4,11,5,3,0,4,0,0,27
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,0,3,0,0,0,11,22,13,63,89,80,57,21,0,0,346,0,0,0,0,0,0,0,0,0,7,0,0,11,21,26,18,9,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,8,5,0,0,22,0,6,18,8,19,15,4,0,0,73,0,0,4,4,0,0,0,0,0,11,0,0,5,3,4,7,0,0,0,25,5,0,4,6,6,8,4,0,0,26,0,4,16,5,9,7,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,3,5,12,0,0,0,21,4,0,3,9,14,11,3,0,0,42,3,10,60,61,54,28,21,0,0,234,0,0,17,9,15,7,10,0,0,50,0,0,0,11,0,6,4,0,0,36,12,0,5,4,4,4,0,0,0,30
SOSR921,0,5,0,3,3,5,5,0,0,22,26,31,62,84,107,135,63,15,0,522,0,0,3,0,3,7,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12,0,0,0,20,0,0,0,0,0,4,3,0,0,10,5,4,7,13,20,28,9,4,0,96,0,0,0,0,0,5,3,0,0,12,12,3,10,23,17,33,21,8,0,137,19,14,19,26,36,40,11,5,0,168,0,3,6,9,3,8,3,0,0,29,0,0,0,0,3,3,5,0,0,10,0,0,4,4,3,3,0,0,0,17,0,0,0,4,0,4,0,0,0,8,0,0,0,6,7,16,4,3,0,32,3,4,7,15,17,18,7,0,0,74,3,4,6,23,23,32,13,0,0,97,0,3,8,10,9,19,5,0,0,57,0,4,9,12,22,28,19,3,0,104,0,0,0,0,3,10,0,0,0,24
SOSR922,0,5,0,0,0,0,0,0,0,9,13,30,52,33,36,30,6,0,0,199,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,11,0,4,3,8,4,3,0,0,0,32,0,0,0,0,4,0,0,0,0,6,0,0,5,3,4,0,0,0,0,23,5,3,4,9,3,0,0,0,0,27,0,3,7,3,4,12,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,8,0,0,0,3,6,0,0,0,0,17,32,40,76,25,25,19,0,0,0,215,0,0,14,0,3,13,0,0,0,36,0,0,7,9,10,4,3,0,0,37,0,0,0,0,3,0,0,0,0,7
SOSR931,0,0,0,3,4,0,5,0,0,11,10,11,31,26,49,35,19,3,0,178,0,0,0,0,0,3,0,0,0,11,0,0,0,0,6,3,4,0,0,15,0,0,3,3,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,4,3,5,7,0,9,3,0,0,0,31,0,0,0,0,0,0,0,3,0,5,0,0,0,7,4,9,6,4,0,33,7,3,8,4,9,9,7,0,0,38,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,3,4,0,3,0,0,9,0,0,6,7,3,4,4,0,0,19,0,6,18,18,29,21,7,0,0,91,0,5,4,8,6,3,0,0,0,22,0,0,7,3,6,3,0,0,0,23,0,0,4,4,0,0,3,0,0,10
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
