SOSR_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SOSR101,394,1646,243,296,86,16,2683,94,3578,446,160,66,27,4367,766,20385,1945,1189,453,152,24891,1521,9924,3600,2142,505,118,17807,1962,4374,1405,2383,422,63,10613,6989,4736,1933,3426,1799,102,18985,30090,3693,1878,6853,1546,160,44220,104142,3790,1906,14551,2662,341,127397,114165,1477,689,13793,2131,235,132486,79807,398,239,8580,1099,126,90251,44700,139,99,5171,517,74,50696,23503,85,53,3161,286,37,27125,13031,31,18,1854,119,16,15064,24298,26,18,4058,259,41,28698,7700,3452,795,5417,1599,1415,20382,453150,57741,15259,73034,13540,2928,615655
SOSR102,73,480,71,102,36,10,761,25,891,74,57,25,8,1083,190,6767,393,484,199,46,8076,686,2877,959,878,435,51,5890,1047,1238,384,1059,205,33,3961,3000,1412,494,1553,433,41,6926,9374,1131,406,3182,477,56,14627,26052,1117,316,5442,665,67,33655,19906,290,91,3197,294,36,23821,8882,56,25,1206,97,16,10287,3214,19,4,449,40,8,3737,1218,9,0,216,31,8,1488,542,6,6,85,15,0,647,609,5,0,193,49,5,857,1203,997,222,943,392,281,4040,76018,17293,3447,19052,3395,659,119867
SOSR111,20,35,10,20,7,0,96,14,85,27,9,18,0,141,129,449,105,122,52,10,867,877,655,361,229,64,23,2195,620,222,93,279,52,8,1273,1544,355,161,448,306,17,2829,3355,315,137,785,113,20,4722,5630,250,100,925,79,20,6990,2825,35,21,313,53,0,3253,688,8,4,88,13,0,806,176,6,0,25,5,0,215,34,0,0,19,0,0,55,10,4,0,4,3,0,19,25,0,0,24,9,0,59,280,186,74,187,132,59,911,16228,2598,1091,3474,891,153,24436
SOSR112,41,145,70,64,40,7,369,33,295,77,43,37,7,486,282,1600,333,369,138,41,2770,1482,1629,1037,676,257,54,5137,1883,623,359,902,164,26,3951,4901,935,500,1404,405,57,8199,11253,743,428,2573,372,48,15406,14842,328,297,2617,319,47,18440,5870,44,52,792,100,14,6879,1432,10,7,220,34,0,1707,401,4,10,73,29,0,520,132,5,6,37,11,0,192,60,7,0,21,7,0,101,125,0,3,72,28,0,232,724,500,178,596,362,170,2525,43453,6861,3362,10467,2306,468,66921
SOSR113,19,64,25,39,40,3,186,17,85,36,24,36,5,201,110,720,171,203,99,15,1324,491,756,497,427,175,21,2374,645,298,151,491,109,19,1721,1702,478,227,734,387,29,3560,3874,423,187,1131,264,24,5898,5306,221,145,1074,214,29,6987,2455,30,24,431,78,5,3020,950,15,3,199,28,8,1189,445,0,9,110,13,0,576,159,0,0,62,25,0,243,97,0,0,40,11,0,147,177,0,0,112,22,0,314,311,216,77,304,224,69,1200,16764,3306,1539,5387,1716,229,28944
SOSR114,26,43,39,45,38,0,199,40,106,45,35,33,10,267,312,654,220,285,143,18,1637,1332,708,448,584,217,38,3324,1128,332,152,571,131,18,2337,2507,425,221,871,227,28,4276,4175,189,132,1237,218,18,5960,4706,114,80,1082,217,26,6224,2247,20,19,427,66,6,2790,901,5,0,172,23,0,1105,400,3,8,73,20,0,510,154,0,0,51,13,0,216,58,0,0,14,7,0,83,68,3,0,40,25,0,133,405,169,59,302,268,96,1294,18463,2766,1425,5793,1640,260,30344
SOSR115,54,127,58,90,237,9,565,47,111,54,62,96,3,377,378,496,289,508,270,29,1971,1139,648,414,1002,352,36,3598,1125,273,160,999,182,31,2768,2632,280,169,1290,291,24,4686,4391,159,79,1615,219,27,6485,5562,69,44,1418,193,19,7304,2834,12,3,592,50,0,3504,1135,3,4,279,25,5,1457,466,5,0,125,25,0,625,199,4,0,76,16,0,297,79,0,0,26,9,0,120,152,0,0,105,74,0,326,345,133,57,498,355,108,1494,20539,2327,1338,8684,2404,293,35580
SOSR121,6,25,4,28,58,0,121,7,16,24,19,20,0,86,63,52,41,131,58,8,350,128,108,101,227,84,13,658,128,22,29,234,49,0,456,311,23,13,251,78,11,691,636,15,12,371,47,5,1079,1017,9,3,373,33,3,1435,516,5,0,176,19,0,718,234,0,0,74,10,0,319,103,0,0,20,4,0,133,30,0,0,13,6,0,48,17,0,0,9,0,0,26,35,0,0,37,16,0,96,43,17,17,150,71,31,317,3273,284,239,2113,549,74,6541
SOSR122,13,32,15,22,77,0,147,0,6,15,20,11,3,51,38,24,34,135,65,12,307,105,57,67,190,47,3,478,93,21,31,182,33,0,366,197,22,18,178,51,0,471,253,8,11,183,18,0,474,325,7,6,159,24,5,524,150,0,3,59,13,0,230,80,0,0,23,4,0,107,31,0,0,17,8,0,53,22,0,0,7,4,0,36,6,0,0,5,0,0,14,35,0,0,23,18,0,72,41,18,33,120,60,10,283,1388,189,230,1325,440,39,3611
SOSR131,28,24,19,343,289,3,701,11,4,10,160,69,0,264,140,36,54,1057,331,23,1641,343,39,162,1240,350,20,2154,365,15,41,1224,286,11,1939,792,24,31,1409,325,21,2613,1540,3,18,1709,273,11,3552,2450,9,6,1582,240,20,4312,1549,5,3,849,124,6,2536,835,3,0,374,44,5,1263,550,4,0,195,20,3,770,297,4,3,125,24,3,454,150,0,0,46,8,3,207,268,0,0,165,54,3,485,224,28,47,1292,1338,85,3022,9541,184,401,11773,3784,220,25902
