SOSR_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR513,86,127,385,352,260,161,41,0,0,1421,86,162,399,437,346,237,67,19,4,1758,1807,2464,8803,9252,7540,5469,1408,154,6,36899
SOSR514,33,40,103,115,98,68,22,4,0,490,29,53,85,131,111,78,31,7,0,519,790,781,2279,2944,2782,2061,645,70,5,12359
SOSR515,124,181,382,310,304,246,61,8,0,1617,124,151,378,304,366,330,114,39,3,1809,2267,3091,8939,9051,9145,7942,2396,329,23,43179
SOSR521,42,47,112,93,114,98,28,0,0,532,52,64,120,127,152,157,67,20,6,770,739,1039,3021,3145,3476,3498,1049,148,16,16141
SOSR522,13,34,59,51,54,68,26,5,0,308,17,26,80,58,77,63,40,16,8,385,340,652,1729,1710,1842,1985,660,108,7,9040
SOSR531,224,264,507,592,630,568,175,12,0,2977,233,264,489,599,798,747,333,122,16,3611,4258,6316,16051,19113,22971,21014,7188,1373,147,98440
SOSR579,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
SOSR603,109,313,998,722,592,491,157,34,0,3424,92,216,729,427,410,293,107,30,8,2308,4177,8342,26065,20036,18112,13999,3930,450,32,95146
SOSR611,73,183,387,278,294,228,71,10,0,1532,57,113,259,201,178,148,43,11,6,1021,2179,3636,9296,7490,7564,5974,1564,147,23,37880
SOSR612,40,93,214,158,157,116,29,3,0,801,28,49,113,98,85,86,39,16,3,512,1211,1818,4231,3558,3806,3276,757,83,7,18748
SOSR613,6,25,43,38,36,37,9,3,0,193,4,16,24,23,32,30,8,3,0,140,341,442,929,922,1111,1040,237,32,4,5051
