SOSR_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SOSR101,881,958,817,1080,427,196,463,25598,13,15,638,985,1080,10149,13838,10377,4458,3122,1799,4020,915,92,802,52314,58,266,1191,1341,2516,2088,4366,4048,622,823,1032,1241,494,101,346,20523,1027,9649,11825,3038,1138,943,1678,2962,549,536,488,596,206,44,1702,36385,13,78,129,444,1464,2448,3253,1716,433,449,536,670,324,196,298,12461,9,4,49,1962,7270,9412,16516,6913,1460,1297,1348,1505,601,156,1146,49646,210,1322,7726,14082,11374,8301,7942,3501,725,828,756,853,440,212,2144,60411,48,229,1310,3351,7527,3643,6401,3892,1491,1745,1601,1482,516,135,759,34123,0,0,4,9,83,1308,12270,8333,3535,7156,12061,10028,2447,138,1048,58425,294,2015,729,471,492,515,927,594,181,156,196,221,95,44,211,7139,287,617,3024,7416,12126,15832,17162,9480,1644,1674,1781,1758,883,803,2414,76897,8,203,3286,3230,1601,1381,889,352,87,81,61,75,25,13,327,11615,4,15,86,377,1635,3110,6407,8228,2096,2235,2315,2206,1120,393,475,30697
SOSR102,51,85,36,45,34,3,18,966,0,0,16,19,8,65,102,241,89,26,26,73,11,8,14,681,13,95,347,319,415,253,543,428,25,24,13,24,11,5,59,2568,151,1857,1614,349,113,99,141,161,23,28,28,40,9,0,287,4893,6,17,17,33,91,184,270,154,34,28,38,38,28,12,22,981,0,4,7,56,240,260,719,307,64,42,57,55,17,5,40,1875,9,46,174,256,189,115,137,66,13,11,14,9,7,3,34,1088,14,34,172,270,327,156,284,197,70,84,96,87,47,8,50,1894,0,0,0,0,3,19,339,408,270,392,382,228,44,0,30,2116,198,1310,317,155,154,102,152,87,23,18,21,13,6,0,94,2655,93,192,1055,2563,3062,2515,2566,1113,206,180,145,205,105,94,473,14559,19,160,1866,1747,568,320,223,84,21,23,14,17,7,3,166,5235,0,6,4,20,38,63,239,444,127,136,163,159,67,8,20,1503
SOSR111,10,0,0,0,3,0,0,71,0,0,3,0,0,12,15,10,10,84,152,111,20,4,3,415,0,10,32,29,24,28,53,54,3,0,3,0,0,0,5,243,14,88,58,15,5,3,20,14,4,7,11,9,0,0,16,254,0,0,0,4,0,15,40,22,3,6,3,14,3,0,6,111,0,0,0,5,14,15,49,35,7,8,3,0,0,0,0,157,0,0,9,4,9,9,12,6,4,4,0,0,0,0,0,56,6,4,35,45,24,21,41,49,18,27,36,60,8,0,20,377,0,0,0,0,4,0,104,178,49,71,61,32,0,0,10,511,29,249,63,29,18,14,17,13,0,0,0,4,0,0,9,445,7,43,149,361,463,319,413,206,34,16,23,48,13,14,66,2174,0,0,10,4,3,0,0,0,0,0,0,0,0,0,0,22,0,0,3,8,5,6,27,84,27,15,18,5,4,0,0,207
SOSR112,12,16,27,26,5,4,28,344,0,0,15,6,3,18,63,54,129,119,316,626,103,0,31,1490,4,29,121,118,126,86,143,120,5,11,7,12,7,0,25,828,138,551,382,69,47,27,39,65,14,11,13,29,6,0,100,1501,4,3,10,23,38,45,90,27,12,13,16,8,6,9,8,318,0,0,0,17,45,49,162,140,21,22,28,38,12,4,30,567,4,13,55,39,21,25,18,18,8,0,3,8,0,0,45,266,3,10,63,97,100,41,134,118,78,94,81,78,24,8,30,976,0,0,0,0,4,18,456,543,333,454,401,293,58,9,36,2609,81,582,159,81,74,40,64,17,0,8,10,5,3,0,45,1165,77,147,562,1095,1146,932,954,484,50,62,76,98,51,24,301,6050,0,5,20,11,6,18,0,3,0,0,0,0,0,0,6,72,0,0,8,4,15,22,126,277,63,65,85,109,44,13,24,853
SOSR113,0,4,0,0,0,3,0,60,0,0,3,0,0,6,4,6,0,0,0,0,0,0,11,27,3,26,74,44,59,40,69,56,0,9,6,5,9,0,18,419,27,173,131,35,12,7,24,54,8,19,18,21,10,0,40,574,5,4,3,4,7,28,68,38,4,9,9,16,3,0,3,206,0,0,0,0,25,18,31,19,6,5,4,0,0,0,3,119,3,5,15,16,11,6,0,5,0,0,0,0,0,0,8,72,0,15,43,68,52,14,35,17,3,10,21,21,6,11,13,326,0,0,0,0,0,3,36,45,46,62,63,44,10,0,6,328,47,293,73,39,36,23,44,14,3,11,8,12,4,0,14,625,14,44,268,563,588,402,461,269,54,30,34,41,19,13,152,2952,0,4,28,20,5,4,3,0,0,0,0,0,0,0,0,62,0,0,3,0,5,4,23,27,16,0,8,8,3,3,0,108
SOSR114,4,4,0,4,8,0,5,100,0,0,3,0,5,14,15,24,0,18,3,8,0,0,6,95,6,23,60,53,55,34,85,63,5,7,5,3,5,0,16,413,37,188,137,26,11,12,15,38,7,12,14,6,3,5,32,557,0,5,6,0,8,24,42,29,6,3,11,20,0,0,7,164,0,0,0,5,14,17,60,19,4,6,15,14,0,0,0,158,4,6,25,31,15,12,17,14,0,0,0,0,0,0,3,118,4,8,26,40,33,21,49,39,27,46,51,41,18,0,13,418,0,0,0,0,0,5,92,89,55,78,60,49,15,0,0,446,48,332,92,38,34,28,33,18,3,4,4,3,5,0,24,667,32,47,248,587,635,455,460,228,41,34,30,24,30,18,154,3010,0,0,10,12,19,7,12,0,0,0,0,0,0,0,3,64,0,0,3,0,0,8,41,66,6,13,12,25,10,8,3,200
SOSR115,3,3,3,0,0,0,0,65,0,0,3,5,0,8,14,15,5,6,4,0,0,0,0,66,6,37,99,109,104,64,131,84,6,11,5,10,9,0,25,680,37,183,161,53,27,18,32,44,4,3,14,16,4,0,39,637,0,6,0,13,14,40,86,32,3,5,12,9,4,7,6,250,0,0,0,9,18,11,48,24,6,0,4,29,12,0,9,183,0,9,38,27,20,19,21,0,3,0,0,0,0,0,10,148,7,16,53,68,47,27,62,36,32,47,62,50,14,0,19,542,0,0,0,4,0,4,58,65,41,59,69,37,8,0,4,353,58,515,130,80,67,48,52,26,13,14,4,4,4,0,33,1054,27,75,427,884,959,635,591,285,41,24,50,43,27,21,201,4283,0,0,29,20,8,3,0,0,0,0,0,0,0,0,5,75,0,0,4,5,6,7,40,38,10,3,11,0,0,0,9,136
SOSR121,0,0,0,0,0,0,0,22,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,15,4,0,23,27,30,15,31,19,0,0,0,0,0,0,3,160,4,63,50,11,5,9,10,7,0,0,0,4,5,0,7,175,0,5,0,0,9,6,25,8,0,0,0,0,0,0,0,53,0,0,0,3,3,12,11,5,4,0,0,3,3,0,0,44,0,0,8,11,8,0,3,0,0,0,0,0,0,0,0,34,0,0,20,22,15,6,5,11,3,7,0,0,0,0,9,110,0,0,0,0,0,0,0,0,4,6,10,11,5,0,0,41,21,110,44,21,23,11,15,10,0,0,4,0,0,0,7,274,11,15,120,274,247,176,154,72,13,9,12,3,4,0,64,1162,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,5,3,0,0,3,0,0,0,4,25
SOSR122,0,0,0,0,0,0,0,8,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,4,9,11,14,10,14,12,0,0,0,0,0,0,3,79,3,33,41,7,0,0,3,0,0,4,0,0,0,0,6,99,0,0,0,0,5,3,7,5,0,0,0,3,0,0,0,28,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,19,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,18,0,0,15,5,14,5,4,0,6,5,15,3,5,0,3,82,0,0,0,0,0,0,0,0,6,0,5,8,0,0,0,16,4,41,15,22,12,5,9,6,4,0,0,6,0,0,0,122,3,13,54,158,184,88,79,23,3,11,4,0,0,4,33,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,10
SOSR131,0,5,3,0,0,0,31,265,0,0,28,25,19,70,31,22,5,0,3,4,0,0,16,236,3,33,128,164,193,117,159,103,8,17,13,25,9,4,31,1015,119,789,693,161,63,40,48,32,3,5,0,12,4,0,108,2084,4,13,8,21,36,42,84,37,6,6,12,15,7,3,17,309,0,0,0,21,42,77,49,15,6,8,8,18,3,0,14,264,9,36,188,243,217,126,114,32,9,12,4,4,5,0,57,1056,5,28,103,117,113,36,55,43,36,52,53,49,12,0,47,746,0,0,0,0,0,7,18,16,5,5,10,14,6,0,7,81,67,621,243,141,146,98,137,45,10,8,6,14,5,0,42,1586,38,125,586,1434,1537,960,889,321,52,36,39,52,27,35,441,6585,0,0,55,32,26,12,7,0,3,0,0,0,0,0,12,143,0,4,5,23,17,23,29,23,4,9,3,8,0,0,6,152
