SOSR_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SOSR101,1316,4836,10025,13564,5500,27023,3606,14987,1329,82181,9870,42369,25200,32899,26474,29000,11213,17976,4193,199193,66458,202356,58376,49270,65643,35334,26463,30361,11810,546071,103664,184417,47524,36993,71153,28229,24723,23072,10675,530444,88478,122342,38997,33460,66029,24259,25345,24730,7601,431243,49777,75159,28938,23710,49991,17785,23175,23566,4838,296941,12088,24324,7080,5514,14620,5147,5778,6539,1576,82665,1838,3472,672,445,1686,774,388,636,494,10406,193,233,47,20,96,72,9,38,151,862,333675,659520,216852,195873,301198,167623,120698,141898,42675,2180010
SOSR102,468,680,4295,5244,1140,10003,1225,6855,397,30304,2048,6125,8879,10791,4692,6940,2139,5200,706,47526,9697,29240,17713,13651,11719,6805,5178,7239,1649,102873,15450,29359,14217,11130,13503,5514,5565,6514,1662,102906,15711,23873,12454,11760,15477,6083,6532,7849,1647,101384,9803,15996,9251,9120,12450,5152,6105,7451,1042,76383,2229,4555,1837,1743,2931,1297,1405,1702,326,18015,344,492,145,90,283,153,140,166,160,1966,36,34,7,7,16,12,4,3,62,176,55774,110340,68805,63532,62209,41952,28292,42981,7651,481533
SOSR111,102,89,853,973,238,2163,209,1402,82,6115,371,815,1730,1859,780,1178,426,1051,145,8361,1766,4402,3770,2922,2173,1489,1421,1919,332,20193,2545,4404,2757,2370,2391,1213,1500,1659,329,19169,2498,3576,2230,2325,2707,1245,1442,1622,283,17925,1609,2443,1610,1696,2112,1042,1348,1572,197,13630,430,745,335,345,565,288,356,383,53,3492,66,55,22,22,58,31,22,37,34,345,4,0,0,0,0,4,0,5,11,34,9398,16529,13306,12510,11022,8650,6723,9647,1469,89264
SOSR112,236,275,2221,2822,613,5187,500,3351,265,15463,992,2264,4202,4786,1771,2930,981,2937,366,21218,4323,11573,8990,7776,4980,3904,2822,5785,861,51018,5957,11171,6553,6072,5364,2907,2735,4718,791,46267,6439,9946,5340,6118,6340,2950,3118,4571,763,45593,4905,7897,4287,4781,5805,2616,3074,4289,533,38194,1554,2757,1089,1120,1667,879,934,1156,189,11353,336,302,122,87,206,109,106,132,134,1534,30,13,7,4,17,9,9,8,46,144,24777,46197,32808,33569,26754,21498,14284,26946,3945,230780
SOSR113,112,99,931,1050,196,2146,202,1464,116,6314,325,681,1806,1640,686,1142,459,1087,138,7962,1638,3776,3911,3050,1827,1473,1576,2099,366,19725,2389,3799,2979,2704,2104,1322,1620,1729,365,19006,2603,3534,2712,2781,2491,1381,1784,2036,342,19666,2137,2884,2088,2303,2415,1292,1654,2015,260,17047,651,943,495,501,656,414,447,488,109,4699,122,131,39,38,66,43,47,51,37,575,8,3,3,0,0,4,3,9,16,50,9997,15859,14953,14059,10433,9219,7799,10979,1752,95045
SOSR114,124,116,1174,1235,262,2238,212,1675,144,7175,424,931,2091,1911,830,1232,532,1537,142,9626,2092,4846,4376,3150,2266,1625,1544,2609,364,22878,3219,4804,3299,2749,2565,1336,1565,2313,385,22239,3346,4136,2846,2884,2987,1548,1709,2489,346,22289,2461,3149,2335,2499,2828,1588,1885,2532,297,19576,819,1032,615,503,773,486,565,684,145,5628,232,117,80,34,89,54,76,82,69,834,30,7,9,0,12,4,3,4,30,99,12755,19151,16811,14969,12611,10114,8101,13918,1914,110339
SOSR115,141,144,1863,1937,324,2681,304,2254,189,9833,491,990,2960,2652,892,1377,799,1830,221,12218,2658,5762,5944,4267,2854,1901,2114,3387,523,29412,4237,6422,4846,3854,3445,1808,2282,2796,546,30236,4745,6076,4294,4136,4180,2072,2749,3272,566,32094,3903,5198,3514,3754,4048,2057,2918,3582,495,29463,1411,1787,956,788,1215,603,874,1014,179,8827,302,172,79,39,133,74,122,129,95,1144,46,13,6,0,4,9,0,3,30,112,17933,26563,24458,21432,17094,12585,12170,18264,2850,153340
SOSR121,39,29,480,502,109,864,87,672,73,2855,134,221,736,670,251,376,182,430,61,3062,663,1419,1471,939,714,440,513,727,146,7035,1220,1891,1396,999,996,432,589,686,147,8365,1489,1927,1380,1202,1343,587,761,925,198,9810,1138,1602,1108,1074,1154,582,832,974,152,8608,407,568,290,224,335,178,250,245,58,2563,105,58,27,9,35,22,20,30,20,322,14,4,0,3,4,0,0,0,9,28,5206,7725,6894,5611,4946,3490,3238,4690,857,42648
SOSR122,18,21,196,234,55,309,30,281,33,1180,59,144,399,357,123,184,78,246,27,1622,340,671,707,518,351,223,232,452,73,3568,646,808,603,455,491,197,299,424,86,4009,800,819,630,611,673,273,400,510,90,4814,764,850,592,610,588,307,466,620,83,4888,249,252,158,135,181,85,148,141,36,1382,48,43,7,4,26,14,21,17,9,189,6,0,0,0,0,0,0,0,3,18,2938,3608,3288,2919,2499,1603,1685,2700,439,21669
SOSR131,519,326,3599,3117,709,4478,691,4168,415,18019,1250,1817,4554,3446,1678,2000,1238,3007,379,19368,5609,7035,7149,3813,3955,2016,2629,4467,686,37367,10613,9676,6854,4095,5911,2184,3337,3935,920,47543,15725,11821,7606,5675,8572,3263,4832,5217,1172,63876,15933,10020,6453,4799,7686,3012,4744,5587,1020,59257,9801,3654,1725,999,2414,912,1516,1826,562,23407,3281,456,172,61,315,128,157,380,337,5288,469,25,23,6,14,8,4,45,60,652,63209,44827,38120,26010,31260,18008,19138,28638,5560,274771
