SOSR_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR101,9432,22495,25465,21934,22701,29362,47402,38439,20283,237511,10913,32978,40520,31529,28696,30128,33298,21079,8713,237854,6842,34559,50374,38046,33256,31542,25340,14235,4455,238651,3868,35920,70460,50804,44510,38910,22970,10524,3350,281311,1854,33518,93413,66684,54903,46543,23760,8586,2228,331490,584,20688,81737,57974,45429,35250,15689,4958,1345,263653,285,9856,71761,57535,44415,32265,12871,4102,1185,234275,142,4168,51424,49340,37791,25794,9076,2766,776,181282,122,3557,84032,113004,79399,47306,13803,3859,1081,346153,57,560,15059,32261,24278,12996,3970,1265,407,90845,82,603,18525,60573,62239,32728,9936,3392,1094,189181,14289,21054,52850,42518,31684,25783,21721,20362,19956,250222,376,870,2279,1612,1492,2373,2206,639,171,12016,260960,312861,753220,714279,595903,508680,377161,212920,92147,3828123
SOSR102,3355,5400,5667,5182,6526,9957,18684,16144,8501,79414,3777,7972,8971,7382,7936,9982,14087,9071,3626,72811,2133,8996,10742,8720,8652,9310,9384,5389,1646,64981,1110,9248,14901,11173,11470,11376,7534,3312,1063,71185,489,6923,18169,14277,14459,13469,7187,2371,565,77913,157,3809,14890,12398,11447,9589,4056,1120,269,57733,53,1648,12580,11548,11002,8387,2933,1005,325,49488,27,662,8569,10053,9373,6640,1771,461,132,37681,22,557,11234,18751,17822,10868,2453,571,120,62395,9,62,1607,3873,3900,2317,593,167,53,12580,37,96,1575,5447,6587,4166,1294,547,192,19938,3387,3715,7400,6625,6270,5895,6509,7287,6792,53885,30,74,166,129,134,182,189,68,21,992,61221,65468,132100,129877,131981,130240,113009,71194,30484,865569
SOSR111,615,843,1201,1079,1256,1815,3435,2619,1247,14105,752,1285,1879,1561,1502,1851,2594,1559,579,13562,442,1692,2325,1816,1637,1650,1691,951,270,12461,250,1792,3433,2514,2355,2189,1404,568,201,14700,110,1278,3812,3117,2908,2511,1204,394,72,15411,29,686,2809,2429,2103,1679,649,177,45,10597,10,298,2234,2043,1857,1373,477,179,68,8541,6,137,1395,1688,1593,1094,279,78,15,6291,0,111,1748,2845,2695,1595,366,81,24,9472,0,18,230,474,499,314,108,25,10,1670,4,26,253,640,732,487,180,76,35,2430,712,653,1570,1358,1224,1157,1116,1232,920,9940,11,13,60,30,19,31,20,11,5,206,11615,11369,26063,24456,23369,22528,20073,12026,4735,156240
SOSR112,1602,2193,3244,2674,3204,5069,9943,8338,4493,40761,1975,3281,4858,3828,3876,5087,7476,4882,1804,37061,1256,4169,6110,4720,4319,4622,4889,3093,998,34178,754,4690,8917,6413,6221,6124,3924,1845,637,39526,321,3427,9962,7668,7262,6846,3807,1438,359,41087,96,1808,7015,5578,5344,4645,2087,659,189,27425,34,819,5338,4943,4698,3862,1490,643,228,22059,10,351,3656,3937,3905,2953,920,297,90,16118,10,333,4199,6692,6964,4654,1242,333,91,24522,3,30,587,1105,1271,951,285,114,38,4379,30,71,608,1606,2065,1582,680,313,112,7055,2645,2888,6096,5101,4518,3852,3890,4036,3403,36432,22,71,231,167,97,108,68,43,7,810,31564,31179,68949,61202,61437,63281,58849,38158,16495,431111
SOSR113,727,819,1456,1401,1860,2926,5397,4308,2193,21081,794,1351,2147,1927,2056,2736,3706,2319,895,17928,469,1649,2650,2088,2058,2396,2488,1431,438,15665,265,1741,3286,2584,2693,2738,1955,894,257,16416,114,1135,3487,2885,3064,2965,1819,659,153,16285,51,612,2337,2098,2138,1936,920,317,64,10481,17,312,1941,1890,1858,1701,703,301,101,8813,7,172,1363,1474,1632,1243,407,110,31,6445,3,167,1982,2739,2815,2062,503,127,41,10440,0,27,343,574,556,464,133,42,12,2159,7,25,320,759,933,697,322,149,46,3266,1116,1082,2574,2212,2033,1960,2055,2029,1651,16716,5,43,106,44,25,27,27,14,0,287,12921,11747,27538,26065,27726,31109,30508,18958,7795,194354
SOSR114,749,904,1372,1311,1634,2914,5727,4904,2562,22079,956,1373,2103,1866,1983,2948,4171,2709,1089,19200,636,1833,2751,2303,2210,2738,2600,1705,502,17271,360,2142,3748,3116,3060,3254,2055,1049,300,19082,150,1634,4176,3516,3554,3551,1913,670,173,19341,49,850,2964,2601,2579,2240,1044,349,65,12735,24,391,2487,2310,2252,1832,726,307,107,10431,16,188,1693,1852,1823,1337,421,142,38,7512,5,156,2258,3288,3210,2022,527,161,44,11673,0,15,329,556,564,411,135,40,13,2071,20,33,327,792,869,667,298,129,58,3197,1165,1128,2551,2342,2220,2319,2375,2330,1768,18197,10,27,90,52,45,48,37,21,8,326,14304,13543,30512,29182,30018,33682,33452,21974,9082,215749
SOSR115,1034,1168,1860,1848,2371,4433,8822,7052,3278,31867,1337,1825,2778,2578,2959,4373,6278,3840,1349,27323,870,2456,3635,3081,3280,3997,4387,2343,713,24758,537,2644,4818,4051,4430,4759,3202,1382,388,26217,320,1935,5296,4542,4837,5260,3115,973,219,26490,108,1035,3798,3486,3603,3509,1692,430,104,17768,32,493,3204,3230,3205,2854,1114,441,143,14718,22,243,2145,2551,2650,2100,704,132,49,10606,8,239,2736,4492,4548,3223,826,189,46,16311,0,31,415,866,894,626,191,69,16,3103,30,52,388,1022,1370,1073,488,215,51,4680,1738,1560,3477,3355,3359,3545,3824,3504,2339,26691,8,60,174,81,47,60,29,23,4,487,19970,17214,39410,39818,43504,52059,52658,31054,11799,307478
SOSR121,302,342,507,481,738,1250,2212,1424,569,7823,355,473,697,677,874,1176,1562,788,250,6846,217,619,831,806,974,1120,1184,549,114,6418,124,654,1079,1061,1199,1348,859,315,70,6705,46,479,1261,1207,1395,1521,799,247,34,6992,14,244,964,968,1126,1013,486,118,18,4949,14,91,776,850,946,846,360,107,31,4015,0,36,502,745,844,657,180,41,6,3020,6,32,637,1263,1513,1016,265,45,11,4788,0,0,102,260,260,200,78,23,3,925,10,14,88,336,483,368,167,43,4,1509,523,354,747,821,795,904,1045,732,404,6333,4,13,28,15,18,11,10,9,0,108,5835,4297,9493,10791,12847,14965,14091,6863,2060,81247
SOSR122,138,172,277,298,454,732,1366,818,284,4533,149,256,366,339,482,697,796,373,115,3569,96,306,444,407,510,669,530,228,60,3258,53,338,597,483,622,754,418,169,42,3479,26,244,633,608,709,870,427,94,22,3647,8,131,432,460,556,539,241,50,15,2432,10,68,353,365,467,419,165,66,18,1922,0,33,235,331,363,359,116,23,4,1465,0,27,327,562,664,499,130,31,3,2245,0,0,44,124,130,111,48,5,0,469,0,12,51,205,296,257,105,31,0,959,365,241,583,615,737,851,805,457,176,4821,3,5,62,14,10,12,6,0,5,121,2720,2363,5110,5483,6977,8956,7832,3638,998,44076
SOSR131,1849,1677,2449,2673,3792,6508,10329,5814,1798,36892,2344,2569,3461,3736,4936,6902,7369,3393,814,35517,1762,3490,4260,4365,5605,6645,5742,2521,479,34864,1120,3982,5530,5486,7277,8104,5114,1816,333,38764,526,3155,6527,6410,8625,9116,5076,1496,222,41152,154,1702,4655,5121,6552,6258,3112,764,120,28434,74,872,4016,4865,6271,5550,2521,688,149,25005,16,359,2650,3838,5069,4241,1700,440,58,18374,21,298,3477,7230,9533,6877,2250,547,83,30328,3,42,568,1587,2158,1662,654,210,39,6932,24,58,719,2677,4658,3872,1806,544,92,14454,3855,2847,5771,6543,7713,8418,7016,3985,1365,47504,20,107,287,167,100,79,62,20,10,853,36983,26926,51485,62657,83560,95131,77380,33997,8247,476377
