SOSR_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOSR101,0,0,7,88,896,2815,4329,3119,523,481,477,498,219,179,258,13888,0,0,8,164,811,4026,10949,5652,1201,1302,1226,1155,550,226,386,27657,27,102,485,938,1013,1301,2112,1395,341,308,417,481,286,89,133,9442,376,1134,1355,2869,26651,37403,73241,40593,9900,10981,9551,11077,3819,660,5277,234892,76,998,5178,1678,759,2073,674,193,39,27,39,24,7,9,395,12156,360,1057,2797,1850,2700,2527,2955,2163,493,529,458,378,183,62,518,19042,43,138,384,1939,8800,8559,7384,2616,558,492,648,734,316,55,724,33395,1833,2039,1582,1133,1331,1442,2631,1382,326,326,348,458,210,69,455,15563,333,5041,13010,3080,912,560,446,1124,164,129,100,85,47,17,1337,26385,83,321,930,4064,12084,12771,5616,3395,1010,1063,947,1082,1051,430,723,45567,174,190,1583,2623,6190,15956,52917,36114,11978,13234,15929,17412,6039,1641,2614,184600,55,176,286,1654,4071,7332,8543,4718,1365,1370,1582,1915,793,90,724,34678,9,11,269,983,3297,3322,5532,7353
SOSR102,0,0,0,4,13,11,36,204,30,28,25,33,3,11,10,401,0,0,3,3,5,55,172,210,49,132,88,88,28,9,14,871,7,24,143,232,221,295,543,299,54,69,67,76,52,12,38,2117,33,88,87,104,425,632,1778,1219,314,378,308,406,112,27,144,6065,15,244,733,188,58,251,141,22,0,4,4,0,0,0,55,1717,39,132,178,86,60,59,95,107,17,56,33,52,10,18,27,947,13,20,59,145,268,216,203,76,34,19,52,28,19,6,38,1196,829,1337,548,268,299,220,442,205,29,51,31,30,28,4,154,4469,47,469,724,180,55,36,20,42,6,0,3,5,0,6,82,1672,14,23,49,132,206,179,152,102,53,59,31,45,28,9,33,1108,55,56,185,258,213,426,2064,2306,582,602,781,799,397,48,161,8931,18,47,42,67,113,198,348,229,49,89,83,105,49,5,28,1459,0,0,7,28,95,86,197,281
SOSR111,0,0,0,0,0,5,9,20,14,11,0,0,0,0,0,52,0,0,0,0,0,8,50,48,5,6,0,6,4,3,0,135,3,6,25,37,42,38,62,42,7,9,3,0,7,0,7,287,7,9,9,14,44,63,136,100,36,40,40,43,3,0,14,549,5,13,43,18,0,10,0,0,0,0,0,0,0,0,0,91,3,14,8,4,0,0,20,16,0,0,0,0,0,0,0,77,0,0,9,23,38,42,49,22,6,8,3,5,0,0,4,206,155,218,106,41,67,35,40,27,4,4,0,0,9,0,28,727,5,41,17,3,8,0,5,5,0,0,0,0,0,0,0,93,0,3,12,17,31,12,17,27,9,4,3,0,0,0,4,155,7,13,29,30,50,80,717,653,158,179,155,172,64,14,29,2327,0,3,0,0,14,16,34,31,13,3,12,14,5,0,3,146,0,0,0,3,6,3,14,26
SOSR112,0,0,0,0,3,3,30,69,8,13,10,9,0,0,8,154,0,0,0,0,0,19,149,202,51,72,47,52,3,3,9,605,0,17,71,106,85,90,180,92,12,25,20,22,18,0,20,767,14,31,25,54,157,201,488,329,96,144,152,199,42,22,73,2009,4,37,137,41,11,37,6,5,0,0,0,0,0,0,14,285,9,52,51,14,15,32,76,63,14,7,16,33,20,6,19,431,14,19,22,51,128,99,123,111,16,28,28,61,58,66,57,881,224,433,208,140,172,97,138,79,22,13,6,16,3,0,65,1609,14,63,98,35,6,9,14,18,3,3,0,0,6,0,18,279,9,8,22,56,84,56,71,43,19,9,7,6,18,0,7,421,41,21,84,75,74,250,1483,1514,536,551,720,813,272,47,126,6602,8,29,17,16,32,48,102,73,25,32,23,47,31,0,14,486,0,0,3,13,39,27,44,96
SOSR113,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,0,0,0,3,0,27,24,5,9,4,4,0,0,0,82,4,4,30,53,47,44,70,68,21,14,14,16,13,5,8,408,3,9,11,12,56,59,164,96,19,31,27,33,3,3,30,570,5,46,108,41,8,13,4,0,0,0,0,0,0,0,11,233,11,22,16,4,3,3,20,10,5,0,0,7,0,0,5,97,0,12,12,29,33,30,23,17,6,8,8,6,0,17,8,217,136,271,118,52,73,48,86,30,8,12,13,27,11,0,30,926,0,51,92,26,0,0,5,3,0,0,0,0,0,0,12,202,0,0,7,22,26,15,20,12,0,7,0,0,0,0,3,132,14,12,35,33,20,32,223,197,76,68,92,145,70,11,23,1040,8,14,5,14,7,15,35,28,6,4,5,7,16,3,5,170,4,0,0,0,8,16,10,10
SOSR114,0,0,0,0,5,4,9,29,0,0,0,19,0,0,0,59,0,0,0,3,0,6,22,26,4,4,3,3,0,0,0,86,3,6,24,44,41,44,84,57,3,14,10,15,3,3,7,370,5,11,12,16,59,71,185,105,41,38,74,133,40,6,30,818,0,14,53,16,7,12,7,5,0,0,0,0,3,0,5,121,7,13,16,0,4,6,13,4,0,0,12,0,0,0,0,89,7,3,8,21,49,36,62,46,0,14,19,31,47,63,24,435,138,249,135,72,68,52,67,39,6,10,6,6,4,0,34,892,3,21,44,22,4,3,0,4,0,0,5,0,0,0,3,109,3,3,15,3,24,12,28,17,4,11,3,0,13,0,5,143,18,16,77,66,74,79,612,555,148,168,155,212,91,25,47,2332,4,15,12,8,11,21,52,35,4,8,8,18,13,0,6,223,0,0,3,5,17,8,17,37
SOSR115,0,0,0,0,0,5,4,11,0,0,0,5,0,0,0,19,0,0,0,0,0,8,26,13,9,7,3,4,0,0,4,66,9,6,54,81,79,89,125,95,17,18,7,29,12,8,9,629,12,26,14,18,73,74,191,98,44,50,69,110,11,0,19,801,7,50,130,54,16,14,3,0,0,0,0,0,4,0,7,295,13,36,32,6,3,4,13,11,0,6,0,15,0,0,7,161,9,10,23,25,52,47,52,45,17,16,21,30,21,25,17,401,230,433,197,125,171,102,147,58,16,22,17,10,9,0,64,1603,0,44,94,19,10,3,0,3,0,0,0,0,0,0,11,191,8,10,9,25,49,27,13,13,0,5,5,6,9,0,4,175,27,15,37,53,38,53,310,290,104,109,109,111,46,21,40,1355,7,20,14,6,19,23,29,36,6,14,9,24,9,0,7,235,0,0,3,4,9,4,15,16
SOSR121,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,7,20,25,22,60,23,8,0,0,3,0,0,0,173,4,3,5,3,7,8,23,22,5,9,5,13,0,0,5,120,0,9,25,7,0,4,0,0,0,0,0,0,0,0,3,52,0,3,8,0,3,0,4,0,0,0,0,0,0,0,0,28,0,0,4,5,13,18,4,4,0,5,8,0,0,0,0,62,59,99,51,23,51,27,33,21,6,0,0,4,6,0,16,394,0,11,24,3,7,0,4,0,0,0,0,0,0,0,6,51,0,0,10,5,11,4,7,4,0,0,0,0,4,0,4,51,3,0,15,13,18,26,60,42,13,18,28,19,5,6,12,272,4,4,4,5,6,10,6,8,6,9,3,0,3,0,0,62,0,0,0,0,0,3,4,6
SOSR122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,5,0,6,13,19,16,12,5,0,0,0,0,0,0,3,77,4,6,5,0,7,8,18,13,3,6,8,9,0,0,0,87,0,0,16,5,4,0,0,0,0,0,0,0,0,0,0,22,0,0,3,4,0,0,4,0,0,0,0,0,0,0,4,17,0,4,0,3,4,11,13,14,0,0,0,4,0,0,3,41,28,56,49,27,20,14,7,9,4,0,3,0,0,0,10,226,0,4,11,3,0,0,0,4,0,0,0,0,0,0,0,27,0,0,3,10,5,5,3,7,0,0,0,0,0,0,0,32,7,7,15,5,4,13,10,22,8,3,4,5,0,0,0,110,0,3,3,0,8,4,7,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
SOSR131,0,0,0,0,5,19,8,8,0,0,0,0,0,0,5,42,0,0,0,5,5,20,25,6,6,4,7,0,3,0,11,79,4,14,106,162,124,131,149,72,17,19,21,28,16,4,28,901,12,28,40,35,228,275,414,250,67,64,64,79,10,0,101,1670,8,61,266,97,26,32,0,0,0,0,0,0,0,0,11,503,19,37,58,29,28,23,26,10,0,0,3,6,0,0,13,237,4,18,40,46,136,86,63,43,9,4,0,12,18,3,28,512,273,496,328,211,367,222,260,111,14,16,10,26,13,3,72,2419,3,98,190,35,12,16,5,5,0,0,0,0,0,0,21,391,4,11,38,56,45,43,34,28,4,8,14,11,7,3,28,322,11,26,102,90,119,169,375,170,37,38,48,41,20,11,49,1300,7,40,35,17,27,46,55,56,8,19,12,25,14,0,23,383,0,0,14,19,84,38,33,34
