SOSR_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SOSR101,35236,129641,291532,276622,199604,146553,97937,41718,11575,1230419,4651,7620,13893,12190,12131,10308,5923,3168,955,70834,8524,10142,29288,30822,47429,54409,34166,19546,6156,240489,1575,1633,4675,5787,7498,9159,11169,8071,3041,52608,339,606,3006,4418,5860,9069,13164,12324,5902,54697,118,678,3246,3247,3680,5138,4684,3505,1930,26224,5833,9952,25403,20669,14935,12709,10823,9438,5956,115725,56272,160270,371059,353760,291139,247351,177861,97774,35522,1790997,37664,129940,318525,296802,217571,150221,90292,36740,12278,1290033,3106,5112,10749,10002,11531,9822,6500,3843,1423,62084,4336,5998,19307,22324,43235,58528,48248,28622,11443,242042,827,897,3364,4510,6605,9877,14561,10823,5703,57174,206,401,2042,3590,5877,11034,17851,16416,9837,67248,80,442,2609,3008,4617,6984,7191,6212,4164,35299,5170,7962,22312,17890,12994,11614,11728,11522,11477,112660,51381,150750,378901,358128,302425,258079,196367,114172,56332,1866537,72895,259583,610058,573428,417173,296775,188228,78463,23852,2520457,7751,12725,24638,22192,23655,20135,12421,7010,2385,132920,12860,16142,48597,53146,90667,112932,82417,48167,17603,482527,2399,2526,8049,10302,14109,19034,25737,18889,8740,109784
SOSR102,6254,22845,42164,39481,31575,22413,19705,9078,2415,195931,2037,3255,4925,4709,4342,3542,2467,1426,357,27060,3733,4414,12128,12850,20880,26652,17091,9629,2529,109924,755,664,1459,1859,2821,4332,6499,5036,1765,25197,185,163,563,723,1074,2155,3768,3734,1983,14343,25,63,179,224,265,316,401,361,217,2050,1382,1667,3482,3066,2926,2816,3022,3171,2080,23614,14369,33088,64900,62922,63881,62230,52960,32437,11350,398120,7563,24777,49288,47735,37521,25570,17365,7821,2517,220168,1391,2332,3786,3921,4276,3617,2446,1505,527,23798,2420,3083,9049,9966,19886,28314,23315,13801,4796,114628,503,414,1126,1545,2570,4921,8279,6182,3360,28891,107,85,378,524,847,2242,4397,4411,3436,16425,28,33,143,199,249,329,416,493,455,2336,1286,1487,3216,2886,2568,2757,3562,4425,4011,26201,13294,32218,66977,66774,67917,67755,59779,38638,19097,432451,13822,47626,91455,87218,69096,47988,37076,16895,4932,416101,3431,5592,8710,8625,8612,7158,4917,2935,886,50859,6155,7504,21173,22820,40771,54965,40405,23430,7324,224547,1258,1076,2582,3404,5390,9254,14775,11218,5128,54087
SOSR111,989,3322,7052,6486,4845,3098,3101,1309,380,30573,472,721,1200,1054,1037,823,595,280,80,6259,751,1051,2948,2794,3735,4608,3118,1638,380,21009,205,173,391,451,594,922,1277,897,257,5162,48,44,163,236,266,480,750,696,319,2997,5,13,80,81,90,96,70,40,15,482,282,285,739,649,591,534,509,497,315,4398,2747,5614,12563,11753,11149,10558,9414,5347,1740,70889,1180,3898,8879,8203,6103,3951,2814,1277,403,36704,346,585,950,952,1025,913,693,378,103,5944,610,775,2290,2258,3658,4988,4130,2400,767,21872,130,126,360,332,605,969,1586,1088,520,5706,38,45,153,207,202,429,725,712,592,3102,5,17,82,84,105,99,71,48,32,537,250,279,697,623,488,562,612,757,574,4840,2562,5711,13416,12654,12184,11908,10622,6654,2985,78708,2171,7213,15930,14688,10947,7046,5912,2582,781,67276,818,1303,2150,2003,2063,1736,1283,656,178,12203,1359,1822,5233,5056,7391,9589,7245,4035,1144,42885,332,302,749,775,1198,1893,2864,1984,774,10872
SOSR112,2666,9039,18935,16055,13139,9850,9697,4909,1448,85737,1072,1729,2563,2376,2091,1790,1317,723,240,13897,2146,2633,7252,6716,9374,12432,8692,4917,1403,55575,517,507,1089,1213,1593,2355,3399,2590,876,14141,141,128,432,545,778,1379,2387,2119,1089,8996,13,37,158,173,178,169,197,126,70,1116,1095,1537,3538,2905,2524,2034,1875,1767,1034,18297,7656,15610,33973,29978,29668,30005,27561,17147,6167,197764,3336,10648,23251,20225,16596,12142,9257,4830,1684,101971,786,1329,2391,2131,2255,2105,1529,983,331,13832,1486,1894,5430,5248,8872,13397,11852,7397,2752,58332,371,317,922,986,1444,2470,4049,3185,1687,15433,102,101,301,386,570,1180,2233,2079,1785,8737,16,35,159,148,157,180,179,155,123,1159,1060,1100,2244,1895,1718,1663,2089,2316,1957,16042,7145,15425,34707,31025,31616,33139,31189,20947,10315,215504,5995,19680,42185,36284,29737,21996,18955,9739,3130,187707,1852,3059,4959,4505,4341,3895,2844,1704,574,27728,3633,4527,12679,11970,18245,25831,20549,12318,4160,113904,887,830,2011,2201,3032,4823,7449,5776,2563,29575
SOSR113,1070,3170,6921,6236,5213,4211,4727,2242,570,34363,550,824,1290,1118,1139,939,755,401,112,7126,1025,1180,3175,3251,4781,6644,4868,2662,661,28249,269,207,495,569,872,1272,1878,1408,452,7432,72,63,175,259,349,735,1323,1082,543,4601,7,8,38,36,43,75,61,59,34,356,497,576,1364,1193,1046,1023,1074,912,470,8145,3479,6030,13464,12663,13448,14891,14679,8770,2845,90269,1151,3645,8697,8132,6533,5096,4193,2006,648,40104,370,601,1067,975,1099,1066,787,472,127,6567,662,818,2534,2666,4662,6985,6177,3662,1329,29493,185,144,465,500,790,1438,2253,1642,854,8266,48,32,144,152,263,651,1209,1119,943,4561,10,8,26,35,38,55,67,59,39,324,364,412,1027,882,849,866,1115,1207,1007,7727,2785,5664,13955,13344,14222,16164,15794,10161,4943,97036,2218,6819,15623,14367,11746,9311,8913,4249,1217,74458,914,1425,2350,2097,2243,2001,1542,875,242,13687,1686,1995,5711,5919,9445,13629,11047,6318,1991,57736,455,350,960,1073,1663,2707,4136,3053,1307,15698
SOSR114,1139,3748,7808,7322,5890,4498,4851,2394,705,38338,519,835,1278,1126,1141,1026,892,528,143,7482,1135,1268,3643,3492,5060,7142,5359,3069,802,30974,275,204,502,611,826,1348,2103,1690,516,8069,53,35,182,234,411,806,1519,1341,735,5326,3,10,39,43,56,91,84,83,35,453,449,573,1318,1219,1158,1190,1264,1011,551,8735,3577,6680,14769,14044,14539,16106,16063,10109,3490,99377,1472,4766,10449,9678,7714,5678,4464,2437,794,47452,382,600,1087,1106,1223,1313,906,615,202,7428,701,856,2445,2619,4612,7459,7110,4286,1509,31595,185,119,393,470,669,1294,2320,1772,980,8204,33,23,101,155,208,599,1271,1310,1060,4760,0,12,24,40,55,64,85,79,45,405,439,449,1145,996,937,1104,1175,1347,994,8584,3219,6825,15645,15067,15420,17516,17332,11835,5583,108433,2611,8512,18254,16998,13601,10175,9315,4826,1495,85795,902,1433,2362,2231,2357,2341,1792,1136,348,14907,1835,2126,6087,6106,9674,14599,12468,7357,2313,62570,461,330,896,1076,1492,2649,4421,3458,1493,16271
SOSR115,1599,4851,9721,9652,8379,7274,8324,3781,885,54487,791,1070,1692,1650,1688,1607,1346,682,158,10676,1499,1748,4925,5008,7437,10809,8377,4142,964,44902,412,336,737,813,1203,2144,3482,2472,768,12375,88,72,233,323,498,1086,2341,1990,961,7589,16,11,45,54,64,68,129,118,47,554,724,812,1788,1701,1752,1874,1978,1635,742,13002,5131,8902,19147,19197,21018,24862,25975,14823,4521,143578,2046,5585,13108,13190,11143,9532,7588,3404,1042,66630,518,815,1485,1539,1785,1919,1417,750,264,10496,913,998,3355,3545,6698,11110,10229,5712,1837,44396,189,166,539,575,984,2021,3552,2561,1334,11923,52,41,115,158,293,855,1801,1722,1365,6401,5,17,35,43,55,74,96,89,68,480,615,621,1447,1455,1454,1619,1959,1959,1363,12493,4342,8241,20077,20521,22409,27128,26635,16196,7267,152820,3647,10436,22828,22847,19526,16808,15916,7185,1928,121116,1306,1886,3174,3189,3473,3520,2758,1440,414,21169,2413,2744,8279,8550,14136,21919,18602,9855,2797,89297,602,502,1277,1394,2191,4166,7030,5036,2103,24296
SOSR121,419,1220,2295,2598,2522,2214,2332,899,182,14671,193,272,415,442,489,437,367,143,33,2789,418,470,1271,1457,2263,3219,2401,1052,183,12722,102,70,179,206,347,626,900,554,136,3127,32,18,63,79,136,323,571,455,174,1857,3,3,12,8,14,30,23,33,6,131,174,164,359,378,397,456,559,335,165,2984,1346,2220,4586,5172,6171,7303,7149,3466,876,38280,567,1386,3154,3660,3423,2773,2095,720,161,17947,164,180,338,367,507,536,337,164,47,2644,253,289,867,998,2028,3127,2673,1191,288,11702,76,34,138,155,276,567,874,550,212,2888,17,6,30,28,80,205,447,348,237,1406,3,3,9,15,10,13,17,19,8,93,158,158,331,378,333,426,480,406,227,2893,1233,2058,4870,5601,6658,7646,6937,3394,1179,39576,987,2613,5447,6265,5943,4994,4426,1616,340,32622,363,452,751,812,993,973,704,303,81,5433,667,753,2136,2452,4288,6344,5073,2240,470,24428,175,108,324,362,622,1198,1779,1104,345,6011
SOSR122,216,649,1191,1196,1261,1309,1225,464,70,7584,103,129,199,217,251,247,197,93,15,1442,201,263,671,765,1210,1833,1243,518,90,6801,46,38,103,128,217,369,519,289,75,1772,17,17,37,62,114,264,414,286,114,1320,3,0,9,7,9,17,23,28,9,104,162,115,296,311,385,478,422,259,68,2491,746,1208,2507,2691,3449,4506,4048,1935,435,21516,228,756,1600,1716,1654,1528,1051,353,68,8959,64,107,157,192,255,277,175,77,19,1327,99,138,417,481,1046,1758,1348,559,135,5989,34,37,77,84,163,350,512,248,90,1588,6,3,19,27,59,157,284,230,139,923,4,3,9,0,14,5,12,11,4,68,133,106,257,275,330,356,392,230,102,2182,573,1142,2539,2774,3522,4432,3781,1703,560,21024,447,1406,2787,2911,2917,2840,2281,815,138,16544,169,237,361,411,501,528,376,168,32,2764,305,406,1089,1248,2253,3593,2588,1078,226,12791,81,71,176,208,380,714,1033,532,164,3362
SOSR131,3150,8259,12549,14492,17003,15986,15056,5239,892,92613,1220,1469,2034,2274,2587,2664,1950,765,133,15091,2912,2767,6851,8792,14844,19963,12254,4886,854,74117,611,420,828,1241,2179,3537,4832,2809,528,16980,120,60,333,467,843,1935,3472,2442,910,10578,18,20,86,93,103,163,180,174,74,905,1432,1458,3105,3299,3728,4243,3731,2084,583,23667,9462,14450,25783,30657,41290,48477,41475,18399,3964,233957,3731,8939,17119,21314,23100,19140,12694,4278,791,111106,748,843,1524,1869,2696,2944,1833,728,128,13305,1317,1344,3889,5027,11305,17122,12522,4926,1115,58559,277,140,471,658,1368,2580,3677,2102,618,11893,46,27,137,202,406,1115,1960,1600,821,6307,7,10,37,47,69,100,152,142,97,661,1200,1032,2204,2690,3182,3560,2990,1798,698,19354,7321,12334,25389,31808,42129,46553,35814,15565,4270,221186,6879,17193,29669,35806,40106,35115,27747,9519,1682,203723,1971,2308,3561,4139,5281,5607,3782,1490,260,28400,4229,4111,10745,13820,26145,37082,24772,9810,1967,132681,888,559,1298,1904,3548,6113,8509,4919,1141,28872
