UCL_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL101001,1262975,1251501,2514473,2515,2615,5132,108504,107623,216125,585,683,1273,66242,76218,142460,119159,137011,256170,6787,7927,14722,192188,221161,413344,8105,8996,17099,8828,9504,18331,5653,6477,12131,33900,37809,71711,19532,17751,37289,12554,11689,24251,37901,37442,75339,33652,27357,61007,23340,19898,43234,5820,5997,11824,23980,19119,43092,7551,7587,15139,164331,146839,311172,23905,26299,50202,6109,8794,14902,5371,6486,11857,27629,31359,58984,9375,9596,18967,7439,7437,14875,12693,12311,25000,4819,5997,10819,12485,13261,25745,7548,9977,17522,7507,8175,15684,9163,10006,19162,11207,14630,25834,13913,16202,30119,19076,25590,44666,3806,4483,8292,48005,60904,108903,28480,31941,60425,18614,17839,36451,7917,14512,22432,10737,10804,21533,51623,60561,112180,100175,101004,201175,923731,988386,1912121,128802,123823,252626,6223,6705,12928,2321728,2370429,4692155
UCL102001,14613,14434,29050,27,23,50,65,67,136,25,29,52,42,42,78,93,113,208,0,0,0,138,150,284,100,89,189,30,36,68,57,48,106,67,93,159,96,78,164,69,46,115,118,112,227,295,233,529,325,275,600,22,24,50,100,69,172,17,18,42,1044,846,1889,179,219,390,11,17,30,4,9,11,21,30,49,408,362,771,32,34,67,26,17,44,32,28,56,49,50,102,31,36,66,21,23,46,123,120,243,64,81,140,33,44,74,104,135,236,19,27,44,215,284,499,75,78,148,30,31,65,13,59,75,22,12,30,34,47,83,412,395,812,3263,3211,6474,918,889,1802,25,28,47,18818,18557,37376
UCL102002,137915,146526,284439,247,258,504,377,333,705,113,106,221,432,455,880,750,1111,1864,30,47,72,1206,1610,2816,98,128,219,266,351,617,375,431,800,336,330,665,82,80,164,73,69,144,276,257,531,292,252,543,314,292,606,57,60,120,128,100,223,44,63,106,1263,1168,2427,471,469,931,201,269,465,36,45,79,401,470,871,25,19,38,392,434,834,98,105,204,154,201,358,279,328,610,288,387,678,68,59,122,98,123,215,228,389,616,173,197,371,299,619,919,84,139,223,792,1339,2129,821,952,1767,101,96,193,226,521,748,67,74,146,219,261,471,1953,2011,3967,10878,12771,23648,7690,8669,16360,169,166,334,156652,168127,324779
UCL102003,27152,29860,57012,20,21,42,17,9,30,42,51,93,42,51,88,67,109,177,4,4,8,108,165,277,5,13,21,86,91,176,80,103,181,28,25,52,3,0,4,15,11,28,31,21,53,27,18,48,91,61,158,9,3,10,10,3,10,3,3,10,181,133,309,72,90,160,87,123,208,0,0,0,12,19,33,4,4,7,53,61,115,11,4,14,17,34,56,211,217,428,12,23,32,11,14,24,9,10,16,41,96,136,8,29,36,46,92,139,9,26,34,102,234,340,84,124,206,11,7,17,43,111,149,11,11,25,25,40,69,225,286,509,1535,1991,3525,1928,1955,3884,34,43,78,30654,33848,64501
UCL102004,148019,154960,302979,216,219,436,614,541,1155,140,137,275,484,499,985,1112,1178,2290,59,86,144,1648,1764,3415,150,152,303,257,273,528,378,446,819,498,547,1045,224,207,437,141,111,250,339,324,661,373,310,691,344,246,589,126,118,247,446,225,667,56,58,117,2047,1607,3661,546,592,1138,168,199,369,59,73,135,280,320,605,739,770,1512,360,349,708,179,167,347,178,271,453,205,217,421,97,165,260,154,130,283,185,176,363,156,335,486,173,185,356,205,437,636,114,177,294,645,1130,1775,504,568,1072,191,195,383,189,418,607,65,54,119,400,507,902,2240,2419,4659,13214,14298,27512,7395,7482,14879,185,198,378,168807,176942,345748
UCL102005,111032,114288,225325,101,105,208,1636,1629,3265,52,55,110,280,348,628,1196,1250,2442,61,58,116,1537,1657,3189,414,482,894,191,217,411,295,418,710,834,1003,1842,175,132,302,68,59,128,318,295,607,195,171,369,184,156,340,112,115,236,407,262,664,95,66,167,1558,1256,2813,1495,1793,3288,118,171,291,28,36,61,160,187,349,3046,3035,6077,516,410,929,181,172,360,182,253,432,579,646,1226,95,156,249,59,43,100,871,945,1820,140,288,427,109,157,266,230,464,690,59,94,153,542,999,1539,1050,1257,2307,136,79,217,217,511,728,650,639,1286,592,694,1282,2344,2535,4880,19428,21324,40750,6189,6461,12652,124,132,261,136778,142208,278990
UCL111001,21878,23908,45788,27,21,48,49,29,82,34,31,65,23,29,46,89,119,207,4,3,5,109,148,260,29,26,57,22,35,59,49,66,110,67,67,134,42,33,79,42,31,74,86,85,173,399,382,782,410,332,743,31,33,58,52,37,87,15,17,33,1085,944,2033,60,70,125,21,21,42,6,3,13,19,24,43,0,0,4,55,44,103,17,16,28,17,16,30,3,10,11,13,22,39,12,0,14,15,15,27,45,78,123,13,22,38,80,117,200,11,19,34,148,239,390,53,53,104,24,25,49,26,63,81,0,0,4,30,48,77,396,402,798,2367,2416,4785,1493,1426,2915,18,23,39,25760,27769,53529
UCL111002,20733,22926,43660,40,37,77,90,85,177,72,91,167,36,45,80,81,97,171,9,6,13,120,147,267,10,9,17,44,60,106,63,91,154,19,12,38,4,5,10,7,9,13,45,36,75,41,30,67,207,194,404,9,15,24,5,3,8,11,3,16,324,297,618,60,58,117,40,57,99,0,9,4,13,7,20,0,0,4,26,31,60,5,9,13,12,13,23,21,12,31,9,16,25,9,8,9,5,4,8,31,50,84,11,20,34,38,72,108,25,20,45,102,166,267,84,81,167,4,4,11,22,65,81,4,5,6,36,30,62,950,1060,2012,2121,2397,4518,1637,1762,3402,62,45,106,24553,27127,51683
UCL111003,39139,41471,80609,98,98,198,84,82,167,35,39,76,95,99,194,144,210,354,5,17,23,240,332,569,11,8,17,22,38,61,36,53,83,39,31,71,39,37,79,22,25,49,80,69,149,60,45,106,172,157,330,28,21,51,83,62,139,19,17,35,505,434,937,49,44,97,14,23,32,10,6,16,53,55,107,21,16,30,162,170,332,13,11,20,32,43,71,20,31,51,9,29,43,47,34,78,9,13,27,46,93,144,11,29,37,78,176,257,12,39,52,148,342,489,79,99,179,27,33,58,48,98,146,9,9,20,74,94,169,496,527,1025,2354,2749,5106,1623,1655,3272,35,37,74,43154,45910,89056
UCL112001,7648,8392,16036,9,6,19,72,56,123,23,20,41,31,44,70,72,98,169,0,8,8,102,145,242,0,3,3,31,37,69,41,43,83,19,15,28,60,46,113,16,7,24,24,22,47,132,132,262,52,53,105,38,37,80,25,16,47,4,5,12,348,327,682,8,12,19,6,24,36,0,0,0,6,13,17,0,0,0,22,29,44,24,26,50,4,4,4,8,14,26,7,4,18,5,0,11,5,0,6,30,35,62,3,9,18,22,35,57,13,13,25,62,93,155,49,45,96,12,13,24,16,17,28,5,5,12,46,44,84,417,462,876,1327,1433,2765,1091,1313,2403,23,15,42,10089,11157,21246
