UCL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
UCL101001,32629,34413,831,67867,415498,22938,2373,508680,6208,41459,516,48185,308621,18150,2206,377161,1055,8276,94,9427,186619,16232,639,212920,146,454,11,605,76140,15230,171,92147,816064,131170,10047,957274,2631843,226989,12016,3828123
UCL102001,201,636,9,844,3503,232,9,4587,32,489,0,514,2122,138,11,2782,4,75,0,83,1244,89,0,1419,0,9,0,5,495,65,0,576,6312,1986,240,8541,20362,1585,41,30526
UCL102002,1688,4383,63,6140,33392,1728,62,41318,295,3832,41,4164,31478,1933,51,37632,58,604,6,667,21414,2158,22,24258,17,36,0,47,8052,2039,12,10147,53769,13662,1377,68810,181060,15716,293,265883
UCL102003,365,1000,13,1387,7021,429,7,8844,74,1010,3,1087,7779,447,25,9331,17,182,0,195,5752,495,15,6463,0,10,0,12,2506,365,0,2882,9043,3128,367,12541,38298,3588,77,54502
UCL102004,1639,6558,68,8268,31496,1545,55,41362,354,6887,31,7266,26695,1675,56,35699,78,1254,4,1336,18690,1739,20,21793,13,63,0,77,7863,1587,0,9525,56301,20976,1935,79211,191439,14700,337,285688
UCL102005,1342,4486,56,5887,26973,1214,44,34115,216,3746,20,3973,22403,1134,45,27555,60,611,3,676,15316,1268,12,17265,11,32,0,40,6065,1241,4,7352,46293,13230,1103,60619,156514,11598,232,228968
UCL111001,240,918,10,1174,4830,315,6,6320,41,839,4,882,4417,259,4,5563,5,177,0,182,2930,251,0,3365,0,12,0,17,1214,143,0,1376,8431,3171,399,12001,28778,2600,35,43421
UCL111002,261,770,14,1047,5138,366,13,6570,49,823,5,872,5228,355,8,6464,14,146,0,165,3563,424,6,4156,4,10,0,14,1457,356,0,1827,7385,2704,387,10472,28956,3211,97,42740
UCL111003,333,1670,22,2018,7299,310,9,9637,49,1382,7,1444,6323,279,9,8046,14,190,0,206,4013,273,4,4500,0,20,0,13,1300,214,4,1528,16483,5172,714,22369,44712,2923,73,70076
UCL112001,103,235,3,340,1796,159,5,2297,17,207,0,224,1464,117,7,1810,3,52,0,57,1146,153,0,1356,0,3,0,6,447,113,0,558,2779,902,118,3797,11606,2054,34,17500
UCL112002,159,599,9,769,3059,211,6,4048,24,538,0,567,2667,140,3,3380,3,91,0,91,1836,135,3,2065,0,10,0,10,861,74,0,946,5632,2096,281,8008,19101,2322,39,29468
UCL112003,299,329,10,640,3784,158,6,4589,54,355,5,419,3933,157,10,4510,12,67,0,78,1939,109,7,2136,3,0,0,8,622,64,0,692,4778,1199,130,6109,18184,1070,45,25405
UCL112004,167,300,8,467,2481,93,9,3047,29,366,4,396,3137,115,9,3647,5,132,0,138,2572,166,3,2873,5,10,0,13,886,186,0,1085,3455,1125,122,4710,14355,963,32,20063
UCL112005,61,471,4,538,1932,234,0,2706,20,380,0,401,1833,178,3,2413,7,56,0,62,1166,138,0,1365,0,0,0,0,550,91,0,644,3405,1444,150,5002,11354,2535,13,18904
UCL112006,138,693,9,838,3042,298,4,4184,30,481,5,517,2566,240,8,3326,4,111,0,121,1882,215,0,2222,0,11,0,16,760,119,0,897,6270,2258,276,8797,19218,2767,53,30836
UCL112007,25,89,0,108,675,40,0,825,14,82,0,89,897,60,0,1041,0,13,0,13,573,79,0,661,0,4,0,4,146,62,0,205,968,288,44,1306,3643,391,0,5341
UCL112008,77,326,3,409,2509,130,6,3049,18,322,4,342,3547,216,5,4108,0,58,0,62,2569,255,0,2889,5,3,0,9,1056,275,0,1344,2056,992,89,3141,13824,1291,22,18280
UCL112009,110,475,6,590,2187,163,4,2948,18,298,5,315,2108,161,4,2588,8,65,0,72,1467,100,0,1635,0,4,0,4,654,61,0,717,3522,1352,167,5041,13318,1643,24,20034
UCL112010,95,370,6,463,1761,157,10,2390,29,273,6,303,1285,117,5,1711,4,64,0,71,931,112,0,1113,0,4,0,4,457,135,0,598,3116,1126,119,4364,11219,1405,123,17114
UCL112011,71,369,9,449,1669,98,7,2220,9,262,0,269,1521,81,3,1885,3,26,0,32,779,60,0,871,0,0,0,4,298,18,0,323,3528,1167,160,4853,9981,793,12,15642
UCL112012,173,428,10,611,2921,238,10,3779,32,398,0,431,2565,210,0,3202,0,68,0,74,1600,200,0,1880,0,0,0,0,741,167,4,913,4047,1528,227,5807,15738,1949,52,23542
UCL112013,11,60,4,75,221,13,0,307,0,39,0,39,175,8,0,224,0,6,0,7,96,0,0,108,0,0,0,0,28,0,0,29,408,143,25,576,1139,141,49,1906
UCL112014,91,334,3,428,2196,83,3,2714,20,286,0,312,2203,113,0,2625,4,77,0,81,1860,109,0,2051,0,5,0,5,852,71,0,924,3391,1079,132,4596,12553,799,11,17967
UCL112015,135,460,9,600,2953,277,11,3842,32,431,0,461,2942,201,9,3611,12,77,0,86,2054,158,5,2303,0,5,0,8,905,83,0,985,4952,1690,243,6882,17466,2789,33,27174
UCL112016,158,612,9,786,3278,224,14,4300,28,552,10,582,2934,201,4,3719,7,119,0,124,1998,199,3,2322,3,14,0,17,849,147,0,1008,6775,2266,323,9357,20512,2028,57,31961
UCL112017,247,698,9,957,5111,299,4,6370,50,785,3,837,5657,357,5,6864,16,171,0,189,4329,416,3,4935,3,13,0,16,1750,407,0,2182,6736,2501,300,9534,28943,2539,65,41079
UCL112018,136,534,7,676,3011,269,6,3962,45,446,0,489,2683,259,9,3441,5,89,0,98,2073,336,0,2507,0,5,0,4,893,250,0,1147,4998,1844,239,7082,18885,2788,52,28797
UCL112019,240,871,13,1121,4305,267,4,5696,42,782,10,833,3658,238,0,4734,9,161,0,163,2490,195,3,2861,3,6,0,8,1128,145,3,1288,7699,3058,379,11135,26503,2362,99,40101
UCL113001,104,276,4,385,1993,125,0,2493,25,334,0,354,2610,178,3,3144,11,58,0,69,1878,168,0,2118,0,5,0,6,978,197,0,1174,2271,944,67,3282,11671,1183,15,16156
UCL113002,49,201,0,258,1480,120,0,1859,13,177,0,193,1776,127,4,2102,3,37,0,40,1207,112,0,1354,0,5,0,5,512,42,0,562,1307,596,64,1969,7839,845,11,10658
UCL113003,66,331,6,403,2037,152,4,2599,18,241,0,263,1842,146,3,2254,5,35,0,44,1074,150,0,1263,3,6,0,3,461,119,0,583,2180,963,118,3260,10033,1342,15,14656
UCL113004,95,89,5,191,1091,119,0,1400,21,153,0,179,925,70,4,1175,0,37,0,38,393,42,0,476,0,0,0,0,147,23,0,174,1475,439,55,1975,6520,883,104,9485
UCL113005,72,297,5,370,1646,125,0,2138,18,230,0,252,1625,111,0,1987,5,61,0,68,1230,113,0,1410,0,0,0,0,601,94,0,700,2407,1042,151,3609,9283,1118,46,14055
