UCL_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
UCL101001,851874,558215,731906,699730,583756,496062,366276,206084,87045,4580940,386,382,484,493,521,524,727,903,1266,5690,10380,12228,16568,11200,9033,8444,6974,4974,3588,83379,154,332,612,396,289,335,222,79,21,2438,195,676,683,406,448,538,423,141,41,3546,21,102,150,68,70,70,73,22,6,580,35,237,213,154,122,123,103,35,3,1026,14,46,65,47,37,45,53,21,3,329,10,33,48,25,27,22,19,3,0,187,50,335,207,146,102,131,92,17,3,1083,0,3,0,3,0,0,7,0,0,17,10853,13984,18550,12441,10135,9716,7954,5296,3669,92593,11235,14371,19038,12937,10660,10241,8685,6196,4932,98283,912,1241,2279,1612,1492,2373,2206,639,171,12928,864027,573818,753220,714279,595903,508680,377161,212920,92147,4692155
UCL102001,6727,4174,5944,5194,5177,4426,2684,1375,551,36232,0,5,0,3,3,5,3,8,3,28,69,134,110,68,104,105,67,35,17,708,0,3,6,3,6,19,6,0,0,39,4,3,6,3,5,12,0,0,0,36,0,0,4,0,5,4,3,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,38,54,67,40,26,13,8,3,7,253,0,0,0,0,0,0,0,0,0,0,115,197,193,113,140,150,89,40,19,1069,115,196,197,120,144,155,96,48,26,1091,3,4,3,4,5,9,11,0,0,47,6842,4369,6140,5318,5326,4587,2782,1419,576,37376
UCL102002,57592,34873,35066,38066,39919,40153,36549,23624,9747,315593,42,43,25,38,39,63,101,79,52,484,1201,1249,1052,839,948,958,844,503,329,7927,4,7,8,18,5,16,16,11,0,91,19,38,31,18,31,35,44,11,3,232,0,0,0,3,0,5,4,0,0,13,0,6,7,0,3,5,0,5,0,32,0,3,0,3,4,10,8,4,0,31,0,0,3,4,0,0,0,0,0,8,3,9,5,5,3,6,4,0,0,31,0,0,0,0,0,0,0,0,0,0,1232,1316,1107,883,1004,1041,928,530,336,8374,1271,1354,1133,919,1040,1104,1029,613,394,8856,39,29,35,39,48,62,51,22,12,334,58898,36256,36232,39023,41015,41318,37632,24258,10147,324779
UCL102003,9746,5698,5760,6817,7341,8286,8608,6042,2792,61091,9,9,7,6,10,17,15,35,12,126,173,186,223,203,234,338,392,148,56,1955,5,3,18,5,21,49,160,142,6,421,48,79,107,93,89,107,86,35,7,667,0,0,3,0,0,14,14,19,0,51,3,0,0,0,0,3,3,0,0,12,0,0,0,4,0,9,20,19,4,50,5,0,0,4,0,0,0,0,0,4,0,0,0,3,4,9,25,14,0,56,0,0,0,0,0,0,0,0,0,0,230,270,358,309,359,538,697,372,75,3211,246,280,359,320,368,553,705,409,93,3328,4,4,15,4,8,7,25,15,0,78,10000,5986,6143,7142,7718,8844,9331,6463,2882,64501
UCL102004,58710,41647,44982,42488,41828,40110,34644,21061,9115,334590,34,65,39,41,62,79,79,106,82,596,1264,1785,1659,1142,1029,1018,849,573,327,9647,9,30,35,14,27,21,20,12,3,162,0,36,39,23,35,37,30,6,0,208,4,0,6,3,7,8,3,7,0,35,0,5,0,0,9,15,3,0,0,35,0,4,9,3,7,9,3,4,0,32,4,3,5,3,0,0,0,4,0,12,0,11,8,4,4,13,4,0,0,45,0,0,0,0,0,0,0,0,0,4,1282,1871,1758,1200,1116,1119,915,597,327,10185,1311,1936,1802,1237,1183,1196,997,708,411,10777,39,38,73,51,39,55,56,20,0,378,60063,43617,46860,43782,43048,41362,35699,21793,9525,345748
UCL102005,49123,35160,35608,33802,34110,33324,26911,16795,6991,271818,34,39,35,27,45,49,54,56,41,371,827,1162,1002,722,641,626,504,383,314,6188,9,12,17,13,8,12,10,3,0,76,10,14,10,11,22,30,27,8,0,141,0,0,0,0,0,4,4,4,0,10,0,4,0,0,3,11,5,5,0,35,0,4,0,0,0,5,5,0,0,17,0,0,4,0,7,3,0,0,0,11,0,27,9,7,9,10,4,0,0,63,0,0,0,0,0,0,0,0,0,0,847,1229,1038,754,695,700,552,407,321,6544,884,1270,1074,781,737,747,604,463,358,6915,22,32,39,28,32,44,45,12,4,261,50019,36467,36721,34614,34876,34115,27555,17265,7352,278990
UCL111001,9869,6233,6923,6374,6118,6070,5340,3248,1311,51484,9,8,14,11,8,19,23,22,9,126,155,219,168,136,112,147,131,60,47,1170,62,120,118,64,75,66,55,31,4,596,3,4,15,4,3,19,8,0,0,47,0,0,4,0,0,6,5,0,0,20,0,0,4,6,0,0,0,0,0,10,0,3,0,0,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,222,360,312,208,197,236,200,92,53,1877,229,365,327,219,207,250,224,118,61,2000,5,7,16,4,0,6,4,0,0,39,10107,6608,7263,6596,6329,6320,5563,3365,1376,53529
UCL111002,8717,5179,5369,5715,6034,6196,6033,3958,1736,48937,8,7,13,13,9,23,17,21,19,124,196,341,323,258,278,297,295,125,64,2179,4,10,7,9,6,11,73,37,3,153,15,14,27,9,22,24,17,9,0,124,0,0,0,0,0,7,8,0,0,18,0,0,0,0,0,6,0,3,0,6,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,9,0,26,0,0,0,0,0,0,0,0,0,3,209,367,363,277,308,332,403,183,72,2510,213,376,371,288,319,361,421,202,91,2636,6,11,34,19,11,13,8,6,0,106,8946,5568,5772,6016,6364,6570,6464,4156,1827,51683
UCL111003,18542,10398,12611,11560,10444,9389,7832,4357,1460,86604,14,6,9,8,9,12,22,14,4,100,415,390,378,257,206,219,160,112,63,2193,0,0,3,8,0,5,4,0,0,15,3,0,7,3,10,3,10,4,0,40,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,7,0,0,9,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,422,393,388,262,213,230,183,119,63,2283,433,403,402,272,224,238,208,131,70,2377,7,12,12,9,7,9,9,4,4,74,18979,10810,13029,11842,10678,9637,8046,4500,1528,89056
UCL112001,3669,3423,2923,2290,2043,2192,1745,1320,530,20136,0,10,6,5,4,4,5,7,5,50,69,328,127,87,90,66,52,29,19,863,0,11,9,0,7,0,0,0,0,31,0,38,13,0,9,24,3,0,0,95,0,4,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,73,387,146,97,113,94,55,34,20,1022,74,402,156,103,118,103,64,39,26,1072,4,0,12,3,6,5,7,0,0,42,3750,3826,3091,2393,2159,2297,1810,1356,558,21246
