UCL_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL101001,..,7328,10693,3468,2084,1643,812,263,120,26408,..,17664,31300,7650,5000,5476,3883,1442,424,72820,..,7224,27495,23046,22318,33809,41553,35003,18771,209216,3487,4988,5754,3131,2386,2778,2549,1403,840,27328,262,383,623,384,483,1219,1014,272,65,4709,402247,262539,358537,342014,291414,250309,189224,104568,39859,2240711,..,11088,235055,432312,361537,303605,224096,109459,24248,1701399,..,26945,140622,73059,47669,29930,13258,3870,515,335870,..,2762,16747,38105,53344,36424,17065,11459,7598,183513,819280,..,..,..,..,..,..,..,..,819280,..,259949,..,..,..,..,..,..,..,259949,..,136498,116686,33859,20992,10219,1898,84,0,320238,..,24388,24942,9487,9855,18370,19981,13649,7947,128613,..,15430,26031,9500,6204,4699,2177,643,198,64892,..,39330,76117,21129,13140,12721,8739,3185,784,175128,..,14388,57060,51390,49285,63420,65472,49571,25417,376004,7184,9253,11591,6911,5495,5316,4312,2175,1133,53364,519,744,1227,868,930,1814,1781,496,113,8494,826980,540776,706080,676619,568448,486521,358784,194583,67950,4426736
UCL102001,..,44,78,17,16,10,4,0,0,162,..,61,93,33,31,38,30,7,0,293,..,100,315,270,323,471,349,297,143,2263,44,69,62,20,29,41,33,18,7,326,0,0,0,0,0,4,7,0,0,19,3146,2008,2918,2532,2591,2109,1328,720,241,17582,..,88,2101,2854,2903,2391,1498,609,151,12594,..,376,1259,697,583,332,124,22,0,3386,..,41,239,401,469,257,114,88,44,1659,6448,..,..,..,..,..,..,..,..,6448,..,1637,..,..,..,..,..,..,..,1637,..,1239,647,203,140,71,13,5,0,2317,..,183,162,54,74,113,110,66,24,783,..,99,207,59,32,18,8,0,0,427,..,159,325,124,89,104,64,22,6,895,..,214,695,615,737,956,633,441,174,4465,82,154,133,68,68,71,63,26,9,668,0,0,0,4,3,7,11,0,0,34,6528,4186,5777,5062,5101,4329,2640,1273,406,35307
UCL102002,..,555,377,137,156,130,53,29,11,1445,..,610,698,255,469,699,540,239,57,3576,..,323,912,849,1655,3703,5430,4702,2615,20195,405,556,398,230,252,290,260,136,67,2590,8,10,16,14,18,33,21,3,0,119,27130,16862,17681,19353,20331,20944,19254,11936,4555,158048,..,404,10420,20999,21369,21774,20591,11838,2344,109742,..,2953,9334,5767,4831,3493,1863,690,86,29015,..,454,2325,3931,4851,2806,1355,961,723,17407,55327,..,..,..,..,..,..,..,..,55327,..,13865,..,..,..,..,..,..,..,13865,..,11748,5676,1980,1481,982,207,11,0,22092,..,1158,853,457,590,1244,1378,951,541,7186,..,1078,994,457,427,364,159,68,12,3557,..,1195,1777,672,1110,1473,1153,521,105,8014,..,652,2113,2281,3845,6718,8390,6916,3547,34469,838,1050,805,540,542,541,460,228,106,5111,29,15,25,26,35,51,34,9,3,229,56195,34594,34330,37113,39086,39441,35595,22193,7467,306016
UCL102003,..,119,94,37,32,47,12,11,5,355,..,166,191,66,95,206,172,83,28,1005,..,41,167,168,328,879,1312,1189,753,4836,71,99,78,57,63,101,95,38,24,624,5,8,7,4,0,4,3,6,0,36,4494,2793,2954,3504,3771,4464,4553,3078,1339,30960,..,35,1553,3635,3797,4232,4666,3048,776,21747,..,356,1599,1119,893,817,531,213,34,5568,..,56,287,651,908,460,257,249,187,3060,9246,..,..,..,..,..,..,..,..,9246,..,2256,..,..,..,..,..,..,..,2256,..,1910,816,351,301,266,70,4,0,3721,..,235,153,61,87,223,283,165,104,1316,..,228,221,88,89,100,41,17,6,787,..,286,429,165,206,404,358,171,54,2074,..,93,335,376,707,1475,2073,1756,1026,7838,140,196,170,128,147,195,167,62,32,1232,6,4,16,4,10,7,12,8,0,52,9390,5662,5581,6577,7152,8175,8455,5701,2224,58911
UCL102004,..,644,505,137,112,93,33,17,0,1545,..,2622,2064,452,455,580,426,135,45,6787,..,567,1690,1334,1823,3765,4790,4185,2439,20594,455,835,584,298,263,289,240,94,71,3130,17,17,16,12,17,27,29,4,0,145,28087,20068,22587,21492,21292,20625,17891,10732,4161,166940,..,438,12674,23522,23164,22598,20486,10970,2200,116053,..,3847,12521,6527,4855,3409,1616,515,66,33348,..,313,1881,3769,4770,2552,1276,971,682,16210,56970,..,..,..,..,..,..,..,..,56970,..,14724,..,..,..,..,..,..,..,14724,..,10786,5242,1976,1491,976,184,12,0,20660,..,1659,1147,403,547,1001,1079,738,408,6984,..,1300,1331,402,349,242,133,33,16,3803,..,4986,4887,1207,1107,1292,863,310,74,14726,..,1174,3657,3293,4335,6988,7764,5973,3280,36462,945,1439,1213,708,628,562,416,182,95,6185,22,28,51,33,29,45,44,16,0,266,57938,40690,44603,41832,41270,39653,33868,19710,6824,326389
UCL102005,..,467,331,89,104,81,38,14,5,1131,..,1841,1248,222,306,381,262,99,27,4393,..,417,1084,872,1390,2724,3427,3178,1744,14838,322,487,382,221,178,211,160,112,56,2129,3,9,10,17,9,23,19,4,0,95,23213,16852,17606,16968,17332,17005,13874,8628,3267,134743,..,383,10698,19516,19632,19530,16626,8965,1929,97281,..,2761,8972,4557,3670,2514,1122,354,67,24017,..,307,1586,3030,3742,2268,976,845,601,13346,47301,..,..,..,..,..,..,..,..,47301,..,12761,..,..,..,..,..,..,..,12761,..,10516,5473,1864,1415,828,162,3,0,20269,..,1231,826,357,466,924,935,707,405,5848,..,898,880,288,237,205,93,32,13,2646,..,3663,3290,616,678,845,562,229,49,9933,..,786,2417,2291,3265,5365,5610,4598,2381,26713,680,893,779,535,429,427,296,163,91,4293,17,24,20,28,21,36,35,11,0,190,47996,34219,34946,33078,33560,32949,26408,15902,5529,264600
UCL111001,..,88,57,15,17,5,6,4,0,190,..,309,197,59,72,88,63,30,4,815,..,195,370,268,357,723,874,766,393,3948,67,116,76,39,53,55,41,27,9,478,0,0,6,0,0,3,0,0,0,19,4638,3072,3463,3199,3142,3128,2755,1692,604,25697,..,70,2121,3321,3161,3230,3016,1600,329,16846,..,716,1704,910,687,503,241,90,4,4854,..,127,453,699,723,336,146,108,70,2660,9341,..,..,..,..,..,..,..,..,9341,..,1930,..,..,..,..,..,..,..,1930,..,1598,599,209,151,98,18,0,0,2674,..,249,168,85,82,139,132,72,35,966,..,184,152,50,34,29,13,5,0,472,..,593,546,141,168,176,142,50,7,1828,..,361,813,631,856,1309,1389,1048,527,6925,143,231,187,115,106,100,88,34,10,1020,5,5,11,0,0,7,3,0,0,29,9485,6055,6745,6164,5977,5925,5196,3006,984,49542
UCL111002,..,90,81,50,32,22,7,0,0,279,..,184,149,53,91,132,89,34,0,740,..,79,192,182,350,708,885,812,411,3620,74,152,87,58,64,74,59,27,11,598,4,0,0,0,0,4,3,0,0,25,4246,2548,2690,2907,3150,3278,3140,1998,739,24687,..,75,1552,2761,2980,3131,3328,1989,484,16307,..,470,1217,867,750,596,356,106,18,4375,..,77,396,693,761,395,204,156,103,2790,8273,..,..,..,..,..,..,..,..,8273,..,1836,..,..,..,..,..,..,..,1836,..,1461,690,280,222,143,45,0,0,2848,..,277,152,70,86,162,172,93,76,1097,..,193,192,110,81,50,27,10,0,666,..,319,360,146,199,255,190,74,11,1553,..,148,426,430,677,1221,1445,1125,558,6024,158,276,199,136,131,112,103,46,20,1181,6,0,14,3,9,9,3,0,0,49,8447,5140,5197,5501,5887,6077,5875,3604,1271,47001
UCL111003,..,151,110,39,29,23,11,3,0,366,..,144,213,101,95,122,91,28,8,805,..,115,312,261,432,840,1036,860,445,4312,170,186,153,74,70,77,73,37,20,861,0,0,8,0,4,10,0,0,4,32,8957,5226,6537,5883,5397,4950,4144,2300,765,44160,..,169,4417,6467,5893,5511,4904,2410,386,30153,..,1300,3563,1750,1251,742,290,98,9,9009,..,158,880,1232,1210,621,295,193,116,4699,17950,..,..,..,..,..,..,..,..,17950,..,3732,..,..,..,..,..,..,..,3732,..,3417,1432,484,341,163,37,0,0,5871,..,419,307,146,172,331,312,200,83,1967,..,325,304,128,109,62,38,11,0,971,..,323,516,239,222,287,214,59,9,1873,..,247,803,753,1015,1470,1602,1207,572,7665,368,351,324,193,164,142,115,50,29,1724,0,10,9,5,9,13,5,3,4,57,18318,10456,12552,11389,10378,9332,7806,4231,1205,85663
UCL112001,..,32,26,7,3,0,0,0,0,73,..,195,109,23,18,23,18,10,0,404,..,81,167,107,161,296,314,301,167,1597,23,56,38,14,14,16,14,10,5,187,0,0,0,0,5,0,0,0,0,15,1670,1232,1377,1097,1052,1092,891,668,252,9330,..,62,839,1122,976,1034,912,617,145,5703,..,329,631,284,229,202,87,18,0,1771,..,32,176,245,241,126,61,50,28,957,3320,..,..,..,..,..,..,..,..,3320,..,747,..,..,..,..,..,..,..,747,..,476,205,76,57,36,3,0,0,856,..,113,71,25,35,46,54,23,13,377,..,73,67,23,13,4,0,3,0,187,..,360,250,56,52,58,40,18,4,840,..,157,328,257,317,531,493,418,223,2726,38,107,67,46,52,34,14,14,4,393,4,6,7,7,5,5,7,0,0,30,3363,2477,2629,2138,1974,2081,1670,1162,423,17916
