UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL214001,1122,801,949,696,786,943,895,557,269,7015
UCL214002,1563,671,796,921,796,489,475,258,117,6087
UCL214003,1341,941,1030,920,1057,1416,1434,1021,496,9656
UCL214004,870,516,651,578,607,621,717,542,225,5338
UCL214005,158,93,87,106,144,134,162,75,25,986
UCL214006,960,431,546,644,761,1047,1294,703,293,6682
UCL214007,1084,461,1273,858,485,456,275,90,16,5000
UCL214008,1588,1112,1110,957,1055,1244,1204,842,406,9512
UCL214009,1433,844,955,992,1081,1248,1027,697,295,8581
UCL214010,933,433,435,615,608,886,1139,680,232,5959
UCL214011,1693,1087,1098,1029,1147,976,920,621,244,8806
UCL214012,1001,624,630,604,676,758,761,572,309,5940
UCL214013,845,464,507,634,739,599,616,452,263,5109
UCL214014,939,515,558,609,689,965,1282,730,264,6556
UCL214015,1039,565,561,659,578,682,762,501,213,5567
UCL214016,1137,735,779,632,891,1031,1220,948,376,7754
UCL214017,627,359,308,424,540,862,1175,739,295,5323
UCL214018,969,551,584,734,1039,1622,2085,1031,287,8902
UCL214019,910,743,757,628,729,859,773,427,201,6023
UCL214020,856,584,697,547,619,789,771,494,214,5569
UCL214021,1048,737,611,641,762,552,530,327,209,5414
UCL214022,1223,815,829,814,951,1158,1317,867,374,8342
UCL215001,175,136,101,120,217,374,306,115,27,1567
UCL215002,355,217,210,242,292,374,421,261,98,2473
UCL215003,484,246,272,342,395,560,590,293,103,3295
UCL215004,209,114,191,150,217,277,246,121,44,1571
UCL215005,186,86,105,97,131,142,204,114,54,1118
UCL215006,497,203,331,367,281,357,290,181,75,2581
UCL215007,504,194,153,321,335,334,341,234,77,2493
UCL215008,496,221,230,274,283,221,147,43,11,1919
UCL215009,134,77,66,94,106,162,186,99,14,937
UCL215010,476,309,143,307,340,301,210,94,33,2213
UCL215011,160,96,87,99,145,165,205,131,52,1140
UCL215012,523,247,224,382,448,467,533,294,108,3223
UCL215013,1173,417,848,767,466,285,136,23,4,4122
UCL215014,249,140,181,135,177,155,96,49,12,1208
UCL215015,370,256,258,327,334,375,363,245,78,2615
UCL215016,794,430,589,515,526,509,395,206,73,4031
UCL215017,631,318,323,341,306,318,221,173,76,2706
UCL215018,424,265,288,268,321,413,440,331,120,2865
UCL215019,438,241,240,310,340,329,270,95,18,2282
UCL215020,153,113,110,88,119,232,240,187,96,1344
UCL215021,183,123,100,108,193,198,194,100,17,1213
UCL215022,898,644,625,533,501,582,531,279,42,4635
UCL215023,227,145,147,114,194,210,186,158,77,1456
UCL215024,260,122,140,163,203,233,356,239,123,1830
UCL215025,156,74,80,100,106,207,219,76,19,1031
UCL215026,152,77,108,106,137,191,190,105,17,1091
UCL215027,170,85,104,117,128,175,157,124,73,1141
UCL215028,426,220,241,288,348,424,423,280,136,2783
UCL215029,430,228,332,386,557,703,641,320,148,3742
UCL215030,162,124,122,107,157,214,205,138,73,1300
UCL215031,209,109,120,121,160,208,200,140,91,1358
UCL215032,441,265,291,312,301,416,517,333,192,3065
UCL215033,824,264,318,559,416,228,175,33,3,2823
UCL215034,132,104,80,100,117,174,242,209,112,1273
UCL215035,370,183,204,208,191,167,175,99,21,1613
UCL215036,249,151,118,136,177,164,123,65,12,1193
UCL215037,197,97,157,150,173,227,227,109,18,1359
UCL215038,210,119,138,168,197,298,343,237,105,1811
UCL215039,253,149,168,150,147,192,245,146,61,1516
UCL215040,213,124,121,130,148,202,227,91,58,1309
UCL215041,608,326,335,354,423,515,517,387,201,3670
UCL215042,230,148,129,155,212,191,125,47,6,1237
UCL215043,815,374,569,439,356,299,221,132,95,3299
UCL215044,360,175,204,187,207,222,190,99,33,1685
UCL215045,658,383,444,358,439,509,522,303,176,3805
UCL215046,341,179,225,216,191,226,205,82,19,1682
UCL215047,486,238,417,256,240,200,163,91,29,2128
UCL215048,469,185,352,253,175,211,150,80,21,1888
UCL215049,142,123,201,130,137,256,308,116,55,1472
UCL215050,620,266,161,380,459,411,414,171,28,2903
UCL215051,875,464,520,506,420,566,579,369,143,4441
UCL215052,128,86,83,97,170,278,331,161,59,1392
UCL215053,736,290,444,483,428,545,498,340,140,3910
UCL215054,370,182,247,185,230,299,243,164,105,2030
UCL215055,202,84,95,136,181,339,408,165,21,1633
UCL215056,293,151,226,205,196,221,160,60,26,1539
UCL215057,353,148,149,201,225,244,212,134,67,1718
UCL215058,186,95,108,89,127,183,181,117,57,1139
UCL215059,345,179,223,266,277,329,400,177,63,2258
UCL215060,448,260,286,300,320,404,355,275,154,2816
UCL215061,315,161,210,228,202,298,329,193,93,2026
UCL215062,239,186,141,151,155,223,224,142,72,1536
UCL215063,205,112,123,107,98,129,162,88,41,1075
UCL215064,291,193,282,180,216,250,204,211,120,1939
UCL215065,593,373,426,369,462,545,559,393,189,3909
UCL215066,316,144,181,167,232,331,336,222,81,2013
UCL215067,132,81,136,89,111,144,166,97,75,1032
UCL215068,312,198,187,201,336,571,864,547,188,3402
UCL215069,585,242,249,395,361,481,630,349,152,3441
UCL215070,563,342,389,336,344,375,346,211,120,3031
UCL215071,715,442,325,427,543,520,330,168,30,3496
UCL215072,425,234,436,410,249,282,255,117,62,2467
UCL215073,391,269,216,228,336,433,400,322,161,2754
UCL215074,1034,535,740,623,667,548,445,212,44,4844
UCL215075,226,132,165,140,133,183,156,86,15,1242
UCL215076,383,208,238,229,265,317,350,191,79,2255
UCL215077,257,125,141,206,212,293,283,138,54,1708
UCL215078,439,219,273,259,244,238,138,70,13,1887
UCL215079,295,189,217,169,265,305,314,252,110,2116
UCL215080,451,232,316,252,226,248,295,127,31,2175
UCL215081,747,391,548,420,508,561,499,366,126,4174
UCL215082,541,244,241,335,312,268,187,47,16,2197
UCL215083,311,187,211,192,228,319,259,190,99,1986
UCL215084,267,139,170,108,156,144,165,96,61,1305
UCL215085,264,120,122,184,140,136,121,41,14,1155
UCL215086,773,401,441,473,449,380,424,259,118,3729
UCL215087,353,171,199,213,238,255,184,57,10,1680
UCL215088,267,178,135,182,340,332,266,132,67,1894
UCL215089,339,212,244,188,243,322,331,219,107,2199
UCL215090,360,178,316,257,202,268,255,123,58,2024
UCL215091,240,241,109,142,216,292,176,49,13,1487
UCL215092,950,394,355,599,696,545,570,347,136,4594
UCL215093,914,486,691,528,492,479,387,145,45,4160
UCL215094,218,131,77,120,165,160,105,39,3,1019
UCL215095,203,132,151,115,141,170,123,43,15,1088
UCL215096,473,254,303,291,327,272,271,151,34,2372
UCL215097,609,387,366,373,430,365,356,223,104,3227
UCL215098,257,133,207,159,119,189,187,91,33,1380
UCL215099,240,174,139,159,176,240,275,205,107,1713
UCL215100,188,98,100,105,132,203,196,167,59,1253
UCL221001,145,86,81,86,110,81,70,23,5,688
UCL221002,131,79,72,94,113,136,133,62,17,830
UCL221003,118,50,91,68,66,88,44,28,3,552
UCL221004,269,165,63,162,191,140,81,34,7,1114
