UCL_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL101001,1442,8006,54226,311208,341825,111103,24543,34266,886617,685,5070,24359,30530,6106,960,221,3881,71820,597,8046,30985,74194,28255,4064,744,7731,154614,1289,13123,55337,104721,34354,5021,960,11611,226434,2406,19071,47934,14069,1583,338,199,6900,92495,2669,23343,103960,20899,962,114,118,9450,161516,4016,41139,109588,27074,1006,147,85,12049,195104,3429,35082,63318,15352,611,47,52,7982,125875,141,1128,3217,1554,922,447,181,664,8242,12659,119753,328016,78944,5089,1098,634,37041,583229,338,1781,2927,1457,294,84,46,1019,7950,253,829,1123,554,364,149,55,677,4014,15982,143498,441628,496888,381927,117460,26243,84614,1708243
UCL102001,6,60,444,3509,3724,841,213,348,9147,0,119,810,583,48,0,0,102,1663,0,107,701,575,48,3,3,83,1527,8,232,1510,1164,100,3,4,176,3193,23,493,438,63,8,0,3,94,1124,13,135,374,19,0,0,0,51,593,0,221,671,39,0,0,0,50,983,0,17,57,6,0,0,0,3,83,0,3,5,10,3,0,0,0,23,34,864,1551,138,12,0,5,200,2804,4,9,12,6,0,0,0,10,39,3,10,12,0,0,0,0,5,27,51,1171,3524,4813,3838,847,221,747,15207
UCL102002,231,1662,11578,38491,33930,8248,1654,4255,100044,64,647,4607,3886,177,25,14,754,10171,15,469,1689,3458,370,37,13,447,6501,78,1121,6295,7347,550,64,27,1203,16673,88,965,3070,1960,214,31,16,633,6968,23,117,971,401,22,0,0,100,1634,38,271,1717,432,21,4,3,195,2679,0,73,369,157,6,0,0,37,641,12,66,187,81,31,20,5,24,414,152,1484,6318,3036,290,48,25,990,12344,76,285,417,145,21,10,0,202,1150,29,68,56,44,19,4,3,43,270,564,4622,24669,49055,34810,8367,1707,6689,130483
UCL102003,39,360,1637,5704,5340,1166,231,686,15166,7,210,1533,1984,92,7,6,216,4049,6,134,883,1335,104,11,3,162,2643,15,348,2416,3320,196,23,12,379,6693,27,234,887,327,19,3,0,156,1653,0,119,988,326,8,3,0,127,1567,3,78,372,176,9,0,0,36,666,9,77,355,134,12,0,0,73,654,4,26,15,0,6,4,0,0,50,37,529,2614,963,44,8,0,391,4585,116,367,226,20,8,0,0,209,946,21,44,26,14,3,0,6,13,119,224,1641,6916,10026,5595,1201,247,1665,27520
UCL102004,171,1249,13534,48237,31788,6577,1223,3248,106020,23,1029,4955,2562,218,32,14,536,9374,47,751,3053,4106,503,90,29,510,9089,70,1782,8009,6673,718,121,41,1048,18464,157,2035,2500,599,78,14,10,583,5984,42,573,1615,320,6,4,3,327,2900,64,604,1294,616,29,0,8,162,2781,24,500,792,336,24,0,0,57,1736,7,111,168,95,30,18,3,48,476,295,3830,6366,1972,165,44,29,1182,13879,68,203,184,75,29,9,0,109,676,17,67,47,38,13,3,9,42,239,620,7127,28139,56991,32720,6753,1303,5629,139277
UCL102005,85,694,5506,34078,26203,5930,1195,2618,76310,42,527,2734,2149,204,27,5,367,6054,13,569,2394,4271,533,39,14,484,8320,59,1103,5131,6419,735,66,19,846,14375,63,1351,3744,1043,133,28,16,502,6888,18,376,2125,473,17,3,0,295,3322,24,497,2401,968,37,0,3,239,4162,12,243,1114,657,37,0,0,95,2168,5,72,129,76,58,20,8,24,387,128,2542,9510,3230,274,60,28,1156,16928,36,245,434,102,32,14,4,131,997,15,38,45,45,10,6,7,38,206,321,4614,20631,43874,27256,6079,1257,4792,108813
UCL111001,26,130,1897,8254,5900,738,126,800,17869,11,419,2419,522,37,4,6,322,3737,0,126,181,103,19,3,0,66,491,9,549,2599,626,54,8,6,386,4230,0,87,102,21,0,0,0,19,241,4,8,64,0,0,0,0,11,84,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,96,186,27,4,0,0,40,357,14,21,28,6,9,0,0,38,106,0,0,4,12,13,0,0,18,42,58,794,4710,8925,5968,749,134,1276,22604
UCL111002,43,161,932,6286,4865,976,187,624,14073,3,119,1021,600,45,8,0,148,1944,5,67,366,708,107,16,5,95,1360,6,183,1381,1314,150,21,5,239,3303,20,289,1337,472,26,6,0,222,2374,3,63,239,57,5,0,0,33,401,0,54,133,73,10,0,0,21,289,5,0,75,36,0,0,0,0,117,3,22,13,9,3,3,0,0,47,38,428,1792,647,40,3,3,273,3228,52,151,106,35,4,0,3,110,464,9,25,18,15,4,4,0,11,96,145,957,4235,8293,5069,1007,199,1265,21168
UCL111003,25,166,1954,11547,12799,1768,281,883,29419,4,208,1372,875,122,0,6,147,2743,0,145,277,140,14,8,4,41,625,4,356,1650,1014,140,8,5,188,3365,12,251,319,45,4,0,0,70,707,0,0,0,0,0,0,0,4,12,0,12,16,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,8,32,15,9,0,0,8,80,15,274,372,67,17,0,0,83,826,14,56,98,26,4,0,0,16,226,5,14,0,15,9,3,0,4,51,63,864,4078,12664,12961,1783,291,1179,33886
UCL112001,12,89,679,3089,1921,377,95,338,6591,4,138,573,174,14,5,0,94,1007,0,33,81,40,10,6,0,15,175,4,170,648,219,21,3,0,104,1176,8,128,202,44,5,0,3,59,450,0,7,34,5,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,8,141,234,53,5,5,3,61,513,8,22,15,5,0,0,0,26,83,0,6,6,0,3,0,0,8,32,28,425,1589,3367,1956,385,99,544,8391
