UCL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
UCL121018,4,0,0,0,0,4,6,0,0,0,0,6,3,0,0,0,0,3,5,0,0,0,0,5,7,0,0,0,0,7,34,0,0,0,0,34,37,0,0,0,0,37,39,0,0,0,0,39,11,0,0,0,0,11,9,0,0,0,0,9,6,0,0,0,0,6,10,0,0,0,0,10,149,0,0,0,0,149
UCL121019,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,12,0,0,0,0,12,16,0,0,0,0,16,16,0,0,0,0,16,11,0,0,0,0,11,20,0,0,0,0,20,7,0,0,0,0,7,4,0,0,0,0,4,100,0,0,0,0,103
UCL121020,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,6,11,0,0,0,0,11,25,0,0,0,0,23,16,0,0,0,0,16,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,80,0,0,0,0,86
UCL121021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,14,0,0,0,0,14,11,0,0,0,0,15,8,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,60
UCL121022,4,0,0,0,0,4,8,0,0,0,0,8,9,0,0,0,0,9,7,0,0,0,0,7,12,0,0,0,0,12,22,0,0,0,0,22,8,0,0,0,0,8,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,73,0,0,0,0,73
UCL121023,4,0,0,0,0,4,6,0,0,0,0,6,5,0,0,0,0,5,11,0,0,0,0,11,11,0,0,0,0,11,8,0,0,0,0,8,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9,65,0,0,0,0,65
UCL121024,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,23,0,0,5,0,27,11,0,0,0,0,11,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,11,0,0,0,0,11,73,0,0,5,0,79
UCL121025,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,14,0,0,0,0,14,22,3,0,0,0,23,18,0,0,0,0,18,19,0,0,0,0,19,13,0,0,0,0,13,4,0,0,0,0,4,101,3,0,0,0,105
UCL121026,3,3,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,12,7,0,0,0,22,8,4,0,0,0,12,21,0,0,0,0,18,10,0,0,0,0,10,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,5,70,13,3,3,0,89
UCL121027,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0,9,12,6,0,0,0,23,4,3,0,0,0,10,13,5,0,0,0,20,10,0,0,0,0,13,6,0,0,0,0,10,0,0,0,0,0,3,7,0,0,0,0,9,71,21,0,0,0,91
UCL121028,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,14,0,0,0,0,14,15,0,0,0,0,15,11,0,0,0,0,11,7,0,0,0,0,7,8,0,0,0,0,8,7,0,0,0,0,7,5,0,0,0,0,5,85,0,0,0,0,85
UCL121029,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,12,0,0,0,0,12,13,0,0,0,0,13,28,0,0,0,0,28,6,0,0,0,0,6,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,77,0,0,0,0,77
UCL121030,6,0,0,0,0,3,5,0,0,0,0,5,7,0,0,0,0,7,18,0,0,0,0,18,13,0,0,0,0,13,33,0,0,0,0,33,19,0,0,0,0,19,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,99,0,0,0,0,98
UCL121031,13,0,0,0,0,13,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,6,14,0,0,0,0,8,18,3,0,0,0,22,18,5,0,0,0,25,13,0,0,0,0,13,5,0,0,0,0,5,4,0,0,0,0,4,13,0,0,0,0,13,108,9,0,0,0,112
UCL121032,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,5,0,0,0,0,5,8,0,0,0,0,8,16,0,0,0,0,16,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54
UCL121033,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,13,26,0,0,0,0,26,26,0,0,0,0,26,3,0,0,0,0,3,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,83,0,0,0,0,83
UCL121034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,13,0,0,0,0,13,16,0,0,0,0,17,27,0,0,0,0,28,11,0,0,0,0,13,15,0,0,0,0,15,13,0,4,0,0,15,8,0,0,0,0,10,117,0,8,0,0,130
UCL121035,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,32,0,0,0,0,32,37,0,0,0,0,37,57,0,0,0,0,57,22,0,0,0,0,22,8,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,10,194,0,0,0,0,194
UCL121036,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,25,0,0,0,0,26,22,0,0,0,0,22,51,0,0,0,0,52,34,0,0,0,0,34,21,0,0,0,0,21,9,0,0,0,0,9,9,0,0,0,0,9,206,0,0,0,0,209
UCL121037,4,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,18,0,0,0,0,21,27,0,0,0,0,27,19,0,0,0,0,19,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,93,4,0,0,0,100
UCL121038,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,8,0,0,0,0,8,21,0,0,0,0,21,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,60,0,0,0,0,60
UCL121039,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,6,0,0,0,0,6,8,0,0,0,0,10,8,0,0,0,0,8,16,0,0,0,0,16,27,0,0,0,0,27,5,0,0,0,0,5,81,0,0,0,0,86
UCL121040,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,9,0,0,0,0,9,22,0,0,0,0,22,24,0,0,0,0,24,6,0,0,0,0,6,7,0,0,0,0,7,12,0,0,0,0,12,90,0,0,0,0,90
UCL121041,4,0,0,0,0,4,10,0,0,0,0,10,3,0,0,0,0,3,15,0,0,0,0,15,14,0,0,0,0,14,22,0,0,0,0,22,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,89,0,0,0,0,89
UCL121042,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,6,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,7,0,0,0,0,7,51,0,0,0,0,51
UCL121043,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,5,0,0,0,0,5,9,0,0,0,0,9,14,0,0,0,0,14,14,0,0,0,0,14,21,0,0,0,0,21,14,0,0,0,0,14,6,0,0,0,0,6,107,0,0,0,0,107
UCL121044,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,5,21,0,0,0,0,21,23,0,0,0,0,24,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,78
UCL121045,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,0,0,0,0,5,16,0,0,0,0,16,14,0,0,0,0,14,14,0,0,0,0,14,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,73
UCL121046,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,10,0,0,0,0,10,24,0,0,0,0,24,15,0,0,0,0,15,22,0,0,0,0,22,6,0,0,0,0,6,6,0,0,0,0,6,102,0,0,0,0,101
UCL121047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,0,0,0,0,3,22,0,0,0,0,22,32,0,0,0,0,32,25,0,0,0,0,25,8,0,0,0,0,9,6,0,0,0,0,6,5,0,0,0,0,5,3,0,0,0,0,3,110,0,0,0,3,115
UCL121048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,4,22,0,0,0,0,22,8,0,0,0,0,8,6,0,0,0,0,6,4,0,0,0,0,4,3,0,0,0,0,3,61,0,0,0,0,62
UCL121049,6,0,0,0,0,6,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,19,20,0,0,0,0,20,14,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,4,75,0,0,0,0,75
UCL121050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,4,0,0,4,4,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,28
UCL121051,10,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,11,0,0,0,0,11,21,0,0,0,0,21,24,0,0,0,0,24,7,0,0,0,0,7,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,99,0,0,0,0,99
UCL121052,3,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,7,0,0,0,0,7,5,5,3,0,0,12,7,0,0,0,0,10,5,4,0,0,0,9,3,0,0,0,0,3,3,0,0,0,0,3,42,12,4,0,6,60
UCL121053,5,0,0,0,0,5,11,0,0,0,0,11,3,0,0,0,0,3,17,0,0,0,0,17,6,0,0,0,0,6,12,0,0,0,0,16,11,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,82,0,0,0,0,83
UCL121054,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,11,0,0,0,0,11,22,0,0,0,0,22,8,0,0,0,0,8,15,0,0,0,0,15,19,0,0,0,0,19,18,0,0,0,0,18,11,0,0,0,0,11,119,0,0,0,0,116
UCL121055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,16,0,0,0,0,16,19,0,0,0,0,19,24,0,0,0,0,24,10,0,0,0,0,14,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,106,0,0,0,0,108
UCL121056,5,0,0,0,0,5,3,0,0,0,0,3,5,0,0,0,0,5,6,0,0,0,0,7,10,0,0,0,0,10,25,0,0,0,0,28,30,0,0,0,0,30,23,0,0,0,0,26,11,0,0,0,0,11,3,0,0,0,0,3,5,0,0,0,0,5,8,0,0,0,0,8,130,0,0,0,0,133
UCL121057,7,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,12,23,0,0,0,0,23,31,0,0,0,0,31,15,0,0,0,0,15,5,0,0,0,0,5,5,0,0,0,0,5,7,0,0,0,0,7,124,0,0,0,0,120
UCL121058,18,0,0,0,0,18,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,10,28,0,0,0,0,28,33,0,0,0,0,35,66,0,0,0,0,63,39,0,0,0,0,39,37,0,0,0,0,37,17,0,0,0,0,17,18,0,0,0,0,16,267,0,0,0,0,270
UCL121059,9,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,21,0,0,0,0,21,10,0,0,0,0,10,25,0,0,0,0,25,9,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,5,88,0,0,0,0,88
UCL121060,6,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,7,0,0,0,0,7,17,0,0,0,0,17,27,0,0,0,0,27,39,0,0,0,0,39,15,0,0,0,0,15,4,0,0,0,0,4,11,0,0,0,0,11,6,0,0,0,0,6,137,0,0,0,0,137
UCL121061,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,17,0,0,0,0,17,19,0,0,0,0,19,22,0,0,0,0,22,16,0,0,0,0,16,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100
UCL121062,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,7,3,0,0,0,0,3,20,0,0,0,0,20,20,0,0,0,0,20,47,0,0,0,0,47,43,0,0,0,0,43,39,0,0,0,0,39,15,0,0,0,0,15,14,0,0,0,0,14,218,0,0,0,0,218
UCL121063,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,7,5,0,0,0,0,5,5,0,0,0,0,5,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,47,0,0,0,0,45
UCL121064,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,20,0,0,0,0,20,11,0,0,0,0,14,12,0,0,0,0,12,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,78,0,0,0,0,80
UCL121065,3,0,0,0,0,3,8,0,0,0,0,8,7,0,0,0,0,7,7,0,0,0,0,7,10,0,0,0,0,10,32,0,0,0,0,32,29,0,0,0,0,29,14,0,0,0,0,17,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,12,121,0,0,0,0,122
UCL121066,7,0,0,0,0,7,4,0,0,0,0,4,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,3,9,0,0,0,0,9,16,0,0,0,0,16,15,0,0,0,0,15,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,76,0,0,0,0,76
UCL121067,3,0,0,0,0,3,5,0,0,0,0,5,11,0,0,0,0,11,11,0,0,0,0,10,8,0,0,0,0,8,15,0,0,0,0,15,9,0,0,0,0,9,10,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,75,0,0,0,0,76
UCL121068,22,0,0,0,0,22,14,0,0,0,0,14,7,0,0,0,0,7,17,0,0,0,0,17,12,0,0,0,0,15,35,0,0,0,0,39,39,0,0,0,0,39,56,4,0,0,0,61,24,0,0,0,0,20,15,3,0,0,0,22,11,0,0,0,0,11,12,0,0,0,0,12,262,13,0,0,0,275
UCL121069,9,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,5,8,0,0,0,0,8,24,0,0,0,5,28,18,0,0,0,0,18,35,0,0,0,0,35,22,0,0,0,0,22,5,0,0,0,0,5,143,0,0,0,4,146
UCL121070,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,9,0,0,0,0,9,11,0,0,0,0,11,11,0,0,0,0,9,19,0,0,0,0,19,16,0,0,0,0,16,3,0,0,0,0,3,85,0,0,0,0,82
UCL121071,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,12,0,0,0,0,12,22,0,0,0,0,22,8,0,0,0,0,8,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,79,0,0,0,0,79
UCL121072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,27,0,0,0,0,27,47,0,0,0,0,45,4,0,0,0,0,4,9,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,118,0,0,0,0,120
UCL121073,6,0,0,0,0,6,10,0,0,0,0,10,8,0,0,0,0,10,10,0,0,0,0,10,12,0,0,0,0,9,27,0,0,0,0,27,5,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,86,0,0,0,0,88
UCL121074,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,5,18,0,0,0,0,18,10,0,0,0,0,10,21,0,0,0,0,21,8,0,0,0,0,8,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,3,93,0,0,0,0,93
UCL121075,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,16,0,0,0,0,16,7,0,0,0,0,7,6,0,0,0,0,6,4,0,0,0,0,4,7,0,0,0,0,0,58,0,0,0,0,56
UCL121076,9,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,11,7,0,0,0,0,7,25,0,0,0,0,25,33,0,0,0,0,33,30,0,0,0,0,30,24,0,0,0,0,24,19,0,0,0,0,19,11,0,0,0,0,11,10,0,0,0,0,10,186,0,0,0,0,184
UCL121077,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,8,0,0,0,0,8,15,0,0,0,0,15,28,0,0,0,0,28,18,0,0,0,0,17,9,0,0,0,0,9,4,0,0,0,0,3,7,0,0,0,0,7,11,0,0,0,0,11,103,0,0,0,0,104
UCL121078,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,0,0,0,0,17,24,0,0,0,0,24,45,0,0,0,0,45,8,0,0,0,0,8,6,0,0,0,0,6,7,0,0,0,0,7,11,0,0,0,0,11,129,5,0,0,0,129
UCL121079,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,16,0,0,0,0,16,12,0,0,0,0,12,23,0,0,0,0,23,5,0,0,0,0,5,10,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,5,75,0,0,0,0,75
UCL121080,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,5,10,0,0,0,0,15,26,5,0,0,0,33,38,3,0,0,0,47,18,0,0,0,0,18,5,4,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,9,124,15,0,0,0,143
UCL121081,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,12,0,0,0,0,12,16,0,0,0,0,16,9,0,0,0,0,9,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,74,0,0,0,0,77
UCL121082,10,0,0,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,5,18,4,0,0,0,25,22,0,0,0,0,28,26,0,0,0,0,25,18,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,11,126,11,0,0,0,141
UCL121083,7,0,0,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,12,12,0,0,0,0,12,21,0,0,0,0,21,22,0,0,0,0,22,35,0,0,0,0,31,11,0,0,0,0,11,5,0,0,0,0,5,7,0,0,0,0,7,8,0,0,0,0,8,148,0,0,3,0,145
UCL121084,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,15,12,0,0,0,0,12,18,0,0,0,0,18,20,0,0,0,0,20,32,0,0,0,0,32,21,0,0,0,0,21,7,0,0,0,0,7,134,0,0,0,0,134
UCL121085,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,4,16,0,0,0,0,19,13,0,0,0,0,11,33,3,0,0,0,37,37,0,0,0,0,36,29,0,0,0,0,29,12,0,0,0,0,12,3,0,0,0,0,6,169,10,0,0,0,172
UCL121086,7,0,0,0,0,7,4,0,0,0,0,4,7,0,0,0,0,11,9,0,0,0,0,9,18,0,0,0,0,15,28,0,0,0,0,28,13,0,0,0,0,14,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,104,0,0,3,0,112
UCL121087,9,0,0,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,9,22,0,0,0,0,20,29,0,0,0,0,29,10,0,0,0,0,10,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,13,96,0,0,0,0,99
UCL121088,5,0,0,0,0,5,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,22,0,0,0,0,22,31,0,0,0,0,29,38,0,0,0,0,38,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,131,0,0,0,0,130
UCL121089,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,14,0,0,0,0,14,20,0,0,0,0,24,28,0,0,0,0,28,19,0,0,0,0,19,17,0,0,0,0,20,15,0,0,0,0,15,12,0,0,0,0,12,139,0,0,0,0,139
UCL121090,6,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,16,0,0,0,0,16,15,0,0,0,0,15,27,0,0,0,0,27,11,0,0,0,0,11,24,0,0,0,0,24,8,0,0,0,0,8,6,0,0,0,0,6,127,0,0,0,0,128
UCL121091,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,6,0,0,0,0,6,10,0,0,0,0,10,27,0,0,0,0,27,13,0,0,0,0,13,10,0,0,0,0,10,7,0,0,0,0,7,3,0,0,0,0,3,95,0,0,0,0,95
UCL121092,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,22,0,0,0,0,22,34,3,0,0,0,38,69,0,0,0,0,69,48,0,0,0,0,48,16,0,0,0,0,16,14,0,0,0,0,14,15,0,0,0,0,15,235,3,0,0,0,237
UCL121093,11,0,0,0,0,11,4,0,0,0,0,4,4,0,0,0,0,4,11,0,0,0,0,11,17,0,0,0,0,17,33,0,0,0,0,33,39,0,0,0,0,38,44,0,0,0,0,44,19,0,0,0,0,19,12,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,17,206,0,0,0,0,209
UCL121094,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,10,0,0,0,0,10,7,0,0,0,0,7,8,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54
UCL121095,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,4,0,0,0,0,4,19,0,0,0,0,19,18,0,0,0,0,18,19,0,0,0,0,25,14,0,0,0,0,14,4,0,0,0,0,4,100,0,0,0,0,103
UCL121096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,13,0,0,0,0,13,7,0,0,0,0,13,24,0,0,0,0,24,4,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,12,5,0,0,0,0,5,88,0,0,0,0,92
