UCL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
UCL112002,148,3,7,0,0,158,50,3,0,0,0,59,61,7,0,0,0,70,111,8,5,0,0,119,185,21,4,0,0,215,646,45,16,0,5,708,946,33,3,0,0,987,1037,24,3,0,0,1062,373,4,0,0,0,381,216,0,0,0,0,219,109,5,0,0,0,115,189,17,0,0,0,207,4079,181,36,0,0,4303
UCL112003,265,3,6,0,0,274,89,3,5,0,0,95,68,4,5,0,0,71,145,3,6,0,0,155,166,3,0,0,0,173,501,10,18,0,0,530,664,13,3,0,0,683,1105,12,9,0,0,1124,549,6,0,0,0,559,411,4,3,0,0,421,187,9,3,0,0,194,217,7,5,0,0,224,4372,67,62,0,3,4510
UCL112004,143,4,4,0,0,152,46,0,0,0,0,46,26,3,0,0,0,28,49,5,0,0,0,55,79,5,0,0,0,85,219,11,8,0,0,246,262,13,3,0,3,279,521,17,4,0,0,538,375,4,3,0,0,385,376,6,3,0,0,384,338,0,0,0,0,341,165,4,0,0,0,165,2586,82,32,6,5,2709
UCL112005,85,9,0,0,0,94,51,3,0,0,0,58,46,0,0,0,0,46,85,7,0,0,0,98,160,9,0,0,0,162,556,17,5,0,0,584,628,17,0,0,0,647,439,3,0,0,0,448,123,0,0,0,0,126,105,0,0,0,0,110,46,0,0,0,0,46,152,6,0,4,0,156,2480,74,5,3,3,2560
UCL112006,109,0,0,0,0,119,58,8,0,0,0,63,83,0,3,0,0,82,148,4,3,0,0,159,279,10,12,0,0,305,995,34,9,0,0,1035,1106,19,4,0,3,1130,902,6,0,0,3,913,272,3,0,0,0,278,160,0,0,0,0,164,101,5,0,0,0,106,275,11,0,0,0,284,4491,102,35,4,4,4637
UCL112007,27,0,0,0,0,26,17,0,0,0,0,17,16,0,0,0,0,16,30,0,0,0,0,34,39,0,0,0,0,40,141,8,0,0,0,148,191,0,0,0,0,193,171,3,0,0,0,175,57,0,0,0,0,57,30,0,0,0,0,30,29,0,0,0,0,29,41,0,0,0,0,44,783,17,0,6,0,806
UCL112008,68,14,16,0,0,102,28,18,8,0,0,53,29,5,4,0,0,48,60,10,15,0,0,81,118,13,10,0,0,140,190,37,34,0,0,257,233,32,25,0,0,288,341,21,12,0,0,369,146,4,6,0,0,155,66,0,8,0,0,72,48,3,6,0,0,53,78,14,13,0,0,107,1389,170,154,6,3,1724
UCL112009,95,12,3,0,0,109,42,0,3,0,0,46,54,5,3,0,0,58,85,5,0,0,0,85,160,13,3,0,0,175,480,34,4,0,0,519,593,29,0,4,0,623,628,15,0,0,0,646,219,3,0,0,0,225,130,5,0,0,0,136,72,3,0,0,0,73,112,6,3,0,0,122,2670,116,16,6,3,2809
UCL112010,82,6,4,0,0,88,43,0,0,0,0,46,41,6,0,0,0,41,66,4,3,0,0,74,139,6,7,0,0,149,463,9,11,0,0,486,443,12,12,0,0,464,372,3,0,0,0,376,101,0,0,0,0,107,84,0,0,0,0,84,52,0,0,0,0,55,105,0,0,0,0,106,1983,41,42,3,5,2076
UCL112011,96,0,0,0,0,94,44,3,0,0,0,51,46,0,0,0,0,44,91,0,0,0,0,93,153,11,0,0,0,170,545,26,6,0,0,577,670,6,0,0,0,678,609,3,0,0,0,613,192,0,0,0,0,194,127,0,0,0,0,132,54,0,0,0,0,54,155,4,0,0,0,166,2790,68,10,0,3,2876
