UCL_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
UCL101001,13749,3709,5234,544,23234,3659,703,1139,151,5656,2572,1310,2431,216,6522,2116,1268,3918,197,7493,9949,3108,6645,470,20178,6853,4636,10083,542,22114,33648,9274,11926,896,55747,21334,12783,15401,1801,51320,24843,21232,17098,1968,65137,30017,28309,16591,2412,77320,19259,26744,13264,1617,60880,22281,28844,11715,1623,64471,51115,71282,21650,3068,147112,38720,61140,10454,2013,112331,31450,59762,7705,1166,100089,22298,44408,3567,670,70943,70776,189162,11454,1315,272707,13256,33032,10587,733,57606,5262,4998,2649,381,13293,423157,605701,183509,21788,1234155
UCL102001,43,7,26,0,72,17,0,3,0,17,11,8,17,0,33,11,10,33,0,46,46,3,59,3,117,36,16,92,3,145,189,38,80,8,316,167,48,136,12,359,166,81,140,19,407,270,138,128,17,549,201,136,146,13,493,234,205,139,9,588,495,518,215,33,1265,408,518,101,13,1039,321,525,87,6,939,219,432,42,6,705,546,1557,75,5,2184,139,287,116,7,550,34,27,25,4,94,3551,4542,1652,163,9919
UCL102002,640,99,251,18,1007,272,26,64,3,361,185,25,176,8,390,167,29,331,14,542,870,95,641,26,1639,608,143,1262,31,2047,4520,401,1539,72,6536,2928,576,1986,146,5644,3075,1060,2162,180,6472,3491,1853,1848,162,7348,1926,1985,1253,84,5246,2099,2218,1126,79,5519,4243,5393,1722,122,11479,2687,4935,745,64,8433,1923,4288,414,34,6655,1076,2766,166,14,4026,2488,6743,377,26,9625,1189,2428,1080,50,4747,537,248,258,31,1071,34916,35307,17406,1167,88800
UCL102003,133,14,39,0,186,81,4,30,0,110,43,8,32,3,86,44,10,48,4,98,222,21,115,5,367,153,33,206,5,393,1187,63,252,14,1522,775,113,382,41,1310,759,224,419,46,1447,870,400,352,42,1662,400,356,235,15,1005,488,378,186,9,1064,848,953,241,26,2067,507,805,117,9,1436,342,672,54,8,1070,161,415,11,0,590,391,978,47,12,1425,315,492,234,11,1055,159,58,63,6,293,7886,5993,3062,254,17193
UCL102004,543,95,209,25,870,219,25,62,9,320,185,38,169,11,398,132,30,303,12,474,799,77,568,29,1473,618,154,1001,41,1810,4000,321,1226,81,5634,2809,473,1779,182,5249,3051,933,1946,179,6108,3500,1502,1710,185,6894,2027,1622,1295,125,5070,2190,1854,1097,109,5249,4839,5227,1755,191,12013,3535,5119,775,110,9538,2632,4999,473,65,8170,1561,3492,168,24,5247,3325,9137,389,44,12896,1344,2720,1083,56,5207,474,193,197,34,897,37785,38016,16208,1511,93522
UCL102005,572,90,181,25,863,219,17,62,3,302,141,44,157,11,357,137,32,319,11,493,775,97,558,30,1460,601,149,912,32,1701,3622,380,1099,72,5175,2382,506,1544,145,4576,2394,974,1509,143,5020,2660,1512,1390,145,5701,1532,1537,982,89,4139,1665,1791,824,75,4352,3392,4595,1341,118,9452,2525,4391,543,57,7510,1832,4003,405,35,6277,1122,2800,154,21,4094,2163,7193,339,30,9718,848,2076,816,47,3784,385,209,198,22,822,28966,32387,13347,1112,75811
UCL111001,61,10,31,0,104,36,0,5,3,46,25,10,33,0,76,12,4,58,4,82,122,10,125,7,267,100,23,265,12,402,634,65,272,15,991,447,101,303,36,881,472,179,359,22,1033,589,330,254,27,1205,352,352,192,18,923,388,403,153,13,956,799,900,228,28,1959,563,724,82,8,1367,336,605,37,7,984,158,394,15,7,569,294,770,38,5,1100,211,415,159,5,789,88,39,48,3,180,5708,5322,2661,223,13913
UCL111002,77,14,31,0,128,43,3,15,6,63,28,13,33,5,75,27,7,58,3,97,162,33,110,10,313,101,19,232,3,362,780,83,273,22,1155,505,122,314,18,962,583,221,359,30,1196,638,361,338,21,1354,350,286,231,15,885,367,336,156,9,875,693,780,197,21,1693,395,645,69,13,1117,270,450,47,7,774,142,307,11,0,462,305,618,50,0,983,211,360,200,9,775,111,27,47,13,197,5783,4698,2788,199,13468
UCL111003,138,15,43,5,207,50,8,19,0,81,35,16,54,3,103,37,9,92,7,149,195,37,212,8,445,152,34,317,3,502,1155,97,437,24,1715,742,154,576,41,1517,694,310,606,54,1670,839,527,467,49,1882,453,628,359,31,1470,558,709,296,24,1583,1308,1757,472,43,3587,808,1565,189,11,2574,608,1297,108,15,2028,320,844,38,3,1211,550,1831,80,11,2477,369,920,258,18,1564,114,63,63,11,262,9139,10821,4693,365,25021
UCL112001,22,13,12,0,52,13,0,4,0,22,8,0,16,0,28,3,0,19,0,31,40,14,43,3,104,22,19,89,3,127,231,32,96,3,366,141,46,128,14,328,167,90,123,7,386,217,106,81,12,419,142,103,59,9,313,158,128,56,7,341,287,273,81,7,640,185,212,24,3,425,123,169,13,4,306,77,128,3,0,207,143,253,20,3,422,78,113,66,6,266,26,12,11,0,51,2078,1716,959,81,4825
UCL112002,50,3,18,0,74,20,0,8,0,34,15,3,21,0,38,22,0,34,0,61,76,10,60,3,150,45,12,131,0,190,359,40,154,14,564,227,63,237,15,537,321,120,239,16,690,381,179,191,24,780,220,194,140,13,569,224,228,105,11,576,513,545,202,24,1275,355,510,79,11,954,203,424,43,6,676,123,311,18,0,451,234,618,25,5,879,156,305,137,5,605,58,18,48,3,123,3606,3590,1878,153,9224
UCL112003,52,9,3,3,68,27,8,5,0,41,26,3,14,3,42,18,3,29,0,49,81,8,46,7,144,69,19,107,9,202,342,31,131,8,513,274,56,166,17,516,315,122,158,10,609,396,187,156,8,746,213,173,99,5,488,258,189,88,3,536,473,456,132,7,1063,311,371,65,9,750,266,376,35,3,670,119,243,13,3,372,345,585,31,0,959,106,198,100,5,410,20,17,11,0,52,3699,3040,1385,91,8217
UCL112004,48,10,19,0,76,44,5,0,0,49,22,0,6,0,30,13,0,13,0,33,87,6,31,0,123,52,6,32,3,95,303,19,57,6,375,246,35,78,8,370,300,63,89,5,465,360,102,86,15,570,163,91,80,0,338,227,117,61,7,418,391,308,89,8,796,269,292,52,6,617,191,269,31,3,493,108,182,8,0,297,404,713,37,0,1150,116,182,56,5,354,48,11,10,0,70,3399,2404,849,75,6725
UCL112005,27,8,15,3,55,18,0,5,0,22,14,0,17,0,30,18,0,55,0,75,48,4,80,0,136,37,9,154,7,208,354,49,186,7,593,224,52,215,25,515,182,98,205,8,499,201,152,143,12,503,119,152,97,9,370,128,137,78,3,349,258,339,102,8,709,141,260,44,6,450,86,195,29,0,310,41,136,4,0,183,75,263,16,0,355,84,158,90,9,345,38,11,36,4,90,2086,2026,1577,96,5782
UCL112006,56,15,28,0,98,26,0,3,0,28,16,0,31,0,44,12,4,33,0,49,75,10,83,0,169,55,13,144,4,214,367,51,172,16,601,235,59,214,24,529,246,136,282,14,681,339,218,188,21,768,201,238,158,19,626,241,276,118,3,640,599,671,162,32,1466,370,539,69,10,986,265,426,39,5,738,120,287,24,6,427,249,573,27,0,847,188,380,124,11,703,79,19,53,10,161,3732,3915,1956,175,9770
UCL112007,25,0,8,0,27,11,0,0,0,11,9,0,3,0,9,6,0,4,0,9,32,0,3,0,37,20,0,10,0,30,172,6,13,0,193,118,9,21,0,148,98,14,15,7,133,108,34,19,0,164,41,36,5,0,84,37,54,18,3,112,96,103,23,0,220,52,84,7,0,149,40,88,5,0,130,24,68,0,0,95,33,105,3,0,143,38,80,21,0,143,21,8,3,6,30,966,696,179,15,1861
UCL112008,63,10,15,0,87,41,0,8,3,52,28,0,15,0,38,21,3,18,3,41,111,4,40,0,161,68,6,78,4,155,663,24,108,3,801,379,47,148,21,599,360,89,142,7,599,355,109,95,9,568,139,112,61,8,313,150,113,55,0,324,266,223,50,11,547,136,148,26,0,318,97,113,9,0,222,43,71,0,0,112,102,145,6,0,260,125,119,80,0,336,90,13,27,0,139,3241,1341,991,78,5654
UCL112009,37,10,7,3,58,16,0,10,0,27,14,4,9,0,25,12,3,29,0,40,50,8,49,0,110,43,15,92,3,146,317,28,114,4,465,166,39,140,3,355,191,67,157,13,432,252,132,137,12,533,143,157,96,6,396,173,158,69,6,409,321,380,127,12,839,248,330,55,6,634,151,257,25,9,445,76,189,13,0,279,156,299,13,0,470,87,173,68,3,325,45,14,19,0,79,2476,2267,1221,88,6057
UCL112010,49,13,10,0,69,16,0,3,0,20,9,4,11,0,24,7,3,22,0,35,46,7,42,0,98,28,12,55,0,94,178,30,72,5,285,128,54,98,4,289,149,92,111,6,357,196,158,73,15,448,123,146,64,12,340,192,178,52,5,426,296,423,90,11,825,175,349,25,7,550,125,212,20,3,364,66,153,15,0,244,108,320,13,0,444,80,198,61,11,348,56,14,21,3,95,2029,2377,860,87,5355
UCL112011,21,4,15,0,42,13,0,4,0,18,7,0,15,3,25,6,0,47,3,55,51,6,58,0,112,40,13,112,0,159,273,27,151,9,460,153,39,170,10,372,155,92,163,16,426,171,147,126,13,461,130,185,84,3,400,110,175,67,6,356,282,415,103,7,801,171,310,40,4,524,117,235,20,4,374,43,138,6,0,193,78,222,16,3,313,76,186,73,9,337,38,13,15,3,81,1932,2204,1296,89,5517
UCL112012,33,0,13,0,55,14,0,13,0,27,13,6,19,0,33,11,4,44,0,55,56,8,77,0,144,45,13,150,6,212,337,30,184,6,561,247,70,235,23,573,245,118,214,18,601,286,197,194,25,701,164,178,147,4,493,185,206,104,11,511,386,499,126,11,1026,216,339,72,3,630,102,237,35,3,384,60,134,11,0,199,98,208,33,0,340,81,127,126,7,342,42,19,32,4,91,2629,2390,1823,136,6978
UCL112013,7,0,0,0,12,5,0,0,0,5,0,0,0,0,4,0,0,3,0,7,8,0,6,0,11,5,3,9,0,14,37,0,0,0,42,16,7,14,0,40,12,9,6,0,29,21,9,7,3,47,14,19,3,0,36,16,22,0,0,36,39,51,6,0,98,26,45,0,0,69,20,33,3,0,47,5,18,0,0,30,32,36,0,0,64,22,37,9,0,62,3,0,0,0,9,285,287,80,5,661
UCL112014,45,0,17,0,61,26,0,4,0,31,12,9,10,0,29,13,0,17,0,32,76,11,45,4,135,59,14,85,3,165,392,31,111,4,539,243,56,135,13,446,306,77,127,10,518,282,126,125,4,534,117,145,73,12,350,145,150,64,5,372,309,397,82,9,800,204,323,43,6,572,142,262,26,3,429,58,166,11,0,236,129,305,16,0,459,92,188,74,0,345,46,13,19,0,80,2682,2274,1095,74,6131
UCL112015,52,10,19,4,83,21,7,4,0,28,25,7,22,0,54,19,4,38,0,57,91,10,105,3,207,67,17,172,11,271,532,65,199,16,806,300,77,266,26,668,316,165,234,25,740,399,266,212,13,897,194,223,116,7,548,220,276,102,12,605,403,550,118,18,1084,244,421,55,9,728,166,269,27,7,462,64,176,12,0,256,121,285,19,0,432,130,238,103,6,475,69,23,34,0,132,3424,3093,1854,158,8532
UCL112016,50,6,24,0,75,21,0,9,0,36,11,0,21,5,43,15,11,50,0,76,94,8,70,6,175,56,19,158,9,236,378,54,185,8,623,281,56,209,23,574,299,113,223,18,651,325,199,192,21,741,233,228,147,11,623,252,239,110,14,620,510,652,188,18,1364,355,635,68,10,1074,274,518,52,3,850,189,339,16,8,558,325,807,38,6,1181,159,320,103,10,596,63,32,38,10,134,3899,4240,1921,165,10217
UCL112017,85,3,25,3,121,47,9,10,0,62,40,0,20,0,65,22,9,43,0,79,165,6,108,5,288,94,15,188,3,297,921,53,206,11,1187,594,104,289,20,1004,645,154,316,26,1139,745,290,259,22,1314,363,248,151,9,766,399,261,144,9,811,692,650,205,23,1563,424,607,53,10,1098,280,492,27,3,804,155,308,14,0,479,350,779,39,0,1168,210,313,136,9,671,85,25,27,5,148,6314,4321,2265,160,13067
UCL112018,46,7,32,6,95,24,0,11,0,34,17,0,33,3,51,13,0,55,0,70,85,13,122,3,225,55,11,190,8,260,446,38,232,13,732,293,73,255,24,633,286,143,301,17,747,381,220,223,22,846,197,228,126,14,569,269,273,102,16,668,533,606,152,14,1308,271,434,51,17,775,203,300,19,3,525,71,166,6,5,237,192,333,25,0,546,146,230,114,7,494,57,29,50,13,136,3576,3106,2086,186,8949
UCL112019,60,7,33,3,105,25,7,11,3,39,31,0,43,0,80,15,5,67,0,91,105,29,142,6,287,84,24,239,4,347,480,64,227,7,770,297,92,282,24,688,400,197,288,29,914,511,301,247,34,1086,313,250,169,15,751,354,354,165,16,897,744,776,207,27,1756,474,662,89,14,1234,334,575,46,14,972,156,395,24,0,576,325,884,45,3,1262,242,425,154,7,828,76,33,53,9,171,5022,5108,2525,208,12863
UCL113001,33,0,10,0,44,26,0,7,0,32,8,0,13,0,28,6,0,11,0,20,73,4,45,0,117,39,4,67,0,115,352,21,87,7,471,247,32,140,12,431,256,62,149,13,484,257,104,106,6,471,142,100,72,5,317,158,98,57,10,317,312,241,72,5,626,166,185,31,3,384,85,153,12,3,254,62,92,4,0,158,113,184,12,0,311,83,83,76,3,248,57,18,15,0,85,2478,1384,980,74,4913
UCL113002,32,7,14,0,46,18,0,5,0,23,7,0,11,0,24,6,0,16,0,24,56,0,36,0,96,41,7,56,0,107,288,20,66,11,383,185,27,77,3,296,171,59,85,6,327,233,92,73,4,397,114,67,42,0,218,96,59,30,3,192,165,153,48,4,366,87,104,11,5,200,56,62,7,0,121,21,43,5,0,65,61,50,11,0,124,72,81,38,3,189,36,11,15,0,63,1743,829,645,45,3269
UCL113003,35,6,23,3,60,8,0,6,0,18,6,3,14,0,26,3,0,36,0,45,56,6,60,0,126,41,9,84,6,141,284,17,101,8,405,166,26,127,13,341,174,58,120,11,363,166,93,99,4,373,86,67,57,7,220,105,79,60,5,253,189,204,89,3,483,157,173,27,12,366,114,152,21,0,289,63,122,12,0,195,86,204,7,3,301,117,156,72,4,354,55,12,29,0,99,1925,1397,1062,89,4465
UCL113004,19,6,8,0,29,4,0,3,0,6,4,3,4,0,10,3,0,8,0,13,28,5,22,0,49,14,12,34,0,58,70,8,29,0,105,41,18,36,4,97,67,24,38,7,133,116,39,27,4,184,59,42,35,3,141,71,54,21,0,150,154,106,36,5,299,86,110,12,0,202,66,70,6,0,145,36,55,0,0,97,150,188,15,4,357,59,77,33,3,169,9,0,3,0,18,1065,814,365,25,2272
UCL113005,17,5,11,4,40,16,0,9,0,22,14,7,13,0,25,9,0,43,0,48,31,5,70,5,110,23,7,106,3,145,309,29,123,12,470,178,40,141,20,386,198,98,172,13,481,210,123,102,12,443,100,126,66,3,289,102,112,50,6,273,179,245,72,3,505,99,181,21,0,301,68,100,11,4,184,23,73,3,0,101,71,90,8,0,170,66,124,72,3,272,33,11,35,6,79,1758,1369,1141,95,4357
UCL113006,11,3,10,3,26,10,0,3,0,14,4,4,6,0,14,0,5,32,0,33,28,0,64,4,98,25,10,80,4,116,200,19,92,10,314,106,25,99,11,240,88,56,102,6,251,111,62,89,13,276,51,50,48,0,152,69,62,28,4,160,78,132,42,3,256,34,84,16,3,142,21,63,11,0,95,8,23,0,0,32,23,47,5,0,76,39,62,52,11,153,23,10,38,0,69,926,708,816,74,2528
UCL113007,39,0,5,0,50,14,0,4,0,19,13,0,3,0,17,16,5,8,0,25,49,3,13,0,68,32,5,31,4,72,208,13,30,0,253,173,17,38,9,226,201,37,58,3,299,235,67,54,4,359,132,63,31,3,231,137,67,42,0,244,277,195,55,7,533,164,216,28,3,404,104,221,18,0,345,68,163,3,0,233,192,453,18,0,669,58,133,42,0,231,23,5,7,0,40,2124,1661,482,42,4313
UCL113008,20,0,7,0,29,15,6,3,0,23,3,3,8,0,19,8,0,26,0,32,51,6,41,3,99,21,5,62,0,85,201,23,75,3,303,113,25,106,15,259,124,46,71,6,248,121,64,76,3,266,68,48,42,7,157,56,70,26,0,149,122,145,41,9,307,75,113,18,4,205,51,79,12,0,147,27,57,0,0,84,66,137,8,0,213,51,67,34,5,161,29,7,13,4,52,1210,898,669,52,2836
UCL113009,22,4,0,0,27,10,0,3,0,11,6,0,4,0,9,4,0,9,0,15,28,0,10,0,40,22,0,36,0,62,92,8,26,0,125,64,17,51,7,140,109,33,51,0,190,81,68,45,0,198,69,72,39,0,183,69,86,28,0,188,152,230,34,3,417,99,214,27,0,336,74,196,9,0,287,36,121,4,0,159,65,215,8,0,288,43,122,27,0,201,16,12,8,0,40,1062,1401,430,14,2917
UCL113010,11,0,4,0,18,5,0,4,0,11,4,0,3,0,7,3,0,20,0,21,25,3,15,0,44,19,5,46,0,72,129,13,60,0,206,79,24,70,5,175,77,25,64,6,167,107,55,48,6,217,75,57,49,5,191,59,78,26,4,166,169,217,57,7,451,103,179,21,3,313,98,150,22,3,270,43,75,0,0,128,122,220,11,0,354,55,95,26,4,185,20,12,5,0,32,1211,1223,549,43,3029
UCL113011,19,7,5,0,33,14,0,4,0,17,11,6,9,0,24,5,5,19,0,27,32,7,37,0,78,18,6,67,0,96,136,12,58,0,211,66,14,85,7,168,60,40,78,7,188,89,51,40,5,182,54,72,31,0,157,52,72,28,3,157,127,156,52,4,342,82,149,15,0,242,86,137,14,0,237,38,73,10,0,119,98,198,10,3,315,59,120,32,0,209,19,9,20,0,43,1062,1131,604,39,2836
UCL113012,53,0,6,0,69,17,0,5,0,23,14,0,11,0,26,9,7,7,0,21,60,9,21,0,94,32,8,59,0,96,259,14,64,0,337,211,15,89,3,317,216,57,78,6,360,234,75,71,9,381,137,72,49,7,265,130,77,40,0,255,280,204,52,0,537,126,167,13,0,311,86,130,6,0,225,49,92,8,0,141,158,231,15,0,395,92,129,57,0,275,41,8,8,0,57,2211,1288,651,35,4185
UCL113013,26,4,16,0,40,4,0,3,0,15,5,9,12,0,22,6,0,39,0,44,33,9,49,3,94,22,6,92,0,126,179,37,118,4,338,92,42,133,6,272,125,81,136,13,348,160,115,100,6,380,80,108,57,9,251,79,109,41,7,229,164,229,61,12,466,111,185,28,0,331,53,123,23,0,195,31,75,3,0,105,43,103,10,0,159,45,126,67,3,247,24,7,25,5,56,1293,1346,1013,69,3720
UCL113014,27,0,13,0,43,10,0,0,0,11,10,0,7,3,22,7,0,18,0,28,28,3,41,0,79,29,8,50,0,87,125,14,71,6,210,78,14,69,5,173,90,43,81,5,218,119,73,61,14,259,56,75,49,7,188,68,91,39,3,201,170,261,74,9,509,134,227,30,0,395,115,200,23,3,341,78,143,0,0,225,147,366,20,3,533,85,148,33,0,267,13,14,9,0,40,1391,1678,695,55,3818
UCL113015,42,8,5,5,51,12,0,4,0,15,14,0,14,0,26,11,5,12,0,24,44,6,31,5,83,48,8,61,3,117,342,17,61,0,420,183,16,86,9,285,157,55,94,9,307,170,90,62,5,333,83,103,48,6,233,81,92,29,0,206,121,151,37,4,317,72,114,19,0,201,41,65,12,0,117,20,42,4,0,66,48,63,4,0,110,61,81,37,0,184,37,9,13,5,58,1580,914,631,42,3167
UCL113016,25,10,18,0,44,16,0,4,3,24,13,0,18,4,31,11,0,37,0,46,58,11,75,7,148,37,11,123,4,177,401,41,129,10,585,208,51,178,10,447,193,94,184,4,477,223,145,108,8,486,108,93,55,10,268,104,124,54,11,292,196,239,54,10,497,85,159,29,3,273,54,114,6,0,170,25,55,0,0,84,48,70,4,0,126,73,101,75,3,256,59,17,38,11,120,1935,1330,1202,87,4555
UCL113017,45,0,7,0,54,25,0,0,0,25,18,0,4,0,31,11,0,12,0,24,91,9,30,5,133,56,5,63,0,126,362,17,70,0,452,226,19,96,9,347,242,66,105,11,426,255,97,69,4,437,113,101,57,0,276,122,88,38,0,255,196,238,46,10,489,118,164,14,0,302,54,115,5,0,173,33,57,6,0,90,99,106,9,0,218,65,106,48,4,222,46,5,15,0,64,2185,1220,696,42,4141
UCL113018,8,0,0,0,11,5,0,0,0,5,7,0,0,0,7,0,0,0,0,0,15,0,4,0,14,15,0,6,0,20,62,4,7,0,72,37,4,8,0,50,35,0,12,0,53,30,13,0,0,47,17,24,3,0,44,17,12,10,0,37,48,38,6,0,93,16,30,0,0,51,15,27,0,0,43,3,14,0,0,12,12,9,0,0,25,21,19,3,0,46,13,3,0,0,22,374,201,68,3,647
UCL114001,5,0,0,0,8,5,0,0,0,5,8,0,0,0,4,0,0,4,0,9,18,0,11,0,32,7,0,22,0,30,106,3,18,0,122,76,11,26,0,109,80,16,39,5,140,90,43,32,5,170,48,40,24,0,107,46,40,21,3,102,95,86,27,0,212,37,66,10,0,118,24,37,5,0,66,11,23,5,0,39,25,58,0,0,84,21,39,13,0,68,4,3,13,0,25,695,463,263,20,1438
UCL114002,25,0,0,0,33,13,0,0,0,19,10,3,0,0,11,10,0,7,0,25,63,0,11,0,76,48,0,29,0,80,352,12,36,5,404,211,12,48,5,269,197,31,43,0,267,221,45,31,3,295,88,24,9,0,128,76,41,12,5,131,97,78,20,0,200,46,68,7,0,118,39,29,0,0,70,10,30,0,0,39,26,27,0,0,53,50,44,28,0,125,28,0,3,0,31,1611,461,289,16,2378
UCL114003,10,0,5,0,19,14,0,8,0,27,5,0,8,0,10,6,3,19,0,31,29,6,37,0,77,30,7,72,3,109,214,16,67,0,300,113,29,107,13,263,126,62,89,9,285,117,83,51,10,262,64,83,58,3,203,70,70,26,0,165,102,137,32,5,270,48,82,17,0,146,26,54,0,0,78,5,33,5,0,45,7,37,4,0,50,41,54,36,0,134,26,6,13,0,44,1054,753,643,56,2511
UCL114004,10,0,4,0,15,0,0,0,0,3,3,0,3,0,7,0,0,8,0,10,22,0,17,0,36,14,5,23,0,33,105,3,28,0,144,37,17,42,4,96,68,20,37,3,129,75,32,27,0,134,34,40,18,0,85,55,36,13,0,103,89,105,29,4,225,54,66,16,0,136,46,67,3,0,116,21,50,9,0,78,50,79,9,0,138,39,41,16,0,101,18,8,7,0,34,736,580,292,16,1628
UCL114005,20,0,3,0,23,4,4,0,0,5,3,0,8,0,16,3,0,14,0,15,27,3,14,0,43,20,5,32,3,57,170,14,27,0,212,75,13,48,4,141,87,17,43,6,154,100,32,23,0,153,44,38,22,0,102,35,39,9,0,85,72,63,10,0,149,35,57,4,0,99,23,40,0,0,67,9,23,0,0,38,28,33,0,0,63,28,43,15,0,86,17,4,6,0,29,807,429,277,20,1536
UCL114006,15,0,0,0,19,7,0,0,0,7,4,0,6,0,10,3,0,7,0,11,25,0,11,0,34,18,0,23,0,41,113,3,24,0,136,78,3,31,0,117,71,14,33,0,126,95,35,19,0,152,40,47,20,0,107,49,42,16,0,102,83,86,25,4,193,57,60,11,3,125,25,44,0,5,71,9,25,0,0,33,25,44,0,0,64,35,39,17,0,84,22,8,3,0,39,768,444,247,17,1467
UCL114007,14,0,5,0,25,11,3,4,0,11,9,0,3,0,12,7,0,13,0,24,37,0,25,5,63,20,3,47,0,71,166,20,51,0,238,89,27,70,11,199,80,38,55,7,185,118,66,45,0,234,52,55,30,0,144,46,54,22,0,120,92,120,19,5,231,60,86,3,0,151,26,46,4,0,78,13,29,0,0,43,25,59,8,0,99,36,67,26,0,141,32,5,11,0,51,938,691,452,42,2122
UCL114008,11,0,0,0,13,5,0,4,0,5,6,0,7,0,5,0,0,0,0,4,31,0,9,0,44,16,0,18,3,41,121,17,25,0,163,59,7,32,8,106,75,30,47,4,159,84,32,25,0,144,32,32,30,0,96,40,38,16,0,94,107,80,20,3,212,63,63,3,0,133,33,53,0,0,93,13,26,0,0,41,32,71,0,0,105,50,53,18,5,119,23,3,5,3,38,806,515,266,32,1613
UCL114009,4,0,0,0,10,3,0,3,0,4,0,0,0,0,0,0,0,4,0,4,5,0,0,0,9,7,0,7,0,9,43,4,5,0,51,31,8,16,0,50,34,17,29,5,85,28,17,20,0,70,24,32,19,0,71,38,47,8,4,100,101,174,22,3,296,84,164,12,0,255,44,144,4,0,195,34,83,0,3,115,44,121,4,0,165,24,71,5,0,102,6,0,0,0,10,546,874,157,21,1596
UCL114010,12,0,5,0,19,7,0,0,0,11,6,3,5,0,9,0,0,16,0,21,31,0,19,0,54,13,0,23,3,48,126,12,45,0,183,62,8,51,5,128,66,29,54,0,154,71,48,25,3,146,41,33,17,0,94,48,34,16,6,106,85,96,26,0,206,56,66,7,0,128,31,67,6,0,106,14,33,4,0,53,37,73,9,0,120,53,59,32,3,138,16,3,9,9,38,791,555,383,24,1756
UCL114011,9,3,9,0,14,3,0,5,0,7,9,4,10,0,16,3,0,12,0,12,20,3,29,0,54,14,3,31,0,46,154,17,37,6,205,57,12,49,7,124,41,23,25,6,99,61,44,31,0,132,27,31,25,0,85,38,31,11,0,81,52,61,16,0,129,29,34,6,0,69,13,20,3,0,37,7,13,0,0,14,10,14,0,0,28,34,32,18,0,90,13,3,4,0,27,597,348,312,31,1282
UCL114012,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,8,0,0,4,0,13,9,0,10,0,21,3,0,3,0,14,15,0,7,0,27,12,10,13,0,31,10,19,17,0,42,4,27,18,0,54,58,92,29,0,183,66,149,10,0,227,63,168,12,0,245,66,146,4,0,220,155,421,11,6,598,16,55,0,0,71,0,4,0,0,9,503,1111,155,12,1778
UCL114013,6,4,6,0,18,8,0,0,6,8,3,0,5,0,9,0,0,14,0,11,22,0,16,0,43,19,0,36,5,58,96,10,56,5,162,53,18,57,13,140,66,22,54,0,145,78,35,36,11,160,45,48,27,3,116,49,63,20,0,134,79,122,27,4,231,62,117,15,3,197,48,93,13,0,153,41,55,0,0,92,59,126,5,0,196,32,61,27,0,122,17,9,21,0,52,788,778,431,50,2048
