UCL_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
UCL315081,7,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,6,0,3,0,15,9,3,19,0,24,54,8,35,0,97,28,13,37,0,71,28,11,28,0,71,31,16,18,0,65,27,24,13,0,66,29,26,9,3,67,34,53,11,0,105,27,40,6,0,70,10,32,0,0,48,10,18,0,0,29,11,21,0,0,33,27,36,18,0,78,3,0,5,0,9,351,305,208,16,872
UCL315082,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,12,0,0,0,17,11,3,7,0,17,30,0,5,0,30,22,3,9,0,29,18,6,5,0,35,13,3,0,0,23,9,10,0,0,24,15,7,0,0,22,20,10,3,0,32,9,4,0,0,20,4,6,0,0,6,5,0,0,0,3,3,7,0,0,13,14,6,3,0,21,6,0,0,0,4,196,68,39,0,307
UCL315083,3,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,10,0,0,0,7,4,0,4,0,6,9,0,0,0,11,16,0,3,0,17,0,3,0,0,13,10,6,5,0,22,17,21,0,0,36,10,24,5,0,44,14,23,0,0,35,9,13,0,0,26,9,21,0,0,31,19,30,0,0,44,0,0,0,0,0,138,156,26,0,318
UCL315084,15,0,0,0,17,4,0,0,0,4,5,0,0,0,4,0,0,0,0,3,18,0,3,0,28,17,0,12,0,26,66,8,5,0,78,33,5,14,0,52,35,12,10,0,53,36,16,5,0,56,22,16,6,0,45,19,14,4,0,34,35,27,4,0,69,28,23,0,0,51,9,17,0,0,25,3,0,0,0,9,14,8,0,0,20,25,17,7,0,47,9,0,0,0,7,398,166,84,0,642
UCL315085,0,3,6,0,5,7,0,0,0,7,0,0,3,0,7,4,0,6,0,13,7,0,16,0,24,8,5,22,0,42,48,3,23,0,77,26,3,26,4,65,26,11,21,0,62,29,30,22,0,79,22,26,17,0,74,19,22,9,0,44,37,53,10,0,102,21,23,5,0,50,15,29,3,0,44,7,16,4,0,19,4,11,0,0,19,22,23,11,3,54,4,6,3,0,13,306,266,207,9,788
UCL315086,15,0,0,0,15,4,0,0,0,8,5,0,4,0,12,3,0,6,0,13,31,5,11,0,45,23,8,22,0,47,152,24,26,0,201,96,15,32,3,145,59,26,36,7,126,47,15,17,0,80,23,15,5,3,50,18,11,4,0,34,31,15,4,0,50,9,12,3,0,22,8,0,0,0,11,3,4,0,0,10,6,0,0,0,8,18,30,23,0,71,17,5,8,0,30,572,179,203,16,973
UCL315087,4,0,0,0,7,6,0,0,0,4,3,0,0,0,3,0,0,0,0,0,6,0,3,0,9,5,0,4,0,15,20,0,3,0,22,21,4,4,0,32,25,7,9,0,44,34,9,7,0,51,15,7,4,0,26,19,12,7,0,42,33,22,4,0,63,17,36,0,0,51,24,45,6,0,75,9,40,0,0,50,55,223,0,0,279,4,29,3,0,36,0,5,0,0,0,297,443,58,3,807
UCL315088,7,0,0,0,6,0,0,0,0,0,4,0,0,0,6,3,0,3,0,4,11,0,5,0,21,9,0,19,5,26,52,10,26,0,87,20,6,14,3,48,30,8,23,0,59,20,10,18,0,53,13,17,10,0,43,25,21,15,0,56,40,56,9,5,104,25,41,4,0,72,19,33,0,0,63,3,19,0,0,26,20,29,6,0,53,42,67,11,0,117,8,6,0,0,14,357,324,172,16,868
UCL315089,5,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,8,0,11,6,0,12,0,14,3,0,22,0,28,28,3,19,0,53,20,0,18,0,39,14,16,18,5,47,28,18,15,0,57,13,15,3,0,32,18,14,5,0,39,30,37,8,0,74,19,34,0,0,48,26,18,0,0,46,5,10,0,0,12,17,13,5,0,35,21,39,8,0,64,8,9,4,0,14,249,220,143,13,633
UCL315090,8,0,0,0,12,4,4,0,0,8,4,0,5,0,6,3,0,0,0,4,21,0,14,0,43,15,5,17,4,38,135,6,30,0,178,58,17,33,4,114,72,21,27,4,120,71,37,22,3,129,31,41,12,0,82,40,31,6,0,77,68,70,6,0,144,26,38,3,0,67,17,30,0,0,44,10,7,0,0,23,13,26,0,0,41,31,37,20,0,90,16,7,7,3,29,634,370,214,18,1235
