UCL_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
UCL101001,85640,138458,105335,615930,6922,952283,1412,4992,2512,54059,818,63795,505084,8370,14838,11742,3196,543232,25249,3818,2319,8737,253,40388,18927,6126,3798,11050,159,40062,282856,106159,76309,545007,7563,1017895,110630,3287,9122,2200,432,125673,19390,2652,2031,6534,132,30737,39889,9633,6969,46424,663,103580,65431,12100,6530,34876,645,119582,10871,2152,1209,3401,80,17715,223053,3719,2963,1850,472,232069,74021,27606,19008,213263,1641,335544,97579,24524,11654,67204,1089,202043,64343,667,1966,555,273,67808,103473,23857,10590,27309,726,165951,19735,2524,1530,4295,163,28243,21384,6484,3547,18248,275,49933,17965,3367,2151,1535,204,25222,17107,6028,4311,2947,172,30564,24196,3505,2916,7043,178,37836,20451,1645,1805,3021,151,27078,24033,3076,1342,884,298,29632,59073,24407,18005,155993,1203,258681,21858,2159,1487,2638,138,28279,21882,3140,2295,956,96,28367,30820,1819,1687,2838,222,37388,15852,940,747,616,51,18212,109160,2057,3493,2055,661,117430,9101,2368,1586,7716,71,20842,846876,55408,45204,55682,5366,1008541,44854,2798,2074,10069,222525,282320,2620757,296651,216651,1294235,250930,4679221
UCL102001,386,1421,1036,10405,64,13316,4,83,28,1323,23,1463,415,18,43,112,0,587,312,60,26,114,3,521,187,91,60,244,0,581,1743,1149,887,8584,93,12453,519,12,77,11,0,624,77,16,9,70,0,176,377,166,117,947,8,1620,243,38,18,162,8,472,96,29,11,40,3,182,884,10,21,9,0,920,382,273,239,3282,21,4201,679,191,84,733,9,1697,45,7,6,6,0,66,37,11,10,39,0,94,774,121,53,142,14,1106,101,43,25,137,0,311,166,62,45,32,0,300,116,62,43,27,0,246,192,34,37,111,0,379,93,15,14,49,0,172,89,22,7,5,0,126,477,295,218,2605,16,3606,280,47,29,47,3,407,86,21,14,6,0,119,98,11,14,45,0,167,41,10,7,4,0,70,93,0,4,0,0,102,85,32,17,112,0,254,3474,400,336,616,25,4844,174,18,19,144,1554,1905,10573,2720,1987,20257,1789,37328
UCL102002,2073,14627,10589,100663,1296,129253,74,770,457,13947,177,15433,3576,233,340,758,41,4947,646,196,103,424,12,1381,2032,705,452,1559,25,4775,24403,12928,9204,90288,1537,138359,2658,161,602,157,21,3591,926,182,186,856,7,2155,2688,877,620,6400,78,10658,1007,323,151,964,14,2464,516,139,58,245,8,969,2818,185,117,186,10,3317,5642,2834,1803,28677,304,39255,2883,1184,501,4401,52,9020,983,14,62,21,3,1080,447,180,75,386,9,1095,97,19,15,44,0,178,1281,443,243,1447,24,3435,1193,517,219,361,18,2310,1259,825,538,525,7,3155,1066,265,177,558,15,2084,854,99,131,248,11,1349,255,187,25,22,0,490,5895,3016,2098,22833,199,34044,355,64,27,116,4,565,1167,215,212,104,9,1703,1136,97,113,351,6,1708,210,59,30,45,6,349,456,29,82,17,4,590,994,318,212,1053,12,2582,13796,3265,2455,4655,188,24363,757,169,128,1907,14731,17688,66618,25691,18221,195991,17930,324446
UCL102003,385,2538,2006,18233,297,23456,29,154,98,2615,22,2910,368,28,58,171,7,627,92,27,13,56,5,197,410,138,86,299,8,938,5534,2355,1689,18639,291,28505,467,17,117,31,4,637,203,42,26,179,5,452,672,180,151,1762,24,2796,86,64,23,170,8,342,81,20,13,20,0,131,371,17,21,26,0,443,1185,529,355,6698,56,8831,597,211,102,834,12,1753,53,0,9,0,0,63,26,17,3,57,0,99,16,7,0,11,0,32,130,48,28,125,0,328,305,95,56,63,6,527,357,148,127,68,0,696,201,44,44,95,0,383,80,26,23,40,0,167,57,25,17,4,0,107,1413,577,404,5167,44,7601,43,12,0,6,0,69,160,54,15,28,0,257,159,22,18,64,3,268,17,10,7,12,0,44,60,9,14,0,0,86,222,59,25,184,4,493,2275,539,504,1297,37,4656,131,36,26,375,3479,4046,12565,4656,3481,39544,4170,64421
UCL102004,1716,12396,9307,114466,1133,139020,55,624,286,15298,141,16406,4144,252,376,869,32,5678,700,185,65,403,9,1355,1539,770,427,1903,17,4659,14481,11338,8141,110540,1231,145733,1924,101,664,148,17,2852,540,166,144,922,15,1787,2574,1196,858,9660,88,14375,1140,371,162,1274,23,2986,356,123,50,248,0,787,3126,187,116,176,5,3607,3355,2417,1685,32707,204,40370,2599,1041,382,4608,63,8683,708,20,70,44,3,843,221,86,39,333,0,678,1642,260,123,692,9,2723,334,169,118,684,12,1309,621,345,215,278,11,1465,763,593,418,387,16,2172,1554,421,303,1314,19,3620,450,101,112,384,5,1056,453,210,71,77,7,815,4260,3229,2179,30874,192,40733,487,72,53,149,6,768,798,181,165,91,6,1238,615,101,72,330,6,1126,231,41,44,46,0,359,876,37,86,34,4,1039,792,466,286,2254,10,3796,14900,2940,2364,5238,177,25621,667,144,125,2212,13716,16852,55568,23131,16691,233573,16404,345367
UCL102005,2829,11849,8698,74316,926,98612,61,563,328,8900,134,9985,3964,137,183,442,28,4756,1694,315,174,738,25,2941,1946,780,474,1795,22,5015,18180,10366,7903,63867,897,101211,2027,129,518,145,19,2836,606,122,135,609,3,1467,3148,1038,845,5740,101,10877,2090,501,252,1566,26,4433,626,156,62,327,7,1178,2970,104,88,93,3,3264,3727,2077,1418,19732,178,27128,6627,1861,896,6385,129,15899,433,12,41,28,0,520,1288,358,234,473,15,2370,6409,791,425,1796,66,9493,1440,499,241,1588,26,3797,867,282,182,222,12,1565,750,459,346,284,13,1846,1259,279,196,761,13,2495,387,62,66,209,5,726,196,98,19,29,5,352,4928,2686,1915,16838,161,26527,2154,248,142,352,16,2912,543,195,113,57,0,912,1911,290,191,703,25,3124,223,38,22,46,0,325,1221,37,78,73,9,1422,1105,361,285,1057,10,2816,18798,3198,2450,4576,222,29242,1042,169,120,1181,11096,13614,79639,22984,16680,145851,13568,278728
UCL111001,311,1520,1055,17408,190,20483,8,76,26,1880,16,2007,320,21,30,97,3,466,99,34,12,74,4,224,346,141,83,352,4,927,1901,1364,944,16626,223,21052,445,26,82,24,9,587,62,19,11,132,3,225,476,240,144,3037,30,3930,131,41,12,153,5,340,83,27,6,53,0,171,847,27,18,10,0,911,380,357,221,6059,46,7057,266,153,49,845,7,1310,39,6,13,0,0,58,35,23,21,78,0,146,8,0,0,5,0,13,38,22,13,84,0,161,101,35,12,29,4,179,89,69,42,50,0,258,144,40,27,131,0,343,50,9,15,26,0,103,19,6,0,3,0,33,506,345,243,4606,37,5739,69,11,0,30,0,115,87,21,9,11,0,131,74,12,15,76,0,174,58,4,0,5,0,65,75,0,5,6,0,80,73,40,12,144,0,268,3104,338,267,732,55,4491,103,22,8,425,2576,3139,8587,2870,1957,36979,3094,53488
UCL111002,280,1758,1231,15921,210,19399,8,107,42,2904,43,3097,334,49,35,115,8,533,56,19,6,39,0,120,312,107,76,278,0,784,2979,1692,1090,15229,225,21220,321,12,64,14,3,418,124,25,18,146,0,322,433,145,107,1377,16,2068,64,26,7,70,8,180,88,14,9,27,0,132,439,20,22,32,0,516,632,356,212,4930,52,6189,320,147,55,665,3,1198,31,3,4,0,0,41,27,12,7,39,0,82,4,4,0,5,0,17,62,29,23,103,0,211,97,44,21,25,0,186,141,87,63,51,4,339,131,36,33,86,0,291,51,16,7,18,0,95,22,5,10,7,0,37,710,407,279,4128,31,5557,25,0,0,10,0,40,151,24,19,18,0,214,89,15,10,35,0,149,24,3,0,7,0,33,67,6,8,5,0,88,115,27,25,134,4,303,3426,389,328,705,48,4888,153,20,18,351,3102,3643,9604,3236,2200,32900,3643,51576
UCL111003,364,2854,2135,33852,254,39458,32,205,109,6271,65,6679,621,35,64,182,3,908,75,37,13,80,0,214,327,172,111,508,3,1119,3096,2584,1838,30560,282,38354,640,27,218,66,0,960,97,28,17,183,0,328,490,256,172,2924,23,3857,94,52,17,195,0,364,50,29,10,85,0,180,884,37,14,51,3,983,631,426,346,7947,39,9391,281,153,62,892,6,1395,109,4,7,4,0,129,32,28,3,52,0,127,41,19,0,72,0,131,76,40,35,186,5,338,235,108,36,113,0,493,194,150,99,119,4,570,328,72,56,401,9,865,79,10,24,79,4,192,100,59,21,28,0,209,875,643,478,7287,27,9305,36,19,8,26,0,84,222,49,26,26,0,319,113,25,6,80,0,231,35,14,19,12,0,77,119,3,9,0,0,138,138,84,64,423,0,715,2802,584,466,1253,31,5133,142,52,15,715,2872,3798,10800,5071,3669,65965,3480,88984
UCL112001,97,588,460,5841,56,7032,6,38,6,1636,55,1738,302,14,22,67,0,399,6,4,0,11,0,22,78,44,29,73,0,227,780,536,397,5559,72,7337,156,0,28,5,0,188,44,20,7,47,0,120,159,58,36,684,5,944,19,3,9,33,0,66,21,3,0,17,0,40,244,0,3,4,0,250,171,111,84,2113,21,2502,62,30,16,148,0,255,24,0,0,0,0,21,16,9,4,28,0,55,0,0,0,0,0,0,9,3,3,24,0,42,42,16,10,11,0,84,43,31,16,14,0,107,32,8,4,23,0,66,20,0,6,12,0,42,12,8,4,0,0,27,236,143,115,1840,12,2338,11,3,0,6,0,21,47,3,18,4,0,78,50,0,4,14,0,64,46,7,4,0,0,50,77,0,4,0,3,87,34,21,13,62,0,125,2111,186,158,289,16,2762,49,5,5,114,2215,2388,4245,1069,806,12670,2409,21205
