UCL_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
UCL101001,211872,62140,66148,70844,78417,27952,7165,25312,1408261,792,196,253,62,84,143,134,55,37,9343,11098,955207,283765,269237,75325,79440,85166,93550,35269,9928,44618,1931508
UCL102001,886,273,363,312,249,81,17,76,4819,3,0,0,0,0,0,0,0,0,3,11,3996,1082,1135,320,393,355,299,116,37,160,7895
UCL102002,3156,708,671,648,701,271,92,328,17144,74,6,4,0,0,0,0,0,3,224,316,33860,6856,5797,1176,1063,938,1041,483,179,1481,52870
UCL102003,519,174,134,155,153,58,12,44,2556,14,0,0,0,0,0,0,0,0,86,103,6935,1252,1036,261,208,235,272,131,49,431,10810
UCL102004,3672,1138,1288,1306,1405,531,150,436,19857,34,3,0,0,0,0,0,0,0,256,300,23311,5787,5745,1519,1648,1701,1886,791,271,1246,43897
UCL102005,3551,1063,938,1192,1431,622,89,613,27982,68,0,9,0,0,8,0,0,0,354,439,37266,4771,5289,1344,1241,1507,1782,839,156,1644,55855
UCL111001,971,238,278,271,259,77,15,66,3643,6,0,0,0,0,0,0,0,0,4,16,3100,1038,1181,277,313,327,302,109,29,153,6834
UCL111002,637,202,289,346,411,115,72,85,3437,5,4,0,0,0,0,0,0,0,28,39,3977,1001,961,275,356,398,474,146,87,266,7940
UCL111003,881,170,167,215,215,68,15,47,3577,0,0,0,0,0,0,0,0,0,18,20,4285,1404,1339,247,213,280,289,97,28,165,8342
UCL112001,319,107,167,434,619,104,17,34,2364,0,0,0,0,0,0,0,0,0,4,5,1145,452,432,139,211,461,649,133,19,68,3709
UCL112002,363,90,120,144,130,63,12,30,1694,6,0,0,0,0,0,0,0,0,117,122,1889,508,515,117,152,184,155,73,16,208,3819
UCL112003,191,63,46,83,72,21,4,37,1656,11,0,0,0,0,0,0,0,0,7,15,4680,469,403,102,72,105,97,26,11,150,6109
UCL112004,252,94,76,110,102,38,8,33,1553,3,0,0,0,0,0,0,0,0,0,5,3280,548,436,115,99,137,130,70,11,182,5002
UCL112005,78,26,27,32,24,15,0,15,463,4,0,0,0,0,0,0,0,0,241,247,957,167,145,42,29,37,33,24,0,305,1739
UCL112006,840,282,305,288,220,81,60,46,3062,4,0,0,0,0,0,0,0,0,6,4,1149,734,1002,318,332,328,264,103,83,116,4429
UCL112007,32,14,5,25,14,6,0,9,152,0,0,0,0,0,0,0,0,0,0,0,328,47,53,18,8,24,17,11,0,37,543
UCL112008,97,26,40,51,44,16,0,29,609,10,0,0,0,0,0,0,0,0,7,13,1681,140,135,29,52,63,67,24,9,117,2315
UCL112009,291,71,70,85,138,30,42,29,1273,0,0,3,0,0,0,0,0,0,94,91,1213,326,379,87,81,97,183,38,55,185,2647
UCL112010,674,267,324,425,544,173,44,135,4332,4,0,0,0,0,3,8,0,0,11,27,1745,738,812,305,358,456,612,193,51,196,5475
UCL112011,88,15,11,6,21,9,4,9,329,5,0,0,0,0,0,0,0,0,0,5,687,126,146,18,12,24,30,7,5,34,1096
UCL112012,198,55,54,83,97,30,14,6,1034,0,0,0,0,0,0,0,0,0,9,8,1632,336,315,83,78,111,124,48,16,67,2801
UCL112013,10,8,4,0,3,4,8,9,71,0,0,0,0,0,0,0,0,0,0,0,86,18,11,12,4,0,5,4,12,11,163
UCL112014,123,24,23,22,41,19,12,26,791,4,0,0,0,0,0,0,0,0,13,15,2095,293,231,44,40,37,62,20,8,132,2981
UCL112015,363,115,93,118,178,57,12,32,1717,9,0,0,0,0,0,0,0,0,125,130,2576,425,510,140,115,145,214,73,12,237,4459
UCL112016,579,144,164,168,164,80,11,32,2327,5,0,4,0,0,0,0,0,0,4,14,2041,656,771,186,204,200,196,112,11,116,4492
UCL112017,329,83,125,114,115,48,16,45,1825,9,0,0,0,0,3,0,0,0,27,35,4497,711,670,141,189,180,181,79,31,251,6928
UCL112018,568,207,288,327,360,106,45,61,2464,3,0,0,0,0,0,0,0,0,11,17,1092,393,699,236,340,346,405,134,52,115,3800
UCL112019,841,335,335,404,599,196,56,43,3866,4,0,0,0,0,0,0,0,0,10,8,1933,748,1041,364,380,444,640,215,70,101,5947
UCL113001,113,26,38,37,50,11,3,29,599,5,0,0,0,0,0,0,0,0,9,13,1441,257,250,64,50,57,68,19,14,109,2323
UCL113002,64,27,26,33,35,23,0,15,536,6,0,0,0,0,0,0,0,0,0,3,1416,129,106,34,31,34,40,26,7,85,1915
UCL113003,70,11,26,40,50,26,9,3,415,0,0,0,0,0,0,0,0,0,5,5,502,105,110,24,36,49,63,29,15,20,952
UCL113004,229,78,87,141,220,92,3,32,1200,0,0,0,0,0,0,6,0,0,3,5,1135,341,444,142,148,230,314,178,18,86,3035
UCL113005,66,14,26,26,25,18,3,8,382,0,0,0,0,0,0,0,0,0,3,6,610,137,115,32,33,31,31,26,3,53,1073
UCL113006,42,20,11,15,18,0,3,9,219,0,0,0,0,0,0,0,0,0,88,87,387,50,66,27,11,18,19,7,6,133,718
UCL113007,72,14,8,9,14,8,5,5,464,0,0,0,0,0,0,0,0,0,29,27,1607,276,211,39,36,29,48,27,7,59,2348
UCL113008,73,21,14,19,21,5,3,15,443,3,0,0,0,0,0,0,0,0,4,8,866,95,96,31,18,25,30,0,3,57,1229
UCL113009,36,3,9,13,10,6,3,3,227,0,0,0,0,0,0,0,0,0,0,0,585,135,100,11,22,23,15,21,4,21,941
UCL113010,77,27,34,17,39,20,0,13,395,0,0,0,0,0,0,0,0,0,0,0,567,99,142,31,40,40,47,20,3,31,1026
UCL113011,100,18,17,23,48,10,0,11,414,0,0,0,0,0,0,0,0,0,0,3,432,153,158,27,24,32,59,10,8,24,935
UCL113012,81,25,50,52,48,18,14,21,750,5,0,0,0,0,0,0,0,0,20,21,1811,249,197,46,66,71,75,51,30,96,2697
UCL113013,65,7,18,24,21,5,4,11,379,4,0,0,0,0,0,0,0,0,5,4,743,116,106,18,28,37,28,5,7,44,1133
UCL113014,108,29,21,40,47,21,18,4,538,0,0,0,0,0,0,0,0,3,0,0,640,253,203,53,25,57,55,27,36,27,1374
UCL113015,25,15,12,4,15,4,0,21,382,4,0,0,0,0,0,0,0,0,3,6,1204,57,55,25,20,18,21,15,0,60,1474
UCL113016,111,39,28,48,66,37,13,11,615,3,0,0,0,0,0,0,0,0,5,18,946,146,146,49,47,53,78,39,14,73,1586
UCL113017,60,21,8,22,15,16,0,21,427,9,0,0,0,0,0,0,0,0,4,10,1413,149,126,28,27,31,34,26,3,70,1906
UCL113018,6,4,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,121,5,6,5,3,0,0,0,0,7,156
UCL114001,14,5,9,10,7,0,0,0,134,3,0,0,0,0,0,0,0,0,3,9,422,52,49,7,15,16,12,0,0,14,591
UCL114002,13,3,4,0,6,0,3,7,116,0,0,0,0,0,0,0,0,0,0,0,760,55,40,4,3,6,17,8,8,57,963
UCL114003,26,5,9,19,17,9,0,3,157,0,0,0,0,0,0,0,0,0,4,4,369,40,50,5,13,23,19,8,5,40,567
UCL114004,51,23,36,26,57,35,28,15,501,4,0,0,0,0,0,0,0,0,25,32,649,81,87,20,51,29,66,39,34,68,1133
UCL114005,20,8,6,10,5,0,26,8,130,0,0,0,0,0,0,0,0,3,0,0,275,40,28,7,11,11,3,3,26,20,419
UCL114006,24,3,6,3,10,0,0,3,108,0,0,0,0,0,0,0,0,0,0,3,306,38,37,8,10,7,8,4,0,19,431
UCL114007,56,10,25,27,43,4,0,0,278,3,0,0,0,0,0,0,0,0,0,6,344,58,73,15,31,26,40,4,0,12,618
UCL114008,26,11,21,8,20,3,9,0,168,0,0,0,0,0,0,0,0,0,0,0,213,36,45,11,23,17,20,7,9,19,400
UCL114009,289,43,70,33,47,21,29,8,809,0,0,0,0,0,0,0,0,0,0,0,229,230,332,49,89,38,60,25,31,18,1103
UCL114010,25,11,6,5,20,3,8,5,129,0,0,0,0,0,0,0,0,0,0,0,173,41,29,16,16,12,24,5,4,15,336
UCL114011,12,8,7,18,19,5,0,0,125,0,0,0,0,0,0,0,0,0,0,0,271,22,24,8,11,22,19,5,6,21,399
