UCL_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
UCL101001,1268,4275,12883,11358,8353,5085,1466,299,81,45077,42093,99180,268439,251149,209774,139180,35104,3536,277,1048730,195,486,1305,1288,1356,1082,445,146,19,6324,20,111,657,893,738,607,182,40,4,3249,2499,6663,22583,27425,28283,23021,5448,560,37,116505,125,746,3658,5067,4393,2696,601,50,3,17346,6827,17099,46817,39533,30988,19649,4823,492,36,166269,846,3952,15089,19597,17672,12116,2978,415,40,72711,19583,31927,45556,37169,28981,20881,5647,738,55,190535,26315,21110,27334,18426,12765,9285,2210,263,20,117722,1664,7269,24034,27244,26140,20961,5177,396,11,112902,693,3401,14812,16992,11721,5713,1172,140,14,54662,570,9824,43049,52960,35055,15801,3463,481,79,161284,699,3261,10527,11223,8740,5588,2126,500,95,42760,1750,18956,73939,70099,45799,26854,9857,1628,99,248974,1209,6195,18270,16577,14025,10330,3054,384,23,70055,992,6987,27545,30977,27700,19184,4529,327,19,118261,6030,15099,42368,41516,39989,29585,8778,811,34,184211,4427,25697,73495,64340,57480,46215,14082,1579,64,287378,2238,4262,8639,6984,5179,3437,1187,192,10,32127
UCL102001,14,20,83,52,61,36,4,0,3,279,566,889,2434,2193,2221,1383,256,15,5,9970,0,4,12,15,4,9,10,4,0,61,0,0,0,9,6,4,0,0,0,20,47,64,174,145,148,121,30,3,0,733,0,9,41,63,46,40,6,0,0,204,106,309,626,441,419,341,83,9,0,2335,7,28,72,57,69,47,21,0,0,311,270,231,458,236,207,202,42,3,0,1649,352,201,265,161,99,71,17,0,0,1162,15,39,154,111,139,148,37,3,0,644,7,13,68,56,58,28,6,0,0,237,6,17,61,33,43,35,4,0,0,203,5,44,67,69,60,36,10,0,0,287,24,102,418,387,328,194,51,6,0,1513,12,53,156,116,146,117,27,8,0,626,33,260,1070,1473,1573,846,119,0,0,5383,63,121,347,333,339,208,44,0,0,1459,45,183,596,444,442,349,82,5,0,2140,38,42,55,56,52,40,10,0,0,301
UCL102002,124,197,429,483,465,322,106,46,11,2181,4605,6089,13445,14997,15598,12186,2773,271,20,69983,35,75,176,137,142,129,39,10,0,738,0,22,100,166,157,115,17,0,0,588,358,634,1574,1818,2042,1597,298,38,0,8360,17,57,251,338,388,323,42,0,0,1416,907,1748,3803,3697,3046,2168,518,37,3,15930,63,167,460,684,832,663,148,22,0,3033,2278,2067,2659,2357,2519,2068,546,73,3,14559,3521,1595,1530,1230,1059,800,203,33,3,9967,91,220,686,949,1328,1428,385,47,0,5135,85,170,469,664,584,397,83,15,3,2459,30,257,918,1286,1255,790,179,26,0,4744,38,148,427,499,542,355,140,33,4,2189,101,472,1627,2276,2039,1307,528,78,5,8444,136,364,830,986,1125,905,245,23,0,4620,61,334,1454,2366,2524,1621,284,14,3,8661,242,811,2399,2726,2681,2152,608,34,0,11644,434,1948,5130,5202,5891,5407,1241,82,0,25331,173,197,395,367,331,248,97,15,4,1829
UCL102003,29,33,113,113,101,92,35,12,6,530,986,1015,2384,2804,3046,2743,725,55,12,13772,7,15,46,40,34,34,23,15,0,219,0,3,38,33,40,23,3,0,0,143,79,94,172,249,227,227,58,4,0,1116,0,18,32,64,85,59,11,0,0,267,127,289,684,737,694,499,114,12,0,3152,25,20,69,101,103,91,29,0,0,446,422,401,490,445,504,486,126,16,0,2903,804,337,423,365,360,316,106,14,0,2735,12,44,99,113,213,247,82,14,0,824,14,26,49,82,76,46,12,0,0,300,3,28,92,144,128,96,32,0,0,530,12,28,87,91,120,127,43,9,4,512,10,71,303,357,333,244,123,10,3,1454,15,50,143,193,235,232,76,0,0,948,3,44,158,314,378,320,50,4,0,1269,38,98,405,578,634,488,135,11,0,2393,74,268,832,999,1139,1220,310,19,0,4855,42,57,77,90,92,60,19,0,0,433
UCL102004,130,229,490,456,367,264,83,28,9,2053,5641,9028,18757,17851,17320,12293,2575,233,15,83717,16,51,115,96,121,117,38,10,0,566,17,132,923,1134,850,544,62,3,0,3657,324,626,1766,1944,2144,1601,270,35,0,8713,9,88,433,598,597,384,65,8,0,2176,907,1889,3955,3273,2854,2016,441,56,0,15392,84,214,645,776,820,600,181,12,0,3331,2451,2866,3071,2165,2324,1775,429,42,0,15123,4253,2702,2105,1289,1039,756,187,24,0,12351,97,315,952,1250,1496,1480,319,49,5,5951,65,145,370,319,287,169,39,8,0,1406,36,332,1526,1627,1266,724,123,14,0,5645,54,184,468,455,488,358,132,45,3,2184,142,1017,3048,3145,2157,1402,477,78,0,11479,122,482,1117,1093,1156,851,204,26,0,5046,69,575,2262,2682,2738,1716,280,19,0,10344,352,1268,3489,3878,3915,2839,723,51,0,16506,630,3166,8306,7191,7134,5716,1193,99,8,33445,341,318,448,380,305,177,66,17,0,2037
UCL102005,93,208,422,350,340,229,60,19,0,1715,3995,6805,13758,13225,13068,9067,1783,129,7,61840,13,36,74,55,70,49,18,11,0,324,26,101,598,801,586,324,31,4,0,2465,256,571,1496,1490,1960,1652,267,19,4,7709,19,75,255,335,344,241,36,0,0,1305,856,1630,3157,2571,2209,1557,314,13,3,12321,48,134,426,516,540,407,88,7,0,2169,1705,2063,2282,1921,1863,1429,323,28,0,11624,2862,1970,1566,928,754,576,140,9,0,8804,94,321,1033,1280,1501,1286,280,32,0,5829,26,107,322,342,284,135,27,5,0,1252,32,314,1048,1163,1045,518,104,8,0,4235,41,156,340,381,339,232,66,16,4,1568,119,787,1995,1921,1399,898,326,50,0,7501,92,327,822,888,937,776,154,13,0,4006,86,499,1897,2427,2347,1514,220,17,0,9002,278,914,2940,3065,3134,2266,506,39,0,13145,424,2139,5386,4708,4879,3734,813,45,0,22138,189,241,366,318,283,164,56,3,7,1629
UCL111001,22,39,75,59,64,50,14,8,4,341,893,1242,2769,2546,2518,1996,545,40,3,12556,7,26,49,62,62,58,27,12,0,305,0,4,5,11,11,7,3,0,0,39,87,157,492,474,440,354,71,6,0,2072,0,13,34,53,31,39,9,0,0,180,158,345,671,499,347,353,102,8,0,2491,12,27,89,111,136,103,51,8,0,538,485,395,533,424,395,354,105,6,4,2693,552,324,391,270,210,151,41,4,0,1951,22,68,214,203,251,230,94,9,0,1092,12,24,44,36,41,24,10,6,0,200,5,29,87,95,99,64,10,0,0,395,7,29,72,62,66,42,23,0,0,306,22,65,264,248,206,155,69,13,0,1045,26,58,137,167,170,151,59,0,0,768,15,96,354,420,507,314,59,3,0,1761,60,150,513,604,591,448,136,9,0,2510,76,435,1183,978,908,800,234,11,0,4615,44,45,40,48,35,24,16,0,0,249
UCL111002,34,35,58,67,58,47,17,11,3,335,822,867,2062,2318,2547,2011,466,39,3,11141,12,29,149,184,102,82,33,5,0,598,0,5,9,12,16,11,5,0,0,55,25,43,129,144,147,145,36,0,0,672,3,5,32,45,43,43,5,0,0,170,99,229,426,401,387,316,84,5,0,1950,12,24,63,95,106,82,16,0,0,414,475,301,429,409,409,379,109,9,0,2518,600,290,367,295,278,210,58,3,3,2098,13,31,93,120,151,186,69,4,0,670,12,9,41,43,43,34,4,0,0,191,8,16,78,101,109,71,17,0,0,398,3,17,59,63,75,65,27,5,0,317,19,43,218,249,222,169,90,14,0,1024,27,42,136,164,216,189,38,3,0,823,9,47,224,336,402,232,38,5,0,1296,40,100,358,485,518,370,112,6,0,1998,72,323,906,928,1128,948,224,16,0,4538,43,23,54,57,69,33,13,0,0,297
UCL111003,34,68,130,132,93,66,17,4,4,549,1506,2038,5152,4696,4172,2834,506,44,4,20952,14,45,81,79,93,57,32,8,0,408,22,115,583,734,567,308,33,3,0,2366,128,244,770,634,639,501,69,7,0,3009,4,32,140,148,162,95,15,0,0,595,221,502,995,828,604,493,106,6,0,3751,24,70,300,282,237,172,27,0,0,1104,683,623,1017,783,697,471,108,11,0,4392,1075,471,484,367,271,180,45,3,0,2904,24,86,318,433,479,394,136,12,0,1880,26,17,76,58,41,32,9,4,0,257,10,68,319,285,190,103,13,0,0,995,16,49,119,120,93,63,24,5,0,487,40,146,521,521,376,256,88,10,0,1959,35,142,459,367,334,224,55,3,0,1616,23,124,690,723,680,399,56,3,0,2702,72,230,731,797,785,540,111,5,0,3277,163,673,1768,1576,1440,1110,199,9,0,6950,58,40,81,54,46,38,9,3,0,330
UCL112001,6,12,25,16,16,10,3,5,0,88,348,538,1058,858,813,709,179,19,3,4528,8,40,117,78,51,44,12,10,0,363,0,3,18,5,13,6,0,0,0,43,27,45,71,46,41,30,4,0,0,267,0,9,9,12,16,19,3,0,0,67,38,82,163,110,95,94,27,4,0,606,9,13,23,22,13,21,6,0,0,109,174,165,192,106,116,104,28,3,0,889,251,179,134,88,43,69,22,4,0,789,3,14,32,22,43,51,21,0,0,179,7,19,17,17,11,10,7,0,0,91,0,8,49,38,32,14,4,0,0,146,4,12,22,13,10,8,7,3,0,77,4,44,113,115,89,69,51,0,0,481,5,17,81,66,64,46,12,0,0,297,7,33,112,115,126,101,20,5,0,515,43,143,355,444,427,389,94,8,0,1904,22,158,466,298,254,253,64,4,0,1526,9,16,25,23,15,10,3,0,0,98
