UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL115128,51,119,57,26,33,9,0,300,24,72,41,24,43,10,0,213,12,21,15,11,20,3,0,77,0,9,0,0,13,0,0,21,349,572,245,154,292,120,0,1742
UCL115129,33,122,56,39,21,4,0,276,17,61,50,26,28,6,0,190,9,16,11,13,25,4,0,84,6,0,6,0,9,32,0,49,270,453,255,154,201,75,4,1404
UCL115130,88,206,113,59,144,34,0,649,72,183,154,139,237,45,0,831,53,72,68,86,194,63,4,541,20,25,11,9,106,59,0,225,451,767,463,383,924,258,8,3254
UCL115131,92,178,107,66,147,17,0,622,73,157,116,76,173,24,0,631,41,90,47,41,116,21,0,363,17,7,12,7,61,13,0,118,590,883,473,362,961,177,3,3454
UCL115132,44,127,52,29,36,9,0,297,34,95,66,43,56,6,0,298,22,30,26,30,32,5,0,153,12,16,9,4,17,7,0,57,250,450,242,133,233,58,4,1366
UCL115133,56,158,83,32,65,9,0,391,97,278,189,122,173,26,0,886,66,174,103,106,193,21,0,674,27,43,22,17,58,11,0,178,353,792,460,316,604,98,0,2626
UCL115134,98,165,95,61,122,29,0,575,68,138,92,84,168,30,0,583,37,65,46,53,177,23,0,402,20,27,9,9,120,15,0,200,575,864,425,330,977,177,3,3355
UCL115135,70,108,72,42,95,26,0,419,59,135,108,103,165,47,0,608,30,71,49,42,120,33,0,345,11,20,10,5,77,14,0,139,354,594,361,288,698,221,3,2527
UCL115136,28,66,40,20,46,0,0,212,27,48,33,28,34,5,0,165,7,11,17,12,23,9,0,69,6,0,4,0,8,3,0,18,351,475,264,196,302,50,0,1638
UCL115137,55,146,74,49,112,13,0,456,62,89,70,85,110,18,0,435,28,44,26,28,84,35,0,253,12,12,7,3,38,43,0,118,621,898,404,402,763,178,0,3264
