UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL122020,10,28,14,10,18,0,0,74,5,15,0,8,22,0,0,53,5,3,0,3,17,0,0,29,0,0,0,0,7,0,0,10,24,67,30,36,83,9,0,253
UCL122021,0,9,0,5,5,0,0,29,7,9,5,6,5,0,0,44,0,8,0,0,4,0,0,15,0,0,0,0,0,0,0,0,24,44,21,27,35,7,0,160
UCL122022,20,40,15,7,8,0,0,87,12,19,11,11,17,3,0,72,6,4,6,11,13,0,0,49,0,4,0,0,4,0,0,8,76,119,67,46,70,8,0,392
UCL122023,10,18,15,6,6,0,0,65,0,21,18,11,16,0,0,69,5,14,3,8,7,5,0,38,0,5,0,0,6,0,0,8,71,116,57,45,56,4,0,352
UCL122024,7,15,0,0,4,0,0,28,6,8,5,4,16,6,0,42,4,0,4,0,6,0,0,13,0,0,0,0,0,0,0,0,45,56,32,22,58,10,0,220
UCL122025,17,16,10,9,0,0,0,45,3,3,0,0,3,0,0,11,0,0,0,0,5,5,0,15,0,0,0,0,0,0,0,0,49,65,31,18,19,18,0,197
UCL122026,0,10,6,4,3,0,0,27,3,4,3,3,11,0,0,27,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37,42,33,22,45,6,0,181
UCL122027,14,13,8,9,13,0,0,54,5,25,12,10,15,3,0,65,0,0,3,7,19,0,0,34,0,4,0,3,4,5,0,22,31,65,27,32,75,17,0,250
UCL122028,6,15,3,8,29,9,0,81,0,7,6,10,31,4,0,59,3,6,9,5,12,3,0,39,5,0,0,0,8,0,0,14,50,57,36,44,108,33,0,327
UCL122029,4,19,8,3,3,0,0,43,3,21,15,6,6,7,0,63,0,8,6,0,9,3,0,29,0,0,0,0,4,0,0,4,46,72,41,24,27,20,0,228
UCL122030,20,28,9,7,8,7,0,86,3,15,7,13,8,4,0,55,0,0,0,0,6,5,0,7,0,0,0,0,0,0,0,0,61,92,46,41,48,36,0,321
UCL122031,12,16,5,3,3,0,0,36,9,7,6,4,3,3,0,21,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,95,104,40,26,47,10,0,316
UCL122032,9,19,13,10,17,0,0,68,3,10,6,3,19,0,0,48,0,0,0,7,8,0,0,11,0,0,0,0,0,0,0,0,37,118,47,46,88,23,0,359
UCL122033,0,6,5,0,8,4,0,29,0,4,0,3,8,0,0,15,0,0,3,0,4,0,0,10,0,0,0,0,0,0,0,4,26,49,23,17,38,6,0,165
UCL122034,8,19,8,3,4,0,0,36,3,8,4,4,7,0,0,29,0,0,4,0,3,0,0,10,0,0,0,3,0,0,0,3,44,60,33,20,35,0,0,197
UCL122035,5,30,17,4,15,9,0,85,5,19,15,14,16,5,0,73,0,6,6,10,9,5,0,31,0,0,0,0,9,0,0,7,49,115,67,44,70,23,0,366
UCL122036,8,9,5,7,8,12,0,51,6,6,4,8,25,10,0,59,0,0,0,0,17,5,0,24,0,0,0,0,4,0,0,4,36,48,13,25,120,103,0,345
UCL122037,3,12,4,4,0,0,0,24,0,4,0,0,0,4,0,12,0,5,0,0,0,0,0,7,0,3,0,0,0,0,0,3,38,76,26,20,14,9,0,182
UCL122038,6,13,6,14,8,0,0,45,7,8,22,5,10,0,0,46,5,0,4,0,4,0,0,15,0,3,0,0,5,5,0,9,40,66,33,34,48,13,0,228
UCL122039,7,24,3,15,18,5,0,70,4,14,16,11,20,6,0,66,0,8,4,0,9,4,0,27,0,0,3,0,3,0,0,12,55,81,42,39,103,34,0,345
UCL122040,3,13,8,7,5,9,0,43,0,10,10,3,11,0,0,36,0,3,0,5,3,0,0,13,0,0,0,0,0,0,0,3,26,38,36,27,42,15,0,182
UCL122041,17,27,7,10,8,11,0,67,8,22,17,0,5,3,0,50,0,0,7,6,5,0,0,11,0,0,0,0,0,4,0,4,61,94,48,35,41,33,0,298
UCL122042,4,4,5,0,11,0,0,29,6,3,5,3,12,0,0,33,0,5,3,0,4,0,0,13,0,0,0,0,0,0,0,0,45,58,30,19,64,14,0,229
UCL122043,10,16,14,3,7,5,0,49,8,10,7,12,4,3,0,56,0,9,5,4,12,0,0,25,0,0,0,0,0,0,0,9,47,65,42,31,57,10,0,254
UCL122044,0,5,3,3,7,0,0,17,0,6,4,0,6,0,0,21,0,5,0,0,5,0,0,10,0,0,0,0,0,0,0,0,14,22,10,11,35,9,0,97
UCL122045,10,15,8,0,11,0,0,44,4,3,3,4,13,3,0,34,4,6,5,0,7,3,0,27,0,0,3,0,4,0,0,7,32,50,29,29,55,16,0,203
UCL122046,16,52,24,19,19,9,0,143,16,36,31,11,21,0,0,109,13,9,8,5,12,0,0,47,3,4,0,0,7,3,0,23,70,131,91,63,80,21,0,455
UCL122047,10,30,14,12,0,0,0,78,6,18,12,9,5,3,0,58,8,6,5,5,8,0,0,33,0,0,0,0,0,0,0,0,42,87,53,49,31,10,0,274
UCL122048,6,14,9,5,22,15,0,66,4,14,8,6,17,6,0,61,3,10,3,4,24,7,0,54,0,0,0,5,3,0,0,10,55,58,31,26,125,103,0,398
UCL122049,7,9,5,10,16,6,0,56,17,12,10,8,17,8,0,72,0,6,0,4,17,0,0,36,0,0,0,0,9,0,0,7,39,59,37,29,97,23,0,286
UCL122050,7,17,4,3,9,0,0,46,4,7,5,5,13,5,0,36,5,0,4,3,7,0,0,12,5,0,0,0,9,0,0,12,37,50,23,25,46,9,0,181
UCL122051,7,8,4,9,12,3,0,43,3,7,0,3,12,3,0,27,4,5,0,4,11,0,0,23,0,0,0,0,0,0,0,0,23,41,26,32,65,37,0,220
UCL122052,10,22,4,0,11,7,0,59,7,19,15,9,11,10,0,73,3,3,7,0,0,0,0,22,0,0,0,0,0,0,0,0,34,92,55,22,37,29,0,266
UCL122053,10,15,4,5,12,0,0,58,3,5,11,6,20,0,0,50,3,3,9,5,14,10,0,44,0,0,0,0,13,0,0,24,30,51,41,30,90,29,0,275
UCL122054,9,10,8,6,18,16,0,65,7,8,8,5,21,27,0,83,5,3,3,0,3,7,0,19,0,3,0,0,3,4,0,6,64,70,32,32,111,122,30,461
UCL122055,10,22,21,10,3,0,0,60,9,24,24,19,9,0,0,92,3,24,11,7,8,5,0,60,0,0,0,4,0,0,0,6,48,104,87,57,42,11,0,350
UCL122056,5,7,6,8,6,0,0,31,10,5,12,13,15,0,0,61,0,7,3,3,3,0,0,24,4,0,0,0,0,3,0,11,41,66,41,34,63,9,0,249
UCL122057,6,13,12,7,7,0,0,37,8,8,8,5,9,0,0,41,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,4,35,65,42,32,41,8,0,214
UCL122058,16,24,13,13,11,3,0,80,6,28,9,21,15,7,0,88,3,7,5,4,15,7,0,43,0,0,0,0,0,0,0,5,59,113,54,70,74,33,0,399
UCL122059,5,22,8,6,14,5,0,63,11,12,5,8,18,12,0,59,7,3,0,6,6,0,0,25,0,0,0,3,4,0,0,11,49,122,39,35,82,32,0,363
UCL122060,4,16,9,7,20,13,0,60,9,14,6,7,18,9,0,63,5,0,0,0,6,3,0,23,0,0,0,0,0,0,0,9,47,67,42,36,90,44,0,325
UCL122061,0,0,5,4,16,5,0,27,0,4,0,5,6,5,0,21,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,10,9,20,17,52,33,0,149
UCL122062,13,10,4,3,9,9,0,51,5,9,5,3,7,0,0,27,0,0,3,0,5,3,0,13,0,0,0,0,0,0,0,5,50,65,38,17,54,37,0,260
UCL122063,5,14,6,9,13,5,0,51,6,9,9,0,11,0,0,29,0,5,4,0,8,0,0,20,0,0,6,0,0,4,0,13,45,69,38,19,61,21,0,253
UCL122064,17,12,4,0,22,10,0,65,12,12,10,0,11,4,0,46,3,0,0,0,17,3,0,27,0,0,0,0,5,0,0,12,52,55,26,16,114,32,0,293
UCL122065,19,28,25,9,22,4,0,112,14,28,24,17,21,5,0,110,6,9,10,8,12,5,0,54,0,3,0,0,4,0,0,5,68,104,71,46,80,32,0,396
UCL122066,13,22,6,4,7,0,0,60,4,10,7,8,10,0,0,39,0,0,3,4,8,0,0,19,0,0,0,0,6,0,0,5,61,84,49,43,64,4,0,297
UCL122067,7,35,9,11,15,0,0,75,6,17,18,9,21,0,0,73,0,5,5,10,7,0,0,28,0,3,0,0,4,0,0,11,59,120,51,51,86,21,0,384
UCL122068,0,12,0,0,10,10,0,33,0,4,0,3,11,3,0,21,0,0,3,0,3,0,0,10,0,0,0,0,0,0,0,4,21,38,13,11,50,49,0,183
UCL122069,11,24,8,7,8,0,0,67,6,15,14,7,12,0,0,55,0,7,4,3,7,0,0,21,0,5,6,0,0,0,0,6,50,99,49,32,52,8,4,300
UCL122070,0,21,12,11,11,0,0,54,0,12,14,6,15,0,0,59,4,9,0,3,14,0,0,34,0,4,0,0,7,0,0,15,54,97,54,52,76,8,0,341
UCL122071,6,10,7,5,10,0,0,36,11,21,7,9,10,0,0,58,6,6,4,0,12,4,0,37,4,0,0,0,0,0,0,7,47,84,51,35,75,12,0,304
UCL122072,3,8,7,3,13,0,0,45,0,12,10,6,9,0,0,33,4,4,3,0,11,0,0,24,0,0,0,0,0,0,0,6,43,61,32,22,64,17,0,228
UCL122073,8,25,14,11,13,0,0,68,4,14,16,10,10,3,0,59,6,5,8,4,12,3,0,32,0,0,0,0,0,3,0,6,45,70,44,32,53,18,0,271
UCL122074,3,12,10,3,24,6,0,60,5,11,11,4,20,10,0,61,6,6,4,6,8,0,0,32,0,0,0,0,0,0,0,3,39,46,29,24,71,30,0,240
UCL122075,4,17,4,4,4,0,0,30,4,7,0,4,10,0,0,20,0,3,5,3,8,0,0,13,0,0,0,0,0,0,0,6,30,68,28,24,43,19,0,205
UCL122076,15,5,7,0,3,4,0,35,0,5,12,0,10,0,0,25,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,39,53,27,12,23,6,0,171
UCL122077,4,22,7,7,10,4,0,57,4,14,10,0,25,0,0,61,0,3,0,3,9,0,0,30,0,0,0,0,3,0,0,7,56,67,36,23,73,28,0,289
UCL122078,8,19,12,0,6,0,0,53,4,19,14,3,17,4,0,59,6,5,7,5,18,9,0,44,0,4,0,0,8,0,0,17,32,72,42,22,62,20,5,250
UCL122079,9,17,10,8,6,4,0,48,3,13,9,6,6,0,0,41,0,7,0,0,8,0,0,14,0,0,0,0,0,0,0,3,47,76,40,31,32,9,0,230
UCL122080,15,22,11,3,11,0,0,59,4,15,3,7,9,0,0,45,0,9,0,9,13,0,0,26,0,0,0,0,0,0,0,0,66,97,40,38,99,7,0,340
UCL122081,6,6,9,3,10,3,0,36,4,8,6,6,6,5,0,36,0,8,0,0,9,6,0,17,0,0,0,0,5,0,0,6,27,53,27,19,50,25,0,199
UCL122082,5,11,13,10,9,0,0,53,3,20,8,8,23,0,0,60,3,7,7,6,8,4,0,38,7,4,0,0,0,0,0,9,38,54,34,29,64,14,0,222
UCL122083,6,20,13,4,6,0,0,51,0,4,7,8,10,0,0,30,0,0,7,0,4,0,0,8,0,0,4,0,0,0,0,3,46,71,40,35,45,9,0,243
UCL122084,5,10,3,4,6,0,0,30,0,0,6,0,3,0,0,12,5,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,27,41,16,12,43,21,0,167
UCL122085,3,8,4,10,4,3,0,32,5,11,11,7,14,0,0,50,0,0,6,5,12,0,0,23,3,0,0,0,0,0,0,6,39,49,33,30,64,23,0,231
UCL122086,12,9,3,4,23,10,0,62,7,8,6,5,36,16,0,79,4,0,4,0,19,3,0,32,0,0,0,0,4,0,0,10,42,49,23,19,137,64,0,343
UCL122087,0,9,9,9,4,5,0,40,8,11,16,9,8,3,0,55,0,0,0,0,8,0,0,15,0,0,0,0,0,0,0,3,23,46,31,28,35,11,0,168
UCL122088,4,11,3,6,3,3,0,35,4,12,5,6,17,9,0,40,0,4,0,5,0,5,0,9,0,0,0,0,0,0,0,3,23,45,30,23,48,24,0,195
UCL122089,9,22,13,9,6,5,0,65,4,9,8,7,7,0,0,36,0,6,3,8,9,0,0,35,0,0,0,0,5,0,0,9,57,111,49,43,53,31,0,352
UCL122090,16,32,12,17,7,5,0,85,5,19,12,16,7,8,0,66,7,5,6,0,5,3,0,31,3,0,0,0,5,0,0,4,77,125,61,53,41,31,0,389
UCL122091,5,6,12,0,14,9,0,48,0,9,11,4,19,5,0,43,0,5,0,0,6,9,0,29,0,0,0,0,4,4,0,14,34,51,28,16,79,55,0,269
UCL122092,8,18,14,5,6,3,0,61,6,18,11,0,8,0,0,52,0,4,4,3,5,0,0,21,0,3,0,0,0,0,0,3,57,83,51,36,50,14,0,294
UCL122093,6,16,9,8,20,13,0,66,5,10,10,9,6,5,0,42,3,3,0,3,9,3,0,21,0,0,0,0,0,7,0,8,36,65,30,21,94,52,0,299
UCL122094,9,20,3,15,6,3,0,59,10,14,13,8,17,8,0,66,7,5,0,0,14,6,0,36,0,0,0,0,7,0,0,11,58,77,38,39,76,30,0,321
UCL122095,8,14,7,3,3,4,0,45,0,0,6,5,4,3,0,12,0,0,0,4,0,5,0,12,0,0,0,0,0,0,0,3,38,42,34,23,39,13,0,182
UCL122096,16,9,10,3,10,5,0,56,7,8,9,7,3,4,0,39,5,9,7,9,8,4,0,41,0,0,0,0,0,0,0,0,55,54,33,21,40,20,0,230
UCL122097,5,14,9,3,3,3,0,35,4,5,0,0,13,0,0,26,0,6,0,6,8,7,0,15,0,0,0,0,0,0,0,4,40,46,23,14,45,19,0,177
UCL122098,16,32,13,4,18,25,0,102,12,11,9,8,21,22,0,80,3,4,5,3,4,8,0,23,0,0,0,0,3,12,0,14,52,87,49,30,78,122,0,429
UCL122099,7,15,7,0,4,3,0,38,3,12,4,11,11,3,0,46,0,0,6,0,5,4,0,17,0,0,0,0,0,0,0,4,35,57,30,26,42,22,0,210
UCL122100,10,42,15,13,16,8,0,102,14,26,15,19,28,12,0,117,5,9,3,6,20,3,0,49,0,0,4,0,4,4,0,17,70,123,54,46,100,46,0,444
UCL122101,7,21,10,9,5,0,0,56,6,17,10,16,12,7,0,71,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,51,92,49,41,40,24,0,297
UCL122102,10,11,6,11,9,19,0,67,0,8,8,11,16,18,0,58,4,4,3,10,9,3,0,32,3,3,0,0,0,5,0,13,32,51,28,41,56,65,0,276
UCL122103,12,12,8,8,11,0,0,45,4,0,4,6,11,4,0,29,0,5,0,0,8,0,0,16,0,0,0,0,4,0,0,8,19,38,30,22,51,12,0,166
UCL122104,13,27,17,7,12,0,0,77,3,10,9,13,6,0,0,40,9,5,3,4,10,0,0,21,0,0,0,0,0,0,0,5,85,85,46,68,64,0,0,353
UCL122105,10,23,14,4,6,0,0,54,0,3,9,0,0,0,0,23,4,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,34,102,49,22,31,3,3,245
UCL122106,10,3,4,6,21,26,0,64,7,6,4,4,12,11,0,52,4,0,3,0,11,12,0,27,0,0,0,0,3,0,0,0,29,21,18,17,86,77,0,249
UCL122107,9,16,16,10,12,0,0,65,4,10,11,12,9,0,0,39,0,7,3,0,11,0,0,24,0,0,0,0,6,0,0,4,42,83,44,47,51,9,0,278
UCL122108,4,14,5,4,9,0,0,48,10,17,15,8,6,18,0,67,10,10,9,7,12,9,0,39,0,0,0,0,0,0,0,8,27,60,36,30,42,30,0,231
UCL122109,32,61,14,11,22,22,0,168,20,32,7,3,13,10,0,83,4,9,0,0,0,4,0,16,0,0,0,0,0,0,0,3,220,239,80,34,187,91,22,874
UCL122110,10,8,14,4,13,0,0,53,9,8,7,4,5,0,0,36,4,6,6,0,9,0,0,26,0,0,0,0,6,0,0,6,59,77,49,32,56,8,0,279
UCL122111,10,17,16,9,6,3,0,63,4,12,7,7,9,3,0,42,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,3,61,74,51,43,45,11,0,286
UCL122112,6,21,10,15,14,4,0,63,9,13,15,10,17,8,0,63,0,6,10,8,7,0,0,33,0,0,0,0,0,0,0,6,30,79,47,34,64,19,0,263
UCL122113,7,14,3,10,5,0,0,40,4,7,10,4,6,0,0,29,0,0,3,9,7,0,0,23,0,0,0,0,0,0,0,0,29,49,30,24,28,5,0,163
UCL122114,10,34,9,7,4,4,0,64,6,24,17,18,20,6,0,91,0,4,7,3,9,0,0,32,0,7,0,0,0,0,0,8,46,93,46,44,55,16,0,290
UCL122115,3,15,9,9,5,0,0,44,8,16,12,14,9,4,0,64,3,4,9,3,8,0,0,32,0,0,0,0,0,0,0,4,34,65,52,44,30,17,0,243
UCL122116,10,18,21,18,4,0,0,68,13,8,18,12,7,4,0,57,3,6,9,6,3,0,0,28,3,0,0,0,0,0,0,11,56,72,57,49,30,21,0,279
UCL122117,4,23,10,14,9,0,0,61,8,6,11,3,7,0,0,41,3,6,3,3,7,0,0,19,0,0,0,0,0,0,0,3,56,102,46,36,73,11,0,332
UCL122118,3,3,9,3,13,7,0,38,4,10,3,6,5,5,0,23,0,0,0,5,6,0,0,9,0,0,0,0,0,0,0,0,29,66,28,32,48,14,0,214
UCL122119,18,32,11,3,8,6,0,85,12,30,17,9,24,4,0,88,0,8,6,10,4,0,0,34,0,0,0,3,0,0,0,7,55,104,60,37,53,27,0,343
UCL122120,10,25,14,6,3,0,0,63,3,5,17,9,10,0,0,44,8,0,3,3,8,0,0,20,0,0,0,0,5,0,0,3,65,96,68,37,70,15,0,345
UCL122121,3,12,6,4,11,0,0,40,0,7,0,3,6,3,0,25,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,34,73,32,24,31,27,0,220
UCL122122,14,22,14,0,3,0,0,58,0,14,13,19,3,0,0,47,0,3,0,3,3,0,0,19,0,0,0,0,3,0,0,3,71,121,63,57,37,3,0,359
UCL122123,8,7,0,4,13,4,0,37,0,5,7,6,11,0,0,40,5,3,3,4,12,0,0,22,0,0,0,0,3,0,0,5,23,35,28,22,45,9,0,170
UCL122124,0,7,9,3,3,0,0,22,0,8,5,3,5,0,0,19,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,41,65,41,27,19,9,0,209
UCL122125,4,17,8,0,6,3,0,43,4,8,11,11,15,9,0,51,0,4,0,4,3,7,0,24,0,0,0,0,0,3,0,0,24,44,24,24,42,25,3,198
UCL122126,8,44,20,12,8,4,0,82,10,17,10,5,5,4,0,49,0,7,4,6,6,0,0,21,0,3,0,0,0,0,0,9,56,117,57,43,48,6,0,326
UCL122127,6,18,7,8,7,4,0,54,4,16,7,3,15,3,0,54,4,3,0,0,3,0,0,23,0,0,0,0,16,4,0,15,38,75,31,24,62,29,0,260
UCL122128,0,10,3,5,11,0,0,31,0,4,8,4,3,6,0,26,0,0,0,3,3,0,0,16,0,0,0,3,3,0,0,5,26,41,17,25,38,14,0,172
UCL122129,11,10,10,5,5,3,0,50,0,12,15,9,9,4,0,46,0,4,8,9,3,0,0,33,4,4,0,0,0,0,0,10,40,75,43,36,50,10,0,256
UCL122130,5,12,6,5,4,0,0,28,4,11,3,4,13,0,0,42,0,5,4,0,7,0,0,15,0,0,0,0,0,0,0,5,22,56,23,18,31,18,0,161
UCL122131,49,69,21,14,40,119,3,311,26,24,11,12,20,72,0,169,0,3,7,0,4,21,0,35,0,0,0,0,0,3,0,0,259,320,104,63,184,579,22,1541
UCL122132,13,11,7,17,20,7,0,67,0,11,3,7,37,0,0,60,3,0,5,4,23,3,0,38,0,4,0,0,8,0,0,15,53,69,31,44,150,36,0,380
UCL122133,14,12,9,5,8,11,0,49,6,12,10,11,16,12,0,69,3,5,4,0,14,9,0,34,0,0,0,0,5,0,0,5,40,41,22,21,86,57,0,269
UCL122134,8,16,15,10,11,5,0,61,6,13,11,9,12,3,0,52,0,5,4,0,4,0,0,19,0,0,0,0,0,0,0,0,60,93,46,33,52,21,0,310
UCL122135,3,3,3,0,6,7,0,20,5,4,3,3,0,3,0,21,4,3,0,0,3,0,0,13,0,0,3,0,0,0,0,3,47,34,23,16,64,32,0,216
UCL122136,3,0,0,0,8,0,0,15,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,15,20,47,4,0,121
UCL122137,3,7,6,9,9,7,0,45,0,14,3,5,17,5,0,48,3,0,0,9,11,4,0,30,0,0,3,0,11,5,0,29,25,44,24,23,80,33,0,238
UCL122138,11,20,8,3,12,13,0,71,3,5,4,7,24,3,0,54,0,3,5,0,11,3,0,30,4,3,0,0,9,0,0,17,37,74,35,23,91,35,0,293
UCL122139,12,17,13,3,6,3,0,52,5,12,9,10,13,0,0,55,0,6,3,0,4,0,0,16,0,0,0,0,0,0,0,0,38,57,36,23,56,9,0,214
UCL122140,6,4,5,8,12,3,0,35,0,9,0,5,11,4,0,30,0,0,0,0,7,7,0,17,0,0,0,0,0,12,0,16,18,29,16,19,43,45,0,170
UCL122141,11,32,13,6,13,4,0,83,7,9,8,0,9,0,0,37,7,5,3,0,0,0,0,11,0,0,0,0,0,0,0,6,59,99,46,17,52,18,0,301
UCL122142,3,12,9,5,4,0,0,43,3,8,3,3,8,3,0,27,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,35,46,20,16,41,15,0,172
UCL122143,3,11,5,5,3,7,0,34,5,10,3,3,6,7,0,35,0,0,0,0,3,0,0,6,0,0,0,0,0,5,0,4,27,48,24,14,26,35,0,176
UCL122144,9,19,11,11,11,7,0,62,9,19,8,12,20,4,0,73,6,3,3,0,17,3,0,36,0,9,0,0,19,0,0,28,54,97,40,51,113,23,0,371
UCL122145,5,15,7,6,4,5,0,53,5,10,0,12,17,9,0,53,0,0,3,4,3,0,0,18,0,0,0,0,0,0,0,7,28,54,25,36,44,28,0,209
UCL122146,4,15,9,9,16,3,0,56,3,10,4,6,15,9,0,54,3,0,4,0,16,0,0,32,0,0,0,0,4,0,0,11,29,52,30,15,74,15,0,219
UCL122147,8,8,4,7,4,4,0,30,3,9,0,12,17,3,0,49,3,4,0,0,6,0,0,19,0,0,0,0,10,0,0,10,24,30,15,26,64,19,0,188
UCL122148,11,14,8,7,8,22,0,66,4,8,6,10,10,0,0,42,0,0,10,4,7,0,0,20,0,0,0,0,5,0,0,7,23,37,25,24,49,31,0,194
UCL122149,11,14,7,7,18,7,0,62,4,7,0,7,16,0,0,37,7,3,0,0,8,0,0,19,0,0,0,0,0,0,0,0,51,64,29,22,79,29,0,279
UCL122150,16,26,8,5,10,3,0,77,6,11,8,3,15,4,0,48,3,11,0,4,7,0,0,17,0,0,0,0,0,0,0,4,63,117,53,40,64,17,0,350
UCL122151,6,15,9,4,15,7,0,60,8,10,13,6,14,13,0,61,0,9,0,6,17,0,0,27,0,0,0,0,3,0,0,8,34,49,33,28,64,41,0,258
UCL122152,15,17,10,5,13,3,0,63,8,11,11,13,24,3,0,74,0,0,11,8,22,0,0,40,0,0,0,0,3,0,0,3,41,48,35,49,81,28,0,284
UCL122153,13,29,12,15,5,8,0,79,8,18,13,8,7,7,0,63,0,8,3,4,12,0,0,28,0,0,0,0,6,0,0,4,56,114,55,45,61,23,0,342
UCL122154,20,37,21,8,12,5,0,94,9,26,14,9,8,3,0,65,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,5,73,124,62,23,40,9,0,332
UCL122155,10,30,13,8,17,9,0,83,14,12,10,10,21,6,0,75,3,4,3,0,3,0,0,19,0,5,0,0,7,0,0,6,78,114,53,38,96,46,0,430
UCL122156,10,13,8,4,18,3,0,56,4,16,4,7,18,4,0,55,3,8,4,5,16,0,0,27,3,0,0,0,0,0,0,5,59,85,39,29,105,20,0,332
UCL122157,8,29,15,5,7,0,0,62,5,4,9,5,0,3,0,33,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,94,90,61,30,64,12,0,350
UCL122158,0,10,6,0,10,0,0,36,5,5,3,5,5,0,0,25,0,5,7,4,12,0,0,25,0,0,0,0,14,0,0,17,31,45,21,24,58,3,0,177
UCL131001,14104,29520,17042,12424,14343,7625,79,95131,8964,18747,14436,13551,15265,6352,62,77380,3889,6716,5199,5635,9102,3433,20,33997,1086,1307,712,741,3330,1068,10,8247,85909,129391,71376,58298,86991,43542,853,476377
UCL179997,4,5,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,14,0,3,38
UCL201001,81377,154691,70519,42409,114998,20437,2111,486538,48392,96277,58957,38904,106146,16806,1886,367372,27467,45957,29411,21025,78258,14878,589,217571,11134,13270,6580,4451,48458,11246,145,95291,766550,1011734,418313,285604,1053749,204054,10153,3750163
UCL203001,2088,3993,1826,986,2496,524,15,11929,1302,2720,1835,1348,2817,557,19,10596,721,1157,875,757,2192,558,3,6261,297,366,189,140,1344,448,0,2780,17143,24301,10706,7473,20654,5089,87,85443
UCL203002,2099,3739,1809,1044,2435,578,6,11717,1282,2637,1804,1370,2776,502,17,10382,657,1254,879,743,2105,513,3,6143,312,328,187,179,1358,419,6,2777,16185,22972,10277,7365,19701,4848,72,81418
UCL203003,3294,6308,3048,1731,4493,893,31,19791,1913,4216,2809,1950,4801,851,29,16566,1075,2022,1415,1171,3596,773,8,10056,498,601,350,280,2377,508,0,4599,29961,41502,17987,12237,37633,8242,186,147747
UCL211001,729,1434,691,343,990,169,8,4362,450,927,595,453,1126,188,5,3749,236,383,260,216,781,131,0,2003,82,97,46,32,346,57,0,661,6007,8305,3721,2525,7783,1625,35,29999
UCL211002,873,1547,821,617,2132,411,46,6438,583,1092,692,576,1966,271,48,5232,221,356,216,194,955,171,5,2121,51,66,28,22,367,49,0,585,9418,12532,5686,5421,19311,4305,144,56816
UCL212001,349,751,349,204,521,101,0,2278,264,479,308,256,606,86,3,2003,122,173,122,134,431,67,0,1061,41,32,25,15,263,32,0,405,3388,4722,2058,1573,4476,770,15,16996
UCL212002,307,597,271,166,413,108,0,1870,202,414,291,216,493,106,0,1726,86,190,156,140,436,124,0,1131,39,64,26,25,232,120,0,511,2109,3037,1366,1059,3041,943,18,11570
UCL212003,689,1254,594,331,1137,327,9,4335,403,839,548,440,1211,297,8,3738,235,424,264,273,918,225,0,2345,105,117,51,62,533,148,0,1019,5159,7055,3219,2434,9035,2569,76,29546
UCL212004,493,1161,541,245,303,111,4,2868,349,926,598,353,448,129,0,2802,145,332,237,178,330,87,0,1301,63,73,49,35,241,51,0,503,3547,5761,2873,1676,2556,801,19,17233
UCL212005,950,1638,702,445,1466,384,7,5586,584,1092,717,511,1534,292,5,4729,358,502,358,332,1193,300,4,3040,138,169,83,79,713,170,3,1357,7078,9534,4212,3363,12254,3268,60,39773
