UCL_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
UCL101001,126,307,794,729,720,649,290,101,14,3735,16,82,460,665,536,476,154,34,0,2429,1401,4434,14668,17641,18458,16031,3976,444,29,77082,108,521,2555,3650,3197,2107,506,45,0,12696,6460,15264,39071,31625,24740,16088,3937,380,27,137596,555,2318,8480,11493,10520,7837,2062,310,28,43603,8208,15454,22314,18322,13011,9554,2912,471,36,90279,11837,10644,14711,10310,6549,4850,1284,183,19,60381,1221,5330,17588,20055,19293,16442,4286,335,9,84565,351,1736,7968,10587,7502,3740,749,93,14,32741,268,5086,21836,28357,18958,8650,2047,357,57,85616,332,1501,5200,5865,4590,3156,1323,328,65,22369,774,8925,37799,40452,26224,16131,6584,1211,83,138191,736,3316,8799,8197,6835,5296,1777,245,13,35208,538,3853,14987,16210,14554,10628,2766,228,12,63778,2192,4844,12127,11421,10011,8409,3202,396,19,52619,894,5375,18235,16225,13547,11196,4633,761,46,70918,1020,2103,4450,3704,2672,1859,670,105,11,16601,1327,3163,8325,8033,7531,6100,1930,306,15,36733,1719,5762,17262,15736,12010,8552,2480,525,96,64135
UCL102001,0,6,10,10,4,11,4,0,0,38,0,0,0,0,3,3,0,0,0,16,27,45,140,105,113,93,28,3,0,560,0,7,26,45,37,32,5,0,0,156,98,275,561,398,346,302,72,3,0,2062,5,20,51,47,47,31,11,0,0,215,120,123,246,121,86,87,19,4,0,808,176,99,142,74,44,35,12,0,0,572,10,32,124,88,119,123,33,4,0,532,3,8,41,41,29,17,4,0,0,146,6,8,21,9,23,15,6,0,0,73,4,13,24,33,27,20,4,0,0,124,8,45,211,213,167,113,32,6,0,790,7,31,71,49,64,52,15,0,0,294,11,101,438,710,772,430,78,0,0,2546,18,36,105,80,79,57,25,0,0,393,8,36,114,93,87,73,16,4,0,427,21,24,27,21,26,22,7,0,0,142,20,43,100,84,73,57,25,5,0,410,22,57,129,97,84,68,18,9,0,478
UCL102002,16,51,122,85,92,87,19,4,0,482,0,15,90,154,146,102,19,0,0,529,227,466,1154,1260,1439,1177,224,26,0,5964,15,45,194,269,325,282,37,0,0,1166,877,1648,3397,3146,2616,1813,425,29,0,13954,43,98,312,416,557,460,104,20,0,2000,888,908,1237,1038,1030,774,238,35,0,6158,1581,721,737,566,446,335,106,20,3,4504,73,166,527,746,1048,1138,321,40,0,4062,43,85,274,402,386,261,49,5,3,1505,12,105,349,576,603,356,102,19,0,2120,21,48,157,208,269,173,85,17,3,987,57,222,780,1180,1111,708,340,56,5,4455,80,215,406,489,531,467,144,16,0,2352,44,173,731,1191,1346,943,179,15,0,4621,77,195,654,723,650,612,226,18,0,3154,72,379,1171,1127,1156,1140,351,28,0,5427,93,98,193,192,164,150,62,13,4,973,140,285,554,612,565,517,123,17,0,2832,155,317,715,727,723,538,167,48,18,3402
UCL102003,8,13,28,28,23,21,16,10,0,146,0,3,34,25,31,18,4,0,0,124,41,77,127,183,155,147,41,4,0,785,0,12,27,50,62,48,11,0,0,219,120,275,624,628,609,429,88,9,0,2789,17,17,41,72,77,63,19,0,0,317,168,187,237,195,181,188,64,3,0,1223,337,140,185,170,161,136,45,9,0,1191,11,29,72,79,157,193,71,15,3,619,7,17,26,52,48,28,3,0,0,179,3,14,31,63,57,48,19,0,0,237,4,6,35,37,48,56,24,9,0,210,4,28,130,170,167,115,70,6,3,691,10,34,67,88,114,115,49,0,0,473,0,23,81,169,207,184,34,3,0,693,9,36,98,147,171,139,56,5,0,667,15,51,177,231,246,269,64,7,0,1057,20,26,34,39,59,35,10,0,0,223,17,40,85,118,94,82,31,7,0,479,42,53,139,135,134,93,43,12,0,656
UCL102004,16,39,87,74,76,73,25,3,0,389,17,108,804,999,752,485,47,0,0,3210,173,480,1352,1489,1673,1294,203,29,0,6703,7,63,345,452,462,315,50,8,0,1693,860,1743,3481,2801,2377,1677,361,42,0,13343,66,158,461,573,614,434,130,14,0,2460,968,1346,1508,930,874,653,197,25,0,6508,1818,1220,1136,622,437,308,101,16,0,5659,68,240,747,975,1217,1227,273,33,0,4788,34,84,201,189,173,117,26,7,0,829,9,116,510,600,489,280,61,10,0,2080,24,76,188,238,220,200,78,26,3,1057,73,526,1588,1702,1161,846,334,56,0,6291,73,223,499,499,524,394,106,18,0,2345,49,311,1199,1380,1509,1006,180,15,0,5647,92,376,1075,1070,1017,841,277,25,0,4787,118,688,2139,1773,1585,1273,357,52,0,7993,177,158,209,182,154,87,27,8,0,1000,172,337,630,603,606,503,156,33,0,3046,145,395,820,763,736,506,131,28,13,3541
UCL102005,9,20,52,30,49,30,11,7,0,201,16,85,540,744,550,310,26,4,0,2287,167,418,1133,1125,1564,1447,219,9,4,6087,15,63,213,278,281,215,35,0,0,1099,817,1531,2812,2244,1905,1373,262,10,0,10953,31,96,293,354,372,309,59,3,0,1520,659,882,1099,789,717,531,149,23,0,4849,1216,927,841,437,289,229,69,4,0,4014,63,231,808,1054,1242,1085,244,26,0,4756,9,62,163,222,195,92,20,5,0,771,5,127,379,441,407,195,54,5,0,1622,16,64,157,165,151,112,33,9,0,707,46,383,1070,1042,791,540,221,32,0,4132,52,153,401,398,404,340,85,4,0,1836,34,249,991,1284,1240,868,147,12,0,4823,69,269,872,887,861,648,196,16,0,3815,60,377,1218,1053,976,795,251,31,0,4753,87,127,181,151,144,82,30,3,3,816,144,313,578,492,525,429,106,13,0,2599,118,306,707,594,536,437,103,24,9,2846
UCL111001,4,13,28,48,50,42,16,8,0,215,0,4,8,11,10,5,0,0,0,38,47,126,389,372,350,271,50,6,0,1610,0,13,29,42,21,37,9,0,0,150,146,316,587,416,281,292,78,6,0,2123,6,15,76,86,104,74,38,9,0,415,189,164,254,203,152,129,55,0,4,1151,219,146,190,122,84,62,22,4,0,846,19,45,178,163,186,190,76,10,0,860,5,10,29,22,23,20,8,0,0,118,0,16,26,45,41,32,9,0,0,170,6,5,31,27,29,23,12,0,0,138,11,34,143,116,90,78,41,12,0,520,7,29,55,77,77,74,33,0,0,357,8,48,188,196,251,152,35,0,0,882,18,35,138,165,156,130,51,0,0,698,17,85,252,234,207,155,62,9,0,1013,26,17,18,20,10,12,11,0,0,119,34,66,118,100,73,78,25,5,0,497,32,64,138,125,114,98,24,10,0,615
UCL111002,11,21,102,130,68,52,29,6,0,410,0,0,7,15,13,9,5,0,0,51,16,31,102,120,101,108,21,3,0,505,0,5,29,43,35,34,5,0,0,149,95,222,385,350,330,271,71,4,0,1726,6,19,46,68,74,63,13,0,0,303,194,153,220,192,177,151,54,8,0,1140,280,133,176,130,120,103,35,3,3,983,12,22,73,82,116,155,64,4,0,528,5,10,21,16,24,19,4,0,0,105,0,3,37,47,48,35,11,0,0,186,0,5,23,28,26,36,20,3,0,143,10,22,111,110,108,81,61,3,0,506,15,26,60,84,104,83,24,5,0,401,0,16,114,147,211,131,24,5,0,654,14,21,101,126,124,115,50,3,0,555,21,66,241,258,291,197,69,8,0,1156,15,11,24,25,48,19,12,3,0,161,28,45,103,89,103,73,19,0,0,468,25,46,105,127,97,86,20,9,0,517
UCL111003,5,32,54,41,51,31,14,10,0,235,12,97,505,659,498,291,29,3,0,2094,77,180,529,456,461,389,59,3,0,2149,6,31,106,114,121,85,15,0,0,465,201,456,839,681,500,401,85,4,0,3165,21,52,223,207,181,144,17,0,0,849,262,274,436,287,245,157,51,7,0,1717,473,205,211,143,93,68,28,4,0,1219,18,68,240,339,381,313,109,5,0,1473,11,6,43,30,30,23,0,4,0,142,6,24,86,92,68,44,12,7,0,326,9,19,47,50,49,35,20,3,0,231,25,57,262,272,199,142,50,7,0,1020,14,67,207,163,127,99,26,3,0,695,8,74,377,404,344,218,36,0,0,1462,13,57,201,157,179,127,45,3,0,773,34,109,298,285,254,181,54,5,0,1218,34,19,27,31,16,23,9,0,0,172,72,125,275,197,156,126,34,7,0,979,46,135,291,232,184,130,33,7,0,1061
UCL112001,9,29,78,62,33,33,9,6,0,248,0,3,13,5,13,6,0,0,0,43,21,31,67,36,32,25,3,0,0,206,0,9,8,8,17,19,3,0,0,61,39,74,149,95,83,82,25,4,0,549,5,9,19,14,10,13,7,0,0,79,78,84,110,52,60,43,10,3,0,437,102,83,71,59,16,29,11,0,0,380,3,6,27,19,34,44,15,0,0,152,4,12,11,14,6,3,3,0,0,51,0,4,23,19,16,8,0,0,0,70,0,3,7,10,6,4,4,3,0,34,0,18,51,55,41,38,37,0,0,238,4,12,39,36,31,18,9,0,0,150,3,20,50,59,75,71,8,4,0,291,15,49,133,156,155,151,43,4,0,707,5,35,131,84,56,64,17,0,0,392,5,7,10,13,10,10,0,0,0,55,9,11,46,30,26,23,8,0,0,155,13,22,36,35,28,10,9,6,0,154
