UCL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
UCL122077,13,4,15,22,8,11,12,20,6,110
UCL122078,18,31,13,17,11,4,8,0,0,100
UCL122079,15,43,22,12,14,8,3,9,0,128
UCL122080,28,33,44,32,37,27,27,21,3,243
UCL122081,10,4,20,11,14,0,20,24,0,107
UCL122082,6,15,8,13,7,8,4,9,0,67
UCL122083,14,25,34,17,25,13,14,7,0,153
UCL122084,5,8,17,9,15,3,9,16,0,80
UCL122085,3,11,4,10,4,8,8,20,0,75
UCL122086,13,21,6,23,12,3,7,14,0,112
UCL122087,3,18,10,13,10,7,0,10,0,77
UCL122088,7,3,16,14,10,6,11,10,3,76
UCL122089,14,18,53,16,28,24,15,21,0,195
UCL122090,57,53,44,20,31,11,5,20,6,231
UCL122091,25,7,10,21,12,9,10,32,4,127
UCL122092,11,38,30,18,21,16,12,15,3,162
UCL122093,14,25,13,24,17,8,18,23,3,143
UCL122094,17,28,21,22,20,10,4,9,0,131
UCL122095,10,15,10,19,16,14,6,17,4,101
UCL122096,15,11,19,12,10,11,13,14,0,113
UCL122097,5,9,14,15,9,16,15,18,4,104
UCL122098,10,17,11,34,9,16,3,17,0,116
UCL122099,10,5,16,13,12,11,13,18,0,95
UCL122100,30,29,27,16,29,8,8,20,0,167
UCL122101,20,35,25,35,23,14,8,8,0,167
UCL122102,20,3,8,11,8,4,5,21,3,90
UCL122103,7,4,4,10,16,5,21,19,0,89
UCL122104,39,30,41,21,46,8,13,12,0,215
UCL122105,31,65,20,13,15,7,3,3,4,170
UCL122106,16,5,17,11,6,8,14,18,0,93
UCL122107,25,25,30,15,32,13,17,21,7,177
UCL122108,24,31,5,5,9,0,0,10,0,85
UCL122109,169,142,64,103,45,22,14,68,3,643
UCL122110,25,26,29,27,16,18,19,11,0,178
UCL122111,34,42,26,15,34,15,14,4,0,192
UCL122112,15,15,18,14,10,10,4,19,0,114
UCL122113,10,11,9,14,8,10,6,11,0,88
UCL122114,13,24,12,10,12,8,5,12,3,98
UCL122115,17,14,18,14,29,11,7,7,8,108
UCL122116,14,36,20,18,15,8,8,4,0,123
UCL122117,13,36,47,25,26,11,38,24,0,230
UCL122118,9,27,26,12,24,13,13,6,3,139
UCL122119,23,41,28,21,24,12,0,14,4,163
UCL122120,24,36,43,31,32,11,18,33,0,224
UCL122121,13,19,20,20,16,18,14,11,0,126
UCL122122,41,53,35,33,40,7,14,0,6,233
UCL122123,4,3,8,15,8,8,5,6,0,58
UCL122124,34,55,22,14,18,7,3,6,3,160
UCL122125,16,10,8,10,5,3,3,15,3,70
UCL122126,34,52,31,27,16,22,14,10,3,208
UCL122127,20,18,19,17,18,7,10,16,0,120
UCL122128,11,6,9,13,8,10,12,15,0,85
UCL122129,24,29,17,19,14,22,8,17,0,151
UCL122130,3,9,17,6,8,9,9,7,3,74
UCL122131,205,150,69,114,54,38,25,56,18,728
UCL122132,3,10,15,28,8,5,9,21,6,102
UCL122133,7,5,12,18,5,5,12,17,0,85
UCL122134,36,33,28,23,23,23,7,15,3,196
UCL122135,23,6,17,9,8,0,10,49,0,123
UCL122136,0,0,0,8,0,3,0,8,3,24
UCL122137,8,9,16,7,5,0,12,13,6,83
UCL122138,13,26,22,15,6,10,9,14,0,120
UCL122139,6,5,9,18,13,14,19,16,0,104
UCL122140,9,23,9,10,3,0,7,8,0,69
UCL122141,18,35,38,32,19,11,11,24,9,202
UCL122142,7,20,10,11,7,9,4,12,0,79
UCL122143,17,16,14,12,4,0,4,11,0,85
UCL122144,14,20,20,25,20,19,19,16,3,152
UCL122145,10,7,16,4,7,9,14,5,0,66
UCL122146,13,6,13,12,6,8,13,6,8,77
UCL122147,3,5,5,9,7,6,0,5,3,36
UCL122148,8,6,4,10,4,8,11,8,0,61
UCL122149,18,3,17,15,12,3,13,31,4,121
UCL122150,32,33,37,42,26,15,13,33,8,232
UCL122151,8,20,9,17,4,8,6,15,7,95
UCL122152,4,12,6,19,7,12,8,14,0,76
UCL122153,25,37,42,21,20,12,9,12,4,178
UCL122154,23,67,38,32,19,16,14,16,4,217
UCL122155,24,26,47,29,29,21,40,41,6,259
UCL122156,11,19,18,16,15,10,25,52,0,180
UCL122157,44,29,44,25,46,30,17,19,3,249
UCL122158,4,14,18,11,5,3,9,13,0,75
UCL131001,63209,44827,38120,26010,31260,18008,19138,28638,5560,274771
UCL179997,0,0,0,0,0,0,27,0,0,35
UCL201001,314841,625801,267977,237046,292191,188698,128873,175925,45039,2276394
UCL203001,5323,11179,6640,6807,5969,4692,2490,4858,730,48687
UCL203002,4784,10373,6252,6445,5469,4284,2738,5533,732,46615
UCL203003,9616,20419,12223,12151,9720,7933,5433,8824,1499,87814
UCL211001,1808,3044,2834,2591,2074,1677,1405,2100,312,17840
UCL211002,2453,4002,4545,4389,4163,2791,4539,3613,750,31244
UCL212001,1082,1810,1807,1327,1517,866,947,939,188,10481
UCL212002,738,1083,960,946,605,651,375,797,94,6248
UCL212003,1832,2881,1973,2066,1633,1541,971,2265,366,15534
UCL212004,1625,3045,1457,1267,1202,829,259,628,155,10478
UCL212005,2509,4064,2774,2678,2354,2045,1368,3162,408,21372
UCL212006,2266,3516,3224,2416,2996,1779,1393,1575,330,19489
UCL212007,1956,3453,1476,1336,1222,913,241,683,163,11431
UCL212008,1221,2665,2005,1583,1847,1224,827,1294,239,12900
UCL212009,1689,3240,2186,2162,1686,1658,855,2242,270,15994
UCL213001,555,894,754,783,630,591,347,861,119,5523
UCL213002,522,1285,515,532,418,290,158,413,65,4206
UCL213003,551,646,797,765,494,524,484,1315,116,5690
UCL213004,639,1007,1128,867,756,589,510,835,115,6439
UCL213005,742,1301,1221,1040,836,706,443,775,120,7187
UCL213006,795,1322,876,646,746,426,249,383,62,5494
UCL213007,993,1490,1106,1012,851,764,491,839,120,7656
UCL213008,765,1466,1287,1122,1000,694,753,812,138,8034
UCL213009,604,1091,1024,868,755,615,386,591,103,6047
UCL213010,432,675,1030,908,735,556,411,809,138,5701
UCL213011,328,503,687,689,617,523,396,720,117,4588
UCL213012,412,704,632,626,403,372,519,619,110,4397
UCL213013,716,1354,871,923,609,548,288,643,114,6068
UCL213014,700,886,699,673,584,487,259,775,94,5159
UCL213015,689,914,1371,931,970,622,741,733,156,7130
UCL213016,930,1728,1240,1318,928,875,596,1121,141,8873
UCL213017,986,1921,1238,1156,1046,691,486,1128,121,8761
UCL213018,413,528,583,479,360,324,165,457,56,3368
UCL214001,297,426,367,577,273,264,191,586,76,3061
UCL214002,297,471,581,435,405,272,236,294,51,3046
UCL214003,393,649,597,565,425,346,286,556,97,3917
UCL214004,276,206,293,277,214,193,172,485,51,2166
UCL214005,56,57,88,43,37,43,36,77,10,449
UCL214006,346,420,392,330,256,281,86,295,47,2453
UCL214007,249,542,429,339,432,226,265,243,64,2785
UCL214008,486,788,669,600,469,460,231,514,70,4293
UCL214009,494,677,761,517,442,275,242,474,53,3933
UCL214010,381,666,323,274,267,207,61,187,36,2405
UCL214011,368,604,727,518,522,326,354,463,94,3984
UCL214012,230,390,384,323,240,228,171,428,59,2443
UCL214013,380,543,288,253,232,211,81,283,39,2310
UCL214014,277,303,288,357,199,218,97,319,51,2117
UCL214015,242,411,386,301,262,241,169,306,41,2354
UCL214016,247,333,400,422,247,271,189,454,53,2624
UCL214017,379,680,247,219,247,165,30,127,57,2146
UCL214018,465,657,487,437,432,270,175,292,70,3283
UCL214019,252,277,386,368,270,233,165,434,42,2427
UCL214020,249,303,281,389,209,201,179,458,38,2305
UCL214021,257,328,562,332,339,237,178,239,42,2507
UCL214022,292,422,515,475,270,418,177,434,68,3069
UCL215001,167,276,82,79,78,61,6,45,6,787
UCL215002,136,145,166,145,120,80,80,115,16,998
UCL215003,288,488,191,172,152,110,25,85,33,1549
UCL215004,125,96,101,83,77,73,38,119,14,725
UCL215005,58,35,43,58,30,32,39,59,13,372
UCL215006,136,195,179,158,158,98,84,143,13,1175
UCL215007,217,297,176,111,122,84,24,83,16,1133
UCL215008,129,198,171,138,141,86,70,73,15,1021
UCL215009,42,47,46,45,35,30,38,55,5,343
UCL215010,213,232,227,99,165,111,38,91,21,1195
UCL215011,44,57,64,69,41,41,28,74,9,430
UCL215012,239,410,173,218,112,120,57,154,14,1493
UCL215013,242,316,350,256,316,181,232,202,47,2133
UCL215014,47,62,133,79,92,54,69,77,13,634
UCL215015,250,264,173,137,89,109,37,117,20,1204
UCL215016,169,250,337,226,209,160,212,255,51,1873
UCL215017,135,186,283,151,172,86,93,126,40,1267
UCL215018,131,213,174,148,119,107,100,185,20,1198
UCL215019,146,229,187,140,111,89,30,110,18,1063
UCL215020,53,71,44,88,36,43,51,85,9,483
UCL215021,55,81,87,69,52,56,56,53,6,524
UCL215022,159,253,257,258,215,183,141,231,22,1710
UCL215023,63,66,76,72,49,64,77,138,9,622
UCL215024,81,105,101,68,77,56,63,95,10,644
UCL215025,44,61,74,51,46,40,36,50,15,409
UCL215026,33,57,78,49,45,40,31,64,13,404
UCL215027,64,78,55,56,50,34,31,74,10,459
UCL215028,121,171,212,127,116,88,63,134,10,1039
UCL215029,307,374,243,223,153,113,39,174,31,1661
UCL215030,50,75,51,69,39,43,63,61,8,468
UCL215031,74,87,58,60,39,42,49,101,10,522
UCL215032,144,199,191,133,123,109,77,184,35,1187
UCL215033,218,290,232,151,234,164,100,83,24,1490
UCL215034,55,69,53,67,42,48,19,67,4,415
UCL215035,86,120,171,62,106,58,56,83,22,757
UCL215036,60,103,123,75,51,41,43,52,11,572
UCL215037,51,67,103,76,69,54,63,75,9,562
UCL215038,83,80,93,51,59,54,56,89,18,585
UCL215039,57,55,75,58,54,55,60,91,16,515
UCL215040,46,44,67,62,56,46,73,76,14,485
UCL215041,171,225,213,168,131,134,99,185,35,1362
