UCL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
UCL222036,10,14,11,15,6,7,11,21,3,90
UCL222037,10,21,19,14,22,14,15,10,5,125
UCL222038,18,24,21,14,17,3,0,10,0,109
UCL222039,29,25,25,21,18,9,9,14,0,160
UCL222040,38,41,24,24,23,21,3,15,6,198
UCL222041,14,31,29,13,10,8,9,17,3,136
UCL222042,5,4,17,6,12,11,14,22,8,88
UCL222043,20,30,23,16,24,18,14,23,0,163
UCL222044,15,11,12,15,8,14,13,18,3,110
UCL222045,15,17,21,15,16,12,7,18,3,128
UCL222046,9,12,17,23,14,14,16,25,9,141
UCL222047,8,11,9,7,5,8,3,8,0,67
UCL222048,9,19,10,16,3,0,8,14,7,93
UCL222049,33,33,16,10,15,18,0,24,3,148
UCL222050,46,62,22,34,18,14,18,14,6,229
UCL222051,27,32,28,26,17,14,6,23,0,180
UCL222052,25,23,29,20,15,13,20,32,0,184
UCL222053,13,16,25,16,14,10,16,41,4,161
UCL222054,22,29,22,18,12,9,3,10,0,123
UCL222055,22,20,11,23,5,13,19,21,3,129
UCL222056,155,136,63,189,55,59,42,48,23,759
UCL222057,14,33,17,13,23,8,20,13,9,152
UCL222058,118,104,62,153,39,62,78,45,14,672
UCL222059,11,14,15,14,3,6,5,20,0,93
UCL222060,18,12,4,12,11,5,17,20,0,94
UCL222061,13,12,33,11,13,4,18,12,6,123
UCL222062,24,52,21,31,12,12,14,23,4,194
UCL222063,35,48,30,22,14,15,3,22,0,193
UCL222064,10,17,27,13,17,15,7,14,0,120
UCL222065,17,15,19,7,6,7,4,12,3,99
UCL222066,16,7,15,9,10,9,13,24,6,104
UCL222067,28,18,18,20,13,7,14,14,4,128
UCL222068,8,26,24,12,10,3,3,12,0,113
UCL222069,33,12,21,21,14,17,14,26,0,151
UCL222070,15,20,26,11,8,7,0,12,4,104
UCL222071,30,14,23,11,23,18,16,42,0,179
UCL222072,17,15,14,15,9,10,13,4,5,102
UCL222073,28,30,29,17,10,11,7,9,3,144
UCL222074,7,10,25,9,5,6,12,25,0,92
UCL222075,24,24,42,29,26,17,24,20,0,205
UCL222076,26,16,20,21,9,8,8,53,3,167
UCL222077,31,32,7,19,19,7,24,19,3,164
UCL222078,7,8,16,13,7,0,16,13,0,89
UCL222079,47,73,17,35,14,20,8,15,5,243
UCL222080,22,23,11,8,10,10,11,17,0,113
UCL222081,20,38,24,17,12,5,3,8,9,136
UCL222082,37,25,21,17,23,14,8,15,3,162
UCL222083,15,15,29,14,19,17,10,12,0,120
UCL222084,14,15,22,23,10,14,18,11,6,135
UCL222085,25,52,26,22,17,11,3,11,0,169
UCL222086,21,42,39,23,23,8,7,18,5,182
UCL222087,23,15,27,21,23,10,13,56,5,197
UCL222088,12,8,19,9,10,3,8,13,0,85
UCL222089,6,16,13,16,7,3,13,6,4,96
UCL222090,16,18,23,12,15,13,8,9,6,108
UCL222091,26,39,23,21,16,19,25,20,3,192
UCL222092,20,30,35,15,18,8,15,27,5,171
UCL222093,20,20,18,27,7,13,16,26,4,144
UCL222094,7,5,17,24,4,15,23,22,0,125
UCL222095,13,18,20,4,13,6,13,3,0,94
UCL222096,25,40,41,31,23,9,13,30,3,220
UCL222097,24,19,40,15,18,15,18,22,0,168
UCL222098,28,56,20,20,15,13,3,19,6,176
UCL222099,8,8,17,5,11,6,15,10,0,90
UCL222100,5,3,7,7,9,8,8,16,0,67
UCL222101,16,18,18,12,16,9,6,12,0,105
UCL222102,18,23,35,32,18,13,9,31,3,184
UCL222103,23,36,19,9,15,9,0,9,0,110
UCL222104,12,9,18,19,15,9,16,30,5,122
UCL222105,13,8,15,6,10,6,11,24,4,100
UCL231001,49404,33108,30567,20187,21747,13850,13136,23287,4333,209629
UCL279997,11,33,36,22,4,0,29,33,5,170
UCL301001,142254,290187,135313,132421,154731,93835,69448,98879,20246,1137316
UCL302001,38458,60725,41395,38406,37568,31240,14943,27169,6064,295968
UCL302002,17051,29471,18853,18232,16084,13390,5413,12109,2309,132911
UCL303001,8128,15411,10658,11146,8795,7037,3899,7120,1234,73422
UCL303002,4783,10845,6619,7265,6070,4398,2719,5558,783,49035
UCL303003,8471,17099,11848,13998,10414,7423,5900,7868,1432,84457
UCL311001,1857,3051,2828,3136,2378,2151,1516,3454,382,20752
UCL311002,1866,3820,2721,3563,2179,2147,1037,2175,368,19868
UCL311003,3498,6631,7464,4431,4511,3553,4211,3955,754,39014
UCL311004,2474,5360,4430,4265,3662,2632,2188,3559,525,29103
UCL312001,726,977,854,836,807,639,346,685,113,5980
UCL312002,1303,2508,3196,1778,1596,1404,1822,2048,357,16003
UCL312003,553,928,991,1270,915,792,550,1023,153,7183
UCL312004,824,1554,1585,1422,1083,893,597,1298,176,9430
UCL313001,901,910,1069,860,616,653,485,759,101,6344
UCL313002,705,1343,636,728,662,430,270,463,69,5312
UCL313003,633,793,982,614,686,600,479,761,63,5618
UCL313004,788,1074,1427,637,821,729,1105,879,140,7609
UCL313005,363,581,812,732,605,524,675,580,98,4984
UCL313006,596,993,1111,1077,809,820,619,1149,129,7304
UCL313007,621,1181,700,607,699,462,212,309,56,4840
UCL313008,401,664,614,603,432,419,273,806,75,4297
UCL313009,725,1638,1920,952,1038,606,1387,812,202,9271
UCL313010,557,739,750,760,610,612,536,1046,112,5719
UCL313011,350,481,622,562,538,407,497,559,90,4099
UCL313012,855,1617,1407,1171,1006,711,774,751,151,8457
UCL314001,306,508,387,456,331,282,196,440,73,2985
UCL314002,417,447,559,405,414,313,366,743,63,3726
UCL314003,256,327,435,443,346,281,323,466,77,2942
UCL314004,216,410,453,360,309,226,197,329,40,2537
UCL314005,231,376,562,249,298,186,425,457,70,2854
UCL314006,415,472,568,469,446,341,552,961,88,4310
UCL314007,315,580,470,431,291,296,357,405,78,3222
UCL314008,333,424,691,246,327,206,364,480,65,3119
UCL314009,389,384,623,467,573,344,395,413,97,3679
UCL314010,339,263,272,253,226,218,229,1175,83,3065
UCL314011,352,384,377,300,322,234,284,321,49,2626
UCL314012,264,367,534,396,372,245,205,320,62,2765
UCL314013,292,355,320,360,239,234,224,710,60,2799
UCL314014,298,312,536,301,399,219,271,280,70,2680
UCL314015,277,271,398,333,296,231,298,345,41,2487
UCL314016,342,429,433,461,343,287,211,722,86,3312
UCL314017,448,649,1218,336,453,254,1208,456,149,5170
UCL314018,574,782,637,395,555,339,182,267,58,3783
UCL314019,289,475,350,288,310,206,133,221,53,2334
UCL314020,399,561,592,357,464,308,266,391,64,3400
UCL314021,362,492,613,537,449,370,306,410,81,3628
UCL314022,499,937,522,457,358,241,100,275,59,3453
UCL314023,399,776,974,528,508,322,522,447,90,4569
UCL315001,85,117,108,66,75,35,33,75,23,592
UCL315002,161,237,269,168,205,132,95,107,15,1391
UCL315003,26,76,73,69,49,35,52,50,3,433
UCL315004,25,29,14,36,11,7,10,26,9,159
UCL315005,37,60,53,62,49,38,36,65,10,407
UCL315006,40,110,56,81,45,20,24,45,21,445
UCL315007,105,157,183,172,157,129,111,169,18,1199
UCL315008,161,258,657,157,204,129,901,309,67,2855
UCL315009,97,144,130,132,105,85,66,202,30,990
UCL315010,111,148,150,167,108,85,81,157,18,1032
UCL315011,37,52,36,42,39,34,27,41,8,318
UCL315012,136,176,401,177,167,157,297,252,39,1813
UCL315013,66,104,154,127,99,102,84,119,11,869
UCL315014,45,50,57,74,38,54,31,61,16,422
UCL315015,114,137,226,140,161,74,108,112,20,1093
UCL315016,173,183,321,189,227,134,160,188,42,1620
UCL315017,126,243,151,187,137,86,59,209,35,1236
UCL315018,13,29,12,64,21,0,11,35,0,184
UCL315019,46,50,52,61,31,42,34,161,18,477
UCL315020,102,141,176,92,112,63,243,115,25,1065
UCL315021,32,50,63,77,46,31,26,69,12,391
UCL315022,145,183,255,117,164,78,240,139,45,1368
UCL315023,42,65,110,53,59,33,135,61,14,577
UCL315024,125,215,91,126,116,77,42,96,11,908
UCL315025,55,65,95,87,74,97,69,128,17,684
UCL315026,158,223,238,218,201,169,82,212,14,1516
UCL315027,40,50,77,85,53,31,48,98,13,488
UCL315028,48,61,114,101,79,35,65,94,13,616
UCL315029,147,231,172,140,135,89,54,87,10,1072
UCL315030,28,70,13,65,15,10,8,34,13,260
UCL315031,84,145,374,90,124,52,603,176,38,1685
UCL315032,177,263,290,269,196,149,204,225,36,1812
UCL315033,31,49,43,76,42,38,31,66,12,397
UCL315034,64,119,95,84,57,58,29,35,5,544
UCL315035,123,181,235,215,199,124,149,150,29,1408
UCL315036,66,80,76,88,61,48,36,208,18,684
UCL315037,207,293,331,212,257,154,142,235,33,1868
UCL315038,93,182,214,123,161,94,75,106,5,1054
UCL315039,24,60,23,53,22,8,8,39,4,229
UCL315040,218,142,238,314,79,66,48,227,27,1359
UCL315041,33,69,139,37,62,44,109,67,16,581
UCL315042,124,121,181,128,107,102,133,179,21,1094
UCL315043,21,26,30,43,25,38,23,44,4,264
UCL315044,145,228,276,235,178,171,189,253,46,1715
UCL315045,251,211,273,139,224,109,113,153,41,1506
UCL315046,70,70,176,96,68,43,69,421,20,1035
UCL315047,73,90,178,118,128,74,87,131,15,898
UCL315048,48,57,77,67,71,44,53,63,19,493
UCL315049,107,224,136,165,110,85,36,85,29,981
UCL315050,87,133,154,194,121,132,109,221,19,1170
UCL315051,196,290,460,298,244,226,171,283,33,2200
UCL315052,187,220,307,169,250,139,148,169,44,1630
UCL315053,199,272,220,210,221,113,91,180,42,1544
UCL315054,104,105,200,190,132,134,170,223,31,1296
UCL315055,68,131,133,112,87,75,50,87,17,761
UCL315056,72,110,89,83,69,68,51,90,11,640
UCL315057,139,279,133,149,80,100,33,114,21,1062
UCL315058,127,194,427,172,241,141,219,143,43,1702
UCL315059,92,180,95,86,102,88,26,61,9,734
UCL315060,118,217,222,145,171,117,99,94,13,1197
UCL315061,120,152,310,49,90,36,382,110,17,1262
UCL315062,57,68,128,61,56,48,82,118,11,635
UCL315063,86,44,82,56,49,51,72,135,18,591
UCL315064,36,95,117,55,51,37,123,60,4,579
UCL315065,48,49,51,49,36,33,41,54,19,376
UCL315066,152,318,266,205,179,124,82,144,18,1491
UCL315067,72,111,86,97,74,83,60,119,19,731
UCL315068,57,80,135,102,74,72,59,102,22,705
UCL315069,26,53,69,107,50,53,73,104,13,560
UCL315070,68,110,203,57,78,54,244,114,24,946
UCL315071,60,90,75,60,74,54,52,51,14,518
UCL315072,60,40,49,37,28,23,30,267,19,554
UCL315073,59,102,80,131,59,40,47,108,12,649
UCL315074,74,149,136,136,86,108,77,179,20,963
UCL315075,106,134,77,73,44,58,17,54,7,576
UCL315076,117,118,267,242,148,124,189,459,32,1691
UCL315077,18,72,32,132,43,13,14,25,20,362
UCL315078,120,131,221,131,143,91,126,207,26,1189
UCL315079,99,134,128,107,70,66,38,94,8,754
UCL315080,488,482,402,550,308,273,72,414,70,3065
UCL315081,150,181,261,178,133,171,168,228,25,1496
UCL315082,96,108,83,60,62,46,29,74,20,571
UCL315083,55,96,112,71,95,52,46,41,8,581
UCL315084,61,108,99,134,88,76,64,108,20,754
UCL315085,72,115,183,195,153,98,127,159,16,1116
UCL315086,79,106,130,138,75,97,80,122,26,841
UCL315087,241,432,142,138,203,106,31,67,18,1375
UCL315088,77,109,251,159,109,104,253,240,45,1353
UCL315089,153,197,172,125,123,103,108,166,22,1173
UCL315090,221,276,219,258,207,177,122,321,33,1839
UCL315091,146,307,155,217,194,67,39,127,30,1286
UCL315092,63,76,73,64,47,63,20,88,30,532
UCL315093,33,31,43,47,24,27,29,43,14,288
UCL315094,67,134,85,131,78,74,53,96,11,728
UCL315095,118,82,99,97,75,73,88,372,22,1025
UCL315096,150,194,417,165,253,160,224,143,29,1732
UCL315097,85,111,154,141,131,86,89,114,19,929
UCL315098,201,390,580,226,218,101,487,171,75,2446
UCL315099,214,347,353,243,304,207,150,221,30,2077
UCL315100,55,72,102,76,82,55,63,59,0,560
UCL315101,117,147,183,103,127,78,65,96,20,945
UCL315102,58,94,78,96,48,60,52,117,9,611
UCL315103,102,120,68,75,50,50,28,105,23,616
UCL315104,84,95,161,143,114,83,94,131,20,928
UCL315105,67,61,67,53,68,37,18,52,18,441
UCL315106,92,115,182,126,135,89,83,105,20,952
UCL315107,148,165,229,179,135,99,89,191,18,1251
UCL315108,7,35,19,55,25,3,0,27,5,187
UCL315109,77,109,61,62,49,44,32,54,5,493
UCL321001,16,10,25,22,12,20,26,38,8,177
UCL321002,30,52,52,46,20,22,33,31,8,292
UCL321003,16,22,39,23,28,15,30,33,3,206
UCL321004,19,18,45,22,22,14,23,39,3,211
UCL321005,33,32,64,33,32,37,77,29,3,326
UCL321006,25,32,8,26,24,20,6,22,7,173
UCL321007,64,86,168,79,79,57,108,105,25,765
UCL321008,24,49,36,37,37,25,39,47,10,307
UCL321009,80,124,112,60,82,57,40,85,15,654
UCL321010,38,60,48,47,44,30,25,67,6,374
UCL321011,47,41,87,35,44,29,45,38,11,375
UCL321012,18,21,20,16,3,19,18,34,4,153
UCL321013,38,60,62,48,38,30,21,42,8,341
UCL321014,23,30,54,27,40,17,36,29,0,259
UCL321015,49,51,57,61,55,42,39,83,10,461
UCL321016,10,9,22,28,15,20,17,29,3,144
UCL321017,78,173,42,60,75,30,9,14,3,489
UCL321018,46,32,62,39,44,13,30,37,6,305
UCL321019,47,76,89,51,58,39,55,39,10,477
UCL321020,25,50,69,70,46,39,28,43,6,361
UCL321021,24,28,53,36,41,30,48,26,6,294
UCL321022,49,55,59,54,41,23,17,28,5,325
UCL321023,35,28,55,23,33,37,64,63,3,346
UCL321024,16,25,45,28,38,19,34,21,7,230
UCL321025,10,24,23,20,26,8,14,22,5,164
UCL321026,14,32,61,20,24,20,36,32,3,242
UCL321027,46,49,70,60,61,24,26,50,0,387
UCL321028,49,35,92,30,40,16,86,74,12,432
UCL321029,25,60,29,47,42,22,15,26,7,269
UCL321030,17,17,22,19,24,12,21,47,4,178
UCL321031,44,90,65,61,39,35,29,48,14,429
UCL321032,120,128,158,120,106,89,34,101,16,883
UCL321033,47,61,75,96,47,56,33,74,15,496
UCL321034,61,70,49,62,39,27,47,51,13,421
UCL321035,41,50,100,114,75,69,73,114,11,650
UCL321036,47,48,91,76,66,51,56,60,16,508
UCL321037,45,58,43,33,33,33,26,51,4,323
UCL321038,35,75,48,65,37,25,25,47,3,355
UCL321039,66,90,64,61,38,21,18,30,14,402
UCL321040,32,62,52,45,33,23,9,46,7,305
UCL321041,25,28,28,33,24,32,42,83,10,309
UCL321042,25,26,49,29,38,21,35,63,8,298
UCL321043,46,69,71,41,53,36,20,37,16,384
UCL321044,19,42,63,59,42,41,52,87,25,423
UCL321045,67,110,121,78,70,37,41,39,17,579
UCL321046,23,74,38,35,27,24,14,25,0,269
UCL321047,25,30,59,38,44,24,26,49,9,293
UCL321048,17,21,28,21,6,16,15,23,3,159
UCL321049,15,44,49,34,36,29,24,24,0,240
UCL321050,33,33,44,44,34,29,48,55,7,330
UCL321051,22,42,28,59,22,29,30,60,10,294
UCL321052,11,35,14,55,16,6,29,17,8,192
UCL321053,30,68,25,34,41,14,22,34,8,286
UCL321054,45,52,41,47,29,34,14,31,5,292
UCL321055,61,73,69,67,50,33,63,67,17,505
UCL321056,25,23,25,35,19,21,33,85,5,276
UCL321057,8,23,37,33,20,10,32,31,4,197
UCL321058,47,45,66,56,35,30,40,80,3,408
UCL321059,89,150,83,60,74,48,31,47,9,583
UCL321060,31,26,23,25,20,37,23,50,0,236
UCL321061,33,38,42,24,35,18,17,36,8,257
UCL321062,17,37,19,46,17,7,6,18,10,189
UCL321063,52,78,73,58,70,39,22,35,15,437
UCL321064,47,35,41,24,25,29,31,40,4,275
UCL321065,46,61,76,63,58,48,59,76,5,487
UCL321066,14,16,12,18,10,12,11,16,0,113
UCL321067,9,30,27,27,13,4,20,27,13,155
UCL321068,56,95,75,50,47,34,21,35,10,416
UCL321069,39,71,48,48,34,16,21,42,14,319
UCL321070,30,55,71,37,40,20,28,40,8,331
UCL321071,34,50,60,33,39,29,28,32,4,302
UCL321072,31,42,73,51,53,37,49,48,7,382
UCL321073,67,87,76,54,50,28,27,78,7,475
UCL321074,32,29,33,57,21,31,29,69,8,308
UCL321075,80,80,101,74,84,57,49,56,3,587
UCL321076,12,18,13,20,7,8,24,14,25,127
UCL321077,14,23,61,15,29,11,78,43,6,274
UCL321078,26,39,57,29,44,18,37,23,7,282
UCL321079,59,99,69,85,65,33,55,42,23,531
UCL321080,74,115,132,105,124,70,71,73,17,777
UCL321081,12,49,47,40,29,21,22,23,3,242
UCL321082,31,29,60,41,34,12,19,22,0,255
UCL321083,72,73,95,89,88,60,77,105,15,676
UCL321084,100,138,65,56,63,45,17,51,6,547
UCL321085,13,18,19,12,13,12,8,11,0,109
UCL321086,21,22,17,35,7,4,10,25,9,143
UCL321087,52,116,25,24,39,24,5,12,7,287
UCL321088,31,32,28,35,17,22,19,57,13,245
UCL321089,31,7,25,16,9,16,25,14,3,144
UCL321090,73,101,29,41,36,19,8,19,0,336
UCL321091,18,12,17,15,23,10,21,16,0,137
UCL321092,16,14,32,9,19,12,32,11,4,160
UCL321093,29,33,36,36,35,29,26,33,8,272
UCL321094,37,75,34,40,33,14,19,34,0,288
UCL321095,79,77,68,48,62,31,21,68,3,457
UCL321096,34,54,59,27,42,25,70,46,8,371
UCL321097,48,69,86,67,58,47,46,37,10,477
UCL321098,33,23,48,33,39,23,23,37,0,261
UCL321099,25,48,33,37,26,21,30,28,10,250
UCL321100,18,31,34,24,30,22,34,37,7,239
UCL321101,25,29,28,25,26,23,32,52,13,247
UCL321102,32,44,69,48,60,29,47,42,6,377
UCL321103,27,52,77,57,54,54,38,71,5,441
UCL321104,42,62,157,24,37,15,142,49,4,533
UCL321105,80,122,112,87,84,63,41,66,7,664
UCL321106,68,56,77,77,52,64,37,126,8,573
UCL321107,26,32,53,23,31,25,23,36,4,259
UCL321108,24,17,35,18,20,31,33,50,10,238
UCL321109,102,55,71,53,62,41,51,67,21,526
UCL321110,54,83,54,45,32,27,10,43,19,364
UCL321111,27,40,48,45,39,41,28,45,9,310
UCL321112,16,45,13,55,21,0,14,31,4,197
UCL321113,19,18,47,31,32,19,44,43,11,262
UCL321114,27,25,35,27,22,27,28,26,0,215
UCL322001,28,44,30,28,18,13,14,8,3,184
UCL322002,16,22,19,20,17,6,24,29,0,149
UCL322003,23,7,18,6,12,3,9,14,0,82
UCL322004,33,28,29,12,20,18,5,33,5,163
UCL322005,17,14,13,16,11,0,11,18,3,109
UCL322006,21,25,12,15,15,16,0,15,5,109
UCL322007,15,25,11,22,8,4,21,21,5,142
UCL322008,5,20,13,14,10,5,9,4,0,81
UCL322009,13,30,32,18,12,3,37,22,3,175
UCL322010,3,8,11,21,4,5,11,9,3,73
UCL322011,37,52,34,25,31,8,14,28,3,225
UCL322012,21,11,23,7,11,12,9,16,3,114
UCL322013,22,33,37,33,33,24,18,24,0,231
UCL322014,8,11,16,11,11,5,7,19,0,88
UCL322015,8,32,27,31,14,11,9,19,3,160
UCL322016,3,4,9,6,13,5,82,21,5,149
UCL322017,4,9,9,14,7,3,6,17,0,61
UCL322018,18,16,32,11,12,7,17,18,0,131
UCL322019,16,20,18,17,5,13,3,11,4,104
UCL322020,22,11,15,7,14,5,14,11,9,95
UCL322021,14,14,6,4,4,4,6,6,0,52
UCL322022,20,23,12,14,10,8,3,16,0,102
UCL322023,12,17,25,22,25,11,20,23,0,152
UCL322024,24,26,56,25,19,24,19,18,8,228
UCL322025,6,10,13,14,6,7,9,12,0,78
UCL322026,13,4,12,7,9,5,18,26,4,105
UCL322027,13,11,9,3,0,0,3,14,0,57
UCL322028,14,11,16,11,17,9,3,11,0,87
UCL322029,19,30,4,26,19,9,3,8,0,124
UCL322030,6,10,16,13,6,14,10,25,4,111
UCL322031,11,12,16,11,27,8,10,17,6,120
UCL322032,14,16,3,9,4,8,0,5,0,68
UCL322033,5,3,3,10,3,0,4,8,0,35
UCL322034,14,16,17,22,12,10,23,20,0,130
UCL322035,21,18,8,15,15,3,35,36,11,170
UCL322036,20,20,37,31,20,21,15,24,3,195
UCL322037,5,10,10,6,12,5,20,20,5,92
UCL322038,19,14,3,22,12,13,15,22,8,127
UCL322039,8,3,16,10,6,3,17,18,0,82
UCL322040,24,36,50,16,44,19,18,14,6,230
UCL322041,12,31,6,14,10,7,0,10,6,92
UCL322042,11,9,25,3,16,16,36,15,3,139
UCL322043,17,26,36,14,30,9,21,13,5,172
UCL322044,10,15,19,10,9,10,14,13,3,83
UCL322045,24,27,18,28,12,13,12,32,3,171
UCL322046,8,16,25,24,11,17,17,48,0,172
UCL322047,38,9,29,23,15,6,4,20,7,147
UCL322048,23,15,18,12,13,0,23,21,8,135
UCL322049,8,9,20,15,13,9,24,23,0,115
UCL322050,38,70,90,11,39,10,94,32,8,385
UCL322051,8,16,28,13,21,14,3,9,0,118
UCL322052,6,4,11,7,4,8,9,38,0,93
UCL322053,18,27,33,16,24,7,20,20,5,167
UCL322054,19,11,24,7,14,20,16,10,8,128
UCL322055,12,4,26,28,7,11,26,26,5,145
UCL322056,6,10,13,19,7,5,4,14,0,74
UCL322057,21,13,50,34,26,28,23,24,3,219
UCL322058,31,23,23,19,9,10,24,16,4,154
UCL322059,9,18,6,11,8,8,0,8,0,70
UCL322060,15,15,20,27,15,10,17,32,4,153
UCL322061,12,14,7,29,14,0,7,15,4,94
UCL322062,25,24,17,18,18,8,28,40,3,183
UCL322063,35,22,39,25,40,14,16,36,11,234
UCL322064,16,15,29,9,15,6,16,22,7,137
UCL322065,10,10,18,12,6,10,6,14,0,85
UCL322066,7,11,8,8,10,10,3,7,0,60
UCL322067,77,69,57,42,45,22,41,73,15,445
UCL322068,13,12,23,13,10,15,15,19,3,120
UCL322069,26,10,28,12,13,11,18,19,4,133
UCL322070,10,6,26,17,16,9,10,17,8,114
UCL322071,5,10,4,3,4,0,0,4,0,38
UCL322072,3,6,9,16,7,4,18,17,0,92
UCL322073,27,16,35,20,15,15,18,35,0,186
UCL322074,8,4,0,6,8,0,4,9,0,43
UCL322075,10,17,5,8,3,0,0,3,0,45
UCL322076,7,23,14,16,13,3,8,13,4,104
UCL322077,8,22,14,15,12,8,0,15,0,94
UCL322078,10,9,24,3,4,6,22,29,0,105
UCL322079,18,27,31,19,19,10,15,21,3,157
UCL322080,15,9,6,5,6,5,10,17,0,82
UCL322081,15,22,17,21,9,5,8,19,4,121
UCL322082,10,14,13,28,4,18,34,22,0,145
UCL322083,10,6,17,7,10,11,17,13,0,95
UCL322084,3,8,7,0,6,3,6,7,7,49
UCL322085,26,16,48,24,36,23,25,31,5,222
UCL322086,5,4,15,15,3,12,17,14,0,84
UCL322087,31,85,19,20,26,12,7,20,8,217
UCL322088,17,9,5,8,3,3,13,7,4,63
UCL322089,16,14,23,22,14,24,21,29,9,170
UCL322090,16,22,13,16,13,8,9,15,0,115
UCL322091,5,9,13,9,20,6,9,8,0,83
UCL322092,7,11,9,21,16,7,0,15,11,93
UCL322093,21,35,32,13,12,16,6,26,8,174
UCL322094,22,16,15,9,11,11,5,7,7,103
UCL322095,7,17,21,16,12,11,8,22,3,126
UCL322096,30,32,47,30,28,16,18,24,6,230
UCL322097,20,42,18,27,13,11,4,24,3,176
UCL322098,25,28,29,25,35,20,13,21,3,194
UCL322099,14,6,4,15,0,6,9,5,0,68
UCL322100,47,34,37,19,38,19,32,39,5,265
UCL322101,30,31,26,20,22,14,42,46,14,240
UCL322102,4,14,0,5,9,5,0,0,4,49
UCL322103,22,31,46,8,13,14,23,16,3,172
UCL322104,29,31,20,28,22,9,24,26,3,191
UCL322105,6,4,14,9,7,4,16,11,5,84
UCL322106,24,38,28,30,27,16,14,20,0,200
UCL322107,34,43,19,12,20,0,7,13,0,143
UCL322108,14,11,7,13,3,6,9,17,0,77
UCL322109,12,24,32,21,19,13,15,21,0,155
UCL322110,15,9,30,17,13,13,21,37,3,165
UCL322111,16,13,24,13,15,9,11,22,4,127
UCL322112,17,18,30,12,11,5,11,8,4,108
UCL322113,5,14,10,15,7,9,4,13,0,78
UCL322114,19,21,29,24,9,4,23,29,7,172
UCL322115,20,17,20,18,11,17,25,26,0,145
UCL322116,5,21,17,8,9,3,3,17,0,88
UCL322117,14,13,17,14,9,8,13,11,0,96
UCL322118,11,8,14,15,7,11,23,28,0,129
UCL322119,35,8,18,15,20,0,17,22,10,145
UCL322120,23,24,25,26,19,9,42,34,4,227
UCL322121,17,12,18,20,7,7,14,17,6,116
UCL322122,24,24,27,10,11,3,6,23,4,141
UCL322123,8,11,11,6,13,8,9,7,4,86
UCL322124,8,11,8,0,7,5,13,11,5,70
UCL322125,0,3,14,33,8,9,15,15,5,104
UCL322126,17,10,22,11,13,11,11,12,0,99
UCL322127,17,17,22,15,25,20,28,44,3,181
UCL322128,9,4,16,21,15,10,7,8,4,98
UCL322129,14,7,9,14,7,9,10,12,4,86
UCL322130,8,6,15,16,0,0,10,36,5,100
UCL322131,12,9,14,9,3,11,8,11,3,86
UCL322132,31,15,41,17,18,12,40,35,8,218
UCL322133,10,14,5,12,6,8,0,13,0,66
UCL322134,3,0,0,0,5,4,6,4,0,19
UCL322135,6,15,0,8,4,0,5,6,7,42
UCL322136,11,28,33,13,23,3,26,9,3,165
UCL322137,8,15,11,6,3,8,13,16,0,81
UCL322138,5,0,4,3,3,7,6,15,4,52
UCL322139,6,15,4,13,3,3,0,9,0,59
UCL331001,42024,29879,32795,19909,23851,13741,19646,27227,4704,213770
UCL379997,5,33,9,3,3,0,21,37,0,99
UCL401001,70217,142156,74978,79397,79155,51005,32489,55680,10293,595366
UCL412001,1454,2165,2057,1859,1794,1264,997,1421,230,13242
UCL412002,1366,2246,1559,1406,1366,1116,478,1036,181,10746
UCL412003,1246,1839,1764,1844,1287,1403,1124,1616,190,12302
UCL412004,755,1328,1624,1175,805,744,1322,1026,196,8968
UCL413001,1463,2946,779,780,831,490,143,469,86,7983
UCL413002,620,638,880,1049,640,717,457,1473,139,6621
UCL413003,466,829,738,920,574,479,432,689,108,5239
UCL413004,710,1076,950,971,699,709,340,928,110,6508
UCL413005,455,776,769,878,544,588,601,690,98,5394
UCL413006,556,883,780,954,535,571,238,652,75,5244
UCL414001,300,386,414,419,257,265,161,321,54,2571
UCL414002,315,514,448,359,328,257,130,261,36,2642
UCL414003,302,313,331,233,197,245,122,669,55,2475
UCL414004,308,377,442,367,340,247,213,538,32,2870
UCL414005,313,399,387,381,315,258,190,345,40,2628
UCL415001,166,184,123,117,94,66,55,191,11,1013
UCL415002,278,289,376,245,322,185,199,213,50,2156
UCL415003,99,95,101,89,78,55,90,147,21,769
UCL415004,127,201,114,91,86,70,34,59,10,800
UCL415005,78,95,98,107,66,62,32,117,11,673
UCL415006,150,314,209,264,160,155,114,343,37,1739
UCL415007,170,156,203,99,133,98,150,412,35,1447
UCL415008,152,201,125,177,118,66,84,142,21,1088
UCL415009,228,283,268,199,172,140,82,226,25,1618
UCL415010,81,109,76,105,64,58,57,58,14,627
UCL415011,54,96,74,44,46,45,29,62,7,468
UCL415012,118,157,188,167,165,93,113,161,12,1169
UCL415013,197,244,130,117,146,97,19,68,22,1037
UCL415014,112,116,114,71,63,39,52,74,17,660
UCL415015,189,253,255,318,187,238,140,247,39,1856
UCL415016,105,154,181,133,112,100,90,174,26,1077
UCL415017,120,135,123,117,83,97,46,129,18,867
UCL415018,110,65,100,81,54,71,51,126,8,661
UCL415019,118,108,209,135,174,112,132,158,17,1157
UCL415020,118,171,181,144,110,80,46,148,17,1012
UCL415021,226,263,231,228,159,121,116,273,25,1643
