UCL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
UCL101001,308998,51898,78037,1161,319,440416,354230,69919,114673,820,564,540201,121755,54577,271981,3445,1395,453150,17756,16882,22979,13,112,57741,2640,3971,8516,42,95,15259,29542,9789,32380,882,446,73034,6083,2017,4833,352,260,13540,975,451,1446,30,18,2928,178738,87692,342130,4767,2321,615655,9697,5153,11739,190,149,26926,34951,11768,36656,1008,658,85041,886617,226434,583229,7950,4014,1708243
UCL102001,2954,521,277,9,8,3760,3986,1045,489,3,0,5531,730,887,1358,5,3,2986,385,124,51,0,0,564,37,101,33,0,0,166,353,239,292,5,0,884,282,47,63,5,8,402,12,11,5,0,0,32,1790,1411,1808,16,13,5032,63,44,31,3,6,145,359,174,196,9,9,744,9147,3193,2804,39,27,15207
UCL102002,34946,5072,2553,346,40,42955,37889,2478,1698,62,29,42157,15507,3800,4650,314,87,24354,1241,1312,789,5,14,3357,361,380,371,5,3,1118,3990,654,656,60,26,5380,629,143,58,131,13,978,116,45,44,31,0,225,21833,6328,6563,540,139,35408,1121,1521,538,29,15,3227,4260,1275,991,171,43,6736,100044,16673,12344,1150,270,130483
UCL102003,6577,2496,1424,598,49,11146,5364,1366,641,19,7,7392,1311,1151,1277,4,8,3753,165,320,189,0,0,673,42,104,55,0,0,199,668,501,344,15,18,1534,166,166,98,94,18,542,19,18,5,0,0,51,2369,2257,1970,116,48,6757,169,198,158,18,4,541,689,392,388,200,6,1676,15166,6693,4585,946,119,27520
UCL102004,38250,4528,2104,209,35,45117,41024,2994,1647,42,26,45729,14356,5533,5320,182,61,25464,2297,1898,1758,3,15,5966,332,431,457,6,6,1231,4713,1071,940,46,31,6807,564,163,124,69,11,928,110,39,44,0,0,197,22369,9139,8650,306,125,40590,1117,762,348,13,15,2250,3262,1051,1131,109,43,5594,106020,18464,13879,676,239,139277
UCL102005,29363,3106,2955,476,29,35930,28833,2981,2430,80,24,34346,8437,3950,6876,157,46,19470,3192,1992,1543,7,3,6737,194,277,245,3,8,727,2627,721,1011,57,31,4446,267,64,117,70,14,542,73,37,50,0,0,165,14792,7045,9845,291,106,32080,666,401,550,23,8,1646,2657,846,1150,127,35,4808,76310,14375,16928,997,206,108813
UCL111001,5850,603,44,28,3,6530,6384,336,13,4,5,6741,2992,2234,186,14,5,5438,514,175,20,0,0,705,87,91,11,0,0,188,756,246,8,4,3,1013,102,39,3,24,3,170,27,20,7,0,0,55,4473,2810,236,41,12,7568,330,102,31,3,6,472,827,374,39,36,21,1288,17869,4230,357,106,42,22604
UCL111002,5456,798,618,235,30,7129,4705,507,318,9,3,5549,1812,964,1333,13,17,4140,345,213,192,3,0,756,178,114,111,0,0,406,662,236,254,8,9,1168,90,32,31,81,19,250,24,15,14,0,0,56,3111,1573,1942,107,43,6780,181,170,71,10,6,434,629,245,280,104,11,1274,14073,3303,3228,464,96,21168
UCL111003,8521,599,58,116,10,9304,12193,393,40,7,4,12639,4926,1257,429,28,5,6647,793,246,86,0,3,1132,272,157,66,0,3,496,1064,164,39,7,5,1285,390,31,10,42,8,476,25,13,0,0,0,46,7475,1873,636,78,25,10088,336,309,13,5,7,672,880,198,78,18,4,1180,29419,3365,826,226,51,33886
UCL112001,2221,135,14,16,0,2386,1948,69,12,0,0,2030,1297,655,269,10,10,2240,202,50,55,0,3,310,93,50,61,0,0,202,332,61,27,0,5,428,47,12,4,33,0,89,7,9,0,0,0,14,1973,841,413,39,15,3279,112,35,3,0,3,156,335,105,65,21,8,538,6591,1176,513,83,32,8391
