UCL_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
UCL621026,77,149,0,10,0,3,0,19,24,101,35,130,3,4,0,4,13,31,12,44,45,173,0,0,0,0,0,0,4,14,5,19,0,3,0,0,5,15,10,21,16,36,3,5,140,359
UCL621027,133,268,0,0,0,8,3,15,28,99,30,125,0,7,0,13,13,42,20,56,50,184,0,0,0,3,0,0,16,43,15,40,0,0,4,4,5,12,6,15,25,59,0,0,215,507
UCL621028,82,157,0,0,4,12,4,10,34,135,40,149,0,0,0,12,7,23,13,40,50,188,0,0,0,0,4,10,7,21,13,34,0,0,0,0,7,16,7,16,19,40,0,0,155,392
UCL621029,96,195,0,7,7,22,0,7,48,193,60,235,4,7,4,5,18,49,24,71,81,299,0,0,0,4,0,3,0,7,3,13,0,0,0,4,6,16,9,16,9,30,0,0,192,524
UCL621030,145,287,0,3,4,8,0,5,14,58,22,79,0,0,0,0,12,38,12,38,29,118,0,3,0,3,0,0,7,19,13,25,3,0,0,0,10,12,12,23,20,50,0,4,199,453
UCL621031,100,197,0,0,6,17,4,23,20,77,28,113,5,17,4,11,26,66,29,89,54,204,0,0,3,19,5,10,16,65,27,93,0,3,0,0,20,48,22,50,55,142,3,7,209,553
UCL621032,77,149,0,3,13,42,0,11,26,113,44,166,0,4,4,7,9,27,13,39,54,201,0,0,0,5,5,4,20,51,21,62,0,0,0,5,12,22,15,31,35,90,3,4,172,451
UCL622001,62,116,0,0,0,0,0,0,8,37,8,37,0,0,4,3,0,4,0,9,16,51,0,0,0,3,0,0,4,9,3,10,0,0,0,0,3,6,3,6,7,16,0,0,79,184
UCL622002,58,115,0,0,5,29,0,5,20,71,27,111,0,0,0,4,7,28,11,37,33,143,0,0,0,0,0,0,9,21,9,21,0,0,0,0,3,9,9,13,13,39,0,0,109,289
UCL622003,56,110,0,0,0,10,4,15,26,109,36,140,6,17,0,3,11,23,12,45,43,177,0,6,0,3,0,0,10,20,9,29,0,4,0,0,4,6,7,8,17,46,0,0,116,333
UCL622004,21,35,0,11,3,16,4,9,10,46,17,79,0,0,4,13,4,13,10,28,31,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,7,6,11,0,3,52,161
UCL622005,46,88,0,0,3,22,0,0,16,74,21,95,0,3,6,21,11,36,18,59,43,149,0,0,0,3,0,0,3,0,3,9,0,0,0,3,0,7,3,6,6,14,0,0,93,256
UCL622006,35,66,0,0,11,31,0,0,15,51,18,87,3,4,0,0,9,27,13,31,27,119,0,0,0,11,0,0,7,14,5,18,0,0,0,0,7,16,7,16,15,40,0,0,84,228
UCL622007,69,137,0,3,0,5,0,0,11,46,15,61,3,7,4,10,10,25,10,42,30,103,0,0,0,3,0,0,4,7,3,17,0,3,0,4,8,13,10,18,14,32,3,9,119,276
UCL622008,46,90,0,0,6,11,0,4,16,58,18,76,5,3,0,4,11,29,11,38,31,117,0,0,0,3,5,6,4,12,7,23,0,0,0,0,12,18,12,18,15,38,0,3,91,251
UCL622009,56,105,0,6,3,11,0,6,22,85,27,99,0,5,0,3,13,55,17,64,45,167,0,0,0,0,0,0,8,14,8,14,0,0,0,3,0,3,3,8,9,25,0,0,110,297
UCL622010,32,61,0,0,4,9,4,11,13,54,19,74,0,4,3,11,4,20,9,30,33,102,0,0,0,10,0,0,9,21,10,33,0,0,5,5,7,11,12,18,18,50,0,0,78,214
UCL622011,40,85,0,0,3,11,0,5,20,75,22,89,3,11,4,6,8,20,14,42,31,131,0,0,0,0,0,0,9,10,4,16,0,0,0,0,3,6,3,6,7,22,0,0,83,236
UCL622012,59,117,0,0,0,0,6,8,11,59,18,70,3,6,0,7,4,19,10,30,28,96,0,0,4,12,0,0,9,14,10,26,0,0,3,4,4,6,4,11,15,34,0,0,100,249
UCL622013,83,165,0,0,3,18,0,3,29,100,32,121,0,5,0,0,16,52,19,61,54,178,0,3,0,0,0,0,3,6,7,9,0,0,4,3,12,22,13,25,18,33,0,6,151,381
UCL622014,48,98,0,3,9,26,0,7,15,63,24,109,4,18,0,0,13,39,22,59,45,168,0,0,0,0,0,0,9,28,10,26,0,0,0,3,3,6,3,13,16,44,0,4,108,308
UCL622015,76,144,0,0,0,19,3,15,20,81,28,105,3,8,7,17,8,20,10,48,40,152,0,0,0,0,0,0,3,4,3,4,0,0,0,6,7,13,9,16,14,23,0,3,127,328
UCL622016,23,50,0,0,7,25,0,0,19,77,29,98,0,0,0,0,4,18,4,18,32,116,0,0,0,0,0,0,10,20,10,20,0,0,5,10,3,15,12,20,22,43,0,0,77,214
UCL622017,29,59,0,7,4,7,0,0,7,20,11,41,0,9,0,10,0,4,3,20,15,56,0,0,0,0,0,0,11,20,11,20,0,0,0,3,6,11,6,16,15,36,0,0,57,159
UCL622018,38,76,0,0,0,10,6,21,14,47,18,72,0,5,3,6,8,13,8,26,25,98,0,0,0,5,0,0,8,16,6,22,0,3,0,4,0,8,4,10,14,37,0,4,77,214
UCL622019,62,126,0,0,4,16,0,0,14,60,23,76,0,6,0,5,5,24,13,34,30,109,0,0,4,10,0,0,0,6,8,18,0,4,0,0,8,14,8,17,16,40,0,0,113,277
UCL622020,47,90,0,0,7,21,6,12,27,98,35,135,6,10,4,14,16,48,24,75,58,212,0,0,0,0,0,0,3,16,3,16,4,6,0,3,0,6,7,23,10,35,0,5,112,337
UCL622021,68,124,0,0,0,0,0,5,6,14,0,17,0,3,0,0,9,18,10,28,14,43,0,0,0,4,0,6,3,12,3,15,0,0,3,3,9,11,10,15,17,36,0,0,91,207
UCL622022,50,105,0,5,4,27,0,4,25,105,33,138,0,0,0,3,11,34,10,32,46,174,0,0,3,9,0,3,8,13,13,21,0,8,3,13,5,9,10,20,21,46,0,4,121,327
UCL622023,82,165,0,0,3,13,0,0,15,67,24,81,0,5,7,6,15,41,20,55,38,138,0,0,0,0,0,0,15,33,15,33,0,0,0,0,6,19,8,21,19,55,3,0,143,358
UCL622024,58,113,0,0,4,20,0,0,16,51,22,69,6,10,5,11,5,16,14,33,30,102,0,0,0,0,0,3,0,3,0,4,0,4,0,6,3,11,9,15,8,24,0,0,97,235
UCL622025,16,34,0,6,0,0,0,0,10,50,13,52,0,5,0,0,0,6,5,15,18,66,0,0,0,0,0,0,3,10,3,10,0,0,0,0,3,3,3,3,8,17,0,0,45,117
UCL622026,38,68,4,17,4,9,0,0,0,12,6,36,0,0,0,6,5,20,10,25,17,62,0,0,0,0,0,0,7,7,6,8,0,0,0,5,5,8,3,13,9,22,0,6,67,157
UCL622027,56,110,0,0,0,0,0,0,7,15,4,23,0,0,0,0,0,11,0,11,9,29,0,0,0,0,5,4,0,0,0,12,0,0,0,0,14,19,11,23,16,33,0,0,83,173
UCL631001,14994,29777,253,1396,1175,5425,414,1922,5942,23223,7777,31968,563,2283,903,2869,2680,8413,4145,13572,11923,45533,40,185,249,842,124,471,1245,3246,1665,4746,117,340,280,595,1317,2829,1720,3767,3379,8513,249,519,30550,84338
UCL679997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL703001,10978,21493,228,1300,1227,5634,401,1834,8580,32282,10440,41047,414,1716,870,2764,1756,5563,3033,10044,13475,51096,67,335,333,1183,220,816,2364,6248,2987,8589,155,481,393,854,1500,3291,2053,4631,5035,13222,533,1137,30033,86944
UCL712001,2139,4264,48,291,219,988,96,491,1685,6514,2050,8284,60,215,156,473,317,986,531,1672,2579,9960,22,99,74,251,75,306,530,1478,700,2142,26,77,72,156,322,753,413,987,1116,3131,123,280,5955,17633
UCL714001,468,935,7,47,43,201,36,174,361,1415,439,1846,9,34,15,54,55,169,78,254,524,2100,3,10,15,57,19,80,152,446,187,595,5,20,15,29,79,175,96,226,283,816,33,74,1301,3921
UCL715001,64,142,27,169,18,108,36,237,119,507,197,1018,7,30,4,15,32,143,47,189,242,1209,7,59,9,52,30,180,69,233,119,518,3,12,5,10,33,89,36,105,154,629,7,42,474,2026
UCL715002,62,145,5,38,3,23,17,114,87,361,118,539,0,7,0,0,11,52,15,56,132,595,0,9,4,7,12,57,34,101,49,176,0,0,0,3,21,67,24,66,72,237,8,19,270,1003
UCL715003,118,256,13,90,21,124,42,282,178,722,258,1227,3,24,5,18,44,189,57,234,310,1458,0,3,4,16,18,91,79,225,100,330,0,14,5,10,46,127,53,151,152,478,22,59,607,2252
UCL715004,25,56,5,58,5,23,14,114,62,255,85,444,0,6,0,0,18,66,19,80,101,518,4,18,4,18,20,135,29,110,59,284,0,10,0,3,23,97,29,112,84,395,9,37,226,1015
UCL715005,54,126,6,51,3,33,24,153,63,277,101,518,5,23,4,9,13,61,18,93,118,614,0,6,11,34,13,62,30,99,52,201,0,4,0,5,16,29,15,40,71,240,4,6,244,984
UCL715006,188,358,5,15,45,197,7,30,274,1070,325,1315,10,29,16,57,36,125,63,207,394,1521,0,0,3,16,8,14,30,70,41,107,0,4,6,13,10,14,16,29,59,137,3,5,631,2022
UCL715007,198,401,5,42,16,96,25,157,142,584,194,878,0,9,8,29,40,137,53,176,243,1058,0,3,13,44,18,95,99,307,126,451,3,6,5,8,44,108,55,126,182,571,22,66,647,2093
UCL715008,74,153,15,104,11,72,47,333,100,432,172,944,3,17,0,3,28,138,37,155,207,1101,0,6,5,12,21,122,53,174,79,319,0,10,0,3,37,105,42,112,120,432,9,26,408,1712
UCL715009,102,233,8,50,15,80,13,84,73,279,106,499,0,13,4,12,22,84,25,114,130,605,3,18,4,11,6,39,37,114,50,177,4,10,4,10,30,93,42,109,85,286,22,63,346,1194
UCL721001,50,97,0,0,7,30,3,9,77,318,89,356,0,0,5,13,3,21,13,34,102,394,0,0,0,0,0,0,6,11,6,11,0,3,0,0,5,9,9,11,11,23,0,0,161,511
UCL721002,60,134,0,16,5,16,20,122,63,220,91,377,0,4,5,5,20,97,24,107,116,485,0,9,0,7,7,33,20,68,30,112,0,12,0,4,21,74,24,82,61,200,9,29,244,850
UCL721003,49,103,3,13,6,46,11,55,39,166,58,289,0,0,0,0,7,23,7,23,69,311,0,4,3,10,6,17,28,81,39,115,0,7,5,7,13,39,21,52,59,171,6,13,182,599
UCL721004,13,39,4,9,0,10,4,23,47,206,58,250,0,0,0,0,10,36,10,42,64,291,0,0,7,22,3,20,15,55,23,94,0,0,0,3,13,34,13,39,43,132,3,8,130,469
UCL721005,28,72,0,15,10,30,11,77,27,118,46,239,0,6,0,3,16,86,20,91,69,328,0,8,3,13,9,42,19,47,23,112,0,0,4,5,28,82,32,83,54,196,3,12,151,603
UCL721006,33,73,0,6,0,6,9,41,41,188,51,235,0,0,0,3,3,16,6,21,59,255,0,0,0,5,7,27,15,60,22,91,0,0,0,0,8,28,8,28,33,116,9,16,127,460
UCL721007,72,141,0,0,11,40,0,6,35,133,44,178,0,14,7,20,30,83,37,113,83,293,0,0,0,0,0,4,8,18,11,20,0,0,0,3,4,17,8,15,17,40,0,4,176,477
UCL721008,57,115,0,17,6,23,0,7,43,175,52,224,0,4,3,16,11,32,17,60,70,285,0,0,5,16,0,4,10,37,15,49,0,3,0,0,15,31,13,33,24,88,5,4,158,491
UCL721009,72,145,0,0,9,31,0,15,43,179,56,219,0,5,0,0,3,7,4,14,59,229,0,3,0,0,0,17,25,65,27,87,0,0,0,3,0,6,3,10,31,92,0,6,166,470
UCL721010,28,62,7,16,4,16,18,96,47,200,64,326,0,4,0,0,8,29,9,31,73,355,0,3,0,4,12,61,33,95,44,157,0,0,0,0,5,17,5,17,50,183,6,13,159,609
UCL721011,18,33,9,37,8,31,12,85,37,163,57,316,0,18,4,18,7,28,14,65,68,378,0,7,5,34,11,55,8,24,32,117,0,0,0,4,7,22,8,27,37,141,0,9,121,564
UCL721012,40,109,0,9,6,26,11,66,45,174,63,267,0,16,5,11,7,36,18,64,77,332,0,8,0,0,4,21,17,45,27,75,5,12,0,3,22,66,25,78,50,160,10,32,178,631
UCL721013,30,70,7,41,8,44,17,105,37,166,67,355,4,25,0,0,14,62,19,91,87,452,0,0,3,13,8,49,18,61,30,120,0,0,4,5,22,57,23,62,51,181,3,13,167,712
UCL721014,19,52,9,34,0,3,7,59,35,170,55,267,4,12,0,0,8,25,9,43,63,303,3,19,0,9,5,28,28,84,36,143,0,0,0,0,14,38,14,38,50,179,8,17,144,551
UCL721015,29,78,3,14,0,3,7,64,39,165,53,250,0,0,0,4,4,31,10,32,61,282,0,7,0,0,3,12,25,80,27,108,0,0,0,3,7,18,8,20,35,124,0,10,130,488
UCL721016,32,72,0,6,3,10,10,60,41,170,54,249,0,0,0,3,10,56,15,56,66,302,0,9,0,0,4,31,25,74,31,111,5,8,4,7,17,49,25,59,49,173,10,35,166,581
UCL721017,42,92,0,21,4,27,10,60,40,183,56,298,0,0,0,3,6,23,9,28,64,322,6,13,4,16,7,48,30,91,47,161,0,0,0,7,4,21,5,21,51,189,5,21,164,620
UCL721018,102,197,0,0,0,4,5,4,24,84,29,93,0,0,0,0,0,3,0,3,24,93,0,0,0,0,0,0,5,13,5,13,0,0,0,0,0,6,0,6,10,14,0,0,135,303
UCL722001,26,56,0,0,0,0,0,4,9,51,14,57,0,0,0,0,0,0,0,0,14,57,0,0,0,0,0,11,5,12,7,25,0,0,0,0,0,0,0,0,8,27,4,7,58,149
UCL722002,17,37,0,15,6,28,5,26,30,132,40,196,0,0,0,0,0,6,0,6,36,205,0,12,0,4,8,33,9,43,22,90,0,0,0,0,6,26,6,26,29,114,5,9,91,361
