UCL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
UCL101001,36,2500,896,475,2412,1,2119,2.7
UCL102001,37,1950,1103,350,2608,0.8,2065,2.4
UCL102002,42,2000,725,400,1942,0.8,1489,2.5
UCL102003,48,1907,662,420,1683,0.8,1268,2.3
UCL102004,39,1959,809,390,2173,0.8,1706,2.4
UCL102005,39,2167,741,400,2077,0.8,1641,2.5
UCL111001,39,1430,771,270,1873,0.7,1401,2.3
UCL111002,44,1733,680,370,1651,0.8,1307,2.4
UCL111003,36,1780,787,370,2039,0.8,1692,2.6
UCL112001,34,1430,717,290,1817,0.7,1369,2.3
UCL112002,36,1733,790,320,1994,0.7,1545,2.4
UCL112003,47,1907,729,390,1967,0.7,1448,2.3
UCL112004,50,2167,806,450,2132,0.7,1631,2.3
UCL112005,38,1517,613,320,1531,0.8,1252,2.5
UCL112006,34,1517,869,310,2003,0.8,1632,2.5
UCL112007,48,1625,697,320,1745,0.7,1342,2.4
UCL112008,59,1574,556,330,1280,0.7,965,2
UCL112009,39,1625,744,320,1899,0.7,1406,2.3
UCL112010,37,1500,840,300,1980,0.8,1704,2.6
UCL112011,35,1600,697,345,1758,0.8,1455,2.6
UCL112012,42,1452,674,300,1656,0.7,1227,2.3
UCL112013,37,1428,845,230,2072,0.8,1711,2.6
UCL112014,43,1907,683,390,1757,0.7,1396,2.5
UCL112015,38,1679,645,330,1568,0.7,1266,2.4
UCL112016,36,1668,833,330,2101,0.7,1635,2.4
UCL112017,48,1751,679,380,1684,0.7,1284,2.3
UCL112018,37,1400,751,300,1706,0.8,1331,2.3
UCL112019,36,1500,804,290,1962,0.7,1504,2.4
UCL113001,53,1733,663,390,1561,0.7,1140,2.1
UCL113002,52,1517,604,330,1365,0.7,1110,2.1
UCL113003,44,867,652,220,1617,0.7,1180,2.2
UCL113004,39,2319,843,625,2091,0.8,1780,2.4
UCL113005,42,1300,604,300,1400,0.8,1103,2.3
UCL113006,39,1200,521,280,1284,0.8,996,2.4
UCL113007,47,2197,829,480,2154,0.7,1747,2.5
UCL113008,46,1400,599,270,1460,0.7,1051,2.1
UCL113009,37,1950,854,435,2175,0.8,2031,2.9
UCL113010,36,1733,785,365,2117,0.7,1693,2.4
UCL113011,36,1517,758,300,1930,0.7,1569,2.5
