UCL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL101001,331741,215282,106697,43800,2526109
UCL102001,2946,1486,598,204,19256
UCL102002,26707,21574,12241,4865,162336
UCL102003,5720,5091,3019,1361,33009
UCL102004,27838,21477,11080,4409,182416
UCL102005,21919,15477,7733,3094,141832
UCL111001,3977,3032,1517,531,26171
UCL111002,4326,3804,2102,892,26086
UCL111003,5782,3981,1956,602,40949
UCL112001,1623,1225,836,319,11556
UCL112002,2660,1928,1017,399,18061
UCL112003,3585,3240,1382,411,17915
UCL112004,2245,2527,1819,684,13634
UCL112005,1531,1169,595,232,10580
UCL112006,2583,1706,952,354,18819
UCL112007,454,459,271,85,2987
UCL112008,1931,2251,1400,622,10371
UCL112009,1761,1377,750,322,11768
UCL112010,1227,745,386,227,8994
UCL112011,1158,819,299,89,8262
UCL112012,2445,1919,894,409,14339
UCL112013,176,106,34,12,1116
UCL112014,1787,1627,1133,505,11042
UCL112015,2385,1931,1068,414,16402
UCL112016,2718,2083,1123,441,19666
UCL112017,4364,4134,2479,1100,25512
UCL112018,2339,1819,1242,510,16450
UCL112019,3689,2651,1285,530,23707
UCL113001,1647,1880,1072,539,9785
UCL113002,1175,1203,709,255,6156
UCL113003,1428,1027,461,209,7696
UCL113004,1043,821,285,84,6804
UCL113005,1189,970,576,305,7712
UCL113006,775,607,303,107,5045
UCL113007,1666,1582,740,295,8678
UCL113008,907,750,444,145,5094
UCL113009,755,504,215,29,4720
UCL113010,773,550,354,127,5665
UCL113011,713,428,174,67,4698
UCL113012,1532,1519,900,314,7782
UCL113013,930,620,305,81,5734
UCL113014,927,562,240,81,6501
UCL113015,846,928,445,113,5020
UCL113016,1302,1098,831,395,8055
UCL113017,1435,1475,748,221,7440
UCL113018,176,220,134,28,1108
UCL114001,492,477,306,150,2735
UCL114002,840,1107,677,239,4101
UCL114003,571,546,372,165,4042
UCL114004,583,385,254,98,3415
UCL114005,433,474,296,86,2512
UCL114006,441,385,243,97,2377
UCL114007,574,580,287,117,3526
UCL114008,539,377,221,88,2935
UCL114009,245,152,136,95,3483
UCL114010,484,376,241,61,2997
UCL114011,442,389,207,82,2337
UCL114012,200,97,22,4,3174
UCL114013,560,377,263,119,3708
UCL114014,538,271,87,20,3257
UCL114015,659,500,331,117,4170
UCL114016,468,313,173,83,3093
UCL114017,813,594,172,40,4395
UCL114018,919,1009,527,185,4791
UCL114019,573,430,213,61,3687
UCL114020,763,704,408,91,4546
UCL114021,881,696,392,239,4861
UCL114022,698,752,423,134,3320
UCL114023,406,259,139,59,2544
UCL114024,651,462,239,99,4188
UCL114025,570,513,246,96,3626
UCL114026,305,305,189,68,2644
UCL114027,564,618,449,121,2929
UCL114028,338,230,124,56,2258
UCL114029,352,179,58,4,2377
UCL114030,644,721,353,128,3031
UCL114031,557,464,210,60,3074
UCL114032,260,214,94,24,2159
UCL114033,484,308,221,97,2834
UCL114034,544,493,279,134,3551
UCL114035,465,502,260,84,2866
UCL114036,715,846,434,119,3557
UCL114037,451,351,185,84,2944
UCL114038,480,417,226,95,3139
UCL115001,142,74,34,11,743
UCL115002,504,342,124,31,2275
UCL115003,143,90,29,4,1247
UCL115004,202,258,87,23,1055
UCL115005,96,65,19,15,444
UCL115006,196,150,46,48,1257
UCL115007,233,162,101,36,1508
UCL115008,100,99,56,30,477
UCL115009,134,123,56,20,766
UCL115010,85,96,52,17,405
UCL115011,154,99,66,14,766
UCL115012,86,68,33,13,418
UCL115013,331,268,180,120,2036
UCL115014,329,286,149,54,1763
UCL115015,230,281,109,34,1064
UCL115016,114,71,31,15,592
UCL115017,228,297,240,131,1481
UCL115018,79,91,60,14,419
UCL115019,642,576,290,68,2830
UCL115020,199,146,65,24,1229
UCL115021,85,70,36,18,472
UCL115022,337,259,169,25,1520
UCL115023,116,109,53,18,666
UCL115024,102,59,24,7,689
UCL115025,126,73,21,6,766
UCL115026,120,125,100,23,780
UCL115027,143,104,29,11,1280
UCL115028,325,276,153,61,1496
UCL115029,193,184,71,18,1036
UCL115030,98,109,45,19,460
UCL115031,328,474,258,81,1689
UCL115032,308,223,99,24,1241
UCL115033,327,195,78,13,2056
UCL115034,111,54,13,5,762
UCL115035,248,190,106,15,1929
UCL115036,379,316,153,35,1645
UCL115037,142,112,32,8,673
UCL115038,120,104,47,19,626
UCL115039,282,173,80,20,1721
UCL115040,135,97,40,8,756
UCL115041,177,100,70,34,1067
UCL115042,124,124,50,30,773
UCL115043,189,223,119,75,1213
UCL115044,151,100,57,15,918
UCL115045,105,78,47,15,527
UCL115046,146,125,37,3,852
UCL115047,171,155,93,41,910
UCL115048,446,307,207,47,1914
UCL115049,92,72,48,19,483
UCL115050,143,108,45,4,1036
UCL115051,265,264,129,131,1259
UCL115052,106,61,32,18,684
UCL115053,125,116,65,17,531
UCL115054,111,92,20,8,547
UCL115055,183,158,101,30,948
UCL115056,300,314,152,63,1513
UCL115057,320,328,131,51,1598
UCL115058,199,237,163,59,918
UCL115059,170,131,93,58,870
UCL115060,107,62,20,8,1507
UCL115061,67,65,44,45,468
UCL115062,111,71,25,5,656
UCL115063,119,77,29,11,644
UCL115064,486,421,213,81,2664
UCL115065,192,141,101,37,1052
UCL115066,193,95,31,7,1191
UCL115067,206,198,112,48,1075
UCL115068,118,122,100,15,601
UCL115069,156,169,110,39,880
UCL115070,146,89,54,3,1365
UCL115071,165,135,59,23,956
UCL115072,187,199,64,7,889
UCL115073,162,124,55,20,871
UCL115074,162,129,85,42,958
