UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL379997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,9,5,12,0,..,5,12
UCL401001,362297,955225,64085,118969,24497,52662,88582,171631,31064,52002,4649,7493,5973,9894,4043,6751,356,848,46079,76992,667,1108,394,556,142,147,475,1012,1673,2825,1267,2413,499902,1209092,36353,..,536259,1209092
UCL412001,9578,24618,1692,2713,76,155,1768,2867,132,156,0,0,0,0,0,0,3,5,134,164,22,39,10,9,6,9,0,0,40,59,38,76,11567,27783,686,..,12251,27783
UCL412002,7712,19865,507,771,92,186,595,960,44,78,0,0,0,0,0,0,0,4,43,78,31,49,4,8,0,0,0,0,38,59,9,16,8407,20974,539,..,8943,20974
UCL412003,8732,21239,1650,2903,45,71,1692,2973,976,1384,0,0,20,32,0,0,0,0,996,1413,11,12,4,4,15,14,7,15,31,44,62,78,11520,25751,1172,..,12690,25751
UCL412004,5115,12219,3841,7482,9,15,3848,7492,400,517,52,65,0,0,0,0,18,47,473,626,26,59,23,32,0,0,0,4,57,97,70,122,9559,20552,1405,..,10960,20552
UCL413001,5671,15090,49,64,19,34,74,102,31,37,20,20,0,0,0,0,3,18,55,76,0,0,0,0,0,0,0,0,0,0,7,15,5803,15289,348,..,6156,15289
UCL413002,6259,14797,873,1494,18,33,892,1528,35,57,0,0,0,0,0,0,0,5,35,62,40,68,23,34,12,16,3,9,84,130,29,60,7301,16576,775,..,8079,16576
UCL413003,3993,9503,640,1378,37,86,674,1465,439,646,0,0,0,0,0,0,5,8,443,648,151,267,81,109,73,75,8,25,316,468,60,112,5495,12188,840,..,6334,12188
UCL413004,4954,11712,620,1060,111,246,730,1302,370,482,7,11,0,0,0,0,12,32,386,536,35,75,40,92,15,17,11,19,103,204,27,51,6202,13806,753,..,6952,13806
