UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL101001,886617,2795520,71820,168339,154614,417248,226434,585590,92495,182892,161516,325567,195104,406240,125875,261476,8242,21265,583229,1197432,407,595,506,731,176,226,6865,14816,7950,16370,4014,8307,1708243,4603224,143964,..,1852206,4603224
UCL102001,9147,25765,1663,3119,1527,3084,3193,6201,1124,1768,593,1015,983,1715,83,131,23,56,2804,4685,3,9,0,0,7,10,25,53,39,69,27,50,15207,36774,1059,..,16267,36774
UCL102002,100044,265798,10171,16846,6501,12961,16673,29812,6968,11810,1634,2879,2679,4758,641,1159,414,865,12344,21462,425,625,552,861,18,20,156,311,1150,1820,270,471,130483,319363,13450,..,143935,319363
UCL102003,15166,40027,4049,7566,2643,5623,6693,13187,1653,2780,1567,2785,666,1151,654,1119,50,86,4585,7919,268,483,523,767,138,142,17,38,946,1433,119,211,27520,62767,2749,..,30267,62767
UCL102004,106020,278748,9374,15923,9089,18544,18464,34469,5984,9077,2900,4691,2781,4628,1736,2842,476,958,13879,22197,152,247,160,205,27,37,339,645,676,1131,239,395,139277,336941,9573,..,148851,336941
UCL102005,76310,212639,6054,10989,8320,17944,14375,28932,6888,11878,3322,5613,4162,7538,2168,4118,387,901,16928,30042,372,531,258,379,7,8,358,724,997,1638,206,395,108813,273655,6576,..,115386,273655
UCL111001,17869,44671,3737,5854,491,755,4230,6607,241,331,84,133,35,48,0,0,3,12,357,526,45,69,32,42,8,7,22,46,106,164,42,86,22604,52051,1889,..,24495,52051
UCL111002,14073,36997,1944,3400,1360,2864,3303,6260,2374,4139,401,696,289,466,117,183,47,83,3228,5564,126,219,262,374,55,55,22,42,464,688,96,168,21168,49682,1756,..,22919,49682
UCL111003,29419,80606,2743,4780,625,1040,3365,5817,707,992,12,16,30,57,0,3,80,169,826,1230,164,199,10,10,7,3,49,79,226,296,51,94,33886,88055,1687,..,35571,88055
UCL112001,6591,16016,1007,1691,175,295,1176,1988,450,723,60,107,0,0,0,3,9,16,513,845,10,11,56,61,0,3,13,26,83,100,32,54,8391,18998,965,..,9357,18998
UCL112002,11493,29789,1345,2261,418,730,1765,2985,742,1112,9,8,0,0,0,0,16,32,769,1156,27,42,8,16,18,28,16,48,74,130,29,51,14124,34108,1141,..,15266,34108
UCL112003,11747,27350,316,494,251,430,576,925,444,654,180,267,16,28,0,0,65,147,705,1094,0,0,0,4,4,4,33,52,36,61,54,75,13114,29501,1942,..,15050,29501
UCL112004,8486,20867,680,1041,327,562,1006,1605,284,500,21,35,0,0,0,0,35,77,342,618,12,20,33,36,0,0,15,33,58,93,27,57,9926,23239,895,..,10825,23239
UCL112005,7268,18935,950,1589,126,201,1075,1784,136,190,0,5,0,0,0,0,17,38,159,232,31,42,0,3,9,8,17,24,56,82,22,48,8585,21083,768,..,9347,21083
UCL112006,12237,32778,1456,2488,78,147,1531,2634,1241,1994,21,26,0,5,0,0,21,50,1282,2076,63,120,8,7,0,0,33,72,103,200,73,108,15231,37800,994,..,16221,37800
UCL112007,2288,5663,314,498,17,23,325,523,12,17,0,0,0,0,0,0,0,0,12,17,15,27,48,69,0,0,3,5,67,98,7,24,2704,6324,350,..,3049,6324
UCL112008,5883,13664,1486,2486,245,446,1735,2933,954,1421,428,647,413,691,100,183,4,15,1903,2956,120,201,97,127,0,11,51,97,271,434,45,79,9845,20067,2223,..,12067,20067
UCL112009,8153,20024,930,1525,186,328,1112,1854,309,449,67,93,0,0,0,0,20,32,396,578,28,38,30,30,0,0,47,74,100,146,29,43,9790,22639,868,..,10656,22639
UCL112010,6141,17001,375,744,76,101,450,847,954,2069,27,73,0,0,0,0,10,29,993,2161,49,80,37,47,8,4,52,128,148,256,27,76,7762,20345,594,..,8361,20345
UCL112011,6902,18457,423,737,139,222,557,956,123,167,0,0,0,0,0,0,29,72,156,235,0,0,0,0,5,14,7,5,10,24,15,22,7639,19700,374,..,8013,19700
UCL112012,8997,22513,1240,1869,555,984,1788,2854,714,1173,84,130,0,0,0,0,11,16,809,1317,60,74,170,206,4,4,17,31,253,317,40,57,11878,27056,777,..,12662,27056
UCL112013,814,2220,48,77,0,5,58,82,20,28,0,0,0,0,0,0,0,0,20,28,3,13,7,9,5,8,0,0,17,30,4,6,909,2365,102,..,1014,2365
UCL112014,7718,19657,579,866,175,415,757,1277,146,258,13,14,23,43,0,0,23,56,210,376,0,9,10,11,0,0,0,0,17,22,17,26,8713,21362,845,..,9554,21362
UCL112015,11123,28429,1267,2132,294,495,1562,2627,366,574,23,35,0,0,0,0,33,62,427,673,7,4,83,114,43,38,8,7,134,174,46,52,13298,31955,833,..,14131,31955
UCL112016,13478,34922,1505,2366,234,398,1733,2764,575,851,62,103,0,0,0,0,16,30,648,982,30,40,3,5,0,0,30,62,65,102,51,120,15986,38898,1414,..,17402,38898
UCL112017,13475,34440,2718,4568,1014,2054,3740,6620,1401,2179,628,1030,1032,1643,155,273,11,25,3231,5145,72,136,59,79,6,9,24,46,159,273,81,144,20683,46625,1986,..,22674,46625
UCL112018,11932,30114,1866,2901,395,673,2264,3579,357,593,29,46,18,40,0,0,9,23,412,700,43,61,58,85,0,0,8,20,102,162,95,151,14815,34709,1300,..,16118,34709
UCL112019,16639,42866,874,1346,230,389,1106,1732,2139,3308,120,161,53,61,0,3,21,43,2334,3574,7,8,20,33,12,17,68,163,104,219,57,83,20245,48477,1568,..,21807,48477
UCL113001,4781,11292,1403,2577,1182,2205,2580,4784,437,686,154,275,88,150,18,27,11,26,706,1154,152,192,328,431,5,8,23,36,505,672,60,82,8635,17978,652,..,9288,17978
UCL113002,3909,9266,390,611,346,620,735,1231,724,1128,26,28,31,39,0,0,12,17,788,1214,66,108,52,73,0,0,6,18,125,196,27,44,5584,11951,1655,..,7244,11951
UCL113003,7428,16273,187,263,23,48,206,308,226,287,0,0,0,0,0,0,0,0,226,289,63,121,3,4,0,0,5,7,69,128,31,45,7965,17049,1522,..,9484,17049
UCL113004,2544,6614,368,764,744,1645,1115,2407,298,545,48,95,0,0,0,0,39,84,387,724,99,133,63,98,25,34,30,40,219,307,47,92,4314,10144,1189,..,5505,10144
UCL113005,5815,14340,328,471,276,498,601,969,652,964,17,20,17,28,0,0,3,4,687,1017,43,52,43,51,13,9,63,148,157,273,25,47,7290,16642,542,..,7834,16642
UCL113006,3525,9111,43,83,55,99,98,187,332,476,9,15,0,0,0,0,0,4,345,497,41,51,28,47,3,4,10,22,76,119,16,33,4068,9945,329,..,4397,9945
UCL113007,4131,11140,258,480,728,1467,984,1951,214,371,152,276,325,477,0,0,24,49,710,1173,11,19,9,23,0,0,26,52,54,99,10,16,5888,14382,878,..,6768,14382
UCL113008,4297,9629,549,812,94,148,638,959,131,176,14,14,0,0,0,0,3,12,147,208,0,0,5,12,3,3,20,42,32,59,14,23,5130,10875,599,..,5729,10875
UCL113009,3305,9662,68,118,15,32,82,150,0,0,0,0,0,0,0,0,9,18,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3402,9830,174,..,3573,9830
UCL113010,3898,10055,597,979,21,42,616,1021,44,59,10,12,0,0,0,0,0,0,53,72,35,44,80,131,0,0,14,26,133,204,13,29,4706,11380,629,..,5341,11380
UCL113011,3822,9787,419,637,162,239,584,874,22,32,13,27,0,0,0,0,0,0,33,63,24,23,0,0,0,0,3,5,22,28,11,19,4469,10768,526,..,5000,10768
UCL113012,3909,9760,599,999,978,2078,1583,3079,211,329,152,222,371,647,0,0,5,25,743,1222,14,20,8,14,0,0,4,9,21,45,19,35,6279,14141,2601,..,8875,14141
UCL113013,4499,11930,649,1073,216,356,865,1427,38,58,0,0,0,0,0,0,19,36,60,97,17,27,145,247,13,11,10,26,190,307,8,15,5618,13775,311,..,5927,13775
UCL113014,4576,12345,397,733,243,419,642,1152,259,384,0,0,0,0,0,0,4,0,263,385,54,70,50,72,4,6,8,11,115,163,13,21,5606,14067,389,..,5998,14067
UCL113015,4364,10160,200,343,25,37,222,382,90,143,0,0,0,0,0,0,12,25,101,169,18,26,30,38,0,0,3,8,44,67,12,20,4747,10794,1296,..,6047,10794
UCL113016,6028,15005,814,1171,54,92,868,1259,670,973,44,45,0,0,0,0,7,16,718,1029,0,0,0,0,0,3,16,32,18,39,13,15,7646,17347,493,..,8140,17347
UCL113017,5463,12778,272,430,289,511,563,942,128,204,6,11,0,0,0,0,20,33,152,254,40,65,167,232,17,15,14,22,240,336,30,57,6444,14365,1941,..,8382,14365
UCL113018,879,2024,130,203,0,4,133,210,22,34,0,0,0,0,0,0,0,0,22,34,3,10,0,7,0,0,0,0,5,13,0,0,1037,2277,339,..,1371,2277
UCL114001,1663,4026,501,795,71,111,572,909,16,33,0,0,0,0,0,0,3,12,22,38,0,0,0,12,3,3,0,0,7,12,4,4,2272,4996,131,..,2402,4996
UCL114002,2860,6101,532,784,72,127,602,911,217,345,12,18,0,0,0,0,5,8,236,372,54,93,181,260,3,5,21,45,256,410,23,43,3976,7825,486,..,4466,7825
UCL114003,3534,8619,338,522,47,100,389,626,245,369,0,4,0,0,0,0,14,24,265,397,50,78,30,40,5,3,13,27,100,152,14,17,4301,9803,290,..,4591,9803
UCL114004,2439,5549,145,233,36,54,191,288,126,176,7,5,0,0,0,0,15,29,147,208,3,3,11,13,0,3,19,60,37,78,12,20,2824,6141,427,..,3248,6141
UCL114005,2315,5152,205,265,17,32,218,296,8,8,11,12,0,0,0,0,0,0,18,23,10,17,0,4,0,0,14,24,27,41,3,9,2589,5517,277,..,2868,5517
UCL114006,2033,4550,384,528,0,0,384,528,4,4,0,0,0,0,0,0,0,0,3,8,0,3,25,34,3,3,11,18,37,56,14,31,2477,5175,324,..,2797,5175
UCL114007,3205,7430,257,341,29,46,288,384,96,133,9,17,0,0,0,0,7,4,108,151,9,20,6,3,3,3,11,14,22,35,9,18,3630,8019,338,..,3974,8019
UCL114008,2517,5620,325,439,8,13,332,453,21,40,0,0,0,0,0,0,0,0,22,42,30,27,0,4,3,3,8,12,35,48,35,58,2948,6228,376,..,3317,6228
UCL114009,1969,5779,194,311,8,20,199,332,52,65,0,0,0,0,0,0,5,11,56,77,0,0,0,0,0,0,0,0,0,0,5,11,2233,6198,119,..,2350,6198
UCL114010,2588,6108,159,251,15,14,174,267,190,240,5,7,0,0,0,0,4,0,198,249,18,29,29,41,0,0,22,33,66,108,12,18,3038,6749,302,..,3336,6749
UCL114011,2106,4561,166,226,13,13,181,246,78,93,0,0,0,0,0,0,0,0,78,93,16,39,10,13,4,10,8,19,38,76,4,9,2400,4982,236,..,2643,4982
UCL114012,1846,5875,17,34,100,208,115,248,3,8,12,32,0,0,0,0,0,0,23,41,0,0,0,0,0,0,0,3,0,3,0,0,1990,6171,105,..,2091,6171
UCL114013,2934,7306,380,593,48,81,431,672,89,113,0,0,5,6,0,0,4,6,95,127,36,46,16,20,0,0,6,5,55,71,5,6,3528,8185,397,..,3923,8185
UCL114014,1766,5368,23,45,40,106,62,150,226,500,66,137,0,0,0,0,12,40,304,669,0,0,0,0,0,0,12,40,12,40,8,20,2153,6251,81,..,2233,6251
UCL114015,3487,8438,440,669,78,123,518,790,54,71,0,0,0,0,0,0,0,8,62,76,34,54,20,29,0,0,15,27,68,111,35,47,4166,9467,326,..,4496,9467
UCL114016,2408,6141,125,207,13,18,134,224,357,562,4,0,0,0,0,0,0,0,355,562,4,9,32,51,0,0,22,50,60,110,11,28,2966,7065,269,..,3237,7065
UCL114017,2000,5623,312,726,334,750,647,1482,99,221,10,17,0,0,0,0,16,32,129,275,30,55,4,15,0,0,5,11,38,79,10,19,2823,7473,293,..,3113,7473
UCL114018,2598,5895,303,447,302,530,608,975,502,781,29,54,3,9,0,0,5,10,536,855,3,8,74,164,0,0,0,5,84,176,37,75,3862,7973,933,..,4790,7973
UCL114019,2349,5977,399,609,82,130,480,739,107,167,0,0,0,0,0,0,0,0,111,165,80,147,18,36,0,0,15,26,117,204,52,64,3104,7156,491,..,3595,7156
UCL114020,3078,7851,274,412,29,53,307,466,107,175,0,4,0,0,0,0,5,14,114,190,22,27,52,59,0,0,9,30,85,115,7,3,3587,8629,257,..,3841,8629
UCL114021,3117,8090,181,307,66,122,245,429,492,698,49,76,21,25,0,0,9,23,568,817,32,48,0,3,31,29,16,43,77,121,14,16,4024,9478,273,..,4298,9478
UCL114022,2272,4997,258,405,147,242,406,649,226,377,113,176,35,47,0,0,9,25,388,618,50,85,117,185,0,0,26,45,195,318,50,70,3307,6655,325,..,3633,6655
UCL114023,1940,4768,319,453,31,55,356,507,28,46,0,0,0,0,0,0,0,0,33,47,35,59,18,23,0,0,0,7,55,96,0,4,2387,5418,335,..,2723,5418
UCL114024,3536,8733,151,255,18,18,173,271,313,434,6,12,0,0,0,0,3,7,324,446,21,30,7,16,0,0,12,31,46,83,34,57,4108,9599,498,..,4608,9599
UCL114025,1993,5665,225,471,248,545,476,1012,58,96,38,64,0,0,0,0,14,18,104,182,47,89,33,58,5,0,4,13,90,160,3,7,2666,7033,223,..,2884,7033
UCL114026,1645,4375,246,442,196,403,442,848,36,47,0,0,0,0,0,0,3,14,41,64,0,0,0,0,0,0,0,6,0,6,11,21,2139,5312,107,..,2239,5312
UCL114027,1561,3720,330,523,287,582,612,1107,78,120,83,156,88,148,0,0,4,7,256,432,0,3,89,140,0,0,3,3,92,150,35,59,2561,5467,642,..,3204,5467
UCL114028,1744,4290,304,527,33,45,336,575,32,47,0,0,0,0,0,0,0,0,32,47,9,18,0,0,0,0,0,8,10,28,7,9,2133,4939,191,..,2325,4939
UCL114029,1716,5277,16,21,0,0,16,21,0,0,0,0,0,0,0,0,5,4,5,4,0,0,0,0,0,0,0,0,0,0,3,11,1736,5316,70,..,1809,5316
UCL114030,2064,4677,101,173,30,57,129,226,280,465,52,94,0,0,0,0,4,3,338,563,107,217,11,20,0,0,5,6,119,234,9,22,2669,5730,639,..,3305,5730
UCL114031,2481,6235,25,44,12,27,36,72,41,68,0,0,0,0,0,0,8,21,49,86,0,0,6,4,5,11,0,6,10,11,8,16,2574,6417,358,..,2931,6417
UCL114032,1661,4662,142,238,15,37,152,276,0,0,0,0,0,0,0,0,12,36,12,36,0,0,0,0,0,0,0,0,0,3,4,10,1834,4987,108,..,1944,4987
UCL114033,2315,5680,335,488,5,13,341,495,50,64,6,5,0,0,0,0,5,5,58,78,4,13,20,27,0,4,4,8,30,53,3,5,2746,6319,241,..,2989,6319
UCL114034,2752,7026,317,588,45,66,360,658,38,62,0,0,0,0,0,0,7,12,42,69,15,20,4,10,0,0,10,14,31,45,6,6,3192,7809,190,..,3385,7809
UCL114035,1904,4791,167,333,168,346,338,683,49,93,28,81,0,0,0,0,7,17,82,189,78,151,6,3,0,0,0,0,85,160,12,39,2423,5854,212,..,2639,5854
UCL114036,2199,4906,370,607,172,335,544,942,82,150,114,201,20,31,0,0,12,33,227,415,141,274,15,23,0,3,22,47,179,343,23,45,3178,6649,857,..,4029,6649
UCL114037,1997,5076,191,293,20,42,210,332,90,124,0,0,0,0,0,0,0,0,92,124,16,15,0,0,0,0,0,4,14,23,18,20,2333,5579,186,..,2523,5579
UCL114038,2721,6572,398,616,12,24,410,642,122,164,0,0,0,0,0,0,0,7,120,166,5,9,7,13,0,0,12,18,22,45,16,27,3287,7449,302,..,3590,7449
UCL115001,709,1699,44,76,0,0,44,76,0,14,0,0,0,0,0,0,0,0,0,14,0,0,35,51,0,0,4,4,43,56,0,0,798,1845,60,..,858,1845
UCL115002,1361,3621,82,168,176,409,259,573,0,0,0,0,0,0,0,0,0,8,5,8,0,8,0,0,0,0,5,11,10,14,5,4,1636,4224,348,..,1983,4224
UCL115003,857,2803,11,25,3,11,17,40,4,3,0,0,0,0,0,0,5,10,11,14,0,0,0,0,0,0,9,13,9,13,4,0,889,2865,26,..,917,2865
UCL115004,653,1532,7,21,4,18,12,37,12,24,0,0,0,0,0,0,0,4,12,30,60,185,88,163,0,0,0,0,142,350,11,24,832,1973,88,..,920,1973
UCL115005,426,963,34,38,0,0,34,38,3,5,0,0,0,0,0,0,0,0,3,5,7,8,5,12,3,5,3,6,11,27,9,17,481,1048,134,..,614,1048
UCL115006,762,2098,12,19,11,32,26,54,8,14,0,0,0,0,0,0,18,27,25,43,0,0,0,0,0,0,5,8,5,8,4,4,816,2201,70,..,889,2201
UCL115007,1053,3037,97,146,0,0,97,146,19,18,0,0,0,0,0,0,5,14,22,31,0,0,50,60,0,0,0,0,52,60,0,3,1228,3280,40,..,1273,3280
UCL115008,441,901,82,97,0,6,80,101,16,16,0,0,0,0,0,0,0,0,16,16,5,12,11,11,0,0,3,18,20,37,5,9,564,1066,127,..,688,1066
UCL115009,651,1552,67,92,0,0,67,92,22,25,0,0,0,0,0,0,0,0,22,25,3,4,0,0,0,4,0,0,9,7,0,4,742,1683,95,..,837,1683
UCL115010,513,950,12,14,0,0,12,14,9,13,0,0,0,0,0,0,0,0,9,13,0,8,3,0,0,0,0,6,5,8,0,0,543,988,118,..,656,988
UCL115011,609,1488,23,52,3,7,29,54,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,641,1551,105,..,743,1551
UCL115012,438,967,16,14,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,10,0,4,454,991,62,..,512,991
UCL115013,1607,3864,165,216,23,37,185,252,51,63,0,0,0,0,0,0,7,10,60,72,0,0,8,11,4,3,3,13,23,35,3,13,1883,4242,176,..,2053,4242
UCL115014,1216,2975,71,89,15,23,81,113,9,14,0,0,0,0,0,0,4,3,12,16,8,10,0,0,0,0,3,4,7,22,9,14,1322,3143,92,..,1410,3143
UCL115015,679,1500,46,61,46,77,89,141,62,116,0,3,0,0,0,0,3,6,72,122,9,13,17,24,0,0,9,10,33,49,0,0,876,1817,302,..,1174,1817
UCL115016,383,898,17,33,29,47,44,75,12,36,0,0,0,0,0,0,6,12,18,52,0,0,0,0,0,0,6,8,4,9,6,17,455,1039,120,..,574,1039
UCL115017,857,2038,92,140,81,127,175,266,0,0,0,0,0,0,0,0,8,18,9,19,4,3,0,0,3,3,10,14,17,24,3,5,1062,2354,95,..,1160,2354
UCL115018,458,905,14,24,0,0,14,24,0,0,0,0,0,0,0,0,0,0,0,0,20,28,8,20,0,0,0,0,25,45,0,5,496,975,87,..,588,975
UCL115019,2094,4282,37,73,13,19,48,90,17,16,0,0,0,0,0,0,14,28,28,41,0,0,0,0,0,0,7,10,11,12,3,6,2189,4431,620,..,2803,4431
UCL115020,1113,2753,69,84,7,12,77,99,17,27,0,0,0,0,0,0,0,0,17,27,11,10,0,0,0,0,3,14,13,20,3,11,1230,2917,112,..,1344,2917
UCL115021,474,1033,12,19,0,0,12,19,10,20,0,0,0,0,0,0,0,0,10,20,5,11,0,0,0,0,0,0,5,11,5,6,509,1081,73,..,587,1081
UCL115022,1100,2693,10,15,9,14,16,30,5,5,0,0,0,0,0,0,0,0,5,5,18,46,7,9,0,0,0,4,28,57,9,20,1159,2809,100,..,1260,2809
UCL115023,570,1273,36,42,0,0,36,42,3,9,0,0,0,0,0,0,0,0,3,9,5,9,0,0,0,0,3,14,10,18,5,15,628,1366,58,..,684,1366
UCL115024,549,1397,8,14,0,3,9,18,10,17,0,0,0,0,0,0,0,0,10,17,3,5,14,18,0,0,0,0,13,28,16,25,602,1488,210,..,815,1488
UCL115025,505,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,1467,20,..,529,1467
UCL115026,542,1213,64,101,4,5,65,114,3,6,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,0,15,23,18,24,4,6,640,1366,94,..,736,1366
UCL115027,924,2529,145,272,18,34,164,304,3,8,0,0,0,0,0,0,0,3,6,10,3,3,0,0,0,0,0,7,4,9,0,0,1099,2852,80,..,1177,2852
UCL115028,886,2137,143,218,33,69,175,285,21,36,0,0,0,0,0,0,0,3,25,39,0,0,4,22,0,0,0,13,4,32,4,4,1092,2506,672,..,1768,2506
UCL115029,457,1126,45,81,11,21,55,108,152,220,12,24,0,0,0,0,11,32,179,274,48,98,56,78,3,4,39,73,146,252,10,13,850,1778,160,..,1015,1778
UCL115030,464,1054,8,12,0,0,8,12,7,17,0,0,0,0,0,0,0,0,7,17,7,21,5,9,0,0,6,10,18,39,0,0,500,1118,57,..,553,1118
UCL115031,1139,2459,20,26,0,0,20,26,16,16,0,0,0,0,0,0,5,8,19,27,0,0,0,0,0,0,6,9,6,9,0,0,1184,2529,164,..,1352,2529
UCL115032,808,2006,4,8,3,5,6,11,6,18,0,0,0,0,0,0,13,31,16,53,0,0,0,0,0,0,12,25,12,25,0,0,843,2096,140,..,980,2096
UCL115033,1259,3677,36,69,20,47,59,117,17,49,0,0,0,0,0,0,4,12,24,62,0,0,0,0,0,0,5,12,5,12,4,5,1348,3877,70,..,1422,3877
UCL115034,592,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,594,1722,25,..,614,1722
UCL115035,1394,3783,64,110,0,4,60,108,10,12,0,0,0,0,0,0,3,0,8,20,0,0,0,0,0,0,0,0,0,0,0,7,1467,3915,63,..,1532,3915
UCL115036,1282,2972,16,22,28,58,39,81,0,4,0,0,0,0,0,0,9,11,7,15,7,10,12,15,0,0,0,0,12,23,0,0,1344,3094,1159,..,2505,3094
UCL115037,421,1181,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,425,1200,19,..,438,1200
UCL115038,614,1330,32,55,0,9,32,60,12,20,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,3,9,6,12,0,3,671,1421,78,..,747,1421
UCL115039,1266,3000,61,100,3,6,67,110,103,136,0,0,0,0,0,0,0,0,103,136,22,36,26,38,0,0,8,27,52,105,9,15,1498,3368,444,..,1938,3368
UCL115040,533,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,4,11,6,14,0,0,543,1517,37,..,578,1517
UCL115041,996,2362,60,73,0,5,62,77,19,37,0,0,0,0,0,0,0,0,19,37,5,6,0,0,4,14,3,6,9,24,0,3,1089,2502,244,..,1331,2502
UCL115042,665,1620,18,29,0,4,21,31,9,8,0,0,0,0,0,0,0,0,9,8,0,0,3,3,0,3,4,6,5,15,0,0,699,1675,57,..,758,1675
UCL115043,953,2124,6,8,0,3,9,5,64,86,0,0,0,0,0,0,0,0,64,86,32,28,0,4,0,0,0,6,36,41,9,12,1062,2271,116,..,1182,2271
UCL115044,889,2155,22,47,0,6,23,53,54,76,0,0,0,0,0,0,0,0,54,76,6,6,4,3,0,0,5,13,12,21,0,0,981,2308,192,..,1166,2308
UCL115045,420,1057,6,10,6,12,17,20,4,6,0,0,0,0,0,0,0,0,4,6,9,18,0,0,0,0,0,7,15,27,0,3,452,1114,29,..,480,1114
UCL115046,598,1636,4,4,3,8,3,10,3,7,0,0,0,0,0,0,0,0,3,7,23,53,0,4,0,0,0,0,28,54,4,11,640,1714,58,..,704,1714
UCL115047,870,1922,46,58,5,9,51,68,8,8,0,0,0,0,0,0,0,0,8,8,4,6,0,0,0,0,4,12,3,17,4,7,935,2024,122,..,1053,2024
UCL115048,1487,3367,97,153,31,45,126,200,15,27,0,0,0,0,0,0,6,4,23,33,0,0,0,3,0,0,14,33,17,33,0,5,1652,3645,971,..,2621,3645
UCL115049,444,1045,16,18,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5,14,0,4,468,1084,57,..,525,1084
UCL115050,621,1891,31,77,10,32,42,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,2001,20,..,688,2001
UCL115051,838,1855,8,15,6,10,14,26,81,129,0,0,0,0,0,0,0,0,81,129,14,22,0,0,0,0,0,0,14,22,0,0,943,2036,246,..,1190,2036
UCL115052,535,1330,79,132,0,0,79,132,29,41,0,0,0,0,0,0,0,0,29,41,0,5,0,0,0,0,5,5,8,13,4,4,663,1516,79,..,742,1516
UCL115053,473,956,11,25,0,0,16,25,6,10,0,0,0,0,0,0,0,0,10,10,4,0,8,6,0,0,4,8,9,19,3,3,510,1011,70,..,578,1011
UCL115054,333,1031,12,29,0,3,10,31,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,353,1071,22,..,372,1071
UCL115055,884,1984,51,81,0,0,51,81,4,9,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,5,11,5,11,6,7,947,2084,92,..,1034,2084
UCL115056,1108,2589,135,190,48,82,185,277,47,79,7,12,0,0,0,0,0,0,58,92,16,23,44,65,0,0,0,0,56,92,15,31,1419,3079,242,..,1657,3079
UCL115057,734,1789,278,450,201,388,478,836,94,160,3,8,0,0,0,5,9,4,109,174,95,192,52,103,0,0,7,15,159,306,10,20,1486,3116,279,..,1767,3116
UCL115058,399,914,252,433,92,194,347,632,3,6,4,3,0,0,0,0,0,0,7,14,3,0,11,36,0,0,0,0,17,40,0,0,767,1601,416,..,1178,1601
UCL115059,764,1644,69,95,0,0,69,95,9,10,0,0,0,0,0,0,0,0,9,10,6,7,0,0,0,0,5,7,5,14,19,23,864,1787,62,..,932,1787
UCL115060,697,1993,0,10,0,0,0,10,79,109,0,0,0,0,0,0,0,0,79,109,8,18,8,17,0,0,0,0,19,31,0,0,794,2147,58,..,848,2147
UCL115061,410,1000,13,27,0,0,13,27,18,27,0,0,0,0,0,0,0,0,18,27,0,0,0,0,0,0,0,0,0,0,0,0,434,1056,34,..,470,1056
UCL115062,459,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,1318,14,..,477,1318
UCL115063,372,1082,0,0,22,43,22,43,23,42,0,0,0,0,0,0,6,6,26,53,0,0,0,0,0,0,0,0,0,0,0,3,425,1183,13,..,436,1183
UCL115064,1346,3714,146,234,119,248,267,485,39,58,35,56,0,0,0,0,3,4,77,124,0,8,0,0,0,0,5,8,7,15,6,13,1706,4348,403,..,2114,4348
UCL115065,918,2099,35,54,0,0,35,54,63,93,0,0,0,0,0,0,0,0,63,93,11,13,3,4,0,0,4,4,18,21,0,0,1039,2261,162,..,1199,2261
