UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL101001,50413,45702,96124,134405,125523,259924,36847,36475,73319,24327,24008,48340,195937,186322,382258,83808,79241,163044,38873,39032,77910,30901,30217,61117,153855,148721,302572,8832,8696,17532,11408,16505,27913,15863,7941,23809,21043,32932,53982,240,223,459,57396,66295,123691,67634,77528,145160,24165,27890,52054,9009,10047,19056,21176,31399,52575,342,333,674,122322,147190,269521,180083,213889,393975,11414,10979,22386,13994,18801,32791,288,256,546,25690,30033,55718,124592,118144,242736,6223,6705,12928,736800,749519,1486323
UCL102001,373,293,666,1170,1040,2207,353,266,624,83,84,168,1603,1395,3000,645,600,1249,422,377,801,114,134,248,1188,1111,2299,61,65,123,87,78,164,192,116,308,221,318,538,3,3,8,557,578,1136,225,329,559,162,169,337,52,89,138,261,406,658,6,0,4,705,995,1696,1262,1569,2838,69,56,123,103,155,257,0,0,0,170,216,379,884,813,1697,25,28,47,5510,5410,10926
UCL102002,4036,3639,7682,9793,8960,18751,2203,2141,4346,1609,1438,3046,13630,12563,26192,6978,6702,13679,1843,1767,3611,1594,1661,3254,10438,10142,20577,401,548,946,323,633,955,1659,942,2600,1344,2460,3803,25,18,44,3753,4593,8344,1752,2553,4298,627,1134,1761,385,590,978,975,2153,3126,11,18,28,3755,6448,10201,7513,11055,18563,239,300,538,481,775,1251,13,10,17,726,1081,1804,7951,9159,17110,169,166,334,44461,47803,92269
UCL102003,564,531,1100,1529,1342,2876,501,473,977,304,287,591,2337,2113,4446,1015,918,1928,401,449,850,392,398,789,1813,1769,3577,72,98,164,89,139,229,211,127,349,222,424,644,6,6,14,604,790,1396,238,407,641,131,262,395,56,117,174,159,412,574,4,7,4,590,1205,1792,1193,1998,3193,34,75,109,102,186,287,9,3,9,144,265,409,1981,2068,4052,34,43,78,8069,8791,16859
UCL102004,4059,3679,7738,10496,9556,20051,2404,2335,4741,1308,1229,2539,14226,13137,27365,7225,6986,14213,1790,1930,3718,1505,1520,3025,10532,10444,20970,533,592,1117,424,647,1080,1660,971,2634,1596,2292,3885,15,11,25,4226,4510,8733,3844,5036,8875,1572,2028,3598,589,831,1420,1788,3071,4852,15,9,23,7803,10970,18776,12052,15496,27540,304,300,608,601,948,1548,11,12,26,921,1262,2175,7556,7690,15239,185,198,378,49512,51899,101415
UCL102005,3379,3076,6454,8529,7823,16345,2054,2045,4104,841,869,1711,11432,10757,22195,5788,5647,11436,2278,2303,4583,916,888,1799,8992,8851,17842,404,507,913,389,652,1042,1564,932,2490,1219,2014,3230,18,20,37,3589,4122,7709,3033,4073,7106,1242,1351,2595,485,653,1143,1015,1966,2984,13,12,23,5789,8061,13850,9399,12200,21596,255,271,524,377,637,1012,9,5,17,639,918,1553,6266,6599,12863,124,132,261,40242,42525,82761
UCL111001,622,578,1196,1312,1279,2592,514,521,1033,373,353,727,2201,2156,4353,927,988,1918,359,317,676,308,375,687,1601,1688,3288,106,119,226,113,168,283,267,184,449,272,482,753,5,5,8,766,963,1726,184,466,651,112,203,311,53,88,144,193,375,569,0,0,4,543,1136,1675,1310,2098,3405,81,73,153,116,185,303,0,4,6,206,257,458,1488,1463,2953,18,23,39,7447,8256,15706
UCL111002,530,525,1062,1275,1214,2486,448,510,956,299,300,604,2030,2026,4051,956,1010,1964,338,307,642,308,315,622,1600,1633,3234,73,98,166,90,136,228,220,170,388,315,462,769,3,0,7,698,865,1562,163,329,492,88,166,257,38,73,109,172,347,514,0,0,0,457,912,1370,1163,1783,2938,43,48,89,73,146,211,8,3,8,118,197,309,1708,1853,3566,62,45,106,7207,8058,15265
UCL111003,1180,1155,2337,2812,2692,5508,1100,1045,2145,405,382,783,4321,4125,8445,1825,1718,3546,777,899,1681,389,364,751,2997,2989,5981,148,193,343,105,175,289,479,330,808,407,745,1145,5,6,9,1148,1444,2591,418,679,1097,207,341,552,103,179,283,377,709,1089,0,0,0,1109,1908,3019,2260,3359,5613,101,92,193,143,254,399,7,3,13,256,350,602,1644,1727,3370,35,37,74,12688,13735,26425
UCL112001,229,204,431,564,529,1099,103,102,209,94,141,237,770,773,1539,415,405,821,132,146,276,84,151,237,633,707,1334,52,32,88,39,77,116,73,61,129,128,201,331,0,0,4,299,373,669,330,527,853,212,241,454,65,89,158,162,241,407,0,0,0,770,1102,1875,1066,1477,2546,38,33,67,22,53,68,0,0,0,59,80,139,1081,1279,2363,23,15,42,3860,4528,8389
UCL112002,436,398,830,1005,875,1876,515,510,1021,83,93,178,1598,1485,3085,819,671,1487,310,431,738,258,218,475,1387,1325,2705,48,64,106,29,82,112,174,148,322,175,307,478,0,0,7,421,603,1025,285,464,750,80,113,189,60,81,136,168,281,445,0,3,6,592,944,1532,1017,1549,2565,27,22,49,52,77,130,3,3,10,80,103,186,1686,866,2555,20,19,45,6227,5746,11972
UCL112003,266,269,536,785,743,1529,109,132,245,219,180,396,1115,1053,2170,559,567,1122,164,154,317,245,213,464,971,936,1908,54,59,108,40,80,121,112,64,175,126,274,402,0,0,0,331,481,808,157,196,348,73,165,237,39,49,89,189,368,557,0,3,5,454,775,1227,788,1258,2042,36,38,77,58,80,136,0,0,0,92,125,216,587,619,1205,23,25,50,3843,4287,8125
UCL112004,230,224,449,522,419,939,168,162,329,218,233,453,906,816,1717,235,175,412,217,240,460,258,355,615,715,772,1487,21,33,51,36,36,70,84,52,137,75,180,250,0,0,0,215,305,517,112,172,288,41,75,121,20,32,56,86,135,222,0,3,3,266,419,688,480,727,1210,22,26,45,31,54,80,4,0,4,51,76,128,500,591,1091,22,24,46,2901,3233,6126
UCL112005,284,234,517,707,661,1372,134,124,259,90,90,179,933,875,1807,488,510,997,91,80,173,93,102,194,675,700,1371,28,39,65,23,46,70,119,75,196,76,184,263,0,0,0,244,355,596,44,109,157,30,58,86,14,39,50,34,115,149,0,0,0,121,329,442,363,675,1043,24,25,40,19,44,63,0,0,0,42,62,104,2083,622,2705,4,13,10,4385,3174,7562
UCL112006,509,522,1032,1049,1017,2062,438,499,929,223,200,417,1706,1712,3419,652,645,1296,308,318,626,171,188,362,1127,1155,2286,47,70,116,51,78,130,198,151,354,176,334,514,5,0,3,474,633,1109,65,149,215,78,122,193,24,59,80,129,318,441,0,0,3,288,652,938,766,1283,2053,58,43,101,83,89,172,0,0,4,141,135,273,1644,1653,3293,27,26,55,5923,6485,12410
UCL112007,65,68,134,113,112,226,94,107,196,51,45,96,250,269,516,68,59,124,77,108,188,38,46,83,185,206,388,5,7,12,6,6,9,24,10,39,14,32,45,0,0,0,50,50,100,8,28,34,4,5,12,4,0,4,5,29,33,0,0,0,22,62,83,71,118,190,0,3,3,7,12,23,0,0,0,7,14,26,198,205,402,0,0,0,775,877,1656
UCL112008,149,139,285,448,455,904,99,97,199,15,18,39,565,571,1140,404,388,795,47,33,75,23,36,56,476,455,933,17,28,49,12,26,45,66,55,121,38,134,169,4,0,6,144,245,389,31,60,95,8,26,38,7,16,24,35,59,93,0,0,0,82,164,246,224,412,633,5,6,19,10,30,36,0,0,0,21,36,57,624,835,1460,11,9,23,2065,2466,4529
UCL112009,264,243,506,729,715,1450,206,212,418,21,16,40,956,951,1908,530,491,1022,130,135,269,23,12,36,688,644,1335,47,32,78,26,30,58,107,95,205,125,205,333,0,3,6,316,373,687,159,144,309,126,101,230,9,38,55,76,165,242,0,4,4,375,458,835,688,830,1521,57,56,113,35,61,98,0,0,0,96,118,211,1180,671,1853,19,10,30,3892,3475,7365
UCL112010,241,222,461,662,590,1255,178,214,393,33,28,61,872,834,1709,363,349,711,252,277,530,18,19,37,635,650,1288,21,24,43,23,35,62,104,55,165,83,163,242,6,0,4,236,281,517,50,78,131,22,57,76,28,29,54,59,94,152,0,0,0,154,258,414,393,543,934,31,31,54,28,56,85,3,0,4,64,89,150,786,731,1515,85,37,123,3073,3107,6183
UCL112011,269,256,525,676,691,1366,178,151,329,45,44,94,901,890,1791,489,461,946,79,82,165,68,43,108,636,583,1220,36,41,78,17,53,68,92,89,183,98,174,270,3,0,3,251,355,607,43,79,129,23,45,70,14,39,51,44,118,161,0,0,0,127,284,411,377,638,1018,15,18,35,47,51,91,0,0,0,66,68,128,480,448,932,8,10,15,2730,2892,5624
UCL112012,290,246,542,665,636,1301,215,220,438,186,154,339,1068,1009,2076,499,495,995,268,249,522,107,69,175,880,814,1699,53,63,116,49,86,144,122,80,201,136,222,365,0,4,6,362,459,825,112,181,298,102,138,238,40,66,109,151,278,429,0,0,0,404,668,1075,766,1127,1895,24,28,55,47,70,114,0,0,0,74,96,172,1054,1122,2172,34,15,53,4175,4435,8612
UCL112013,46,28,71,98,83,179,15,14,27,12,7,16,118,99,214,49,50,97,33,19,57,4,3,12,90,77,166,4,4,10,4,3,10,9,5,16,10,14,21,0,0,0,30,27,51,5,6,9,4,5,4,0,3,8,10,11,25,0,0,0,18,30,43,37,57,95,0,0,0,6,6,13,0,0,0,4,9,16,89,89,180,36,16,51,420,369,793
UCL112014,229,228,456,486,484,971,107,90,197,282,319,602,880,896,1766,323,311,636,79,71,147,213,197,407,614,581,1196,30,34,62,24,44,66,106,61,166,80,168,247,0,0,0,240,304,545,119,175,295,65,75,141,23,28,55,68,154,219,0,0,0,279,432,707,516,741,1260,21,29,46,34,49,84,0,0,0,48,75,124,370,428,799,0,10,11,2663,2957,5618
UCL112015,423,383,805,1011,1028,2043,193,186,381,170,164,330,1377,1377,2755,682,607,1290,168,169,341,118,142,260,974,925,1897,42,56,100,32,65,98,128,104,233,138,306,443,6,6,5,348,535,885,81,145,223,71,115,191,25,42,68,92,171,258,0,0,6,269,478,746,614,1015,1628,38,28,70,44,83,128,4,0,5,85,119,202,2018,1225,3241,24,10,35,5509,5061,10568
UCL112016,536,464,998,1296,1221,2518,372,377,748,255,235,490,1927,1837,3758,745,701,1448,345,372,718,369,398,760,1459,1472,2935,37,56,98,43,91,137,194,152,351,230,362,601,0,0,0,507,668,1180,169,301,474,105,166,268,31,71,103,221,336,556,0,0,0,534,870,1407,1047,1543,2596,30,42,76,53,97,142,0,3,3,82,137,222,1136,1220,2358,33,24,62,6228,6694,12929
UCL112017,445,415,859,961,886,1846,535,532,1062,310,299,614,1806,1721,3527,553,515,1063,723,711,1432,289,261,554,1566,1487,3055,80,60,146,52,114,160,159,112,270,197,363,558,0,6,11,492,653,1143,312,608,919,113,185,303,42,70,109,187,347,529,0,6,5,658,1207,1862,1145,1864,3009,39,34,72,61,117,181,3,0,3,103,151,253,1253,1311,2563,45,37,81,6362,6989,13351
UCL112018,401,327,727,1053,1051,2105,356,328,688,113,113,219,1519,1498,3015,805,677,1485,197,230,424,133,166,295,1138,1073,2207,44,67,107,27,101,130,150,125,270,157,325,479,0,0,6,378,612,989,81,155,230,59,98,159,25,55,83,102,204,310,0,3,3,267,515,781,647,1129,1774,21,32,48,56,80,135,3,4,9,76,110,186,1582,1629,3203,39,13,52,5396,5776,11171
UCL112019,618,529,1149,1319,1138,2462,626,672,1292,257,227,488,2204,2042,4244,820,856,1675,603,646,1248,284,274,556,1701,1781,3484,78,89,165,92,131,226,303,194,489,284,438,721,4,0,4,751,848,1601,198,489,686,112,208,313,47,117,168,223,429,654,0,0,0,578,1240,1821,1331,2101,3429,61,56,115,77,130,212,0,0,0,140,194,331,1351,1375,2729,78,26,106,7430,8044,15476
UCL113001,176,136,313,305,269,575,172,161,324,89,68,155,563,499,1060,260,227,483,126,148,271,56,63,111,448,435,878,22,29,52,20,39,57,68,45,113,85,127,217,3,4,6,197,245,440,21,76,97,38,59,97,18,29,47,48,116,163,0,0,0,123,281,401,323,522,846,7,14,21,25,50,72,6,0,6,37,59,97,596,702,1294,12,8,20,2149,2365,4506
UCL113002,92,85,175,278,258,538,83,98,184,24,24,41,387,380,765,212,206,416,51,84,131,25,31,50,289,314,602,15,7,21,12,22,30,43,43,86,49,84,135,4,0,3,120,161,284,16,21,40,11,33,45,9,4,11,20,56,78,0,0,3,57,121,177,175,280,453,4,3,11,15,28,41,0,0,0,16,30,47,483,457,936,7,4,10,1451,1549,3002
UCL113003,160,162,317,555,539,1087,75,71,150,5,7,11,634,614,1245,428,447,881,0,0,0,4,9,14,436,455,894,28,15,41,16,27,51,73,51,124,77,148,225,0,0,5,196,245,437,14,38,57,20,50,70,10,19,24,54,133,189,0,3,3,99,241,338,286,491,775,11,12,25,17,41,60,0,0,5,34,49,84,764,810,1574,7,10,15,2319,2586,4907
UCL113004,78,66,143,204,205,414,68,61,129,55,60,118,333,327,661,129,127,254,56,55,109,43,60,102,225,243,472,9,13,22,39,55,97,32,31,62,86,120,212,0,0,0,167,220,383,30,57,90,30,65,94,19,16,29,40,99,139,0,0,0,116,232,354,284,451,735,12,16,24,42,64,108,0,0,0,55,80,133,465,461,922,57,42,104,1493,1674,3172
UCL113005,167,175,345,592,511,1105,78,85,163,71,45,114,740,644,1384,448,386,835,96,73,165,53,34,88,601,493,1084,17,23,44,20,48,70,59,45,106,70,126,194,0,0,0,172,242,411,17,54,72,17,52,68,14,25,38,37,120,158,0,0,0,91,249,335,260,488,749,17,10,26,23,37,59,0,0,0,35,49,90,606,611,1216,45,8,50,2454,2465,4922
UCL113006,106,108,209,287,328,616,59,67,125,61,58,118,411,453,858,220,196,408,56,75,130,42,35,80,313,305,622,9,28,37,10,15,23,40,34,68,31,90,122,0,0,5,89,162,254,10,16,25,8,20,35,3,14,13,13,47,61,0,0,0,40,94,135,129,260,387,7,9,11,3,20,26,0,0,0,12,28,40,1267,629,1892,4,7,8,2246,1783,4027
UCL113007,200,151,353,441,439,874,113,93,208,31,27,54,581,557,1138,289,287,575,84,103,188,61,67,125,433,461,892,21,26,52,10,13,22,94,34,127,52,105,162,0,0,0,180,176,358,87,118,204,25,52,71,19,29,43,59,105,168,0,0,0,183,303,487,365,482,845,10,9,21,28,26,53,4,3,4,40,38,77,303,326,630,8,13,16,1927,2019,3946
UCL113008,94,83,179,318,307,632,77,73,148,18,20,37,413,404,812,220,203,425,61,60,125,24,24,50,312,288,601,14,19,34,10,23,28,39,37,80,44,89,136,0,0,0,112,170,281,24,34,50,18,22,40,7,14,20,29,56,81,0,0,0,68,122,193,184,294,476,6,7,10,7,20,31,0,0,4,18,26,47,426,342,769,0,0,0,1441,1444,2884
UCL113009,152,129,277,461,415,877,28,44,68,77,70,150,571,530,1093,262,253,515,96,85,177,58,65,121,415,398,816,13,18,32,6,21,30,63,31,95,29,102,135,0,0,0,119,176,292,50,73,120,16,35,48,3,16,24,49,82,126,0,0,0,110,209,320,228,381,608,13,8,22,12,25,36,0,0,0,24,37,61,107,109,212,11,3,8,1496,1584,3078
UCL113010,157,131,286,393,366,760,140,143,289,4,0,7,539,514,1053,222,233,457,105,114,222,3,3,9,333,352,685,16,14,31,10,13,18,70,48,112,71,123,195,0,0,0,167,202,363,17,36,52,11,37,46,7,12,22,49,85,128,0,0,0,77,170,248,245,367,616,10,11,14,26,32,61,0,0,0,35,44,78,372,348,721,0,4,4,1678,1757,3442
UCL113011,147,132,278,388,360,754,129,82,214,42,48,93,568,499,1065,274,251,526,87,86,175,19,27,44,387,360,747,11,16,30,13,24,36,69,54,119,42,88,129,0,0,0,131,181,307,16,32,49,12,21,29,8,18,22,24,56,86,0,0,0,59,128,183,191,310,495,5,0,10,18,42,60,0,0,0,26,43,69,407,334,738,3,4,7,1720,1683,3401
UCL113012,110,123,238,318,301,616,82,88,171,86,82,178,493,471,961,292,312,607,52,50,101,90,92,180,432,463,890,18,11,30,13,22,36,66,26,91,43,90,138,0,0,0,138,155,295,54,78,137,29,36,63,8,14,24,46,97,139,0,3,3,136,233,371,276,388,663,10,3,9,12,25,38,0,0,0,24,31,51,312,359,671,8,6,12,1655,1837,3487
UCL113013,161,150,308,487,440,933,125,122,244,37,31,62,647,588,1239,414,386,794,65,63,129,30,27,56,507,478,983,17,22,38,12,18,34,63,38,97,51,86,143,0,4,4,139,168,310,43,56,106,19,52,68,10,17,30,34,73,111,5,0,8,111,203,318,254,373,625,14,11,21,18,32,50,6,7,11,35,44,83,434,427,864,0,0,4,2043,2059,4103
UCL113014,173,178,351,460,473,930,168,168,336,53,59,111,681,702,1385,319,314,628,106,86,197,59,52,109,479,456,934,13,20,31,18,23,43,88,56,146,82,139,216,5,0,5,204,234,434,39,57,93,19,44,59,13,18,33,33,91,127,0,0,0,101,211,314,303,444,746,18,13,30,33,45,81,0,0,0,52,59,113,385,320,697,3,5,14,2085,2169,4251
UCL113015,124,84,210,340,314,657,15,14,33,16,15,30,378,346,720,242,234,478,27,41,62,25,21,46,295,291,587,6,21,26,9,14,30,49,26,69,38,82,117,0,0,0,100,145,244,9,30,40,10,30,41,5,8,9,20,44,59,0,0,0,43,106,149,145,250,393,11,6,18,9,21,31,0,0,5,24,25,52,317,316,632,4,4,10,1275,1331,2607
UCL113016,169,182,348,514,472,992,114,94,207,97,101,198,728,668,1396,333,351,682,91,78,168,71,94,164,490,520,1016,24,38,66,10,46,61,70,72,142,50,149,194,0,0,0,154,306,459,33,53,87,19,44,65,9,20,31,34,68,102,0,0,0,93,185,279,250,488,738,10,11,22,15,33,43,0,0,3,24,42,67,804,820,1625,4,3,7,2460,2733,5190
UCL113017,154,130,285,450,428,879,34,38,70,9,8,17,494,471,962,379,365,742,15,13,25,17,17,28,408,395,802,15,11,28,6,29,34,69,25,87,38,82,113,0,0,0,122,138,264,35,49,82,15,36,59,4,11,12,20,78,102,0,0,0,72,177,253,198,315,512,5,4,9,16,26,43,0,0,0,16,30,49,431,401,834,5,8,14,1705,1754,3463
UCL113018,27,18,43,45,67,116,25,18,43,0,0,0,72,82,156,33,32,66,15,30,42,0,3,3,48,65,114,0,4,4,0,0,0,8,5,9,3,6,17,0,0,0,15,10,29,3,13,15,0,0,0,0,0,0,3,8,5,0,0,0,9,22,27,20,36,54,0,0,3,5,7,6,0,0,0,3,6,15,100,93,194,0,0,0,270,302,573
UCL114001,41,48,81,125,123,249,45,48,92,24,39,66,200,206,409,98,72,174,34,42,75,21,20,43,155,139,292,11,0,10,7,13,15,12,15,30,22,31,49,0,0,0,52,59,110,16,15,26,11,22,33,11,4,11,12,37,54,0,0,0,48,80,126,98,140,238,4,4,5,9,14,17,0,0,0,8,17,29,95,103,199,0,0,0,591,651,1243
UCL114002,37,29,61,134,158,293,41,35,71,5,4,10,180,198,376,110,105,214,31,25,56,15,8,14,149,138,284,11,6,19,6,4,13,23,14,40,11,36,52,0,0,0,56,68,120,10,21,34,5,20,25,0,0,3,8,26,35,0,0,0,20,73,97,81,139,218,5,5,7,3,12,13,0,0,0,9,14,29,205,190,398,5,4,10,662,721,1381
UCL114003,102,100,197,271,256,533,129,129,258,20,23,42,431,410,838,167,170,339,62,56,118,19,26,40,242,250,498,12,31,41,4,34,41,36,40,80,40,88,124,0,0,0,95,199,290,16,20,37,3,22,25,5,16,17,17,41,57,0,0,0,39,103,144,128,302,433,0,0,5,12,19,34,0,4,4,18,22,43,526,536,1057,4,3,3,1448,1625,3071
UCL114004,77,71,142,173,133,308,51,55,109,22,21,43,252,211,462,130,91,223,28,30,54,11,20,29,166,140,309,5,9,12,0,15,16,28,27,59,34,69,105,0,0,0,71,124,192,10,19,32,5,19,26,5,3,12,26,56,80,0,0,0,46,101,150,119,221,341,6,15,21,16,17,31,0,0,0,18,32,47,405,165,572,13,6,11,1051,844,1897
UCL114005,63,49,111,152,139,288,60,50,112,0,4,6,216,194,409,117,91,213,50,62,112,8,4,10,177,164,334,10,9,17,8,5,11,14,14,31,12,31,49,0,0,0,45,62,106,0,13,14,0,8,10,0,0,4,3,17,23,0,0,0,9,43,51,52,103,159,3,5,6,3,6,9,0,0,0,8,16,21,182,162,346,0,0,3,699,683,1385
UCL114006,36,45,79,133,111,243,44,38,86,0,0,0,177,153,330,106,134,237,15,25,38,13,7,19,129,160,297,0,9,8,7,6,12,19,11,38,12,53,66,0,0,0,44,81,126,4,14,18,0,7,13,4,4,8,4,20,24,0,0,0,13,45,61,55,126,188,6,6,7,6,13,13,0,0,0,4,19,25,145,140,280,0,0,3,557,641,1195
UCL114007,91,95,184,247,228,475,58,71,131,13,5,16,323,307,626,178,167,348,41,63,106,18,11,35,243,245,484,7,11,19,6,12,17,38,31,71,37,70,108,0,0,0,89,121,209,6,19,29,3,12,13,7,11,14,13,34,45,0,0,0,35,72,102,119,195,315,7,5,8,7,12,18,0,0,0,15,10,28,297,284,583,7,7,7,1094,1145,2236
UCL114008,53,48,100,159,146,305,50,52,102,7,13,18,215,209,424,153,142,295,3,18,26,9,19,32,170,185,353,4,10,19,4,7,11,33,25,58,23,48,71,0,0,0,65,95,156,0,10,12,0,12,10,0,17,15,14,28,41,0,0,0,22,68,87,84,157,242,0,4,3,4,14,16,3,0,3,5,22,23,323,318,637,0,3,5,852,933,1793
UCL114009,116,125,239,180,175,357,74,79,151,47,49,98,300,307,609,80,82,158,45,54,98,47,50,99,175,182,354,19,14,28,8,7,13,24,22,46,55,59,108,0,0,0,101,95,198,254,621,872,59,91,151,15,38,58,63,91,151,0,0,0,389,834,1227,498,932,1422,14,5,18,19,15,36,0,0,0,36,19,55,121,183,303,13,3,14,1255,1744,3003
UCL114010,86,65,151,178,202,385,93,94,194,11,12,27,287,313,599,83,95,178,92,113,207,5,8,15,181,215,399,9,4,11,3,9,11,36,31,65,19,64,79,0,0,0,67,104,170,12,17,27,0,16,22,5,24,24,14,41,58,0,0,0,31,95,130,100,203,299,4,3,7,14,17,29,0,5,5,13,20,40,321,305,626,7,0,7,995,1134,2128
UCL114011,37,39,72,167,124,290,32,41,67,4,0,6,206,166,368,128,113,238,4,0,4,0,5,9,132,115,246,3,10,12,4,6,12,9,23,32,21,41,64,0,0,0,45,81,121,5,10,10,5,9,17,8,3,11,4,26,35,0,0,0,22,57,74,64,135,196,4,5,4,0,7,12,0,0,0,7,13,14,282,318,600,10,0,13,731,778,1511
UCL114012,156,119,273,170,151,324,132,112,240,66,101,166,368,364,732,76,89,164,61,67,129,45,32,77,185,189,374,3,8,7,8,0,12,25,14,39,31,53,82,0,0,0,70,72,137,22,29,61,24,28,49,8,13,23,84,90,171,0,0,0,135,162,293,201,230,435,13,10,21,26,32,60,0,0,0,39,39,83,86,96,186,3,6,13,1034,1044,2080
UCL114013,123,101,225,264,236,498,99,88,188,38,39,74,404,360,762,129,80,213,65,98,165,42,32,76,232,212,448,4,9,18,4,15,18,35,31,61,36,76,111,0,0,0,86,129,209,10,18,28,5,9,15,5,12,18,19,75,94,0,0,0,33,126,159,119,248,366,3,9,13,0,26,25,0,0,0,5,30,37,418,386,801,14,4,16,1317,1342,2662
UCL114014,116,126,237,249,199,442,66,95,159,14,12,28,332,302,633,164,171,337,56,67,119,19,21,37,238,253,492,12,5,15,3,7,11,51,33,87,25,51,75,0,0,0,91,99,188,38,55,92,12,27,34,6,8,17,26,37,61,0,0,0,81,129,206,168,233,401,7,3,7,12,13,30,0,0,0,19,25,42,45,68,109,0,0,0,915,997,1908
UCL114015,96,101,194,286,322,611,73,76,154,8,11,15,370,407,774,243,220,456,52,22,68,9,11,21,294,256,551,12,8,21,9,20,32,23,38,62,34,87,127,0,0,0,79,162,241,7,18,22,8,13,21,6,19,19,17,44,56,0,0,0,35,86,123,117,241,362,6,10,12,13,24,31,0,0,0,13,28,48,494,487,975,24,9,34,1412,1526,2937
UCL114016,69,77,142,239,224,466,78,67,146,4,8,14,324,298,623,127,126,250,173,175,349,12,3,13,306,309,611,4,8,12,3,18,22,38,32,67,25,78,100,0,0,0,71,135,202,15,19,35,0,10,15,3,10,17,17,32,51,0,0,0,40,74,121,109,209,322,5,8,13,5,14,21,0,0,0,16,17,37,293,295,585,3,4,7,1120,1204,2328
UCL114017,93,74,169,190,200,390,117,113,227,37,33,66,346,341,688,93,73,169,144,131,272,41,37,79,272,247,522,9,8,14,4,17,21,27,15,42,34,59,91,0,0,0,77,93,173,24,63,84,17,36,46,9,22,30,24,62,85,0,0,0,70,179,247,155,268,425,4,3,6,15,36,53,0,0,0,20,37,58,168,159,325,14,16,25,1063,1142,2210
UCL114018,61,47,110,168,183,352,46,51,100,7,18,31,224,260,484,109,75,187,103,94,204,6,14,22,224,187,418,9,14,21,5,9,16,21,21,41,35,46,84,0,0,0,69,89,163,5,27,39,3,20,22,0,11,11,25,51,72,0,0,0,34,107,147,102,202,306,4,0,7,14,12,25,0,3,3,21,20,39,265,262,528,0,7,12,906,986,1896
