UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL415046,22,19,41,98,67,161,39,35,73,7,15,29,144,118,265,60,49,107,4,3,10,8,10,20,73,63,137,0,3,0,0,8,10,7,0,12,9,13,19,0,0,0,16,27,40,5,11,23,3,6,7,5,4,5,5,16,17,0,0,0,19,36,51,38,63,95,0,3,3,3,4,9,0,0,0,3,6,11,173,148,322,0,0,0,458,412,868
UCL415047,13,14,34,92,77,170,7,0,14,36,35,67,130,114,245,43,45,88,11,10,19,16,19,39,69,77,146,0,0,5,0,7,5,7,5,16,12,10,23,0,0,0,22,21,43,6,16,18,0,8,12,5,10,12,3,7,8,0,0,0,16,37,52,40,58,95,0,0,0,5,7,7,0,0,0,3,9,13,25,29,57,0,0,0,279,309,586
UCL415048,13,17,29,82,56,138,4,4,10,40,37,77,125,103,226,32,25,53,14,5,14,27,43,76,75,70,146,5,0,5,0,3,3,5,3,11,4,5,16,0,0,0,14,19,27,18,18,37,0,6,6,5,0,4,6,28,35,0,0,0,31,50,83,44,70,112,0,5,4,3,5,7,0,0,0,7,10,14,34,26,58,0,4,4,299,289,587
UCL415049,10,17,27,57,52,113,0,0,4,10,14,24,67,69,132,22,39,63,3,9,8,22,26,46,43,68,119,0,0,0,4,8,10,7,4,11,10,11,21,0,0,0,22,25,41,13,20,30,10,3,15,0,5,6,3,11,13,0,0,0,26,43,65,49,60,114,0,0,0,0,3,3,6,0,6,0,3,9,21,22,39,0,0,0,195,247,442
UCL421001,7,4,9,28,12,40,0,0,0,5,6,16,34,26,56,15,19,33,0,0,0,0,3,3,15,19,39,0,0,3,0,0,0,4,0,3,0,0,5,0,0,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,11,15,0,0,0,0,0,3,0,0,0,3,0,3,49,43,87,0,0,0,112,105,211
UCL421002,5,6,8,9,17,29,0,0,4,0,0,0,17,15,35,7,4,15,0,0,0,0,0,0,8,4,18,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,23,27,47,0,0,0,49,65,116
UCL421003,8,8,17,44,39,87,0,0,3,5,0,6,50,46,92,17,27,42,6,0,4,3,5,11,28,29,58,0,0,3,0,0,0,6,0,11,3,10,13,0,0,0,8,11,21,8,6,13,0,0,0,0,4,4,0,12,12,0,0,0,8,22,29,18,32,49,0,0,0,3,9,9,0,0,0,0,9,10,19,24,46,0,0,0,125,147,272
UCL421004,10,11,11,26,33,64,0,0,0,0,0,4,27,38,67,14,30,41,0,0,0,0,0,0,14,30,41,0,0,0,0,0,0,7,0,7,9,4,9,0,0,0,7,4,18,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,4,8,9,9,7,24,0,0,0,0,0,0,0,0,0,0,0,0,60,48,112,0,0,0,125,132,255
UCL421005,0,4,3,25,34,66,0,0,0,0,0,0,31,34,67,18,23,38,0,0,0,0,0,0,18,23,38,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,3,4,10,0,0,6,0,5,3,0,0,0,0,0,0,0,0,0,5,3,8,11,12,19,0,0,0,0,0,0,0,0,0,0,0,3,39,26,69,0,0,0,104,103,203
UCL421006,8,0,9,27,13,45,5,0,12,16,13,22,45,25,76,9,11,22,10,6,14,6,3,14,26,21,51,0,0,0,0,0,0,5,4,7,4,0,4,0,0,0,11,7,18,6,0,9,0,0,3,0,0,0,0,9,9,0,0,0,6,12,20,16,24,36,0,0,0,0,0,4,0,0,0,0,4,3,8,12,17,0,0,0,112,91,199
