UCL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115039,0,6,13,10,12,7,3,0,0,50,6,5,7,11,14,10,0,0,0,57,82,128,386,314,289,317,78,5,0,1606
UCL115040,7,6,5,12,18,9,0,0,0,52,0,0,9,4,6,7,3,0,0,33,57,80,166,136,175,130,41,5,0,795
UCL115041,8,0,10,4,3,14,5,0,0,47,0,11,15,9,18,11,5,6,0,73,54,76,233,168,162,188,71,15,6,975
UCL115042,0,0,4,4,0,0,4,0,0,19,0,6,8,9,4,4,0,0,3,31,53,57,157,138,145,143,50,5,3,742
UCL115043,0,4,10,7,5,6,0,0,0,29,3,3,4,9,3,6,3,0,0,38,44,53,170,124,161,176,64,3,0,800
UCL115044,0,3,8,5,6,9,4,0,0,32,3,3,6,10,11,4,3,0,0,43,38,48,188,139,153,154,60,6,0,794
UCL115045,0,0,0,6,0,0,5,0,0,16,0,4,4,4,4,5,0,0,0,20,22,32,74,53,82,87,26,3,0,388
UCL115046,4,0,6,3,8,0,0,0,0,20,3,3,11,7,10,4,5,0,0,35,48,57,175,164,186,126,27,0,0,784
UCL115047,4,0,7,8,15,4,0,0,0,46,3,4,5,3,7,0,5,0,0,26,50,73,132,142,175,187,55,13,0,829
UCL115048,0,0,6,9,8,9,5,0,0,41,0,7,9,12,10,13,4,0,0,54,81,103,273,250,309,352,71,12,0,1447
UCL115049,0,0,0,7,3,8,0,0,0,19,0,0,5,9,0,4,0,0,0,19,28,35,62,86,76,79,22,4,0,393
UCL115050,4,0,15,15,14,8,0,0,0,46,7,0,4,16,9,0,0,0,0,41,84,79,194,280,235,135,37,4,0,1053
UCL115051,5,0,10,4,11,0,0,0,0,25,0,0,7,3,7,7,3,0,0,25,48,26,106,144,152,180,44,0,0,695
UCL115052,3,4,5,3,6,0,0,0,0,26,0,5,3,8,0,3,0,0,0,25,50,58,151,154,151,123,22,7,0,718
UCL115053,0,0,4,0,10,7,0,0,0,17,0,0,0,4,3,3,0,0,0,22,14,18,57,62,75,89,31,7,0,363
UCL115054,3,0,3,7,4,0,0,0,0,26,0,4,0,5,4,6,3,0,0,23,37,59,69,111,128,108,33,0,0,549
UCL115055,0,8,10,3,5,10,11,0,0,55,3,0,4,3,6,13,0,0,0,32,66,78,137,146,185,175,54,9,0,848
UCL115056,10,10,8,10,8,16,6,0,0,55,0,3,9,11,14,18,3,0,0,67,73,76,162,190,261,265,87,14,0,1135
UCL115057,5,0,8,7,4,5,0,0,0,21,4,0,9,9,7,8,4,0,0,40,68,77,192,194,248,259,68,7,0,1120
UCL115058,0,0,3,8,3,4,0,0,0,20,0,0,7,3,0,6,0,0,0,17,36,36,72,81,97,140,43,8,0,512
UCL115059,0,5,3,5,8,3,0,0,0,29,0,4,4,3,4,6,6,4,0,31,47,37,101,99,138,167,71,18,0,672
UCL115060,5,13,21,8,12,4,3,0,0,62,4,19,14,16,11,3,0,0,0,71,309,321,381,313,205,110,21,0,0,1666
UCL115061,0,0,0,0,3,0,0,0,0,4,0,3,3,3,0,5,0,0,0,18,44,45,80,61,84,66,15,0,0,394
UCL115062,3,6,9,13,6,3,0,0,0,46,0,8,4,4,8,5,0,0,0,31,39,67,128,153,145,117,38,0,0,687
UCL115063,0,0,0,3,3,6,0,0,0,20,0,0,4,4,4,9,0,0,0,22,39,37,102,137,145,113,27,0,0,603
UCL115064,10,4,7,8,13,8,3,0,0,58,5,3,8,11,18,10,0,0,0,46,179,149,357,448,467,401,108,17,0,2124
UCL115065,4,3,7,5,5,6,3,5,0,34,4,3,6,6,5,4,0,0,0,47,52,59,168,152,175,175,66,8,0,849
UCL115066,3,13,34,13,10,12,0,0,0,86,3,4,10,14,10,4,6,0,0,54,87,128,336,269,241,222,35,0,0,1325
UCL115067,0,0,11,0,11,7,0,0,0,36,0,4,15,12,7,8,7,0,0,49,38,68,141,176,173,186,72,10,0,854
UCL115068,0,0,0,0,0,3,0,0,0,5,0,0,0,0,6,3,3,0,0,23,18,32,61,87,103,106,42,10,0,457
UCL115069,0,0,3,4,6,3,0,0,0,17,0,0,7,0,5,9,4,0,0,27,57,35,131,128,136,151,44,9,5,684
UCL115070,3,14,28,16,20,8,0,0,0,88,0,14,17,17,8,9,5,0,0,67,124,152,424,389,305,178,32,0,0,1606
UCL115071,6,3,10,10,3,3,3,0,0,42,0,0,8,5,8,4,4,0,0,31,50,62,193,179,163,160,59,7,7,861
UCL115072,0,0,3,5,7,4,0,0,0,27,3,0,3,4,3,0,0,0,0,20,71,47,91,144,179,165,37,0,0,731
UCL115073,6,8,11,9,5,3,0,0,0,29,6,0,4,5,3,8,0,0,0,33,50,73,179,158,142,164,49,12,0,826
UCL115074,0,0,0,10,4,5,0,0,0,23,4,0,0,6,4,6,4,0,0,32,43,67,144,144,137,162,50,10,0,759
UCL115075,0,0,0,3,5,0,0,0,0,15,0,0,3,3,0,0,3,0,0,6,28,26,38,48,78,93,32,0,0,340
UCL115076,3,5,3,9,5,3,3,0,0,31,4,5,7,4,3,12,0,3,0,36,38,57,129,122,123,140,69,4,0,676
UCL115077,0,0,3,3,7,9,4,0,0,28,0,4,0,0,6,19,5,0,0,33,48,52,109,141,175,236,70,6,0,835
UCL115078,0,3,3,0,5,4,0,0,0,13,0,0,3,6,7,9,3,0,0,38,20,32,71,78,98,151,38,9,0,493
UCL115079,3,10,3,5,10,10,3,0,0,37,0,7,13,7,10,18,0,0,0,58,45,96,176,134,162,232,76,10,0,928
UCL115080,8,11,22,8,11,9,5,0,0,63,5,7,6,6,22,9,4,0,0,58,67,100,276,260,234,161,38,5,0,1142
