UCL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115165,6,5,7,0,0,0,0,0,0,18,10,0,9,9,6,8,5,0,0,37,60,49,126,90,126,76,26,6,0,564
UCL121001,0,0,4,0,0,3,3,0,0,16,0,3,4,0,3,4,0,0,0,22,17,23,66,67,73,84,20,7,0,361
UCL121002,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,4,0,0,0,10,8,7,31,31,35,41,19,3,0,180
UCL121003,0,0,0,0,0,0,0,0,0,6,0,0,3,0,4,5,0,0,0,13,15,11,48,48,52,74,18,4,0,273
UCL121004,0,7,7,0,12,0,0,0,0,21,0,0,3,0,0,3,0,0,0,6,39,25,92,96,65,61,14,0,0,398
UCL121005,0,0,0,3,0,0,0,0,0,8,3,0,3,7,0,7,0,0,0,18,30,22,48,52,67,47,19,0,0,275
UCL121006,0,0,0,0,0,3,3,0,0,4,0,0,6,0,0,0,0,0,0,9,10,14,43,33,60,59,15,0,0,238
UCL121007,3,0,0,4,4,5,0,0,0,14,0,0,7,3,0,8,0,0,0,17,23,25,47,51,67,66,17,3,0,306
UCL121008,0,0,4,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,3,5,0,14,17,14,20,5,0,0,80
UCL121009,0,0,0,0,0,0,0,0,0,3,0,8,0,5,3,0,0,0,0,18,12,40,72,73,84,65,12,4,0,364
UCL121010,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,3,3,0,0,16,16,17,32,62,76,76,35,9,0,325
UCL121011,0,0,0,0,0,5,0,0,0,8,6,7,9,0,5,3,6,0,0,26,27,22,42,44,64,49,20,0,0,273
UCL121012,5,4,0,4,7,5,3,0,0,29,3,0,0,8,3,0,0,0,0,18,37,52,52,73,100,111,19,0,0,450
UCL121013,0,0,4,4,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,6,5,16,74,41,46,50,13,0,0,245
UCL121014,4,0,4,0,3,3,0,0,0,17,0,0,0,3,0,3,0,0,0,11,9,9,38,46,50,53,25,4,0,240
UCL121015,0,0,3,3,0,0,0,0,0,8,0,0,0,4,8,0,4,0,0,18,11,33,69,59,90,105,24,3,0,399
UCL121016,0,0,0,0,3,0,5,0,0,10,0,5,7,8,4,0,6,0,0,17,5,15,44,44,59,66,22,0,0,260
UCL121017,0,0,3,9,6,0,3,0,0,25,0,0,3,3,8,0,0,0,0,14,23,32,81,120,103,69,14,0,0,436
UCL121018,3,3,7,3,3,7,0,0,0,20,0,3,0,3,8,4,0,0,0,23,26,29,86,81,73,67,10,0,0,375
UCL121019,0,4,0,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,21,27,33,69,89,64,33,3,0,333
UCL121020,0,0,0,0,4,3,0,0,0,14,0,3,0,6,5,0,0,0,0,17,13,18,39,78,75,55,10,0,0,291
UCL121021,0,0,7,4,0,0,0,0,0,6,0,4,0,0,0,0,6,0,0,14,13,30,38,49,55,60,21,8,0,277
UCL121022,0,3,0,0,0,0,4,0,0,5,0,0,0,0,0,5,3,0,0,15,13,20,43,37,45,56,18,4,3,245
UCL121023,0,0,0,0,3,0,0,0,0,8,0,0,0,5,0,0,3,0,0,9,3,7,10,21,29,49,18,0,0,134
UCL121024,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,4,0,0,0,9,16,11,42,41,37,36,6,0,0,182
UCL121025,0,0,0,3,4,4,0,0,0,17,0,5,5,3,0,4,0,0,0,17,26,28,34,64,81,59,22,0,0,307
UCL121026,0,0,3,0,0,9,0,0,0,10,0,0,0,4,0,0,0,0,0,16,15,27,86,77,79,111,46,3,0,446
UCL121027,0,0,0,0,0,5,0,0,0,8,0,0,0,0,10,0,0,0,0,19,28,28,49,60,72,67,14,0,0,323
UCL121028,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,9,0,0,0,21,14,15,56,53,74,85,20,5,0,321
UCL121029,0,0,5,0,0,0,0,0,0,8,5,0,0,5,0,0,0,0,0,13,17,26,72,35,37,48,21,3,0,256
UCL121030,0,0,4,0,4,0,0,0,0,11,3,4,8,5,0,8,4,0,0,25,27,22,80,62,63,87,16,0,0,362
UCL121031,0,3,0,0,0,6,0,0,0,13,0,0,0,0,8,3,0,0,0,18,28,21,56,72,102,104,31,4,0,424
UCL121032,0,0,0,3,0,0,0,0,0,11,0,0,3,3,5,3,0,0,0,16,15,16,42,44,41,62,20,8,0,251
UCL121033,0,0,0,3,0,4,0,0,0,11,4,0,0,0,3,0,4,0,0,14,10,10,37,74,42,36,6,3,0,221
UCL121034,0,4,5,4,8,3,0,0,0,16,7,9,12,9,7,3,0,0,0,40,53,111,159,117,162,87,26,0,0,710
UCL121035,0,8,6,3,0,3,0,0,0,23,5,4,6,0,4,0,0,0,0,27,48,34,101,99,115,81,17,0,0,492
UCL121036,0,6,6,6,5,0,0,0,0,30,0,0,3,4,0,4,5,0,0,17,50,42,93,161,163,87,32,4,0,620
UCL121037,0,3,0,3,7,4,0,0,0,13,0,0,6,4,3,0,3,0,0,13,18,24,50,65,92,68,14,4,0,331
UCL121038,0,0,4,0,0,3,0,0,0,8,0,6,0,0,0,5,3,0,0,6,12,11,44,34,34,64,22,0,0,219
UCL121039,0,0,0,5,0,0,0,0,0,13,0,6,3,4,10,4,0,0,0,25,21,25,69,68,77,63,16,3,0,343
UCL121040,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,30,20,17,54,93,57,9,3,0,292
UCL121041,0,7,0,3,3,0,0,0,0,11,0,0,0,0,4,0,0,0,0,11,12,19,29,35,52,45,24,5,0,218
UCL121042,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,5,0,0,0,10,11,18,50,42,28,74,29,3,0,260
UCL121043,0,0,4,0,3,0,0,0,0,13,0,0,3,4,0,0,0,0,0,5,28,25,53,86,77,49,21,3,0,342
UCL121044,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,18,4,14,47,34,43,39,10,0,0,187
UCL121045,0,0,0,0,3,0,3,0,0,11,0,3,4,0,6,0,0,0,0,12,23,12,37,33,50,56,14,3,0,228
UCL121046,0,0,0,0,3,0,0,0,0,12,0,0,8,3,0,0,0,0,0,12,20,3,36,75,82,46,17,6,0,291
UCL121047,0,0,0,0,0,4,3,0,0,8,0,0,4,4,0,0,0,0,0,7,7,16,66,67,65,42,12,0,0,279
UCL121048,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,10,19,15,28,26,74,43,16,0,0,222
UCL121049,0,5,3,8,0,3,0,0,0,16,0,0,8,0,0,0,0,0,0,12,27,34,60,59,71,46,18,0,0,317
UCL121050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,10,4,8,29,26,31,53,18,3,0,173
UCL121051,0,0,0,6,3,3,0,0,0,12,0,0,3,0,3,6,0,0,0,12,15,17,48,55,56,87,23,6,0,314
UCL121052,0,0,4,0,0,0,0,0,0,14,0,4,6,0,3,0,5,0,0,18,3,26,60,75,68,85,37,3,3,358
UCL121053,0,4,0,6,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,15,21,55,45,53,65,27,4,0,276
UCL121054,4,9,3,6,5,8,4,0,0,31,0,0,0,0,0,0,0,0,0,9,42,56,40,65,135,76,30,0,0,445
UCL121055,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,6,0,0,0,9,20,6,43,87,68,68,18,0,0,309
UCL121056,4,0,5,5,7,7,0,0,0,23,0,0,3,5,3,0,0,0,0,8,26,28,57,85,88,76,15,4,0,377
UCL121057,3,7,5,6,5,0,3,0,0,31,6,0,3,0,6,0,0,0,0,12,30,51,61,75,72,65,10,0,0,369
UCL121058,9,3,8,13,12,4,0,0,0,45,3,0,0,3,4,10,0,0,0,19,102,62,101,180,259,163,46,12,0,910
UCL121059,3,0,0,3,5,4,0,0,0,18,0,0,0,0,0,6,0,0,0,4,17,16,58,47,61,58,16,0,0,275
UCL121060,7,0,3,5,7,3,4,0,0,24,0,0,0,4,0,4,0,0,0,13,52,33,58,94,126,105,34,0,0,497
UCL121061,0,0,7,3,0,0,0,0,0,10,0,6,5,0,0,0,0,0,0,9,24,23,44,71,60,15,5,0,0,241
UCL121062,0,7,6,0,0,0,0,0,0,18,0,0,9,8,3,7,3,0,0,29,30,34,89,103,126,107,30,9,0,517
UCL121063,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,10,14,27,34,36,59,21,6,0,190
UCL121064,0,0,3,3,4,0,0,0,0,7,0,0,0,0,8,5,0,0,0,18,17,26,31,41,67,59,10,0,0,249
UCL121065,0,0,0,3,3,0,3,0,0,9,0,3,0,0,0,0,3,0,0,11,19,18,54,45,53,76,19,0,0,285
UCL121066,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,15,22,38,57,51,42,15,3,0,237
UCL121067,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,4,0,0,7,13,30,46,31,54,84,41,10,4,326
UCL121068,3,12,10,9,13,6,0,0,0,44,0,3,5,3,7,3,0,0,0,23,63,69,125,176,196,203,49,3,0,889
UCL121069,0,0,5,5,4,0,0,0,0,13,0,0,4,0,6,3,0,0,0,12,46,44,63,86,137,55,15,0,0,440
UCL121070,0,0,0,0,5,0,0,0,0,8,0,0,7,0,0,0,3,0,0,11,11,20,24,40,80,69,26,3,0,278
UCL121071,0,0,4,0,0,4,5,0,0,9,0,0,3,5,4,4,0,0,0,13,7,22,31,57,62,43,16,0,0,233
UCL121072,0,0,12,0,6,5,0,0,0,21,0,0,4,9,7,0,0,0,0,23,25,18,106,69,63,51,15,0,0,346
UCL121073,0,0,0,3,5,0,0,0,0,6,0,0,0,3,4,3,0,0,0,13,14,9,30,50,60,37,22,0,0,226
UCL121074,0,0,0,0,0,4,0,0,0,9,0,0,0,0,5,0,0,0,0,6,15,13,44,44,55,67,23,0,0,259
UCL121075,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,0,8,20,24,16,22,43,43,8,0,0,180
UCL121076,0,5,4,4,0,3,0,0,0,23,7,4,3,6,3,5,0,0,0,22,33,42,94,121,98,55,13,0,0,450
UCL121077,0,0,4,3,0,0,0,0,0,10,0,4,0,0,5,0,0,0,0,15,20,16,56,79,83,52,18,3,0,337
UCL121078,5,3,0,9,3,3,0,0,0,23,0,0,8,0,6,0,0,0,0,20,27,44,77,73,77,58,6,4,0,362
UCL121079,0,0,0,5,8,0,0,0,0,16,0,0,0,5,0,0,0,0,0,8,27,17,14,41,84,51,19,0,0,260
UCL121080,0,0,6,0,0,0,0,0,0,18,0,4,3,5,7,3,0,0,0,16,29,26,116,115,110,90,25,0,0,504
UCL121081,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,6,0,0,0,10,26,19,38,70,76,53,13,0,0,291
UCL121082,0,0,5,0,6,6,3,0,0,15,5,0,4,3,0,3,0,0,0,21,28,23,81,90,104,103,34,0,0,471
UCL121083,0,0,0,3,0,0,0,0,0,10,0,0,0,4,5,4,4,0,0,16,13,20,54,83,94,81,39,3,0,398
UCL121084,0,6,7,0,6,0,0,0,0,18,0,0,3,4,9,8,0,0,0,23,43,35,73,106,106,75,18,0,0,464
UCL121085,0,0,0,6,5,0,0,0,0,13,0,4,3,7,8,0,3,0,0,27,22,16,46,133,122,89,31,0,0,467
UCL121086,3,0,0,0,0,3,0,0,0,15,0,0,5,4,0,3,0,0,0,10,12,17,43,61,71,60,34,9,0,305
UCL121087,0,0,0,0,6,0,0,0,0,10,0,0,6,3,0,5,0,0,0,13,22,18,62,56,40,54,14,0,0,270
UCL121088,0,4,8,0,3,0,0,0,0,21,0,0,0,3,0,0,0,0,0,9,23,34,67,56,62,44,13,0,0,299
UCL121089,3,0,0,5,5,3,0,0,0,16,0,0,4,4,3,6,0,0,0,17,27,27,66,94,80,102,21,7,0,414
UCL121090,0,0,5,4,14,8,0,0,0,28,0,0,0,0,11,6,0,0,0,21,59,27,36,71,118,84,17,0,0,420
UCL121091,0,0,9,4,4,3,0,0,0,19,0,0,0,6,0,0,3,0,0,15,25,18,42,50,73,92,23,0,0,332
UCL121092,0,6,14,8,8,0,0,0,0,32,0,3,6,10,4,4,0,0,0,32,14,59,159,114,124,80,15,0,0,570
UCL121093,4,3,11,3,7,0,0,0,0,27,4,0,3,6,3,0,0,0,0,22,34,38,142,107,104,50,10,0,0,483
UCL121094,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,10,4,14,41,32,43,64,16,4,0,227
UCL121095,3,0,3,0,0,3,0,0,0,8,0,0,0,4,7,0,0,5,0,13,17,14,38,84,91,75,21,6,3,353
UCL121096,0,0,5,0,0,6,0,0,0,9,0,0,5,0,4,0,0,0,0,9,25,11,36,50,65,76,23,6,0,289
UCL121097,0,0,0,0,3,3,0,0,0,10,0,0,0,5,3,0,0,0,0,10,20,12,36,61,93,66,23,0,0,308
UCL121098,0,0,3,3,11,5,4,0,0,26,0,0,0,3,0,0,5,0,0,6,27,25,42,69,133,102,47,7,0,444
UCL121099,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,9,3,35,53,51,55,12,0,0,221
UCL121100,0,3,0,4,4,0,6,0,0,20,0,0,6,0,4,0,0,0,0,11,36,26,68,132,119,82,34,0,0,494
UCL121101,0,6,7,4,5,3,0,0,0,27,0,4,0,8,10,8,0,0,0,29,32,41,60,93,117,92,22,3,0,457
UCL121102,0,0,0,0,0,0,0,0,0,6,0,0,5,5,4,0,0,0,0,19,11,10,47,86,93,86,34,7,0,370
UCL121103,0,0,0,6,4,0,4,0,0,15,0,0,3,4,8,5,0,0,0,22,23,33,51,74,99,85,11,4,0,382
UCL121104,0,0,0,0,0,0,0,0,0,9,0,0,0,4,5,4,0,0,0,13,21,21,49,55,65,58,17,0,0,299
UCL121105,0,0,3,0,0,0,0,0,0,9,0,0,3,0,0,6,0,0,0,10,3,13,39,33,28,48,10,6,0,177
UCL121106,0,3,3,3,4,0,0,0,0,20,0,0,0,0,6,5,0,0,0,5,18,27,54,51,88,99,33,4,0,380
UCL121107,0,0,3,0,6,0,0,0,0,13,0,0,3,4,6,0,0,0,0,20,15,24,68,67,82,81,18,0,0,359
UCL121108,0,0,4,0,6,6,0,0,0,22,0,6,0,5,0,3,0,0,0,15,26,22,77,62,78,63,17,0,0,339
UCL121109,0,0,0,4,0,5,0,0,0,10,0,6,0,0,4,0,5,0,0,20,26,16,28,37,60,44,24,0,0,241
UCL121110,0,0,3,4,3,0,0,0,0,16,0,0,11,4,0,0,0,0,0,18,33,27,87,89,82,50,13,0,0,377
UCL121111,0,0,3,3,0,4,0,0,0,11,0,0,0,4,3,4,0,0,0,12,6,19,71,34,34,49,23,0,0,250
UCL121112,0,4,9,0,4,5,0,0,0,20,0,4,0,4,3,3,3,0,0,20,20,34,83,72,70,66,15,0,0,368
UCL121113,0,0,0,0,0,0,0,0,0,8,4,0,0,5,0,0,0,3,0,16,21,15,30,46,35,50,6,0,0,213
UCL121114,0,0,0,3,3,5,0,0,0,12,0,0,5,5,4,0,0,0,0,13,25,24,57,81,95,78,20,0,0,377
UCL121115,0,0,0,0,0,3,0,0,0,4,0,0,3,4,0,0,0,0,0,8,9,8,33,34,40,74,21,3,0,231
UCL121116,6,3,8,3,9,8,0,0,0,28,0,0,0,0,10,3,0,0,0,13,53,46,62,110,147,92,18,0,0,517
UCL121117,3,0,8,0,0,0,0,0,0,11,0,0,6,0,0,4,0,0,0,5,24,30,60,44,66,67,10,0,0,308
UCL121118,0,0,0,3,0,3,0,0,0,14,0,0,0,0,7,0,0,0,0,6,15,19,34,54,81,34,15,0,0,257
UCL121119,0,5,5,5,3,7,0,0,0,32,0,0,0,0,7,4,0,0,0,11,29,29,48,70,97,77,21,3,0,370
UCL121120,0,0,0,0,4,4,0,0,0,7,4,0,0,0,0,0,0,0,0,7,7,11,20,14,30,20,11,0,0,113
UCL121121,0,3,4,6,0,3,0,0,0,10,0,0,6,0,4,0,0,0,0,17,6,19,55,41,43,44,17,0,0,245
UCL121122,0,0,4,4,3,0,0,0,0,14,0,0,0,4,0,5,0,0,0,15,16,10,47,75,65,58,13,0,0,285
UCL121123,0,3,3,0,4,0,0,0,0,6,0,0,3,4,8,0,0,0,0,13,23,28,56,47,64,39,15,3,0,279
UCL121124,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,12,4,5,17,27,52,55,26,0,0,193
UCL121125,0,3,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,23,13,36,49,58,80,16,0,0,288
UCL121126,0,0,0,0,0,4,0,0,0,12,0,0,0,0,3,0,0,0,0,6,23,16,45,47,72,48,19,4,0,270
UCL121127,0,8,3,0,9,0,0,0,0,18,3,0,0,8,7,0,0,0,0,17,33,29,62,74,85,39,20,0,0,344
UCL121128,0,0,13,8,5,5,0,0,0,32,3,7,9,8,7,0,0,0,0,29,48,49,94,105,113,85,20,0,0,524
UCL122001,0,0,0,0,4,0,0,0,0,7,0,0,5,0,0,0,0,0,0,5,14,13,33,27,35,15,6,0,0,128
UCL122002,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,5,13,28,32,34,33,3,4,0,146
UCL122003,0,0,5,5,0,0,0,0,0,6,0,0,3,4,0,0,0,0,0,12,13,22,51,39,64,26,9,0,0,227
UCL122004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,8,12,17,20,14,0,0,86
UCL122005,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,5,3,16,10,19,28,4,0,0,89
UCL122006,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,9,0,5,5,19,15,20,15,0,0,81
UCL122007,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,8,5,11,15,19,29,40,12,0,0,129
UCL122008,0,3,5,0,0,0,0,0,0,10,0,0,3,0,5,4,0,0,0,3,11,16,37,14,23,30,9,0,0,132
UCL122009,0,0,4,0,0,0,0,0,0,6,0,3,0,0,5,3,0,0,0,13,4,8,32,35,29,25,3,0,0,139
UCL122010,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,9,20,32,29,40,37,3,0,0,172
UCL122011,0,0,0,0,3,3,0,0,0,11,0,0,0,0,4,0,0,0,0,4,12,25,32,33,47,50,16,0,0,209
UCL122012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,21,19,18,30,10,0,0,99
UCL122013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,13,8,3,0,0,43
UCL122014,0,0,0,6,0,0,0,0,0,6,0,0,5,5,4,0,0,0,0,8,6,8,21,25,34,35,12,0,0,137
UCL122015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,7,7,3,14,22,25,32,15,4,0,116
UCL122016,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,4,4,31,15,25,23,6,0,0,122
UCL122017,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,3,5,19,33,28,30,5,5,0,134
UCL122018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,3,11,13,21,22,20,4,0,0,95
UCL122019,0,0,4,0,0,5,0,0,0,7,0,5,0,0,0,3,0,0,0,3,7,9,11,20,26,34,6,0,0,120
UCL122020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,19,29,7,4,0,77
UCL122021,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,12,16,20,20,4,0,0,90
UCL122022,0,3,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,12,15,32,36,39,65,22,0,0,214
UCL122023,0,4,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,12,16,16,20,33,46,42,16,5,0,195
UCL122024,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,13,19,22,38,15,5,0,0,123
UCL122025,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,7,7,9,24,10,42,30,5,0,0,125
UCL122026,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,10,30,28,15,8,0,0,97
UCL122027,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,7,3,10,4,25,23,12,0,0,88
UCL122028,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,5,0,0,0,7,4,8,17,14,22,29,6,0,3,114
UCL122029,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,11,6,8,14,21,27,26,14,0,0,110
UCL122030,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,8,9,7,22,34,33,41,7,0,0,162
UCL122031,3,5,3,3,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0,8,27,24,37,71,62,34,5,0,0,267
UCL122032,0,0,7,0,0,4,0,0,0,9,0,0,5,0,0,0,0,0,0,15,8,12,60,43,40,47,9,0,0,218
UCL122033,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,3,6,6,29,27,19,12,4,0,0,102
UCL122034,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,11,23,19,26,27,7,0,0,127
UCL122035,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,17,17,21,38,29,41,12,0,0,167
UCL122036,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,6,8,12,21,19,19,12,0,0,97
UCL122037,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,11,21,44,38,15,0,0,0,140
UCL122038,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,9,16,29,29,22,5,0,0,116
UCL122039,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,10,10,9,24,29,34,38,18,0,0,173
UCL122040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,13,6,12,16,3,0,0,59
UCL122041,0,0,7,0,3,0,0,0,0,8,6,0,4,0,0,0,3,0,0,6,7,17,33,32,29,41,12,0,0,178
UCL122042,5,0,0,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,11,16,19,28,35,18,9,0,0,142
UCL122043,0,0,0,0,0,0,0,0,0,5,0,0,4,7,3,0,0,0,0,18,5,9,24,33,28,33,11,0,0,138
UCL122044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,11,12,0,0,0,42
UCL122045,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,16,12,17,24,3,3,0,85
UCL122046,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,0,7,9,9,26,21,33,80,12,0,0,199
UCL122047,0,0,0,0,0,0,3,0,0,5,0,0,0,6,5,0,3,0,0,8,0,7,4,22,42,42,23,0,0,150
UCL122048,0,0,0,0,0,3,0,0,0,5,0,4,3,0,6,0,0,0,0,11,0,9,19,17,23,29,13,0,0,101
UCL122049,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,5,10,9,13,24,10,10,0,0,83
UCL122050,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,4,7,21,12,24,5,0,0,71
UCL122051,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,7,4,8,11,24,11,18,3,0,0,83
UCL122052,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,7,9,12,30,26,30,12,0,0,132
UCL122053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,15,24,24,12,0,0,89
UCL122054,0,0,5,0,0,0,0,0,0,3,0,0,5,0,0,3,3,0,0,20,11,11,54,39,39,37,19,0,0,206
UCL122055,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,7,10,12,27,44,42,23,10,0,176
UCL122056,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,16,0,8,28,34,17,7,0,0,112
UCL122057,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,7,11,20,22,38,23,8,0,0,131
UCL122058,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,5,10,35,33,37,33,4,0,0,156
UCL122059,0,0,0,3,6,0,0,0,0,11,0,0,0,3,0,0,0,0,0,7,15,21,32,36,41,41,11,0,0,209
UCL122060,0,0,4,5,4,0,0,0,0,14,0,0,3,6,0,5,0,0,0,13,11,7,23,31,23,28,6,0,0,131
UCL122061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,10,3,4,0,0,38
UCL122062,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,8,16,29,20,27,31,5,0,0,145
UCL122063,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,4,3,27,29,23,24,6,4,0,119
UCL122064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,4,9,17,14,21,19,8,0,0,95
UCL122065,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,9,21,26,28,52,6,0,0,144
UCL122066,0,0,0,8,0,7,0,0,0,21,0,0,0,0,4,0,0,0,0,4,6,20,23,40,50,39,11,0,0,196
UCL122067,0,0,0,0,3,0,0,0,0,7,4,0,0,0,0,0,0,0,0,6,16,10,19,22,48,43,16,0,0,179
UCL122068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,5,12,10,18,12,7,3,0,67
UCL122069,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,12,7,23,28,42,44,16,0,0,162
UCL122070,0,0,0,0,7,7,0,0,0,11,0,0,0,0,3,4,9,0,0,13,17,17,23,46,47,36,21,5,0,205
UCL122071,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,11,13,46,31,24,21,8,3,0,155
UCL122072,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,9,15,24,21,34,23,4,4,0,138
UCL122073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,18,24,24,26,4,0,0,111
UCL122074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,4,5,14,11,18,17,6,0,0,74
UCL122075,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,6,13,24,27,30,19,4,0,0,129
UCL122076,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,5,4,0,0,8,9,3,13,31,25,24,7,0,0,114
