UCL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
UCL101001,30469,28801,59269,12327,15374,27703,620,289,909,649,559,1207,1621,1627,3246,429946,285193,715130,20282,35899,56179,10684,165,10854,8053,1042,9096,6624,1986,8605,6169,4188,10360,24459,27590,52052,551894,402715,954604,9757,11883,21640,100,81,186,396,456,854,3367,1958,5326,675,1353,2028,899,511,1408,15201,16238,31437,99,78,180,241,257,498,651,509,1163,423,1012,1439,399,452,851,1825,2305,4127,4750,2735,7480,21773,21274,43042,3016,3167,6182,268,293,564,177,79,255,3459,3545,7000,415994,457984,873974,132957,159399,292359,5208,3817,9024,1131287,1048730,2180010
UCL102001,0,0,6,85,145,227,6,0,3,0,0,0,29,20,51,8085,6561,14643,449,682,1129,146,4,147,156,12,168,79,12,89,56,24,77,179,215,394,9261,7675,16938,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,7,0,0,0,0,0,5,10,25,33,12,21,31,0,6,11,27,54,77,85,55,139,111,113,220,0,0,0,3,9,11,8,0,7,10,10,19,695,985,1676,698,1172,1862,31,23,50,10798,9970,20771
UCL102002,694,410,1109,340,480,816,25,4,29,0,4,0,30,40,65,38780,30419,69194,2183,2413,4598,986,19,1004,384,37,425,203,65,269,263,190,454,719,907,1629,44613,34984,79597,224,157,386,5,7,8,0,0,0,276,97,372,34,32,66,37,13,53,575,306,884,3,4,10,0,0,0,18,24,33,32,55,89,12,19,28,62,102,168,412,157,565,1047,565,1615,94,59,155,14,14,30,15,3,19,126,76,204,15702,20439,36142,8825,13633,22460,325,284,605,70637,69983,140622
UCL102003,10,0,10,73,71,144,0,0,0,0,0,0,11,10,20,8544,8136,16684,490,649,1140,184,4,191,112,13,130,162,85,248,65,42,113,270,360,630,9920,9378,19301,0,0,0,0,0,0,0,0,0,12,9,21,3,0,8,0,0,0,22,4,24,0,0,0,0,0,0,6,0,9,7,17,20,0,4,6,12,22,34,96,43,139,126,71,202,8,0,3,5,3,9,0,0,0,7,4,11,1572,2207,3779,1266,2029,3291,71,74,147,12964,13772,26736
UCL102004,148,69,218,503,720,1223,19,27,45,34,28,65,85,90,174,48974,39917,88892,2299,3049,5355,872,31,898,642,113,751,723,281,1008,297,207,509,1383,1566,2954,55984,46112,102092,45,30,71,0,0,0,5,4,8,30,20,43,11,6,22,13,6,22,112,64,176,9,4,9,4,5,9,35,39,82,42,87,128,18,32,55,106,168,271,499,309,808,715,534,1253,37,27,64,23,23,42,21,11,32,80,61,142,16166,21109,37277,10115,15642,25758,302,258,562,83366,83717,167079
UCL102005,496,256,744,362,484,836,12,0,13,0,5,5,64,55,120,37363,27185,64547,1729,2135,3867,776,15,787,382,35,415,400,77,474,263,190,457,1002,1138,2133,42833,31571,74408,54,57,110,0,0,0,3,5,3,147,57,199,22,21,46,27,11,34,249,148,395,0,0,0,0,0,0,33,26,52,30,64,93,18,14,30,73,99,174,327,166,496,647,415,1063,37,31,67,3,14,24,13,6,11,50,51,100,12830,17748,30582,7882,11841,19726,243,208,454,64491,61840,126328
UCL111001,0,8,8,41,52,92,6,3,11,0,0,0,32,33,64,9308,8416,17724,533,630,1158,118,0,122,70,14,79,160,50,205,51,12,67,336,356,687,10653,9571,20227,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,5,4,6,7,10,11,0,0,0,12,11,24,69,52,121,82,63,148,0,0,0,0,0,4,7,0,8,14,5,13,909,1289,2193,813,1586,2401,69,48,118,12535,12556,25097
UCL111002,5,3,9,57,61,117,4,0,4,0,0,0,10,28,43,7325,7127,14450,559,672,1232,138,5,143,124,17,141,135,35,167,48,27,74,204,272,481,8616,8244,16854,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,3,0,7,0,0,0,0,0,0,3,4,3,5,7,13,0,0,0,8,12,18,70,48,115,82,64,142,0,0,0,0,0,0,7,0,5,7,0,8,936,1293,2230,929,1483,2409,65,60,131,10632,11141,21772
UCL111003,88,56,150,46,64,109,0,0,7,0,0,0,18,11,32,14233,11026,25260,724,812,1537,264,4,270,138,9,145,54,15,71,76,65,140,181,241,423,15829,12306,28138,15,20,30,0,0,0,6,7,11,25,10,34,6,7,10,15,5,23,65,39,107,0,0,0,0,0,0,7,0,9,4,13,15,0,0,4,9,15,25,130,67,198,208,121,327,18,19,39,0,0,4,6,0,10,24,21,52,2665,4346,7012,2649,4098,6750,65,53,120,21447,20952,42397
UCL112001,0,3,3,18,10,25,0,0,0,0,0,0,12,16,25,2490,2171,4666,192,250,438,47,0,47,30,4,37,44,18,60,17,20,38,161,170,330,3011,2663,5670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,4,0,4,24,23,45,30,25,50,0,0,0,0,0,0,0,0,0,0,4,10,783,1042,1828,611,773,1386,25,16,45,4456,4528,8987
