UCL_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
UCL101001,0,0,7,88,896,2815,4329,3119,523,481,477,498,219,179,258,13888,0,0,8,164,811,4026,10949,5652,1201,1302,1226,1155,550,226,386,27657,27,102,485,938,1013,1301,2112,1395,341,308,417,481,286,89,133,9442,376,1134,1355,2869,26651,37403,73241,40593,9900,10981,9551,11077,3819,660,5277,234892,76,998,5178,1678,759,2073,674,193,39,27,39,24,7,9,395,12156,360,1057,2797,1850,2700,2527,2955,2163,493,529,458,378,183,62,518,19042,43,138,384,1939,8800,8559,7384,2616,558,492,648,734,316,55,724,33395,1833,2039,1582,1133,1331,1442,2631,1382,326,326,348,458,210,69,455,15563,333,5041,13010,3080,912,560,446,1124,164,129,100,85,47,17,1337,26385,83,321,930,4064,12084,12771,5616,3395,1010,1063,947,1082,1051,430,723,45567,174,190,1583,2623,6190,15956,52917,36114,11978,13234,15929,17412,6039,1641,2614,184600,55,176,286,1654,4071,7332,8543,4718,1365,1370,1582,1915,793,90,724,34678,9,11,269,983,3297,3322,5532,7353
UCL102001,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,13,0,0,0,0,0,3,38,35,16,22,17,28,0,0,0,155,0,0,6,9,15,17,15,18,0,0,0,0,5,0,3,82,0,0,10,0,9,27,48,35,11,15,3,0,4,0,10,172,0,21,64,30,11,11,6,8,0,5,0,0,0,0,5,159,0,0,0,6,0,6,9,10,0,10,0,7,3,0,0,46,0,0,0,15,13,23,39,3,0,3,9,0,8,4,3,123,41,37,26,14,17,12,10,5,0,0,0,0,0,0,5,169,3,26,62,13,4,0,0,0,0,0,0,0,0,0,0,114,0,0,0,3,7,5,3,5,0,0,0,0,3,0,6,35,0,0,5,11,10,29,281,248,85,96,121,81,21,10,16,1020,0,0,0,4,3,17,16,17,3,7,5,3,4,0,0,84,0,0,0,0,4,0,8,8
UCL102002,0,0,0,4,4,3,0,6,0,0,0,0,0,0,0,19,0,0,0,0,0,12,27,38,6,12,10,8,3,0,0,135,5,9,50,77,65,111,157,76,15,21,8,13,9,3,11,628,16,50,47,29,195,266,578,347,81,54,38,68,17,3,42,1837,3,51,143,38,5,27,3,9,0,0,3,0,0,0,11,295,23,76,95,38,23,24,23,34,5,22,7,16,3,7,16,415,5,9,19,56,112,89,58,26,13,3,19,8,9,3,13,432,162,258,145,101,94,79,163,70,7,14,5,3,5,0,37,1138,10,93,125,42,10,8,9,5,0,0,0,3,0,0,8,301,12,12,24,43,80,56,50,28,14,6,6,10,7,7,10,361,18,23,61,80,78,135,585,672,134,161,144,134,49,8,34,2316,12,24,16,30,49,68,115,94,12,13,26,38,18,0,7,521,0,0,3,17,38,24,49,61
UCL102003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,20,21,15,46,21,0,5,0,4,5,0,5,165,3,0,3,3,14,16,54,30,10,8,7,7,7,0,6,169,0,9,8,3,0,0,0,0,0,0,0,0,0,0,0,23,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,18,0,7,8,13,0,9,16,3,0,4,0,0,0,0,3,71,39,93,38,33,16,14,29,8,3,0,0,4,4,0,16,307,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,25,3,5,3,3,8,5,3,5,0,0,0,4,3,3,0,49,10,0,18,5,5,9,68,113,33,15,27,27,3,3,10,361,0,5,6,5,0,7,7,9,0,6,0,3,0,0,3,61,0,0,0,0,4,0,3,0
UCL102004,0,0,0,0,0,4,12,177,25,28,5,37,7,11,7,307,0,0,0,0,6,26,68,83,15,66,39,30,11,0,0,358,8,4,53,67,69,89,182,109,17,15,24,25,9,3,8,682,11,17,21,42,113,151,546,362,107,173,124,158,38,7,51,1916,4,34,145,37,7,33,23,0,0,4,4,0,0,0,14,303,4,21,40,15,8,15,30,13,3,9,8,4,0,8,3,184,4,0,20,30,79,34,46,15,10,3,4,5,4,0,13,266,403,332,98,45,83,59,143,74,9,22,11,10,12,0,55,1363,28,139,189,44,24,8,0,0,5,0,0,0,0,6,22,456,0,5,7,50,75,61,57,46,34,36,21,17,6,0,12,430,13,17,49,82,70,135,741,706,166,155,198,172,83,15,48,2664,3,11,11,17,31,45,121,61,22,36,31,29,19,4,12,454,0,0,0,7,17,6,57,94
UCL102005,0,0,0,0,8,3,8,15,0,0,10,0,0,0,5,57,0,0,0,0,3,8,41,53,12,28,26,27,13,4,0,224,0,3,25,56,52,67,148,72,20,26,28,28,23,7,4,558,0,15,6,27,95,181,551,443,107,131,136,173,48,14,47,1968,0,131,372,89,35,183,108,4,0,0,0,0,0,0,22,948,9,31,36,21,21,14,36,42,5,14,13,23,3,3,12,282,0,8,17,36,61,57,45,24,13,8,15,13,4,3,10,311,183,612,238,83,83,62,91,39,8,12,13,5,5,4,47,1482,12,214,350,82,20,15,9,26,0,0,3,0,0,0,46,773,0,0,8,27,35,42,46,16,4,15,3,12,8,0,7,235,12,12,46,81,53,108,377,565,164,174,294,393,235,11,55,2571,3,10,11,11,19,54,91,46,9,25,15,27,3,0,3,338,0,0,0,7,32,47,75,113
UCL111001,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,23,30,3,4,0,0,6,3,0,65,0,0,6,9,3,5,16,9,0,7,4,0,0,0,0,59,0,0,0,3,4,22,29,31,15,7,9,14,4,0,0,136,0,8,21,10,0,7,0,0,0,0,0,0,0,0,0,41,0,3,0,3,0,4,4,4,0,0,0,0,0,0,0,14,0,0,0,0,14,5,8,4,0,3,0,0,0,0,0,49,38,92,42,11,18,5,5,9,0,3,0,0,7,0,6,245,5,22,9,3,8,0,5,0,0,0,0,0,0,0,0,53,0,0,3,0,7,0,3,6,0,0,0,0,0,0,0,31,4,0,7,9,11,16,281,294,98,123,96,80,30,7,12,1065,0,0,0,0,0,4,7,12,3,0,0,0,0,0,0,40,0,0,0,0,7,6,10,6
UCL111002,0,0,0,0,0,0,0,14,6,11,0,0,0,0,0,36,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,3,15,20,24,20,21,13,0,5,3,0,9,0,0,128,0,5,6,0,14,16,28,24,0,10,10,9,0,0,3,133,5,0,10,4,0,0,0,0,0,0,0,0,0,0,0,21,0,8,4,0,0,0,13,6,0,0,0,0,0,0,0,27,0,0,3,11,16,8,25,4,0,3,0,0,0,0,3,79,19,52,39,17,31,22,12,8,4,0,0,0,0,0,7,222,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,8,6,5,4,10,0,3,0,0,0,0,0,46,0,9,10,14,29,29,155,99,14,22,23,37,15,0,6,462,0,0,0,0,4,3,7,8,0,5,0,8,0,0,0,49,0,0,0,0,0,0,4,6
UCL111003,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,12,0,0,0,0,0,6,23,15,5,3,0,6,0,0,0,61,0,0,4,4,14,13,26,24,3,0,0,0,0,0,3,92,3,0,6,5,22,31,80,42,20,23,20,24,0,0,9,281,0,0,15,3,0,5,0,0,0,0,0,0,0,0,0,27,0,7,0,0,0,0,14,8,0,0,0,0,0,0,0,31,0,0,4,7,7,20,17,14,0,0,0,0,0,0,0,77,96,73,23,8,11,8,17,10,0,0,3,0,0,0,11,259,0,15,3,0,0,0,4,6,0,0,0,0,0,0,0,25,0,0,4,7,18,5,12,12,3,0,6,0,3,0,0,72,0,5,8,12,12,34,280,257,42,34,40,52,18,5,8,801,0,4,0,0,6,12,20,12,4,0,4,4,0,0,4,61,0,0,0,0,0,0,0,15
UCL112001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,22,6,13,27,8,0,0,0,98,0,0,7,9,0,5,12,6,0,3,3,4,0,0,0,57,0,0,0,3,0,16,44,21,9,5,8,22,5,0,5,133,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,5,7,0,3,3,5,0,0,0,0,29,0,9,4,8,6,8,8,10,0,0,0,3,0,0,0,64,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,0,0,0,0,9,5,3,0,0,0,0,0,0,0,0,16,4,0,0,4,0,6,61,41,17,21,39,42,17,0,4,258,0,0,0,3,0,0,8,4,0,5,0,4,0,0,0,24,0,0,0,0,3,4,4,19
