UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL101001,84141,110680,194824,178027,208000,386028,7260,7817,15074,24792,28284,53083,1381,1428,2811,514091,565615,1079703,1560,1799,3361,83715,88300,172011,4418,5772,10195,5057,5418,10469,3017,3694,6712,14203,14437,28635,10070,11168,21239,19673,23534,43208,32642,37674,70318,1505,2036,3538,4386,5320,9711,28908,36102,65014,56253,63386,119640,1624,1805,3428,992588,1111581,2104161,131116,118928,250044,169452,156299,325749,17930,19068,36996,167,176,342,20177,17633,37806,12618,13885,26511,32963,31698,64660,717157,657186,1374345,7079,5601,12681,2674,4203,6876,726912,666988,1393894,160407,148476,308883,6223,6705,12928,2321728,2370429,4692155
UCL102001,170,217,388,1991,2402,4397,0,0,0,137,123,264,88,102,190,4353,4687,9040,7,4,8,610,587,1201,26,44,71,44,45,81,79,100,175,22,9,25,77,77,155,148,181,331,266,329,592,34,29,64,29,26,55,304,361,660,500,522,1020,9,6,9,8710,9629,18341,631,531,1154,378,304,679,18,7,27,4,6,11,303,261,567,67,90,151,372,352,724,7226,6353,13574,74,57,133,24,35,58,7324,6439,13769,1199,1044,2246,25,28,47,18818,18557,37376
UCL102002,1254,2011,3261,24103,30084,54187,7,8,20,2140,2646,4780,103,127,229,32659,38122,70780,110,167,274,1067,1156,2224,552,779,1327,310,354,669,273,344,613,172,159,331,1427,1562,2983,1295,1684,2984,2903,3524,6427,237,358,594,589,667,1258,3260,4463,7721,3368,3925,7293,104,143,251,74674,90260,164939,1165,1018,2178,768,668,1437,213,228,442,54,42,91,273,258,531,385,541,927,712,836,1555,66787,61537,128325,548,428,977,263,461,724,67596,62428,130023,10107,10507,20618,169,166,334,156652,168127,324779
UCL102003,243,389,630,4624,5738,10372,0,0,0,295,354,646,0,0,0,6096,7377,13468,25,49,75,100,122,225,246,297,547,28,39,68,80,120,205,15,18,32,91,134,228,329,429,757,831,991,1822,29,70,98,111,146,257,728,1044,1773,595,757,1351,25,22,46,14251,17717,31963,148,132,274,35,42,79,36,38,76,10,6,14,83,65,150,78,129,201,170,200,367,13054,12475,25538,83,75,157,63,132,198,13204,12687,25887,2541,2604,5151,34,43,78,30654,33848,64501
UCL102004,1316,1850,3161,22018,26655,48673,4,0,4,2659,2974,5637,89,82,170,29608,34731,64333,73,105,181,2007,2081,4091,401,530,924,250,281,525,251,333,582,86,73,161,887,998,1885,1878,2157,4036,3133,3655,6790,413,543,954,578,702,1281,5078,7239,12316,3895,4567,8468,202,235,437,73508,87930,161433,1558,1340,2902,1979,1561,3537,125,136,257,39,32,67,300,228,530,370,594,959,704,858,1564,78244,72491,150737,734,570,1310,240,423,662,79221,73489,152711,10218,9585,19800,185,198,378,168807,176942,345748
UCL102005,1110,1781,2890,16619,20513,37128,5,8,13,1009,1172,2176,152,153,307,30629,34487,65114,105,140,244,5925,5950,11875,504,659,1163,138,188,329,392,507,896,235,211,452,399,484,879,1019,1192,2211,2128,2539,4668,229,346,569,135,195,329,2790,3852,6642,3854,4234,8088,72,76,149,66354,76898,143248,1236,954,2185,3320,3154,6471,94,87,180,27,19,42,164,162,331,336,511,845,527,688,1221,54952,49732,104681,494,424,920,210,317,524,55657,50467,106124,8363,8046,16409,124,132,261,136778,142208,278990
UCL111001,183,279,458,2855,3737,6596,0,0,0,244,254,492,66,66,131,5353,6260,11615,11,23,37,135,137,276,74,120,194,30,28,59,345,534,886,6,13,17,51,62,114,258,327,585,609,757,1367,33,48,83,80,103,191,648,940,1583,498,572,1077,16,20,30,11335,14007,25333,683,589,1277,192,150,338,20,17,38,0,3,3,369,309,673,81,99,184,453,414,865,10832,10450,21289,64,43,117,33,40,81,10938,10539,21476,1933,1753,3688,18,23,39,25760,27769,53529
UCL111002,234,323,553,3297,4156,7453,0,0,0,465,520,989,5,4,12,4302,5200,9502,21,19,47,69,65,131,131,172,303,24,26,48,49,70,122,14,18,27,98,133,237,415,536,950,715,852,1563,38,74,114,79,109,185,528,732,1256,556,723,1277,12,14,27,10822,13422,24243,135,130,259,143,127,265,21,12,35,19,15,33,212,197,412,289,363,653,515,579,1096,10387,10205,20590,89,70,155,47,79,123,10519,10353,20872,2100,2147,4244,62,45,106,24553,27127,51683
UCL111003,218,321,535,7394,8833,16221,0,0,0,640,712,1350,79,78,161,9330,10772,20101,28,42,68,143,146,284,72,124,198,79,93,172,37,68,109,13,22,41,230,304,528,315,413,725,902,1069,1971,132,175,306,82,99,185,1227,1750,2975,869,1009,1874,26,25,48,21599,25726,47326,350,308,661,292,250,550,19,21,36,5,11,15,160,133,293,88,187,279,258,336,587,17889,16553,34437,122,113,238,46,78,120,18057,16743,34796,2331,2162,4492,35,37,74,43154,45910,89056
UCL112001,113,160,275,1390,1686,3074,0,0,0,79,110,193,81,65,151,1550,1849,3400,3,8,14,31,26,56,22,35,56,15,17,33,13,22,40,3,0,3,35,29,60,56,81,141,235,337,572,25,45,70,60,62,126,179,279,457,182,227,414,11,9,18,3975,4904,8877,219,219,437,193,165,360,14,9,22,8,8,17,45,52,95,285,342,630,342,394,738,3869,3813,7681,56,39,94,15,24,43,3934,3879,7813,1270,1412,2678,23,15,42,10089,11157,21246
UCL112002,118,148,268,2446,2984,5432,0,0,0,181,208,388,96,85,177,4872,5496,10360,14,12,27,64,60,125,52,43,89,16,14,29,24,36,60,8,8,12,54,52,100,109,116,228,548,610,1153,35,38,78,35,49,86,440,569,1013,264,288,547,3,10,14,9243,10672,19914,220,214,430,161,121,281,4,4,7,6,16,20,86,75,157,52,65,123,144,155,303,6267,5752,12018,64,42,110,9,27,39,6344,5825,12168,1941,1069,3010,20,19,45,18201,18229,36428
UCL112003,255,375,634,1568,1911,3475,0,0,0,218,255,469,112,116,236,1991,2371,4362,3,3,4,103,120,225,69,84,147,18,22,45,44,62,106,7,3,11,31,54,83,43,45,90,195,258,453,23,31,49,24,26,47,241,334,570,350,355,703,20,29,50,5055,6080,11137,78,74,148,57,55,113,47,50,102,5,10,16,8,15,18,89,158,247,98,178,272,7700,7728,15428,111,86,195,63,110,175,7875,7920,15799,956,916,1876,23,25,50,14446,15674,30123
UCL112004,103,146,246,2052,2629,4676,0,0,0,104,117,219,64,59,120,2309,2741,5047,11,19,29,114,125,241,63,65,120,7,18,20,27,32,56,7,4,11,30,29,55,61,95,155,232,346,578,16,15,35,14,20,33,337,446,788,272,333,608,10,17,23,5730,7086,12816,269,241,509,83,54,133,48,44,90,0,0,0,46,50,90,27,55,82,68,107,179,4178,4103,8286,45,53,94,14,35,50,4235,4193,8425,677,732,1410,22,24,46,11233,12627,23858
UCL112005,62,112,176,2026,2481,4507,0,0,0,101,108,215,0,0,0,1686,1917,3602,0,3,3,19,21,43,36,54,92,17,23,39,8,19,30,5,5,7,57,75,128,62,81,141,274,352,625,37,54,93,29,31,61,367,505,871,158,177,335,7,3,11,4892,5908,10803,46,43,89,16,18,33,3,0,4,5,7,11,4,5,5,18,45,57,26,52,77,4656,4273,8931,39,15,57,11,17,33,4704,4314,9017,2203,745,2952,4,13,10,11963,11197,23163
UCL112006,153,195,343,2969,3730,6700,0,0,3,301,312,614,7,3,8,4602,5555,10151,11,9,18,49,63,108,24,32,61,15,16,25,39,43,86,14,11,28,47,47,92,143,176,324,556,628,1185,40,61,106,42,49,91,589,804,1394,418,502,926,3,0,6,9859,12047,21908,637,583,1220,275,234,503,12,12,22,12,9,22,166,136,298,20,48,67,200,190,384,5707,5253,10959,47,25,75,15,28,39,5767,5301,11071,1895,1821,3717,27,26,55,18823,20402,39223
UCL112007,25,25,50,436,502,936,0,0,0,19,26,43,0,0,0,758,885,1650,9,9,7,4,12,15,4,7,14,0,0,0,13,16,30,0,0,0,5,0,7,10,5,20,70,93,159,11,6,15,0,5,5,167,225,393,28,25,52,0,0,0,1526,1824,3354,12,8,18,3,3,4,0,6,6,0,0,0,8,7,19,3,0,3,12,9,26,1335,1229,2562,0,5,3,0,3,3,1337,1230,2568,211,228,441,0,0,0,3131,3333,6463
UCL112008,61,103,162,2195,2764,4958,0,0,0,111,132,244,0,0,0,1927,2325,4249,14,17,26,33,25,62,82,89,171,11,25,38,17,21,44,8,7,18,69,91,166,25,49,73,259,348,610,27,35,66,14,21,36,300,465,764,142,208,354,4,10,14,5243,6640,11886,69,67,132,33,24,60,0,5,5,7,0,14,8,4,10,16,17,34,32,22,56,3586,3356,6942,26,24,46,16,24,36,3625,3399,7026,658,733,1393,11,9,23,9734,11009,20747
UCL112009,95,111,203,2286,2716,5003,0,0,0,126,126,251,89,83,176,2869,3245,6108,9,10,19,97,84,180,42,43,83,8,16,27,19,25,43,0,5,10,28,37,68,56,55,111,194,213,410,30,44,76,23,31,58,328,381,714,168,170,339,6,3,13,6375,7296,13672,153,150,304,104,80,180,3,5,7,0,0,0,29,26,56,42,57,101,70,81,156,3971,3621,7587,38,29,68,19,21,40,4020,3672,7693,1364,815,2173,19,10,30,12203,12219,24418
UCL112010,67,99,155,1034,1191,2224,0,0,3,78,101,173,43,39,82,3509,3798,7308,10,8,18,21,13,32,37,54,85,71,68,145,31,26,60,14,9,24,72,66,135,145,171,311,207,258,465,16,19,33,105,136,241,351,456,803,197,242,437,0,4,9,5942,6658,12593,710,596,1308,379,279,658,0,4,4,3,0,3,419,363,785,24,14,40,444,374,825,2045,1801,3847,18,18,34,3,9,9,2062,1828,3891,852,730,1582,85,37,123,10542,10596,21137
UCL112011,29,53,84,1617,1963,3584,0,0,0,133,133,263,0,0,0,1689,1913,3600,12,8,19,27,29,54,25,32,58,28,30,49,11,20,31,6,3,5,51,57,110,66,55,112,181,239,423,26,37,61,23,30,60,298,431,725,131,158,295,3,0,6,4336,5129,9461,38,27,60,17,20,37,5,5,8,0,0,3,16,14,31,19,42,66,38,58,98,4664,4222,8889,17,29,48,10,17,31,4697,4269,8967,589,567,1154,8,10,15,9753,10135,19893
UCL112012,141,193,332,1457,1812,3266,0,0,0,94,131,226,0,0,0,2493,2897,5383,5,15,24,26,24,52,50,66,114,23,21,40,17,21,38,0,5,6,42,37,77,135,178,317,472,552,1021,24,39,67,91,91,180,417,545,959,378,422,803,48,49,98,5778,6910,12684,71,74,149,65,66,126,12,13,23,8,11,16,45,42,87,90,150,240,145,207,345,5963,5772,11737,67,60,126,35,37,75,6065,5869,11934,1331,1355,2682,34,15,53,13641,14695,28336
UCL112013,11,16,29,115,136,249,0,0,0,0,0,5,0,0,0,248,268,518,0,4,8,6,5,14,3,4,3,0,0,0,7,8,14,0,0,0,6,4,5,14,14,30,11,23,38,0,6,3,3,12,15,42,47,94,18,30,51,0,0,0,483,564,1043,0,0,0,7,10,13,0,0,0,0,0,0,7,3,8,0,4,3,4,9,8,565,504,1070,3,0,3,0,0,0,571,503,1070,111,101,209,36,16,51,1226,1203,2426
UCL112014,46,74,126,1363,1770,3134,0,0,0,146,188,333,0,0,3,1555,1811,3367,0,5,4,46,31,80,64,81,142,20,17,35,18,18,31,0,3,8,47,79,121,62,74,134,169,231,398,46,60,103,1044,1243,2289,280,348,627,415,480,900,75,91,162,5358,6525,11883,38,27,65,36,24,63,6,7,15,0,0,3,9,10,20,25,31,54,36,43,74,4311,3918,8225,45,40,85,19,39,54,4370,3998,8368,615,619,1234,0,10,11,10513,11336,21849
UCL112015,134,205,336,2423,2923,5350,0,0,0,258,275,530,0,0,0,2626,3115,5737,25,28,50,79,67,143,83,104,183,18,31,52,26,26,51,10,5,13,36,49,84,134,185,316,382,472,850,59,46,94,18,21,41,327,439,766,406,458,863,6,6,12,6910,8244,15152,224,187,410,84,79,164,14,12,25,8,9,13,47,34,80,51,87,144,110,131,239,6983,6596,13578,34,33,66,22,35,54,7037,6659,13698,2262,1379,3643,24,10,35,16782,16914,33698
UCL112016,154,190,345,2819,3457,6274,0,0,0,222,272,498,119,133,250,5010,5647,10659,12,21,33,95,93,189,58,75,133,30,30,58,35,31,69,16,6,24,214,218,426,213,294,504,395,458,854,28,39,67,28,34,60,798,1047,1850,500,553,1054,7,5,8,10588,12405,22994,265,227,501,152,136,288,19,6,31,5,0,7,65,48,122,45,75,121,121,130,251,6934,6389,13320,51,38,92,16,25,44,7004,6456,13454,1370,1410,2777,33,24,62,19710,20996,40703
UCL112017,150,233,386,3856,4940,8793,0,0,0,193,228,424,4,0,6,4650,5767,10422,14,21,31,84,79,161,71,97,160,11,21,31,59,68,130,26,25,50,224,234,462,195,259,454,588,743,1328,68,94,162,98,143,244,636,901,1535,610,750,1364,15,17,35,11391,14405,25795,162,148,310,67,71,137,18,17,38,9,4,8,40,33,74,62,98,165,116,129,245,9345,8796,18143,91,50,146,34,67,104,9473,8916,18391,1631,1640,3275,45,37,81,23056,25603,48654
UCL112018,146,181,327,3378,4188,7567,0,0,0,155,175,332,43,53,96,3520,4089,7612,3,13,17,38,23,57,54,79,137,27,22,51,21,19,38,8,9,16,63,56,121,144,184,329,361,504,866,42,49,91,34,32,62,446,635,1077,325,361,686,16,12,28,8679,10507,19187,230,216,448,168,117,287,4,3,10,7,9,17,84,74,157,32,66,102,122,148,274,6077,5537,11616,33,31,69,15,20,35,6126,5593,11720,1794,1743,3532,39,13,52,17310,18526,35838
UCL112019,152,181,336,3407,4188,7598,0,0,0,294,295,591,94,97,189,6371,7386,13757,37,37,68,78,77,152,51,78,127,24,27,50,184,265,447,85,91,174,130,129,263,206,267,479,783,1008,1783,38,39,74,63,65,129,686,973,1659,475,545,1022,6,12,20,13018,15562,28578,304,226,520,272,226,496,6,9,11,3,10,14,93,75,172,430,500,932,525,579,1111,8012,7516,15531,68,39,113,25,36,66,8105,7604,15709,1656,1528,3181,78,26,106,24118,25930,50049
UCL113001,70,120,189,1370,1815,3185,0,0,0,59,77,143,0,0,0,1700,2060,3763,0,4,8,24,34,55,43,44,91,4,7,12,24,27,47,6,0,10,19,27,49,51,90,137,304,378,688,11,22,40,30,38,69,251,330,581,137,192,329,9,16,27,4067,5158,9225,53,44,93,13,19,33,11,5,19,6,3,10,41,32,72,13,31,44,61,63,129,3707,3583,7293,23,13,48,18,44,60,3756,3641,7398,730,802,1532,12,8,20,8768,9867,18634
UCL113002,42,65,109,1057,1300,2354,0,0,0,48,58,108,0,0,0,1190,1375,2569,0,0,5,37,39,77,32,48,82,0,0,8,25,30,52,8,7,15,15,18,30,45,60,104,135,160,293,20,20,40,12,9,22,132,209,343,103,119,222,0,0,3,2859,3462,6318,37,25,63,18,17,33,3,3,9,3,0,4,9,16,28,11,23,36,24,42,66,2418,2216,4628,14,11,31,13,27,43,2444,2253,4699,593,544,1136,7,4,10,6027,6415,12449
UCL113003,41,43,84,722,822,1543,0,0,0,64,81,151,0,0,0,1409,1748,3155,17,22,38,21,27,48,10,14,28,15,15,27,41,70,113,6,5,17,43,53,95,40,60,99,79,66,145,48,78,127,13,20,33,436,639,1075,98,124,223,0,0,0,3081,3848,6923,35,30,70,26,24,51,0,0,3,0,0,4,0,4,0,18,33,55,27,37,60,4441,4141,8577,29,24,50,5,16,24,4478,4183,8657,869,883,1753,7,10,15,8568,9054,17615
UCL113004,96,135,230,344,402,742,0,0,0,20,19,41,0,0,0,614,758,1376,0,3,3,25,33,55,16,17,36,0,0,0,8,9,16,0,0,0,7,14,21,25,25,43,64,76,139,0,4,3,0,3,3,81,94,180,47,57,108,0,6,6,1252,1524,2780,31,20,54,12,5,15,53,58,113,0,4,9,0,0,0,14,34,44,14,36,47,3134,3189,6317,15,16,31,34,67,96,3176,3268,6443,600,561,1162,57,42,104,5298,5659,10953
UCL113005,23,56,74,1571,1908,3481,0,0,0,91,109,201,0,0,0,1409,1684,3094,3,0,3,12,12,31,45,63,113,7,14,27,9,17,25,0,0,0,11,19,23,39,71,117,316,439,760,33,43,79,14,26,39,172,222,401,138,153,294,0,0,0,3895,4792,8688,29,31,60,28,21,44,0,0,0,4,5,3,25,31,50,24,35,57,45,67,112,3493,3206,6699,22,16,35,11,20,31,3522,3244,6765,783,724,1506,45,8,50,8366,8941,17311
UCL113006,11,22,34,723,875,1599,0,0,0,26,43,74,0,0,0,989,1180,2167,0,0,4,9,4,18,35,48,80,7,4,9,0,11,9,0,0,3,14,20,30,24,31,58,88,112,202,22,39,59,95,118,212,193,257,449,90,102,198,0,0,0,2322,2848,5175,10,14,29,12,9,19,3,0,3,8,21,28,9,7,11,12,15,34,31,39,72,1930,1863,3792,8,5,14,7,9,13,1942,1872,3814,1307,649,1958,4,7,8,5641,5466,11108
UCL113007,32,67,97,1189,1383,2572,0,0,0,61,88,150,0,0,0,1484,1705,3189,0,0,3,71,78,146,29,48,73,6,7,5,23,22,46,3,5,3,21,9,29,32,39,75,187,189,376,8,4,10,7,0,5,207,261,465,113,135,247,4,5,7,3429,3980,7412,17,18,38,15,14,35,12,8,20,0,5,4,0,0,0,6,14,26,9,24,32,3133,2948,6081,23,20,43,9,21,33,3170,2992,6152,407,392,800,8,13,16,7096,7503,14601
UCL113008,41,61,100,830,1019,1843,0,0,0,80,78,155,72,61,132,1105,1271,2380,0,0,0,22,19,45,30,38,68,13,16,27,7,0,10,0,0,0,15,19,31,45,46,90,160,174,335,14,28,44,15,17,29,260,319,576,91,86,176,0,3,9,2759,3195,5952,38,37,80,32,14,40,5,6,14,0,0,3,3,3,7,17,37,58,23,49,72,2090,1888,3979,26,26,50,9,18,29,2123,1931,4053,485,393,879,0,0,0,5509,5689,11195
UCL113009,19,37,52,867,963,1824,0,0,0,112,133,246,0,0,0,910,985,1891,0,6,5,18,14,37,3,8,14,5,7,9,21,13,33,0,0,0,16,17,33,35,42,70,96,120,217,10,14,28,9,5,9,157,186,341,138,152,290,7,0,3,2399,2655,5052,10,14,24,11,11,22,5,5,12,0,0,0,3,4,0,5,14,22,9,15,24,2249,2016,4262,12,10,29,7,10,23,2273,2036,4312,174,144,320,11,3,8,4908,4924,9830
UCL113010,14,45,57,980,1196,2169,0,0,0,43,59,99,0,0,0,1359,1440,2795,0,0,0,22,17,30,28,42,68,0,0,8,3,5,9,0,0,0,11,8,20,59,55,113,132,161,294,7,11,18,4,5,10,122,166,286,89,104,188,0,4,10,2857,3273,6132,39,33,68,21,16,35,7,4,14,4,0,5,21,23,45,12,12,29,34,40,74,2357,2138,4493,18,18,35,6,6,10,2383,2157,4540,451,401,855,0,4,4,5803,5972,11776
UCL113011,29,55,83,1208,1397,2606,0,0,0,68,68,139,3,5,4,1137,1152,2286,0,0,3,11,11,28,22,33,57,3,0,0,0,0,5,10,6,17,9,12,28,26,29,58,106,103,211,7,7,13,17,12,31,110,138,242,85,83,167,5,9,14,2823,3081,5904,33,22,54,29,16,45,4,4,7,6,0,0,14,14,32,11,12,25,30,28,56,2208,1778,3981,13,10,28,3,11,14,2223,1802,4026,463,378,845,3,4,7,5637,5390,11023
UCL113012,53,93,144,1214,1545,2758,0,0,0,92,94,185,0,0,0,1392,1749,3140,6,4,12,84,98,184,19,33,55,0,0,6,13,22,37,0,6,0,13,18,31,112,146,261,206,223,428,11,19,25,6,12,23,221,257,469,113,141,254,4,3,8,3515,4377,7886,67,42,109,21,24,43,3,0,12,0,0,4,6,9,16,9,17,33,19,32,48,2848,2558,5407,21,18,37,15,18,30,2884,2587,5474,389,374,758,8,6,12,6962,7532,14495
UCL113013,37,66,100,1202,1389,2594,0,0,0,119,148,269,0,0,0,1218,1355,2574,3,8,11,25,23,48,13,16,30,10,14,24,11,5,13,0,3,3,51,47,98,48,45,93,114,140,258,13,27,46,8,15,23,209,301,514,123,143,264,3,3,5,3175,3688,6865,18,19,41,56,27,81,0,0,0,4,0,7,16,12,26,15,34,52,34,51,82,2993,2764,5760,25,19,41,11,10,23,3032,2794,5825,521,459,975,0,0,4,6872,7099,13972
UCL113014,41,74,114,1503,1687,3187,0,0,0,76,90,169,66,63,126,1488,1615,3100,0,0,4,9,5,16,14,19,36,5,5,10,19,18,28,0,0,0,35,34,67,65,61,121,114,99,214,8,13,25,11,14,26,220,270,484,123,126,244,19,28,45,3759,4136,7896,39,34,77,30,18,52,0,0,0,0,0,0,3,3,6,18,17,38,18,20,43,2799,2514,5312,26,11,37,10,8,18,2828,2533,5367,469,357,824,3,5,14,7205,7180,14390
UCL113015,27,45,68,973,1192,2163,0,0,0,59,70,122,0,0,0,933,1094,2024,3,0,3,77,49,122,39,50,94,7,10,17,21,15,34,0,0,0,17,15,29,20,30,48,105,119,225,11,20,32,3,9,18,82,123,207,86,109,194,6,4,4,2425,2917,5346,8,4,9,24,14,37,0,3,7,3,0,6,0,0,0,21,19,42,22,20,43,2413,2162,4566,19,13,28,10,13,18,2429,2183,4611,386,353,735,4,4,10,5320,5542,10862
UCL113016,48,78,127,1714,2098,3813,0,0,0,187,203,384,0,0,0,1265,1507,2775,5,15,22,28,29,55,41,63,106,24,26,50,13,21,35,5,7,14,31,33,72,63,84,145,231,298,526,60,92,152,27,37,64,295,479,779,195,258,444,0,3,6,4188,5262,9450,40,39,88,40,45,83,4,10,12,4,5,4,12,15,28,18,26,40,33,46,77,3445,3246,6692,23,19,45,11,16,32,3481,3285,6769,861,842,1704,4,3,7,8702,9611,18314
UCL113017,66,103,173,1175,1393,2559,0,0,0,137,186,324,0,0,0,1338,1593,2936,0,6,6,53,43,90,32,36,66,9,8,10,16,15,36,0,0,0,8,18,25,19,24,46,156,174,336,8,13,18,6,3,16,193,247,440,111,148,261,8,12,13,3258,3915,7172,17,15,36,20,8,31,6,9,18,0,0,0,0,0,0,16,18,40,22,18,41,3112,2863,5974,23,17,38,16,17,33,3147,2900,6041,507,458,961,5,8,14,7054,7433,14486
UCL113018,5,11,9,169,189,359,0,0,0,0,5,10,0,0,0,321,354,671,0,0,0,0,0,5,3,3,7,0,3,3,6,0,5,0,0,0,0,9,8,0,4,0,40,35,70,0,0,0,0,0,0,63,67,128,9,8,20,0,0,0,617,676,1291,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,399,816,0,0,0,0,0,0,414,402,818,102,99,200,0,0,0,1138,1188,2325
UCL114001,20,35,59,318,445,759,0,0,0,52,68,116,0,0,0,425,539,964,3,0,3,7,5,12,12,15,30,10,12,21,8,10,13,0,0,0,3,12,12,30,38,76,64,101,164,0,5,8,23,38,62,112,167,287,60,77,139,0,0,3,1126,1542,2668,8,3,16,4,0,4,5,3,7,0,0,0,0,0,4,3,14,13,7,14,20,1020,1046,2065,7,13,17,3,7,18,1030,1063,2098,129,140,271,0,0,0,2321,2805,5132
UCL114002,17,38,54,1011,1196,2203,0,0,0,46,86,129,0,0,0,753,829,1583,6,3,7,3,5,9,9,13,20,6,5,10,5,15,16,0,0,0,16,14,25,5,13,19,128,131,263,8,8,14,0,6,8,124,197,324,48,51,96,0,0,3,2162,2578,4742,7,7,14,4,4,4,0,0,0,0,0,0,0,0,3,6,12,17,9,10,21,1398,1296,2695,13,12,20,3,9,12,1416,1313,2727,251,213,465,5,4,10,3871,4175,8051
UCL114003,24,19,39,794,995,1789,0,0,0,54,60,116,4,5,3,993,1102,2093,0,0,0,6,7,12,30,36,61,0,0,4,5,8,6,0,0,0,13,19,35,50,92,135,212,247,455,11,14,26,12,22,35,147,220,368,127,150,281,10,17,27,2463,2986,5447,11,17,29,4,10,11,0,0,0,0,5,3,0,0,4,9,14,20,14,19,22,1722,1555,3281,12,11,24,6,8,9,1738,1576,3321,605,589,1193,4,3,3,4863,5210,10069
UCL114004,34,44,83,432,538,974,4,0,5,68,62,134,0,0,0,763,770,1539,0,0,0,25,30,50,6,19,23,0,0,3,22,34,59,0,0,0,7,6,18,31,32,62,48,43,86,4,0,3,0,0,0,51,73,127,41,60,101,0,0,0,1503,1677,3176,38,31,68,48,34,86,0,3,3,0,0,0,9,10,16,11,20,29,15,27,41,1280,1148,2420,3,9,13,7,9,13,1289,1167,2454,465,193,658,13,6,11,3406,3169,6581
UCL114005,13,11,23,606,749,1350,0,0,0,30,34,61,0,0,0,726,816,1544,0,0,0,6,0,8,8,11,18,4,3,8,3,8,10,0,0,0,10,4,17,18,31,49,67,79,147,4,10,11,4,7,10,122,150,269,51,52,104,0,0,0,1665,1943,3610,3,10,13,5,10,16,0,6,9,0,6,6,7,0,7,3,3,10,15,15,19,845,756,1602,3,0,8,0,10,12,856,762,1619,225,181,407,0,0,3,2792,2934,5719
UCL114006,10,17,30,403,481,881,0,0,0,44,43,87,0,0,0,593,702,1298,0,0,0,7,3,14,6,6,8,0,5,5,18,25,37,0,0,0,4,7,12,3,0,8,158,180,340,0,0,3,0,0,7,72,113,183,20,34,52,0,0,0,1334,1601,2931,8,4,13,8,10,14,0,0,0,0,0,0,5,4,5,3,7,11,9,3,14,1032,961,1992,0,0,3,0,0,0,1036,960,1994,163,151,316,0,0,3,2565,2755,5320
