UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL121014,0,0,3,39,28,63,0,0,0,3,8,9,0,0,0,41,54,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,16,24,0,0,0,0,0,0,8,5,10,0,5,3,7,4,7,115,110,221,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,134,104,235,0,3,3,0,0,0,134,108,239,37,22,61,0,0,0,291,242,529
UCL121015,3,3,7,51,54,109,0,0,0,0,3,11,0,0,0,43,63,108,0,0,0,0,0,9,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,9,12,21,0,0,0,3,0,8,4,11,17,9,8,23,0,0,3,134,160,300,0,0,0,4,5,9,0,0,3,0,0,6,0,0,0,0,7,7,0,6,4,205,165,365,0,4,4,0,6,6,205,168,372,12,22,32,0,0,0,363,369,728
UCL121016,7,6,11,26,34,54,0,0,0,0,3,0,0,0,0,46,58,108,0,0,0,0,0,0,3,0,7,5,3,9,4,0,7,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,4,5,7,0,3,5,8,11,20,0,0,0,106,122,228,0,0,0,0,0,0,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,121,117,242,0,0,0,0,0,0,123,119,244,27,33,51,0,0,0,272,286,556
UCL121017,3,0,8,70,62,134,0,0,0,7,8,12,0,0,0,98,100,201,0,0,0,4,7,14,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,3,13,0,0,0,5,5,9,15,12,31,12,15,28,0,0,0,222,228,454,5,4,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,175,168,350,0,0,0,0,0,0,180,168,347,13,13,23,0,0,0,420,414,839
UCL121018,0,0,0,97,106,203,0,0,0,11,11,17,0,0,0,68,81,145,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,18,20,36,0,0,7,0,0,0,11,7,23,6,3,9,0,0,0,215,237,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,180,168,351,3,0,3,0,0,0,186,174,353,23,19,45,0,0,0,427,432,859
UCL121019,0,0,4,62,60,129,0,0,0,0,6,7,0,0,0,83,74,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,0,0,0,12,8,22,0,0,0,0,0,0,19,27,43,11,13,27,0,0,5,195,201,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,126,127,255,0,4,6,0,3,3,130,133,262,7,9,18,0,0,0,341,348,687
UCL121020,0,9,7,24,28,47,0,0,0,0,0,0,0,0,0,33,38,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,6,10,18,6,0,8,0,0,4,70,84,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,169,357,5,0,0,0,0,0,188,172,362,16,27,45,0,0,0,283,283,570
UCL121021,0,0,7,52,57,109,0,0,0,0,0,0,0,0,0,76,79,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,10,14,27,0,0,0,0,0,0,22,31,51,3,3,5,0,0,0,160,188,349,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,53,134,0,0,0,0,0,0,84,53,141,46,24,68,0,0,0,295,270,568
UCL121022,0,0,0,107,131,238,0,0,0,0,6,7,0,0,0,69,68,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,22,20,39,0,0,0,0,0,0,5,0,6,4,3,4,0,0,0,219,234,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,77,84,162,0,0,0,0,0,0,71,84,160,43,45,89,0,0,0,336,363,703
UCL121023,0,3,6,63,60,119,0,0,0,0,3,9,0,0,0,71,43,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,3,0,0,0,6,0,9,3,8,9,0,3,0,5,7,13,6,5,13,0,0,5,161,146,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,7,113,103,213,0,0,0,0,0,5,111,100,218,24,24,54,0,0,0,310,274,586
