UCL_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
UCL122157,58,5,3,0,0,0,5,69
UCL122158,15,0,0,0,0,0,0,16
UCL131001,56049,5933,2502,731,120,48,560,65939
UCL179997,0,0,0,0,0,0,0,0
UCL201001,529066,29684,12983,4596,418,188,1369,578308
UCL203001,9070,851,491,98,16,11,47,10574
UCL203002,8849,850,476,90,12,10,59,10344
UCL203003,17150,1383,664,115,16,9,57,19402
UCL211001,3243,363,230,35,4,5,30,3910
UCL211002,8243,667,451,142,20,12,54,9595
UCL212001,2273,226,150,18,4,3,7,2684
UCL212002,1009,122,70,16,0,0,5,1230
UCL212003,2710,285,167,37,9,3,33,3255
UCL212004,2424,157,57,10,0,0,8,2653
UCL212005,4427,377,217,57,9,7,30,5126
UCL212006,4423,375,214,24,10,0,18,5066
UCL212007,2800,174,79,5,0,0,0,3067
UCL212008,2391,290,152,14,0,5,17,2865
UCL212009,2902,273,119,18,8,0,17,3334
UCL213001,1003,107,52,7,0,4,14,1187
UCL213002,765,68,25,8,0,0,4,864
UCL213003,1017,88,43,11,0,0,6,1161
UCL213004,1346,142,103,11,0,4,10,1624
UCL213005,1452,168,97,20,0,0,12,1745
UCL213006,1490,91,38,3,0,0,3,1627
UCL213007,1377,140,98,11,0,3,15,1644
UCL213008,1835,146,105,16,6,3,11,2124
UCL213009,1262,148,73,12,0,0,3,1498
UCL213010,1000,147,98,15,0,0,13,1270
UCL213011,825,116,75,11,3,0,16,1051
UCL213012,766,86,48,4,0,0,3,901
UCL213013,1120,125,71,4,3,0,8,1332
UCL213014,915,73,50,8,0,0,7,1052
UCL213015,1810,155,106,17,8,0,8,2105
UCL213016,1573,140,96,11,7,3,15,1853
UCL213017,1765,188,106,22,3,0,10,2090
UCL213018,599,69,41,12,0,0,0,727
UCL214001,479,59,39,10,0,0,4,588
UCL214002,834,60,36,7,0,0,8,939
UCL214003,580,62,48,6,0,0,4,702
UCL214004,348,44,25,3,0,0,3,431
UCL214005,91,13,6,0,0,0,0,107
UCL214006,422,33,27,7,0,0,5,489
UCL214007,600,35,26,14,0,0,0,676
UCL214008,775,54,39,0,0,0,12,882
UCL214009,763,86,46,4,0,0,8,911
UCL214010,471,32,12,5,0,0,5,526
UCL214011,859,81,46,9,5,0,4,1003
UCL214012,466,54,27,5,0,0,6,558
UCL214013,467,39,15,3,0,0,0,530
UCL214014,368,43,30,7,0,0,0,450
UCL214015,458,50,27,0,0,0,0,545
UCL214016,470,51,32,4,3,0,3,561
UCL214017,403,22,10,0,0,0,0,436
UCL214018,548,53,18,0,0,0,7,630
UCL214019,380,48,22,0,0,0,6,463
UCL214020,391,27,25,4,0,0,3,455
UCL214021,576,51,25,5,0,0,3,661
