UCL_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL101001,1268285,1265610,2533893,7778,6105,13888,14887,12770,27657,4358,5079,9442,103651,131247,234892,5747,6411,12156,9824,9214,19042,15374,18019,33395,7373,8191,15563,12214,14172,26385,21362,24201,45567,98625,85977,184600,15395,19283,34678,13425,12176,25598,26228,26087,52314,11000,9527,20523,18686,17700,36385,3991,8470,12461,22559,27088,49646,31087,29327,60411,16504,17625,34123,32425,25998,58425,3691,3448,7139,39390,37502,76897,17691,13002,30697,36428,51699,88119,4690,6221,10905,5908,6816,12728,18064,18373,36435,14307,13963,28270,5583,7237,12821,8287,16830,25119,82000,71514,153507,11589,12224,23817,40836,52084,92915,157253,167726,324973,109022,104799,213827,6223,6705,12928,2321728,2370429,4692155
UCL102001,13951,13786,27739,12,5,13,83,69,155,31,46,82,75,99,172,74,84,159,23,24,46,57,67,123,82,92,169,45,67,114,14,18,35,571,452,1020,23,57,84,20,19,36,16,5,15,31,26,52,131,138,268,9,14,26,16,29,46,6,11,14,44,42,88,273,219,485,35,30,64,299,233,535,88,45,141,204,294,503,21,26,48,14,16,31,73,77,149,42,40,84,3,9,10,21,81,97,538,461,999,94,86,186,27,40,70,886,899,1788,865,822,1685,25,28,47,18818,18557,37376
UCL102002,124155,131744,255898,13,11,19,71,67,135,290,332,628,684,1150,1837,152,144,295,222,191,415,193,240,432,505,638,1138,164,143,301,179,183,361,1211,1100,2316,228,297,521,112,111,221,30,25,49,541,556,1096,524,345,871,100,248,345,340,450,790,126,93,217,208,277,491,283,255,533,407,470,878,2761,2782,5542,111,85,197,725,1703,2433,178,228,414,93,126,225,948,1028,1970,150,133,287,37,68,101,194,631,825,8715,8821,17537,562,600,1162,156,260,413,3724,4157,7881,7389,8283,15674,169,166,334,156652,168127,324779
UCL102003,23766,26033,49804,0,0,0,0,0,0,75,96,165,53,111,169,17,5,23,11,9,18,25,43,71,140,171,307,13,11,25,20,29,49,200,159,361,25,41,61,9,8,11,0,0,3,78,53,129,87,62,144,43,100,142,17,29,41,10,6,13,41,54,89,24,19,41,99,86,186,918,1019,1936,12,5,16,124,334,459,30,34,65,20,22,41,165,163,325,11,19,33,7,12,19,39,137,174,1815,1951,3767,139,138,273,14,44,53,723,859,1575,1856,1956,3813,34,43,78,30654,33848,64501
UCL102004,140775,147174,287947,158,154,307,194,164,358,304,381,682,894,1025,1916,150,148,303,105,78,184,130,132,266,608,759,1363,208,243,456,193,239,430,1427,1236,2664,212,245,454,170,155,325,79,60,139,355,313,666,466,466,935,82,176,258,286,339,632,45,43,87,369,448,819,379,309,687,328,312,637,1899,1731,3629,438,193,630,526,1281,1811,165,266,429,108,145,254,684,719,1405,210,188,396,46,87,131,169,498,676,5075,4939,10016,564,679,1241,304,443,742,3799,4181,7985,6728,6796,13520,185,198,378,168807,176942,345748
UCL102005,104246,106924,211167,25,28,57,135,90,224,238,317,558,927,1037,1968,461,490,948,150,133,282,145,158,311,676,813,1482,362,410,773,116,120,235,1528,1044,2571,122,215,338,187,180,367,218,250,475,332,297,621,1272,1408,2683,70,148,217,159,202,363,379,370,749,195,224,420,196,170,362,425,471,895,1454,1464,2917,346,182,526,526,1241,1768,185,275,460,82,109,194,473,482,954,160,169,330,46,76,115,248,662,903,6404,6856,13265,414,492,907,472,622,1096,7498,8020,15525,5791,5918,11707,124,132,261,136778,142208,278990
UCL111001,20834,22804,43642,3,0,9,32,32,65,34,31,59,46,88,136,22,24,41,12,7,14,27,22,49,113,132,245,27,23,53,14,14,31,618,450,1065,13,29,40,12,12,25,5,0,5,31,21,53,47,33,82,10,11,13,19,20,36,13,5,21,22,26,55,176,167,348,84,96,179,278,266,547,46,25,66,156,268,417,13,16,28,12,21,33,82,83,167,49,41,93,3,15,18,18,72,94,630,606,1233,48,63,115,28,41,72,629,700,1327,1534,1479,3013,18,23,39,25760,27769,53529
UCL111002,19208,21086,40293,16,24,36,4,0,6,56,76,128,49,79,133,10,14,21,15,13,27,36,47,79,98,117,222,12,5,16,17,26,46,244,216,462,10,41,49,12,8,17,179,206,385,44,50,89,54,40,92,22,48,71,12,9,23,5,8,18,108,82,190,38,32,70,69,84,147,321,373,693,16,12,23,90,232,329,10,23,39,14,11,24,134,148,285,19,16,38,11,21,32,43,111,149,971,1008,1982,73,87,162,32,36,68,819,961,1781,1610,1731,3344,62,45,106,24553,27127,51683
UCL111003,37564,39861,77424,9,8,12,32,29,61,48,47,92,104,176,281,15,10,27,15,18,31,44,39,77,128,131,259,7,14,25,31,41,72,421,382,801,17,43,61,16,14,31,15,11,26,52,42,97,48,34,82,9,18,29,48,47,95,11,13,22,64,73,135,50,40,94,57,60,115,495,435,929,72,42,109,164,420,588,21,36,67,17,11,26,193,172,370,34,44,80,18,54,74,44,119,162,1012,1017,2024,79,90,171,50,74,124,509,590,1097,1601,1622,3218,35,37,74,43154,45910,89056
UCL112001,7234,7910,15149,0,3,3,57,42,98,33,32,57,54,84,133,0,3,10,9,0,10,16,10,29,32,31,64,3,7,7,9,12,16,123,133,258,4,19,24,25,19,41,268,310,581,13,10,22,6,9,16,6,23,26,9,13,18,3,4,3,16,17,39,124,135,257,17,20,35,102,103,204,23,14,33,59,97,157,0,5,6,5,7,6,47,46,96,45,56,92,3,12,14,8,15,30,260,250,510,54,59,112,26,42,67,302,319,620,1070,1278,2351,23,15,42,10089,11157,21246
