UCL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL422010,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,3,0,0,16,3,6,14,47,50,66,61,31,5,281
UCL422011,0,0,0,0,3,0,4,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,11,0,18,4,3,8,18,30,42,55,37,5,202
UCL422012,0,0,0,0,0,4,4,4,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,7,3,0,30,14,36,58,49,76,74,44,20,0,370
UCL422013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,11,13,35,39,59,47,22,13,0,236
UCL422014,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,14,3,13,14,17,25,44,27,9,0,162
UCL422015,0,0,0,0,0,4,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,5,3,4,34,3,6,22,16,40,101,105,40,11,356
UCL422016,0,0,0,0,0,4,7,4,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,11,0,8,9,11,27,45,31,23,7,169
UCL422017,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,8,9,9,34,36,35,29,15,180
UCL422018,0,0,0,0,0,0,13,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,0,10,0,4,24,21,22,37,43,19,3,167
UCL422019,0,0,0,0,0,0,14,9,6,25,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,11,16,10,0,57,9,9,33,38,41,98,161,73,12,478
UCL422020,0,0,0,3,0,0,5,10,5,22,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,10,4,3,3,43,10,14,19,59,38,73,72,34,8,331
UCL422021,0,0,0,0,5,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,10,3,0,45,0,13,40,26,39,83,107,23,7,348
UCL422022,0,3,3,10,6,0,3,0,0,32,0,0,0,0,0,3,4,0,6,9,4,0,4,4,0,0,5,0,0,21,28,35,62,41,39,24,16,4,6,252
