UCL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL101001,546,1009,5048,8006,11734,20110,31011,28741,15746,121949,201,1119,5851,6248,8294,12121,11874,9716,6096,61526,10993,17910,47721,38561,27934,24327,22547,20960,17432,228385,107652,311022,749959,711891,593569,505427,374228,211942,91853,3657536
UCL102001,13,4,55,42,84,149,281,281,144,1046,0,0,14,20,13,19,32,39,35,170,68,106,376,250,204,233,166,126,76,1598,848,2305,6137,5312,5320,4581,2770,1423,573,29261
UCL102002,98,64,255,327,617,1382,2393,2228,1462,8835,15,33,80,90,125,165,196,172,122,989,797,818,1939,1905,1816,1852,2361,2692,2142,16334,8360,17277,36185,38964,40941,41234,37560,24212,10126,254869
UCL102003,10,9,49,69,105,232,561,727,474,2244,7,0,3,6,19,31,33,34,28,167,160,169,502,483,462,492,537,666,565,4035,1409,2756,6126,7133,7706,8833,9308,6447,2882,52594
UCL102004,98,105,317,421,594,1275,2191,2090,1640,8729,12,28,110,143,179,219,199,163,138,1205,868,1168,2150,1812,1644,1702,2025,2317,1829,15507,9177,23565,46760,43702,42997,41290,35623,21759,9517,274404
UCL102005,66,71,259,384,530,1357,2735,2830,1698,9926,14,33,113,156,182,211,365,447,345,1863,770,893,1725,1503,1370,1298,1494,1793,1483,12341,7873,19406,36665,34571,34825,34046,27473,17239,7343,219442
UCL111001,20,17,90,133,116,224,374,441,291,1710,0,11,44,58,101,74,52,39,19,398,170,212,441,386,333,359,321,333,188,2745,1413,3403,7238,6587,6324,6311,5557,3359,1370,41572
UCL111002,23,30,113,198,134,264,403,403,273,1843,3,14,92,77,54,63,47,19,13,382,186,148,470,421,401,378,418,521,450,3389,1380,2505,5731,5993,6347,6540,6448,4154,1824,40927
UCL111003,42,40,112,120,216,426,701,561,348,2551,0,4,30,26,40,54,42,28,13,245,182,199,532,466,341,360,382,400,248,3110,2514,5421,13004,11827,10660,9619,8031,4491,1531,67096
UCL112001,12,29,43,53,42,90,115,134,87,594,3,21,50,36,24,18,22,14,4,192,388,403,321,214,156,168,133,189,118,2089,1070,2031,3080,2389,2152,2290,1807,1357,558,16734
UCL112002,11,11,46,40,71,152,247,250,182,1001,0,9,17,11,21,14,24,16,9,118,126,252,556,456,324,217,182,210,136,2452,1124,2630,5111,4371,4324,4030,3374,2059,946,27971
UCL112003,6,0,24,24,43,83,143,106,74,503,6,0,15,12,17,9,20,7,3,92,76,48,122,137,171,171,191,159,74,1141,641,1248,2715,3545,4280,4581,4507,2130,694,24335
UCL112004,8,4,6,16,29,41,116,120,79,417,4,0,7,7,7,14,10,7,11,74,37,39,81,109,126,113,150,207,190,1055,460,918,1974,2368,2897,3035,3645,2869,1087,19256
UCL112005,18,14,47,44,66,171,307,192,121,981,0,0,9,9,12,15,15,14,4,75,74,217,636,537,384,240,226,235,160,2710,695,1437,3306,2899,2770,2707,2409,1368,644,18232
UCL112006,11,13,41,49,103,203,351,296,176,1249,0,4,20,15,12,24,28,17,3,126,211,209,588,429,370,317,286,261,179,2857,1120,2363,6590,4780,4181,4175,3320,2221,897,29647
UCL112007,0,0,3,8,12,31,76,110,45,274,0,0,0,0,0,3,3,4,0,14,20,14,40,38,37,50,78,86,52,410,125,217,617,683,750,825,1041,661,205,5124
UCL112008,3,7,23,26,58,114,284,261,197,972,0,0,3,5,16,8,9,4,16,71,48,40,113,96,113,156,289,308,234,1397,465,707,1476,1688,2083,3042,4103,2882,1341,17791
UCL112009,10,5,35,53,64,124,256,245,148,938,0,0,6,15,9,19,6,19,10,96,89,133,378,276,274,187,212,181,165,1891,665,1574,3519,2860,2863,2939,2579,1635,717,19360
UCL112010,7,8,50,65,116,161,269,270,173,1110,0,5,42,23,42,41,46,36,38,275,52,90,267,193,189,173,142,156,149,1414,543,1225,3379,2747,2582,2383,1709,1113,593,16270
UCL112011,8,13,25,33,62,152,279,136,92,794,0,3,10,4,5,7,9,9,5,54,52,67,150,116,117,93,112,108,52,870,613,1300,3196,2344,2329,2217,1882,871,323,15073
UCL112012,12,14,36,60,66,117,209,250,178,944,6,7,6,6,8,12,11,6,13,79,145,156,291,260,207,255,252,237,211,2016,854,1682,3517,3330,3470,3775,3199,1873,909,22605
UCL112013,4,0,3,0,0,8,18,34,8,81,0,3,0,0,0,0,0,0,0,4,23,14,17,25,39,21,10,3,4,151,74,127,301,296,308,303,224,109,29,1765
UCL112014,11,10,26,35,47,104,161,167,119,679,5,0,12,7,7,16,20,12,8,81,45,51,102,75,81,95,136,162,149,894,555,1217,2557,2313,2395,2703,2625,2043,921,17337
UCL112015,19,15,50,82,122,223,375,276,202,1360,4,6,3,13,13,17,23,25,18,122,175,223,657,547,441,300,264,245,108,2949,911,1948,4783,4044,3775,3831,3604,2294,985,26168
UCL112016,28,22,57,72,114,202,343,284,192,1320,0,0,18,25,27,19,42,26,10,169,120,153,350,291,276,252,268,255,177,2143,1063,2424,5747,5145,4709,4286,3715,2322,1006,30414
UCL112017,13,5,31,49,92,171,397,380,321,1456,0,0,9,13,18,23,14,11,13,103,104,125,246,262,273,311,428,457,389,2596,1217,2407,4529,5086,5829,6360,6854,4930,2182,39393
UCL112018,27,15,77,68,105,196,326,314,214,1341,3,3,28,20,17,31,25,16,4,149,198,216,471,392,342,292,314,376,252,2854,1137,2213,5231,4133,3871,3954,3434,2500,1151,27627
UCL112019,33,44,115,148,144,234,348,383,265,1714,0,14,82,94,65,55,42,27,16,391,167,182,410,334,330,288,304,245,193,2459,1479,3370,7056,5989,5706,5689,4726,2856,1287,38164
UCL113001,3,4,21,28,36,85,170,201,182,735,3,0,12,6,6,6,13,3,8,68,55,49,127,129,135,140,228,238,233,1332,392,721,1658,1893,2099,2495,3138,2116,1171,15683
UCL113002,7,5,14,19,41,70,167,147,79,551,0,0,5,7,4,0,9,3,8,43,53,44,112,96,146,137,162,160,92,1001,299,483,1112,1122,1475,1856,2100,1350,560,10361
UCL113003,11,13,34,56,69,227,367,229,149,1165,0,0,0,0,7,10,3,15,3,47,93,103,199,205,169,176,193,168,132,1435,530,919,2175,1878,2016,2592,2244,1263,584,14205
UCL113004,0,0,10,11,5,17,32,25,14,121,0,0,3,5,0,0,0,0,0,13,33,77,229,151,114,109,84,36,28,864,173,570,2141,1651,1387,1398,1168,475,174,9128
UCL113005,12,4,30,32,65,101,178,199,147,768,0,3,5,8,11,15,14,12,5,75,73,99,183,146,151,139,174,170,169,1303,479,1013,1969,1842,1958,2134,1984,1408,700,13488
UCL113006,14,9,31,18,43,108,178,149,76,624,3,5,0,0,7,8,6,11,8,39,99,185,463,348,196,174,112,108,57,1726,399,694,1462,1236,1218,1368,1253,784,287,8711
UCL113007,0,0,3,5,15,25,72,93,63,274,0,0,0,0,0,10,0,5,3,23,24,27,60,53,71,66,83,79,43,516,321,597,1334,1649,1726,2121,2199,1216,504,11669
UCL113008,6,5,15,25,34,84,137,119,74,502,0,0,0,0,0,10,4,6,0,31,51,24,104,96,96,100,126,123,64,792,305,547,1271,1129,1363,1585,1473,1025,379,9074
UCL113009,4,5,15,16,12,33,57,30,16,188,0,0,0,0,0,3,5,5,0,8,14,19,23,21,20,24,28,30,3,190,273,516,1126,1319,1350,1162,867,426,69,7103
UCL113010,3,4,8,19,22,56,94,78,73,361,0,0,3,0,0,3,7,15,5,33,27,45,108,89,97,86,73,78,55,653,325,653,1776,1461,1356,1255,1038,770,334,8979
UCL113011,6,8,23,48,39,80,106,88,58,456,0,0,0,0,8,6,11,0,0,31,53,43,125,108,90,71,71,53,36,640,356,621,1606,1402,1378,1300,955,477,178,8285
UCL113012,0,3,7,9,20,57,107,100,69,372,0,0,7,0,7,5,16,0,5,45,37,37,49,48,59,74,108,169,144,727,336,576,1108,1388,1777,2226,2439,1576,575,11994
UCL113013,16,9,32,34,70,86,173,106,53,576,0,4,12,3,13,15,5,3,0,52,43,35,137,126,112,89,112,95,30,774,465,867,1878,1695,1700,1686,1355,759,240,10650
UCL113014,8,11,35,18,44,58,103,94,82,445,4,0,0,7,4,10,4,5,3,43,46,42,129,95,73,85,78,54,22,624,429,857,2264,1780,1832,1603,1152,647,292,10844
UCL113015,7,6,9,14,24,81,179,123,64,505,0,0,0,3,0,6,8,5,3,36,42,36,65,68,59,69,115,118,61,627,283,512,1063,1087,1220,1489,1799,1068,315,8827
UCL113016,16,11,40,57,56,137,218,233,182,943,0,0,3,0,6,12,3,16,9,51,86,93,194,188,169,184,236,284,242,1678,561,957,2015,1818,1961,2298,2284,1801,873,14571
UCL113017,0,4,10,15,20,55,171,129,81,478,0,0,5,3,0,6,7,6,9,39,42,30,74,87,104,137,144,104,56,778,292,501,1276,1466,1584,2173,2582,1489,474,11832
UCL113018,0,0,0,3,3,7,36,41,17,107,0,0,0,0,0,0,0,0,0,5,3,10,10,11,19,28,54,50,14,211,48,80,192,193,264,334,438,278,80,1903
UCL114001,0,0,8,3,11,18,38,59,66,205,0,0,0,0,0,6,0,0,3,16,10,7,18,20,30,12,23,46,52,224,100,170,424,501,587,678,747,605,341,4148
UCL114002,0,0,3,5,18,34,126,130,105,417,0,0,0,0,4,8,3,9,4,23,15,9,26,18,28,74,110,96,61,443,123,188,365,466,697,1309,1966,1418,597,7137
UCL114003,3,7,15,23,37,69,155,171,109,582,0,0,3,3,0,0,8,11,3,35,67,69,126,140,93,106,114,122,83,930,326,656,1151,954,1024,1179,1265,908,412,7875
UCL114004,0,0,11,13,14,36,62,70,55,251,0,0,0,0,3,9,12,9,4,33,17,19,117,119,95,64,55,46,38,569,147,321,877,817,811,903,709,516,234,5334
UCL114005,4,0,9,7,16,35,114,82,56,321,0,0,0,0,9,3,8,4,0,20,14,14,33,36,47,49,58,86,24,368,126,227,473,517,604,817,937,661,256,4622
UCL114006,7,0,7,4,20,26,80,70,57,270,0,0,0,3,0,4,3,8,0,15,12,13,38,26,36,42,62,54,42,314,133,233,470,437,662,810,826,567,244,4386
UCL114007,0,4,8,21,31,59,138,105,66,428,0,0,0,5,0,6,5,0,0,21,30,54,77,61,69,75,91,76,53,586,213,476,900,792,922,1037,1121,735,349,6539
UCL114008,0,7,6,12,22,63,95,80,54,339,0,0,0,0,3,10,3,8,6,28,39,34,83,80,89,94,85,68,28,606,194,319,673,606,786,945,862,545,271,5198
UCL114009,0,0,3,4,3,7,19,18,12,78,0,0,3,0,0,0,3,0,0,10,8,33,47,22,16,16,21,59,63,278,364,1041,1406,889,538,346,251,228,164,5223
UCL114010,7,0,12,19,21,52,104,81,40,332,0,0,0,0,0,10,3,6,0,24,40,47,75,67,65,81,78,84,21,557,201,404,791,730,760,855,829,579,194,5345
UCL114011,0,0,15,8,16,45,80,85,52,302,0,0,8,0,6,3,0,3,0,21,33,27,62,52,55,72,69,70,31,481,158,215,555,468,542,743,756,501,213,4157
UCL114012,0,0,0,0,0,11,13,9,3,32,0,0,0,4,0,0,5,0,0,13,11,11,34,53,16,7,12,5,0,146,95,229,1285,1322,685,282,168,46,5,4123
UCL114013,9,4,11,6,23,57,81,79,50,322,0,0,0,0,8,5,11,8,4,33,35,47,147,85,78,92,93,97,62,735,221,500,1275,939,837,970,791,625,279,6429
UCL114014,0,0,0,4,8,15,23,21,10,81,0,0,0,0,5,0,0,0,0,3,6,9,14,16,17,14,5,16,5,98,174,369,703,938,900,767,445,213,56,4560
UCL114015,4,5,27,18,41,71,140,129,89,522,0,0,5,9,6,6,7,6,4,47,51,45,130,136,117,109,99,103,59,847,311,608,1270,1044,1005,1122,1053,825,348,7582
UCL114016,4,0,9,12,17,53,59,82,63,296,0,6,5,10,6,9,9,13,5,50,32,43,98,72,63,64,52,57,52,529,235,422,966,866,824,873,669,476,248,5587
UCL114017,0,0,0,5,0,12,19,23,20,78,0,0,0,0,0,0,0,0,0,4,17,19,74,50,35,44,33,15,4,283,148,291,828,1092,1095,1050,817,302,96,5725
UCL114018,0,0,4,8,18,11,64,74,52,239,0,0,0,0,4,6,7,0,0,16,16,24,57,37,66,83,104,65,66,518,142,321,766,731,981,1367,1599,955,342,7192
UCL114019,3,4,6,6,30,54,78,75,25,277,0,0,3,3,4,5,14,7,0,33,83,119,249,227,196,186,153,100,33,1350,222,470,1075,888,888,985,788,474,140,5949
UCL114020,4,0,6,16,15,47,60,54,24,213,0,3,0,0,4,3,3,0,0,17,19,36,34,40,49,42,44,50,22,337,213,429,955,952,1075,1145,1128,736,183,6813
UCL114021,3,0,5,13,21,56,83,104,68,357,0,0,0,0,5,3,4,7,8,27,43,34,61,84,80,85,111,119,157,765,261,414,857,1169,1222,1388,1206,770,434,7723
UCL114022,5,0,0,5,16,61,93,80,67,331,0,0,0,0,0,3,3,7,3,24,27,22,84,63,55,137,149,87,37,665,150,218,500,548,666,1097,1329,900,366,5776
UCL114023,0,0,13,15,23,41,84,54,27,268,0,0,0,0,3,8,3,0,4,25,18,34,64,60,60,85,57,42,37,467,153,357,856,634,679,767,566,387,158,4566
UCL114024,3,6,15,19,25,66,124,98,82,430,0,0,0,0,3,0,6,7,5,25,39,40,87,95,71,77,72,76,62,617,256,618,1243,1122,1105,1194,1024,690,311,7566
UCL114025,0,0,4,6,11,18,27,41,31,133,0,0,0,0,0,0,6,0,0,5,23,9,27,55,41,31,30,30,40,295,150,210,534,1075,917,830,874,451,193,5237
UCL114026,5,5,7,3,15,23,56,38,26,164,0,0,0,0,0,4,4,4,4,16,7,5,34,25,20,16,24,26,21,174,146,276,802,678,649,486,600,437,158,4227
UCL114027,0,0,4,8,3,19,54,62,39,201,0,0,0,0,3,4,0,3,0,13,8,7,21,14,20,34,45,85,34,266,94,200,389,410,635,861,974,829,290,4684
UCL114028,5,0,4,18,7,27,45,53,35,192,0,7,3,7,3,9,5,5,0,31,6,19,47,30,31,21,35,40,28,243,106,255,729,649,583,597,496,331,162,3915
UCL114029,0,0,10,6,11,18,38,21,9,122,0,0,0,0,5,0,3,0,0,7,17,12,23,21,20,19,15,9,0,139,157,334,776,691,743,636,365,146,45,3896
UCL114030,0,0,0,7,8,28,88,77,44,246,0,0,0,0,0,0,0,8,3,11,9,4,33,37,42,61,80,82,57,405,103,177,431,454,572,984,1280,732,230,4965
UCL114031,0,0,4,6,11,32,76,48,15,200,0,0,0,0,0,3,4,4,0,16,18,16,37,26,44,42,25,34,13,253,173,324,676,692,863,898,864,468,128,5092
UCL114032,0,0,10,13,12,29,47,41,15,168,0,0,0,3,3,3,9,8,0,18,15,15,34,30,31,10,24,16,10,180,158,301,749,606,639,489,423,234,64,3665
UCL114033,0,0,7,14,25,37,82,63,29,267,0,5,0,0,4,0,7,4,0,24,19,23,60,66,56,67,52,87,50,492,160,368,746,773,766,855,707,511,195,5078
UCL114034,0,3,6,13,11,43,109,101,78,378,0,0,3,0,0,3,3,6,4,18,28,14,65,45,62,49,52,70,36,428,229,386,910,780,917,916,1009,662,305,6116
UCL114035,0,5,6,23,21,43,68,49,41,255,0,0,13,12,11,10,13,0,9,62,10,14,64,46,30,57,56,55,43,377,128,239,786,661,613,791,969,527,213,4935
UCL114036,3,0,4,8,12,22,51,81,52,230,0,0,0,0,0,0,4,0,5,12,11,21,51,43,34,64,112,75,32,454,123,229,524,609,645,1045,1457,940,308,5877
UCL114037,0,5,4,11,9,27,32,39,42,170,0,0,3,0,0,6,8,0,5,25,21,32,61,47,77,56,44,46,39,428,142,292,733,752,736,705,629,394,224,4610
UCL114038,0,0,15,17,27,49,94,98,77,371,0,0,0,7,6,9,8,7,0,38,22,19,79,61,52,61,73,66,37,471,238,431,925,851,796,896,897,622,313,5964
UCL115001,0,0,0,3,8,18,28,19,9,84,0,0,0,0,0,0,0,5,0,9,0,3,13,6,14,21,13,16,7,93,50,94,228,212,241,265,203,106,35,1442
UCL115002,0,3,0,4,6,17,16,16,9,70,0,0,0,5,0,0,0,0,0,5,11,11,8,13,19,29,40,22,3,160,147,193,374,444,627,689,516,245,56,3287
UCL115003,0,0,3,3,6,8,14,8,5,47,0,0,0,0,4,0,0,3,0,14,5,3,16,20,9,5,0,7,0,60,79,155,409,482,332,258,170,76,18,1966
UCL115004,0,0,5,8,3,7,21,26,8,82,0,3,6,0,0,0,0,0,0,14,5,12,18,9,7,18,19,26,3,113,38,93,216,210,193,291,383,185,54,1662
UCL115005,0,3,7,0,8,7,24,23,6,82,0,0,0,0,0,0,0,0,0,3,0,3,18,20,24,25,25,8,7,137,12,57,119,88,165,189,165,73,43,897
UCL115006,0,0,0,3,0,6,5,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,34,33,25,14,15,19,36,174,38,66,228,370,343,248,216,83,59,1648
UCL115007,0,0,5,3,6,7,41,22,8,98,0,0,0,0,0,3,0,0,3,6,7,8,10,15,17,20,27,30,5,141,94,188,347,394,445,408,332,226,63,2504
UCL115008,0,0,0,0,0,4,18,27,26,82,0,0,0,0,0,0,0,0,4,0,3,0,3,0,13,14,11,23,19,80,20,28,81,63,109,198,214,164,100,980
UCL115009,0,0,0,5,6,8,27,30,10,77,0,0,4,0,0,0,0,0,0,4,0,6,23,10,8,22,17,17,10,113,40,64,191,180,203,237,280,138,40,1374
UCL115010,0,5,3,5,8,18,31,32,14,101,0,0,0,0,0,0,0,3,4,6,5,0,6,3,15,17,21,29,10,101,19,31,78,59,107,180,214,161,50,900
UCL115011,0,0,0,3,3,9,17,14,7,53,0,0,0,0,0,0,0,0,0,0,4,5,5,9,15,18,4,18,6,77,37,57,165,152,203,246,200,135,56,1253
UCL115012,0,0,0,0,12,0,20,10,15,62,0,0,0,0,0,0,0,0,0,5,6,4,14,13,16,10,13,11,0,84,22,36,96,94,143,146,155,85,35,820
UCL115013,4,0,8,11,24,28,33,63,36,207,0,0,0,0,0,0,3,3,0,18,28,19,37,36,38,34,46,62,74,371,126,231,512,482,493,560,484,387,182,3453
UCL115014,5,0,4,3,4,8,11,19,11,68,0,0,0,0,5,0,0,0,0,8,20,9,14,26,37,21,30,31,32,209,98,105,246,369,461,426,397,242,99,2448
UCL115015,0,0,0,0,4,10,21,17,8,61,0,0,0,0,0,0,3,0,0,3,13,4,18,16,22,20,28,19,7,156,30,51,133,153,179,330,415,188,72,1550
UCL115016,0,0,0,0,3,7,11,8,4,25,0,0,0,0,0,0,0,4,0,5,6,10,18,7,14,13,5,7,11,88,37,55,127,114,152,161,129,60,33,869
UCL115017,0,0,0,0,0,4,9,12,13,40,0,0,0,0,0,0,3,0,0,5,6,4,4,8,11,11,34,35,65,186,29,60,160,248,222,325,431,360,221,2056
UCL115018,0,0,0,0,5,9,36,27,19,105,0,0,0,0,0,0,0,6,3,9,0,4,0,6,9,17,27,18,8,93,16,36,47,78,108,150,222,165,79,912
UCL115019,3,0,3,4,7,11,13,11,15,68,0,0,0,6,0,3,5,0,0,13,10,4,21,19,29,36,30,27,7,177,69,106,356,479,604,815,776,428,100,3732
UCL115020,0,0,0,5,5,29,36,36,27,143,0,0,0,0,3,0,3,5,0,14,9,12,11,16,10,23,23,23,5,124,86,188,393,290,333,391,308,203,87,2281
UCL115021,0,0,0,0,5,10,28,26,10,76,0,0,0,0,0,0,0,0,0,5,8,7,11,6,14,22,17,16,9,104,28,61,126,125,129,153,158,102,43,924
UCL115022,0,0,0,0,0,10,15,21,8,58,0,0,0,0,0,0,0,0,0,3,0,3,0,3,7,13,14,25,0,76,84,121,166,268,411,455,449,285,61,2281
UCL115023,0,0,0,4,0,3,17,19,9,49,0,0,0,0,0,0,0,3,0,3,4,7,21,22,26,39,41,18,6,189,27,79,142,116,182,198,228,131,52,1150
UCL115024,0,0,4,0,11,29,26,13,6,87,0,0,0,0,0,0,3,0,0,13,17,14,39,36,36,37,27,14,3,214,49,110,234,176,183,202,148,64,26,1184
UCL115025,0,0,0,0,0,0,6,6,0,14,0,0,0,0,0,0,0,0,0,0,5,3,7,7,7,0,3,4,0,37,48,106,198,213,204,168,101,45,9,1087
UCL115026,0,0,0,0,0,0,16,20,3,36,0,0,0,0,0,0,0,0,0,5,9,4,16,17,24,22,20,15,5,118,22,47,140,159,171,173,194,178,46,1143
UCL115027,0,0,0,3,0,11,32,14,9,71,0,0,0,0,0,0,3,0,0,15,8,4,21,16,14,12,16,13,0,100,75,169,455,406,328,245,256,101,33,2069
UCL115028,0,0,0,0,0,4,12,16,12,49,0,0,0,0,0,0,0,0,0,0,0,4,9,19,18,19,18,21,11,117,58,86,199,255,307,400,387,259,130,2083
UCL115029,0,0,0,0,4,6,9,14,6,38,0,0,0,0,0,0,0,0,0,3,8,9,21,8,10,32,30,9,4,136,36,92,206,205,242,291,281,133,41,1528
UCL115030,0,0,0,0,4,12,24,23,13,78,0,0,0,0,0,5,0,0,0,7,7,3,9,10,10,11,9,9,11,70,30,36,79,85,137,198,213,118,57,961
UCL115031,0,3,0,5,0,5,17,9,4,45,0,0,4,3,0,0,0,0,5,10,0,3,8,0,7,17,17,27,42,122,51,62,162,214,281,429,614,355,126,2284
UCL115032,0,0,0,3,4,5,5,14,4,33,0,0,0,0,0,0,0,0,0,3,3,4,3,9,8,12,6,12,8,65,44,73,142,213,299,393,310,151,39,1664
UCL115033,0,0,0,0,0,3,14,10,4,48,0,0,0,0,0,0,0,0,0,3,11,0,16,13,17,14,26,6,0,108,88,189,464,627,584,445,281,126,27,2820
UCL115034,0,0,0,0,5,4,11,8,6,31,0,0,0,0,0,0,0,0,0,6,11,8,23,13,11,4,7,5,0,82,75,113,276,232,227,200,104,42,7,1265
UCL115035,0,0,5,3,3,11,15,18,14,69,0,0,3,0,0,0,3,0,0,11,15,3,31,26,14,14,4,9,0,125,96,248,610,540,427,372,330,198,44,2870
UCL115036,0,3,0,4,9,15,43,42,21,139,0,0,0,0,0,4,0,4,4,11,0,10,3,7,8,14,23,13,11,91,65,121,243,249,423,524,532,306,86,2545
UCL115037,0,0,0,0,0,6,9,3,0,21,0,0,0,0,0,0,0,0,0,0,7,0,9,7,6,0,0,7,0,30,40,60,100,135,170,176,150,50,20,902
UCL115038,0,0,0,4,4,20,29,24,12,91,0,0,0,0,0,0,0,0,0,0,6,13,14,12,23,16,22,14,9,140,50,60,140,127,156,222,219,143,53,1170
UCL115039,0,0,3,9,9,26,52,37,20,166,0,0,0,0,0,0,3,0,0,11,40,36,86,82,74,76,59,46,8,503,112,205,542,452,404,489,331,189,68,2777
UCL115040,0,0,0,0,0,3,13,10,0,33,0,0,0,0,0,0,0,0,0,3,0,0,10,3,4,5,12,4,0,37,50,86,200,160,217,182,167,68,11,1149
UCL115041,0,0,5,4,3,21,33,36,12,125,0,0,0,0,0,0,7,6,0,12,16,18,46,56,46,49,29,22,23,306,76,129,346,272,263,349,261,196,109,1995
UCL115042,0,0,0,3,0,15,19,24,16,73,0,0,0,0,0,0,0,0,0,7,5,5,9,5,9,18,17,17,25,100,48,76,197,165,178,220,222,152,88,1334
UCL115043,0,0,0,4,9,21,35,45,19,130,0,0,0,0,6,0,0,0,6,5,19,22,38,32,49,61,75,67,57,413,54,103,256,201,269,336,410,259,158,2055
UCL115044,0,6,8,10,14,26,38,37,21,151,0,0,0,0,0,4,7,7,5,16,28,23,58,42,29,38,36,36,14,307,79,128,333,238,262,308,261,153,64,1828
UCL115045,3,0,0,0,4,10,20,13,10,67,0,0,0,0,0,0,0,0,6,4,19,11,15,19,22,24,18,11,10,149,52,60,118,103,141,164,166,102,43,952
UCL115046,0,0,3,0,7,9,12,6,0,41,0,0,4,0,0,0,0,0,0,6,5,0,25,13,21,7,10,8,0,90,49,75,227,208,250,224,209,77,14,1332
UCL115047,0,0,0,0,10,15,30,42,30,128,0,0,0,0,0,3,3,0,3,11,3,0,5,16,12,21,21,22,21,124,45,103,170,184,221,304,313,230,126,1698
UCL115048,4,0,0,4,7,17,32,35,40,137,0,0,0,3,0,0,3,0,0,11,6,0,11,13,13,17,21,32,10,133,81,139,351,325,416,627,536,422,155,3061
UCL115049,0,0,7,8,0,8,20,10,0,53,0,0,0,0,0,0,0,0,0,0,5,0,0,11,6,14,16,25,12,93,33,45,87,124,113,146,167,106,27,856
UCL115050,0,0,0,3,3,0,3,9,3,21,0,0,0,0,0,4,3,0,0,10,3,6,15,13,12,5,7,3,0,61,48,98,234,325,274,206,166,71,13,1437
UCL115051,0,0,6,0,7,10,18,31,30,91,0,0,0,0,0,0,0,0,0,0,12,12,22,17,14,37,31,36,57,225,38,35,161,185,212,375,425,231,207,1875
UCL115052,0,0,3,0,0,4,18,32,19,74,0,0,0,0,0,0,0,4,0,10,5,5,9,17,6,9,21,12,8,91,55,79,183,196,190,203,184,111,55,1243
UCL115053,0,0,0,0,0,8,16,17,18,62,0,0,0,0,0,0,0,3,0,5,9,0,4,13,7,16,9,9,3,57,20,27,75,89,105,178,184,131,51,865
UCL115054,0,0,0,0,3,7,4,5,0,25,0,0,0,0,0,0,0,0,0,0,4,0,3,8,7,3,10,7,0,44,38,66,94,133,156,156,135,28,13,821
UCL115055,7,0,0,0,0,17,36,27,32,104,0,0,0,0,0,0,0,0,0,4,8,3,6,13,8,14,16,25,4,99,72,95,171,203,244,312,305,256,92,1751
UCL115056,4,0,5,12,7,27,49,49,18,166,0,0,0,0,0,0,3,0,5,11,20,11,29,32,33,41,49,43,34,287,81,118,246,283,396,512,569,327,129,2661
UCL115057,0,0,0,4,8,13,54,51,30,156,0,0,0,0,0,0,0,0,0,3,10,17,24,32,30,31,43,34,17,242,44,126,243,281,356,505,624,309,133,2618
UCL115058,0,0,0,0,0,14,16,22,9,63,0,0,0,0,0,0,0,0,0,0,5,6,4,5,3,23,37,32,34,150,30,47,96,104,133,285,370,278,109,1445
UCL115059,0,0,0,4,3,10,35,31,13,101,0,0,0,0,0,0,0,0,0,3,15,13,24,27,24,37,38,52,47,273,50,60,152,158,213,285,302,215,102,1530
UCL115060,0,0,3,0,9,8,9,10,0,44,0,0,3,3,5,0,0,0,0,11,87,112,55,25,21,12,12,8,0,323,370,475,496,380,255,180,121,53,13,2352
UCL115061,4,0,5,0,0,12,20,21,22,78,0,0,0,0,0,0,0,0,0,3,0,0,8,4,0,11,18,21,45,99,38,56,115,85,120,135,171,139,126,979
UCL115062,0,0,0,0,4,6,6,4,0,22,0,0,0,0,0,0,0,0,0,0,0,3,7,3,11,3,6,0,0,37,38,82,165,180,170,169,125,62,10,999
UCL115063,0,0,0,0,0,0,0,11,0,12,0,0,0,0,4,0,3,0,0,9,5,0,0,8,6,3,0,4,0,18,31,42,126,156,174,152,113,56,13,873
