UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL322027,5,39,40,12,7,20,11,0,11,0,0,0,6,0,6,4,0,0,34,48,82
UCL322028,0,33,31,34,10,44,16,0,16,8,0,8,5,0,5,0,0,0,59,41,101
UCL322029,0,18,21,12,15,25,15,0,15,12,3,16,10,0,9,7,0,7,60,38,94
UCL322030,0,37,36,64,13,81,14,0,17,16,0,16,0,0,5,3,0,8,100,56,154
UCL322031,4,42,47,60,7,69,13,0,11,9,0,9,8,0,8,4,0,4,93,54,146
UCL322032,0,13,12,14,6,14,4,0,4,0,0,0,3,0,3,5,0,5,23,18,42
UCL322033,0,11,14,3,0,4,0,0,0,4,0,4,0,0,3,5,0,5,18,14,34
UCL322034,4,74,77,49,29,74,18,0,16,8,0,12,7,0,9,9,3,4,85,107,196
UCL322035,0,69,74,48,28,75,18,0,17,7,0,13,3,0,3,4,0,4,82,103,186
UCL322036,6,77,81,104,16,119,20,0,20,17,0,17,3,0,3,0,0,0,152,89,241
UCL322037,0,31,31,29,10,38,9,0,9,5,0,5,3,0,3,5,0,5,45,45,89
UCL322038,3,76,75,60,13,72,17,6,22,10,4,14,7,0,10,8,0,10,101,98,199
UCL322039,0,37,39,26,10,38,9,0,9,8,0,4,3,0,3,4,0,4,58,51,104
UCL322040,0,5,10,36,9,45,23,0,23,30,0,30,12,0,12,9,0,5,112,12,128
UCL322041,0,20,20,16,5,18,10,0,9,8,0,8,3,0,3,23,0,23,60,25,88
UCL322042,5,17,28,31,4,35,11,0,11,16,0,16,0,0,0,7,3,11,79,24,104
UCL322043,0,22,25,35,7,39,13,4,14,19,0,18,9,6,10,7,0,7,77,34,109
UCL322044,0,40,42,27,34,65,10,5,11,11,3,10,6,0,11,0,0,0,59,84,142
UCL322045,0,66,66,57,36,89,24,0,28,16,5,18,4,0,4,7,0,7,105,104,206
UCL322046,4,52,56,46,15,65,16,13,30,9,9,19,7,0,8,4,0,4,82,95,182
UCL322047,0,23,23,3,7,8,0,3,3,0,4,4,0,0,0,0,0,0,3,38,39
UCL322048,4,44,45,22,40,59,12,9,19,9,3,8,5,0,5,3,0,3,45,97,145
UCL322049,0,51,55,40,22,53,9,0,9,5,0,4,7,0,5,0,0,0,67,69,132
UCL322050,10,122,135,35,18,55,17,8,21,23,0,23,7,6,11,3,0,3,97,149,249
UCL322051,6,12,14,41,3,45,13,0,13,6,0,6,4,0,4,3,0,7,74,15,91
UCL322052,0,19,23,27,5,25,11,0,19,11,0,10,0,0,0,0,0,0,50,26,80
UCL322053,3,48,53,75,11,86,14,3,21,13,0,15,9,0,9,0,0,0,115,58,172
UCL322054,7,57,58,66,16,78,8,0,13,4,0,9,5,0,5,0,0,0,93,68,159
UCL322055,0,65,70,65,10,73,16,0,16,18,0,18,4,0,4,3,0,3,106,79,186
UCL322056,0,14,14,15,0,15,16,0,16,12,0,12,8,0,8,16,0,16,58,14,71
UCL322057,5,22,25,52,7,62,29,4,30,32,0,32,10,0,10,5,0,11,135,37,170
UCL322058,3,53,56,89,76,165,16,6,19,10,6,9,7,0,4,0,0,3,125,140,265
UCL322059,0,17,17,21,4,23,13,0,15,10,0,9,7,0,7,11,0,11,56,22,76
UCL322060,7,69,70,62,26,89,25,0,25,22,0,28,9,0,6,4,0,3,125,97,222
UCL322061,0,18,18,11,4,16,18,5,20,7,0,7,11,0,11,36,3,37,82,29,114
UCL322062,4,53,59,37,21,63,13,0,16,15,0,13,0,0,0,0,0,3,72,82,152
UCL322063,4,72,81,29,50,83,14,7,20,16,3,21,6,0,5,9,0,9,70,141,211
UCL322064,5,25,27,38,6,40,19,3,20,10,3,11,7,0,7,0,0,0,78,33,108
UCL322065,0,41,40,24,11,33,9,4,8,6,6,7,9,0,8,4,0,4,51,56,106
UCL322066,6,56,57,46,10,61,5,0,8,3,0,3,0,0,0,0,0,0,63,70,129
UCL322067,6,172,174,82,389,469,22,14,32,8,17,22,7,7,15,5,0,5,116,597,714
UCL322068,0,39,37,49,12,61,13,0,13,9,0,6,7,0,7,3,0,3,78,47,127
UCL322069,6,57,62,62,31,95,18,0,20,8,3,10,0,0,0,0,0,0,95,97,191
UCL322070,11,80,92,70,28,91,14,0,17,9,0,12,7,0,7,3,0,3,107,115,221
UCL322071,0,6,8,3,6,11,4,0,4,4,0,5,4,3,12,5,0,5,16,25,45
UCL322072,0,23,22,26,0,36,7,0,7,14,0,15,5,0,5,3,0,7,61,32,94
UCL322073,6,74,77,88,102,195,22,8,29,8,0,7,4,0,4,0,0,0,134,184,315
UCL322074,0,47,52,56,16,70,8,3,10,6,0,3,0,0,0,0,0,0,68,65,137
UCL322075,5,13,12,3,0,6,8,0,8,8,0,6,7,0,7,18,0,18,38,9,52
UCL322076,0,43,43,14,9,25,9,0,9,16,0,20,17,0,17,21,0,23,70,54,124
UCL322077,0,16,16,18,3,22,9,5,11,10,0,10,10,0,10,24,0,24,71,23,89
UCL322078,5,14,16,24,7,29,12,0,16,13,4,15,3,0,3,0,0,0,56,24,83
UCL322079,0,19,21,24,0,33,20,0,20,16,0,16,11,0,15,4,0,4,85,22,107
UCL322080,0,29,29,45,26,70,9,6,12,9,0,9,4,0,4,0,0,0,69,51,119
UCL322081,6,69,71,39,39,76,7,3,12,11,6,11,3,0,6,0,0,3,69,116,184
UCL322082,0,61,58,59,11,64,20,0,20,14,0,18,5,0,5,3,0,3,101,67,169
UCL322083,5,19,22,29,3,31,11,0,11,14,3,13,7,0,4,4,0,4,61,28,87
UCL322084,0,38,43,30,9,43,10,0,10,9,9,18,7,0,7,3,0,3,59,61,119
UCL322085,6,34,43,56,16,70,33,6,31,23,0,22,8,0,8,6,3,6,125,57,186
UCL322086,0,31,31,41,17,59,11,0,11,8,6,9,0,0,0,5,0,7,61,57,115
UCL322087,5,49,53,59,10,69,29,0,27,17,5,20,8,0,8,3,0,3,118,64,181
UCL322088,3,47,52,26,13,45,17,0,16,6,0,4,4,0,4,3,0,3,58,67,124
UCL322089,4,51,52,58,14,72,15,0,16,20,4,18,7,0,7,8,0,8,102,64,171
UCL322090,0,14,17,23,4,22,17,0,17,13,0,13,3,0,3,10,0,10,64,21,77
UCL322091,5,10,14,37,5,43,9,0,9,4,0,6,9,0,5,3,0,3,70,18,84
UCL322092,0,16,16,10,0,11,16,3,16,20,0,22,19,0,19,17,0,17,77,25,97
UCL322093,0,55,57,51,36,86,12,5,19,12,3,10,6,0,6,3,0,0,83,95,178
UCL322094,3,13,13,33,9,40,9,0,10,0,0,4,5,0,5,0,0,0,58,22,82
UCL322095,0,66,66,68,26,92,14,3,17,10,0,10,0,0,0,8,0,8,98,96,195
UCL322096,0,16,18,55,4,57,38,0,38,28,0,28,15,0,15,7,0,10,140,20,167
UCL322097,3,80,88,57,22,81,9,3,16,6,0,8,6,0,4,4,0,3,87,116,197
UCL322098,0,11,9,37,0,39,41,0,41,10,0,11,11,0,11,7,0,7,99,10,115
UCL322099,0,60,60,43,13,55,5,3,10,3,0,8,8,0,4,3,0,3,64,75,141
UCL322100,9,92,100,51,28,80,20,4,22,11,0,11,12,0,10,0,0,0,115,124,233
UCL322101,6,64,69,52,43,95,19,4,18,15,3,20,13,11,20,3,0,0,106,122,225
UCL322102,0,27,27,5,0,7,17,4,19,12,0,12,8,0,8,15,0,15,54,29,92
UCL322103,6,34,32,51,11,64,24,0,25,14,0,15,3,0,5,4,0,4,96,51,147
UCL322104,7,60,68,52,17,68,20,4,23,8,0,8,6,0,6,4,0,8,98,82,177
UCL322105,0,38,35,41,0,44,9,0,7,11,0,11,8,0,6,5,0,3,75,44,115
UCL322106,7,59,59,18,90,108,13,6,18,8,12,21,4,0,4,11,0,13,58,163,224
UCL322107,0,38,38,21,129,153,0,11,14,6,7,13,0,0,0,0,0,0,32,185,218
UCL322108,0,26,29,30,8,30,12,0,15,9,0,9,0,0,0,3,0,3,55,37,92
UCL322109,0,29,32,51,3,56,18,0,24,20,0,23,3,0,3,6,0,6,106,34,142
UCL322110,0,60,64,52,13,65,22,3,22,15,3,15,7,5,13,5,0,5,106,82,187
UCL322111,0,27,28,39,7,39,9,3,15,15,4,16,6,0,7,6,3,11,74,34,111
UCL322112,0,42,46,37,12,49,10,4,12,10,0,10,5,0,5,0,0,4,69,57,126
UCL322113,3,24,27,22,5,25,13,4,14,9,0,10,8,0,8,7,0,7,65,30,95
UCL322114,8,86,86,53,19,75,22,0,19,13,4,16,6,0,6,0,0,0,98,108,206
UCL322115,5,45,47,47,11,56,18,0,18,6,0,6,5,0,5,0,0,5,79,55,134
UCL322116,0,20,15,36,6,47,7,0,8,12,0,9,5,0,5,0,4,3,66,33,93
UCL322117,0,64,67,77,53,135,4,0,7,0,0,3,0,0,3,0,0,0,90,122,213
UCL322118,0,45,45,31,5,33,17,0,21,7,0,7,11,0,11,3,0,3,62,46,112
UCL322119,0,41,44,31,21,50,12,0,12,4,0,4,0,0,0,5,0,5,56,62,116
UCL322120,5,96,96,67,31,95,16,0,17,16,0,19,10,0,10,6,6,4,112,140,249
UCL322121,4,67,67,86,30,111,20,4,18,14,0,14,3,0,8,3,0,3,127,98,225
UCL322122,5,44,46,61,36,93,10,7,15,0,0,0,0,0,0,0,0,5,84,84,169
UCL322123,4,34,38,27,4,32,13,0,13,10,0,14,3,3,10,0,0,0,55,39,98
UCL322124,8,32,33,29,14,42,8,0,9,3,0,3,0,0,0,3,0,5,55,47,96
UCL322125,4,38,45,55,9,58,25,0,25,11,3,13,13,0,15,4,3,8,103,58,166
UCL322126,4,21,25,38,0,45,9,0,9,7,0,7,6,0,6,0,0,0,65,24,86
UCL322127,0,78,76,101,52,157,19,3,19,10,0,16,6,0,9,3,0,3,147,134,283
UCL322128,0,23,23,20,14,30,9,0,10,14,0,12,16,4,13,27,0,27,77,35,119
UCL322129,0,36,36,38,37,68,11,0,9,11,0,11,6,0,6,3,0,3,59,76,132
UCL322130,8,62,65,61,11,73,17,3,19,13,5,18,3,0,3,0,0,0,99,73,174
UCL322131,0,33,39,26,11,40,11,0,14,10,0,12,4,0,4,0,0,0,51,49,101
UCL322132,0,83,80,47,27,78,11,6,15,17,0,24,3,0,3,7,0,9,94,120,211
UCL322133,0,22,22,8,3,8,7,0,7,6,0,6,10,0,10,17,0,17,43,23,69
UCL322134,0,20,22,22,20,44,5,0,3,0,0,3,0,0,0,0,0,0,28,46,69
UCL322135,0,18,18,14,0,15,16,0,16,7,0,13,10,0,10,12,0,12,60,23,83
UCL322136,0,11,13,38,10,55,18,0,18,16,0,13,6,0,6,6,0,6,99,25,117
UCL322137,4,23,28,26,0,27,7,0,7,10,0,7,9,0,9,0,0,0,50,33,79
UCL322138,5,29,32,35,3,40,12,3,15,5,0,6,8,0,8,0,0,0,62,37,95
UCL322139,0,19,19,14,0,15,8,0,8,5,3,9,9,0,9,12,0,12,53,26,74
UCL331001,3256,34295,37547,54225,14755,68982,21598,2830,24430,20166,2019,22186,10259,1031,11293,7215,575,7791,116723,55513,172232
UCL379997,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
UCL401001,7162,139676,146838,143834,21020,164850,72003,6429,78438,68101,3059,71157,24950,1225,26172,11825,617,12443,327875,172031,499902
UCL412001,225,3113,3337,3560,420,3988,1716,85,1805,1458,61,1521,611,23,628,282,10,293,7846,3720,11567
UCL412002,188,1974,2168,2592,290,2879,1283,80,1364,1255,42,1292,484,16,504,189,7,192,5993,2412,8407
UCL412003,181,3869,4053,3433,484,3912,1376,137,1512,1224,54,1279,473,21,491,247,9,259,6943,4575,11520
UCL412004,162,3477,3642,2720,461,3180,1086,109,1192,921,60,976,375,27,400,152,19,171,5412,4145,9559
UCL413001,85,1087,1174,1949,134,2081,882,28,911,1102,27,1127,366,7,375,122,6,133,4513,1291,5803
UCL413002,99,2363,2460,2220,372,2592,856,80,939,722,63,785,310,21,330,188,11,204,4395,2904,7301
UCL413003,126,1928,2052,1421,368,1783,624,90,711,482,62,536,215,22,241,145,20,167,3011,2481,5495
UCL413004,145,1971,2111,1845,336,2181,743,98,833,626,48,676,250,28,278,109,8,113,3717,2480,6202
UCL413005,110,2185,2291,1768,267,2038,744,75,821,536,30,567,265,15,278,123,8,123,3537,2579,6117
UCL413006,130,2626,2749,3188,370,3556,729,48,780,508,17,526,204,8,212,86,6,93,4847,3070,7913
UCL414001,70,1457,1520,1763,221,1982,336,19,356,219,22,240,94,4,101,45,0,47,2529,1725,4253
UCL414002,53,384,439,572,67,641,334,23,352,314,19,325,124,10,125,38,0,38,1436,494,1934
UCL414003,29,690,723,636,145,778,232,41,272,213,22,231,99,16,114,56,7,63,1270,907,2183
UCL414004,47,830,877,926,86,1012,345,27,370,270,0,275,110,0,111,51,0,51,1752,945,2699
UCL414005,51,714,773,971,85,1058,311,25,335,294,18,314,111,6,113,64,3,67,1815,847,2659
UCL415001,16,276,289,318,35,344,122,4,129,104,9,107,46,0,46,21,0,21,618,313,935
UCL415002,12,164,171,396,28,428,208,6,219,292,10,302,128,0,133,75,0,75,1114,211,1327
UCL415003,11,287,299,266,25,296,76,8,83,82,0,92,37,0,41,29,0,29,503,332,832
UCL415004,17,157,175,215,22,231,96,9,105,101,0,99,36,0,32,11,0,11,466,187,655
UCL415005,15,392,406,270,45,313,78,11,85,72,5,74,21,0,21,24,0,21,473,448,922
UCL415006,35,697,735,546,119,669,202,29,231,174,11,186,79,5,78,22,7,29,1062,866,1928
UCL415007,19,341,362,338,74,408,139,17,160,120,15,129,66,3,65,22,5,29,693,457,1156
UCL415008,12,319,333,284,99,384,112,19,129,92,9,102,51,13,62,26,9,30,575,466,1038
UCL415009,24,501,522,523,99,622,152,23,183,135,8,143,60,0,56,17,0,18,912,639,1550
UCL415010,12,404,416,152,204,353,44,27,68,27,21,49,18,6,28,14,3,18,265,658,924
UCL415011,13,207,218,177,26,200,59,5,69,44,0,46,30,0,30,15,4,17,335,239,578
UCL415012,11,140,158,265,24,293,138,4,138,138,0,139,72,4,81,42,0,46,677,176,854
UCL415013,24,223,245,292,38,327,118,7,128,122,4,128,47,0,47,14,0,14,617,269,886
UCL415014,10,231,240,227,23,248,51,6,57,55,4,57,28,0,28,10,0,10,377,268,640
UCL415015,38,601,643,660,86,747,241,18,255,183,12,201,95,3,98,41,0,46,1259,726,1984
UCL415016,16,366,389,391,59,444,117,3,127,111,3,116,64,0,65,20,0,20,712,437,1154
UCL415017,9,366,375,268,72,336,75,9,80,61,11,71,32,7,39,10,0,10,451,465,910
UCL415018,17,275,290,282,44,328,64,4,67,46,0,45,25,0,27,8,5,11,441,326,763
UCL415019,12,134,146,241,23,259,128,3,127,115,4,118,77,0,77,35,0,35,598,163,762
UCL415020,18,236,248,271,27,293,126,3,135,100,3,103,42,3,45,29,0,32,587,271,859
UCL415021,23,601,629,577,62,639,175,22,199,155,14,168,85,5,86,32,4,29,1045,707,1753
UCL415022,21,133,145,268,24,291,99,0,98,103,0,108,40,5,45,20,0,23,554,161,718
UCL415023,7,147,161,166,19,182,34,3,40,43,9,47,13,5,22,11,0,10,269,189,455
UCL415024,27,458,493,418,85,504,87,14,98,96,3,98,30,8,34,14,0,21,671,568,1243
UCL415025,7,34,39,100,0,106,62,0,59,101,0,103,35,4,40,11,0,16,323,41,367
UCL415026,30,393,418,533,58,589,190,11,199,134,7,136,57,0,58,20,0,20,953,470,1428
UCL415027,5,68,75,123,11,140,78,5,86,78,3,77,25,0,27,8,0,8,324,92,416
UCL415028,17,136,151,166,31,197,47,10,53,44,0,44,23,0,26,4,0,4,300,172,469
UCL415029,31,749,780,684,72,752,203,13,218,184,15,197,89,9,101,39,3,40,1235,853,2087
UCL415030,32,702,734,866,152,1019,183,26,204,133,12,150,51,3,49,37,0,38,1306,892,2198
UCL415031,11,60,67,150,14,167,56,0,59,79,4,76,34,0,34,19,3,16,341,79,423
UCL415032,16,326,351,460,73,535,81,6,85,65,5,72,29,0,33,14,0,14,678,410,1083
UCL415033,7,117,125,150,27,167,38,4,43,42,0,40,20,4,23,12,0,8,262,150,413
UCL415034,8,210,217,188,23,210,66,8,73,51,3,56,27,0,26,8,0,5,344,246,590
UCL415035,16,346,359,205,79,282,53,17,67,25,9,36,10,0,10,10,0,13,316,447,772
UCL415036,7,215,219,202,33,236,35,0,34,31,0,27,14,5,19,3,0,3,299,248,547
UCL415037,30,733,764,650,155,805,272,25,297,166,12,178,76,6,85,31,4,36,1220,948,2165
UCL415038,19,160,184,199,59,257,46,17,60,35,10,40,16,0,19,10,5,12,325,243,567
UCL415039,30,360,386,280,136,419,182,44,222,209,32,242,107,8,120,40,10,49,847,583,1433
UCL415040,13,240,253,193,54,249,55,16,69,50,8,57,14,3,22,13,0,17,345,313,660
UCL415041,39,546,587,697,54,756,196,15,214,232,7,235,66,0,68,25,0,25,1259,627,1887
UCL415042,10,285,294,287,57,344,55,4,54,47,3,54,20,0,24,5,0,5,424,347,776
UCL415043,30,165,193,316,44,362,170,10,178,170,11,178,76,4,84,49,4,52,814,235,1047
UCL415044,14,72,79,156,12,172,114,6,120,107,5,113,52,3,51,27,4,29,466,97,564
UCL415045,13,330,342,251,61,313,71,17,86,51,8,59,19,5,22,13,3,15,417,416,833
UCL415046,39,637,671,761,147,908,168,22,191,127,0,129,55,4,56,29,0,26,1176,819,1991
UCL415047,13,174,191,263,13,275,141,7,149,140,0,143,54,0,57,18,0,18,630,196,828
UCL415048,22,184,204,319,22,348,127,0,128,134,0,137,50,3,49,16,0,16,676,212,884
UCL415049,18,195,213,259,16,281,100,4,103,103,0,101,36,3,37,11,0,11,526,220,744
UCL421001,9,242,251,232,35,265,40,3,43,28,5,29,13,0,16,3,0,6,325,287,613
UCL421002,4,70,76,89,27,111,15,4,17,14,0,14,3,0,3,3,0,3,131,102,232
UCL421003,10,72,81,106,7,116,54,4,56,48,3,48,29,0,28,16,0,16,250,91,343
UCL421004,12,192,207,133,37,170,31,8,35,25,0,28,14,0,17,11,3,12,230,238,470
UCL421005,7,132,144,119,21,142,23,3,27,37,0,37,13,0,13,3,0,3,202,158,359
UCL421006,10,17,20,92,7,93,33,0,35,57,0,55,22,0,22,9,0,9,213,22,232
UCL421007,9,105,108,124,63,188,28,4,33,22,7,23,5,0,5,4,0,3,188,177,366
UCL421008,11,144,157,161,37,196,45,8,49,31,3,34,15,4,17,3,0,3,263,190,461
UCL421009,8,95,102,116,19,133,34,0,31,33,5,34,19,0,19,3,0,3,203,116,322
UCL421010,6,43,56,63,10,70,48,4,48,35,0,33,19,0,15,5,0,5,168,65,233
UCL421011,0,110,114,105,22,129,24,4,21,16,7,15,4,0,4,3,0,3,156,143,297
UCL421012,5,107,109,91,21,110,22,6,24,16,0,19,13,7,19,7,0,7,154,134,291
UCL421013,6,65,72,118,21,142,63,3,65,68,9,74,22,0,19,11,0,12,285,102,391
UCL421014,4,63,68,84,12,94,31,3,35,44,0,45,14,0,14,4,0,4,186,81,265
UCL421015,3,77,80,74,13,89,31,4,30,24,3,28,7,0,7,15,0,15,150,91,243
UCL421016,0,21,23,71,3,79,31,0,31,37,0,39,7,0,7,4,0,4,156,24,183
UCL421017,5,39,43,54,3,62,25,3,24,32,0,32,14,0,14,8,0,8,136,45,180
UCL421018,7,188,195,157,34,187,41,6,54,49,0,51,21,0,21,13,0,11,286,235,519
UCL421019,11,96,109,98,25,119,14,0,18,15,0,19,12,0,12,5,0,5,155,126,275
UCL421020,5,90,92,84,18,103,19,4,24,21,0,21,15,0,15,3,0,3,149,110,263
UCL421021,0,89,85,69,18,84,26,4,25,20,0,24,13,0,14,3,0,3,126,106,237
UCL421022,5,103,112,149,20,163,63,0,65,53,0,53,19,0,20,3,0,3,293,119,410
UCL421023,6,80,84,95,16,116,48,23,60,30,9,43,18,5,18,14,3,11,208,131,339
UCL421024,11,146,156,128,24,147,30,6,32,25,5,25,17,3,23,3,0,7,210,178,385
UCL421025,5,157,163,126,22,154,39,0,39,28,5,32,5,3,11,5,0,3,215,191,402
UCL421026,7,133,135,133,16,145,30,0,28,22,0,23,11,0,11,4,0,4,206,151,354
UCL421027,7,80,91,81,13,93,24,0,23,26,0,26,15,0,14,7,0,7,162,99,259
UCL421028,3,14,14,63,0,66,35,4,36,46,0,45,14,0,14,3,0,3,160,17,183
UCL421029,6,84,93,71,27,100,12,3,13,22,0,22,10,0,10,6,0,6,121,114,234
UCL421030,6,123,124,90,13,108,18,6,22,19,0,25,10,4,13,4,0,3,142,150,290
UCL421031,6,90,99,135,18,152,23,0,23,25,6,27,4,0,4,3,0,3,196,115,307
UCL421032,7,116,122,67,24,87,31,0,33,18,0,18,16,0,16,8,0,9,145,137,284
UCL421033,0,23,29,11,8,18,15,0,14,10,0,15,10,0,10,37,0,42,85,37,119
UCL421034,17,203,222,161,42,204,54,7,64,28,9,36,11,0,12,14,0,14,281,265,547
UCL421035,8,137,147,114,18,137,39,0,44,18,0,19,17,0,17,0,0,0,197,160,359
UCL421036,3,53,55,79,12,86,56,0,58,79,0,73,27,0,27,13,0,13,261,64,323
UCL421037,5,155,160,128,63,193,35,6,40,47,7,50,17,0,15,5,0,7,232,228,463
UCL421038,5,69,78,114,12,128,56,0,57,59,3,61,16,0,16,14,0,14,264,85,347
UCL421039,9,42,48,73,13,79,37,0,39,45,0,46,21,0,16,10,0,11,181,57,243
UCL421040,8,30,40,77,6,78,24,0,27,37,0,39,20,0,21,16,0,13,181,40,224
UCL421041,0,75,77,80,16,99,18,0,14,22,0,21,13,0,13,0,0,0,138,94,234
UCL421042,11,127,139,137,17,155,29,0,32,12,0,13,16,0,16,11,0,11,211,156,366
UCL421043,6,142,148,103,19,117,26,5,30,17,0,25,5,0,5,6,0,6,161,163,328
UCL422001,0,17,26,24,0,26,22,0,22,12,3,12,14,0,14,0,0,0,74,27,101
UCL422002,0,21,25,14,3,15,16,4,17,8,0,8,9,0,9,28,0,28,69,24,97
UCL422003,0,64,65,58,18,74,7,3,12,7,0,8,0,0,0,0,0,0,79,83,168
UCL422004,0,85,87,34,18,48,8,0,12,12,0,14,0,0,0,0,0,0,56,101,153
UCL422005,4,50,52,34,14,47,3,0,3,13,0,8,0,0,5,0,0,0,58,69,123
UCL422006,5,84,85,67,16,79,16,0,16,11,0,11,3,0,3,0,0,0,103,98,203
UCL422007,3,69,71,38,15,59,3,6,8,6,0,8,3,0,5,0,0,4,63,85,149
UCL422008,3,52,58,60,3,69,15,0,24,19,0,19,9,0,9,6,0,6,119,61,183
UCL422009,4,55,60,41,4,47,5,0,5,4,0,4,0,0,0,4,0,4,67,54,122
UCL422010,4,19,26,62,6,69,16,5,18,14,0,21,12,0,12,0,0,0,115,32,148
UCL422011,0,55,51,46,8,53,4,0,4,5,0,5,5,0,5,0,0,0,59,62,122
UCL422012,4,64,64,59,8,64,36,3,36,20,0,21,10,0,10,6,0,6,134,72,202
UCL422013,5,11,19,36,3,38,25,0,23,28,0,31,6,0,6,4,0,4,97,23,112
UCL422014,4,18,24,29,0,32,20,0,20,9,0,7,7,0,7,0,0,0,62,22,81
UCL422015,0,92,95,74,22,96,16,0,19,4,3,5,0,0,0,0,0,0,104,120,218
UCL422016,0,27,21,35,13,47,12,0,12,7,0,7,0,0,0,3,0,3,57,34,91
UCL422017,9,48,50,26,9,35,12,3,8,9,0,10,3,0,3,0,0,0,51,54,112
UCL422018,0,44,38,27,3,36,7,0,7,5,0,5,4,0,3,0,0,0,48,49,97
UCL422019,5,88,101,104,32,138,12,0,14,13,6,16,5,4,7,4,0,4,139,136,274
UCL422020,5,53,63,46,31,82,12,0,14,14,3,17,5,0,3,5,0,5,86,97,179
UCL422021,3,60,61,40,38,82,5,0,5,10,8,13,0,0,0,0,0,0,56,104,161
UCL422022,0,15,15,5,4,14,0,0,0,10,0,10,8,0,8,30,0,30,56,19,75
UCL422023,0,40,40,41,7,50,12,3,13,7,4,12,6,0,6,4,0,4,68,51,125
UCL422024,0,14,14,4,3,13,9,0,9,3,0,3,4,0,4,21,0,21,47,19,64
UCL422025,3,75,76,46,7,52,9,3,15,10,0,10,9,0,9,3,0,3,76,85,166
UCL422026,3,25,28,55,0,56,28,0,29,31,0,32,9,0,9,5,0,5,126,25,153
UCL422027,0,30,29,5,15,21,4,0,0,0,0,0,0,0,0,0,0,0,11,43,58
UCL422028,5,37,39,39,15,52,13,3,12,6,0,6,9,3,8,0,0,0,72,53,124
UCL422029,0,9,7,13,9,18,4,0,4,5,0,5,17,0,17,14,0,14,55,15,67
UCL422030,0,74,82,47,7,51,15,0,15,9,0,13,7,0,7,4,0,4,77,87,169
UCL422031,0,45,50,48,11,55,21,0,18,11,0,13,4,0,3,3,0,3,87,63,144
UCL422032,3,22,24,37,5,35,21,0,18,14,0,20,5,0,5,9,0,6,91,27,116
UCL422033,0,47,51,39,14,49,17,3,18,7,0,11,8,0,7,0,0,0,75,69,143
UCL422034,6,27,32,60,3,67,14,0,20,12,6,12,4,0,4,0,0,0,100,36,140
UCL422035,3,38,40,42,11,57,21,0,26,25,0,25,15,0,15,8,0,8,114,47,160
UCL422036,4,78,81,62,3,65,19,0,26,11,0,11,14,0,14,10,0,10,112,87,200
UCL422037,0,34,34,38,7,41,14,0,14,10,0,17,6,0,7,6,0,6,75,37,117
UCL422038,0,38,42,35,7,43,7,0,6,11,0,11,3,0,3,4,0,4,63,46,119
UCL422039,3,52,57,32,14,48,3,3,8,5,0,11,0,0,6,0,0,0,55,75,125
UCL422040,3,55,59,51,17,70,3,0,5,7,4,7,0,0,6,0,0,0,68,74,144
UCL422041,4,48,53,67,24,96,12,0,10,12,0,12,4,0,4,0,0,0,103,78,178
UCL422042,0,65,65,62,31,89,11,0,13,5,0,7,0,0,0,0,0,0,79,105,181
UCL422043,3,37,40,28,7,36,7,0,7,0,0,0,0,0,0,0,0,0,45,46,89
UCL422044,0,64,66,52,13,66,17,4,17,13,0,10,4,0,4,0,0,3,79,82,168
UCL422045,3,105,115,123,36,160,12,0,16,6,0,4,5,0,5,0,0,0,156,143,301
UCL422046,0,71,72,75,14,88,15,3,19,15,0,15,9,0,9,0,0,0,114,87,200
UCL422047,5,29,32,36,9,46,9,0,9,0,0,0,4,0,4,0,0,0,50,38,92
UCL422048,0,80,85,52,10,66,10,0,8,12,0,12,3,0,3,3,0,10,83,94,181
UCL422049,0,37,37,48,3,51,14,0,14,11,0,11,5,0,10,0,0,0,82,35,120
UCL422050,4,30,32,27,4,36,10,0,10,4,0,4,3,0,3,0,0,3,51,36,86
UCL422051,6,55,68,56,13,67,21,0,26,13,0,13,7,5,10,0,0,0,105,76,185
UCL422052,9,91,96,103,22,126,13,0,13,8,0,8,3,0,10,0,0,0,134,115,252
UCL422053,3,91,93,36,33,63,3,4,11,0,0,3,0,0,0,0,0,0,42,128,173
UCL422054,0,39,42,31,15,43,16,0,14,5,0,5,5,0,5,3,0,3,56,55,109
