UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL315098,32,348,384,331,166,495,191,46,233,218,32,248,111,16,129,59,7,73,945,616,1563
UCL315099,22,136,157,325,19,344,223,9,227,278,8,285,133,3,134,68,3,67,1050,171,1214
UCL315100,3,158,163,155,20,174,62,3,68,65,0,65,33,3,37,19,0,22,345,186,526
UCL315101,19,87,104,193,19,213,95,0,92,113,0,117,58,0,59,25,0,25,507,103,603
UCL315102,3,297,302,268,62,326,82,5,88,59,7,63,26,0,26,17,0,17,451,370,821
UCL315103,15,163,179,193,136,330,51,16,72,46,11,56,20,7,27,11,6,16,331,347,677
UCL315104,15,202,217,318,31,350,116,7,128,100,3,107,50,3,56,28,0,28,629,251,884
UCL315105,15,166,177,340,229,570,46,13,57,30,9,34,8,5,10,4,3,10,440,421,857
UCL315106,19,117,134,200,20,218,117,0,116,124,5,129,53,0,53,29,0,30,528,149,681
UCL315107,14,224,239,310,58,367,166,9,173,144,5,154,45,0,50,31,0,31,716,303,1019
