UCL_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
UCL101001,881,958,817,1080,427,196,463,25598,13,15,638,985,1080,10149,13838,10377,4458,3122,1799,4020,915,92,802,52314,58,266,1191,1341,2516,2088,4366,4048,622,823,1032,1241,494,101,346,20523,1027,9649,11825,3038,1138,943,1678,2962,549,536,488,596,206,44,1702,36385,13,78,129,444,1464,2448,3253,1716,433,449,536,670,324,196,298,12461,9,4,49,1962,7270,9412,16516,6913,1460,1297,1348,1505,601,156,1146,49646,210,1322,7726,14082,11374,8301,7942,3501,725,828,756,853,440,212,2144,60411,48,229,1310,3351,7527,3643,6401,3892,1491,1745,1601,1482,516,135,759,34123,0,0,4,9,83,1308,12270,8333,3535,7156,12061,10028,2447,138,1048,58425,294,2015,729,471,492,515,927,594,181,156,196,221,95,44,211,7139,287,617,3024,7416,12126,15832,17162,9480,1644,1674,1781,1758,883,803,2414,76897,8,203,3286,3230,1601,1381,889,352,87,81,61,75,25,13,327,11615,4,15,86,377,1635,3110,6407,8228,2096,2235,2315,2206,1120,393,475,30697
UCL102001,3,0,0,0,4,0,0,36,0,0,0,0,0,0,4,10,0,0,4,0,0,0,0,15,0,0,6,13,6,0,8,7,0,4,0,0,0,0,0,52,5,102,111,19,7,4,4,7,0,0,3,4,0,0,9,268,0,0,0,0,3,4,4,5,0,0,0,0,0,0,0,26,0,0,0,5,3,0,22,13,0,0,0,0,0,0,0,46,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,14,0,0,6,15,20,7,15,5,4,0,4,0,0,0,5,88,0,0,0,0,0,0,66,114,74,122,72,35,0,0,6,485,6,25,10,5,0,5,6,3,0,0,3,0,0,0,0,64,0,8,22,71,117,84,125,56,10,7,5,12,4,0,9,535,6,8,70,134,119,74,37,42,4,0,0,3,0,0,13,509,0,0,0,0,0,6,27,38,9,20,19,9,0,0,4,141
UCL102002,7,3,0,6,0,0,3,221,0,0,9,4,0,24,4,3,0,3,0,0,0,0,0,49,4,41,166,143,197,108,233,145,17,6,7,5,0,0,22,1096,42,280,272,80,18,27,38,37,0,15,9,8,0,0,46,871,0,8,4,17,27,80,104,46,15,6,6,8,8,3,13,345,0,4,0,28,112,117,320,126,21,10,11,14,3,0,19,790,5,24,55,45,26,22,22,9,0,0,0,5,3,0,3,217,4,16,48,71,92,44,65,50,11,20,10,19,6,0,20,491,0,0,0,0,0,10,108,105,62,87,113,36,3,0,14,533,69,369,123,66,62,42,62,26,6,5,5,0,0,0,39,878,40,70,424,1066,1269,1002,862,325,67,74,34,65,38,30,178,5542,0,0,11,11,5,5,0,0,0,0,0,0,0,0,0,36,0,0,5,7,14,10,37,63,22,11,9,19,0,0,4,197
UCL102003,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,22,19,13,5,31,21,0,0,0,3,0,0,7,129,14,47,21,7,5,8,4,21,0,0,4,0,0,0,10,144,0,0,7,0,7,31,45,23,3,9,7,9,0,0,0,142,0,0,3,0,8,4,12,3,0,3,0,3,0,0,0,41,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,5,22,10,22,9,3,6,0,0,6,3,0,0,3,89,0,0,0,0,0,0,6,10,8,4,4,4,0,0,0,41,23,98,18,10,11,5,9,0,3,3,4,0,0,0,7,186,7,25,152,305,446,324,355,130,24,16,17,21,14,18,76,1936,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,16
UCL102004,19,51,21,21,11,3,12,325,0,0,8,4,0,11,30,51,4,11,9,11,0,8,0,139,0,24,54,57,101,72,161,143,6,15,0,4,8,5,13,666,23,408,234,43,22,27,44,31,8,7,6,10,7,0,58,935,0,3,7,11,14,33,67,45,3,5,17,14,21,4,8,258,0,0,0,13,66,71,243,104,26,21,29,26,4,4,11,632,0,3,11,14,9,4,15,8,3,0,0,4,0,0,0,87,0,14,61,132,144,47,143,75,37,36,52,45,22,5,11,819,0,0,0,0,0,5,90,119,79,127,151,100,14,0,4,687,36,303,70,36,47,25,41,29,3,5,10,0,5,0,23,637,20,60,261,660,708,571,643,326,51,49,56,63,19,25,117,3629,4,78,391,200,89,37,25,6,6,3,0,6,0,0,29,868,0,0,0,4,10,18,97,202,69,45,68,75,24,3,7,630
UCL102005,21,22,10,15,21,0,0,367,0,0,0,4,0,28,64,182,82,11,12,56,11,0,8,475,4,21,91,90,97,63,112,105,6,0,4,10,0,0,16,621,68,1020,980,195,56,40,49,65,5,10,6,14,4,0,167,2683,0,4,7,0,34,40,45,40,11,9,9,11,6,0,5,217,0,0,0,8,56,60,123,60,17,8,10,9,11,0,10,363,4,21,102,181,144,87,98,50,8,11,6,6,5,0,22,749,0,3,30,44,53,43,63,57,12,29,29,23,15,0,13,420,0,0,0,0,0,9,70,59,42,54,36,60,26,0,5,362,66,524,101,39,36,28,34,22,13,0,7,12,0,0,29,895,24,35,199,460,526,525,571,277,48,35,30,46,25,15,103,2917,3,72,1391,1404,359,213,151,37,10,14,11,14,3,3,126,3812,0,4,0,5,14,29,68,137,30,59,67,54,47,0,10,526
UCL111001,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,12,3,9,3,11,7,0,0,0,0,0,0,5,53,4,26,16,3,0,0,4,8,0,4,10,4,0,0,4,82,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,13,0,0,0,0,3,3,13,11,3,8,0,0,0,0,0,36,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,21,0,0,9,7,3,7,4,6,0,3,0,6,0,0,0,55,0,0,0,0,0,0,85,152,23,43,23,15,0,0,10,348,12,110,26,8,6,9,0,0,0,0,0,0,0,0,0,179,0,8,41,98,120,81,99,46,4,0,9,10,9,4,13,547,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,25,9,7,13,0,0,0,0,66
UCL111002,4,0,0,0,0,0,0,17,0,0,0,0,0,6,3,3,10,82,144,111,20,4,3,385,0,0,4,11,3,17,25,19,3,0,0,0,0,0,4,89,3,36,19,7,0,0,7,7,0,0,0,5,0,0,8,92,0,0,0,0,0,7,20,16,0,6,0,10,3,0,6,71,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,23,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,18,6,4,10,12,9,6,8,30,14,12,21,43,7,0,10,190,0,0,0,0,4,0,9,13,8,16,12,10,0,0,0,70,5,74,20,10,12,7,4,5,0,0,0,4,0,0,3,147,3,16,60,137,152,93,126,51,7,0,4,11,0,3,28,693,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,13,9,0,0,0,0,0,0,23
UCL111003,0,0,0,0,6,0,0,31,0,0,0,0,0,9,4,0,0,0,4,0,0,0,0,26,0,8,15,13,13,7,14,27,0,0,0,0,0,0,0,97,3,28,14,8,0,0,5,8,0,3,3,0,0,0,4,82,0,0,0,0,0,3,11,7,0,0,0,0,0,0,0,29,0,0,0,0,9,15,28,30,4,0,8,0,0,0,0,95,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,22,0,0,17,21,14,3,24,12,3,11,14,10,0,0,3,135,0,0,0,0,0,0,15,16,17,12,25,10,0,0,0,94,8,62,13,7,7,0,4,7,0,0,0,0,0,0,0,115,6,15,53,122,191,140,187,107,20,6,14,29,3,0,24,929,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,3,8,6,6,9,47,8,7,9,3,4,0,0,109
UCL112001,0,3,5,4,0,0,0,41,0,0,0,0,0,0,14,26,9,6,167,325,22,0,6,581,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,22,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,5,13,0,0,5,0,0,0,0,0,26,0,0,0,0,0,0,8,0,0,4,0,5,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,5,0,7,5,3,9,6,5,0,0,0,0,0,39,0,0,0,0,0,0,15,27,24,30,50,80,14,0,9,257,0,13,7,0,0,0,0,6,0,0,0,0,0,0,0,35,4,0,14,32,22,31,38,31,7,0,7,0,7,0,3,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,3,6,4,4,0,0,33
