UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
UCL112002,0,0,0,4,17,26,35,57,5,17,30,19,14,6,8,241,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,4,0,4,0,0,0,0,0,0,4,17,0,0,0,4,7,26,41,4,3,4,8,5,4,0,0,121,0,0,0,0,7,9,23,31,0,3,5,12,0,0,0,97,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,19,18,6,0,3,0,0,0,6,74,28,107,206,146,86,62,81,37,9,10,10,9,3,0,37,825,0,0,5,7,6,9,22,17,0,0,11,0,0,0,4,88,0,0,0,3,9,6,11,15,5,3,3,4,4,0,14,84,13,30,44,61,46,48,58,51,25,10,18,14,4,0,36,451,77,221,377,344,340,352,686,515,117,152,184,155,73,16,208,3819
UCL112003,0,0,3,9,45,14,29,28,13,5,12,8,3,0,4,171,0,3,3,4,44,19,11,0,0,0,0,0,0,0,5,93,0,0,7,6,9,4,10,0,0,0,0,6,0,0,0,43,0,5,9,25,28,19,25,0,0,0,0,0,0,0,5,115,0,0,6,5,8,3,0,3,0,0,4,4,0,0,6,36,0,0,0,0,0,5,3,5,4,0,0,0,0,0,0,22,0,0,0,0,16,8,23,11,9,7,5,4,0,0,4,83,50,210,573,448,278,185,170,68,11,12,6,14,3,0,49,2078,5,3,29,47,19,38,52,32,3,3,12,3,0,4,7,247,0,0,0,13,7,5,13,17,4,6,12,19,8,0,3,106,26,78,164,190,165,141,114,76,25,6,23,4,0,0,23,1043,136,466,1055,1026,979,733,750,403,102,72,105,97,26,11,150,6109
UCL112004,0,0,4,0,11,9,18,20,5,11,9,11,0,0,0,98,3,8,12,8,12,0,5,4,0,0,0,0,0,0,0,44,0,5,3,0,0,0,10,8,0,0,0,0,3,0,0,36,0,3,6,34,19,24,48,19,8,0,4,4,5,4,0,188,0,0,3,5,0,0,3,3,0,3,0,0,0,0,0,24,0,0,0,0,0,7,9,3,4,0,0,0,0,0,0,18,0,0,0,4,7,4,22,16,0,7,0,6,3,0,0,64,73,176,444,340,176,128,209,67,3,3,4,10,6,5,83,1727,3,4,18,22,11,26,22,22,5,0,4,3,7,0,8,156,0,0,0,4,6,0,7,0,0,0,0,4,0,0,4,28,27,74,111,133,74,47,86,38,8,7,8,14,6,0,22,653,163,417,824,766,500,377,790,436,115,99,137,130,70,11,182,5002
UCL112005,0,0,0,0,22,15,14,12,13,3,10,9,9,0,11,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,7,0,3,22,7,5,0,0,0,0,0,8,49,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,3,9,26,19,6,3,0,0,4,0,4,77,31,75,135,65,44,32,41,24,4,0,0,0,4,0,53,504,0,0,0,4,6,9,12,0,0,0,0,0,0,0,6,38,0,0,0,5,0,6,3,8,3,0,0,3,0,0,17,40,8,11,26,14,25,17,20,16,3,4,0,0,4,0,68,216,50,141,206,166,189,140,230,145,42,29,37,33,24,0,305,1739
UCL112006,0,0,0,4,16,19,61,92,12,20,40,43,14,0,8,339,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,17,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,13,0,0,3,4,6,9,26,16,4,0,18,0,7,6,0,101,0,0,0,4,10,11,47,55,7,3,19,12,10,0,3,178,0,0,0,0,0,0,3,14,0,0,8,4,0,0,3,39,0,0,0,0,4,4,11,13,3,5,0,9,0,5,0,45,18,51,126,55,34,17,44,49,8,6,8,12,10,4,25,465,0,0,7,6,3,6,6,3,0,5,3,0,0,5,0,47,0,0,0,4,0,12,8,13,5,0,0,0,0,0,0,44,11,16,35,24,23,23,103,87,23,18,33,19,5,18,9,437,49,140,229,177,207,220,861,1002,318,332,328,264,103,83,116,4429
UCL112007,0,0,0,0,0,4,11,8,4,0,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,32,70,29,21,8,20,8,4,0,0,0,0,0,12,205,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,14,3,12,4,3,4,0,7,4,0,0,3,0,4,0,5,44,17,84,88,54,41,31,63,53,18,8,24,17,11,0,37,543
UCL112008,0,0,0,0,18,20,19,13,5,6,3,9,5,0,5,107,8,0,4,0,12,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,8,15,10,0,13,3,0,0,0,9,0,3,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,6,11,0,0,0,0,0,0,4,37,58,130,288,132,67,31,43,15,0,5,0,5,0,0,40,819,0,0,7,6,8,5,9,6,0,0,3,4,0,0,3,42,0,0,0,0,9,0,0,5,0,0,0,0,0,0,6,18,21,47,59,47,31,15,25,15,5,8,6,9,0,0,20,305,142,300,475,294,251,154,217,135,29,52,63,67,24,9,117,2315
UCL112009,0,0,0,7,30,10,29,51,8,8,11,16,0,0,0,176,4,0,0,3,8,0,0,3,0,0,0,0,0,0,4,16,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,3,7,10,3,5,0,0,3,0,0,4,35,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,11,0,0,0,0,0,7,20,8,0,0,3,3,3,0,5,46,22,67,154,88,43,24,43,27,6,0,4,11,0,0,43,553,0,0,0,9,3,10,14,7,0,0,0,0,0,0,0,46,0,0,0,0,3,0,4,6,0,0,0,0,0,0,4,31,11,21,39,46,25,21,87,51,14,10,8,23,4,28,41,433,46,161,281,249,211,168,428,379,87,81,97,183,38,55,185,2647
UCL112010,0,0,0,6,29,29,52,75,11,29,34,67,20,11,7,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,37,28,7,10,3,10,3,8,0,117,0,0,0,0,3,3,13,4,0,6,0,0,4,0,0,41,0,0,0,0,4,0,14,14,4,9,29,39,8,0,0,119,0,0,0,0,6,6,11,4,3,0,0,0,0,0,0,28,5,19,40,27,11,18,35,20,3,0,4,8,9,0,0,220,0,0,0,0,4,5,0,4,0,0,4,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,3,11,27,33,73,114,159,135,43,33,38,51,20,4,31,790,104,327,252,122,226,439,1011,812,305,358,456,612,193,51,196,5475
UCL112011,0,0,0,4,18,9,14,48,5,0,8,10,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,12,0,0,0,5,0,0,0,0,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,15,0,0,0,0,0,0,3,34,9,56,115,62,32,19,52,13,0,0,6,0,0,0,7,371,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,24,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,14,0,6,20,9,18,4,19,13,4,0,0,6,0,0,3,109,20,111,174,123,125,81,181,146,18,12,24,30,7,5,34,1096
UCL112012,0,0,0,0,25,23,35,38,3,13,11,16,0,0,5,170,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,4,3,0,0,0,0,0,0,0,14,0,0,0,5,19,11,23,17,0,0,4,0,0,0,0,85,0,0,0,0,0,4,0,10,4,6,3,0,3,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,0,10,6,4,3,5,3,3,0,0,45,19,68,202,100,73,59,80,33,5,3,10,8,0,3,20,685,0,3,8,19,17,5,18,19,0,0,6,4,0,0,0,95,0,0,0,3,0,3,10,12,6,0,10,3,3,0,0,60,6,23,37,45,58,35,75,39,16,17,19,17,12,3,13,423,61,190,335,282,362,260,475,315,83,78,111,124,48,16,67,2801
