UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
UCL212005,0,0,0,7,41,37,99,167,42,42,50,58,24,15,16,597,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,4,0,3,0,4,0,6,0,0,0,0,23,0,0,0,0,3,13,28,16,0,3,4,18,0,3,0,96,0,0,0,0,7,12,46,65,5,15,15,9,4,11,4,195,0,0,0,3,0,13,13,23,4,5,17,38,0,0,6,122,0,0,0,4,3,23,34,10,7,6,13,6,4,0,0,107,38,126,241,88,48,35,87,67,0,7,20,13,0,0,35,789,0,0,0,5,3,8,17,9,5,0,0,3,3,0,3,66,0,0,0,0,15,7,15,13,0,0,3,6,5,5,3,70,12,34,86,65,68,228,514,285,77,54,116,195,63,12,45,1861,122,599,626,306,304,754,2361,1891,516,528,639,742,261,100,289,10038
UCL212006,0,0,6,8,59,35,72,70,16,14,16,20,6,0,3,329,3,8,6,10,11,4,7,3,0,0,0,0,0,0,0,55,0,0,0,5,4,8,16,3,0,0,3,0,3,0,0,48,0,0,0,20,3,17,51,21,3,5,0,12,0,0,0,147,0,0,5,6,13,13,29,31,6,5,0,6,0,0,0,124,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,26,0,0,0,0,9,8,19,18,4,5,4,5,0,0,0,70,22,170,432,275,232,105,200,116,18,15,12,13,10,0,33,1648,0,0,3,8,11,12,25,29,0,3,0,0,7,0,3,107,0,0,0,0,11,11,19,17,3,0,4,0,0,0,0,70,31,131,141,133,118,85,144,107,17,10,15,10,4,4,30,971,107,532,836,681,805,550,1295,877,160,132,104,132,63,17,126,6417
UCL212007,0,0,0,4,6,6,6,6,0,0,0,0,4,0,0,29,0,3,3,7,3,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,4,3,0,0,0,0,0,0,0,5,0,7,0,0,0,8,26,28,66,30,5,3,7,4,4,0,0,181,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,3,0,4,0,0,0,0,24,26,79,169,116,90,52,239,156,21,13,16,17,3,0,13,1009,0,0,0,12,12,21,33,32,0,9,6,3,3,6,4,143,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,10,39,43,30,32,36,76,75,9,17,13,21,8,0,7,423,67,243,305,265,276,242,664,466,74,76,55,87,44,15,39,2906
UCL212008,0,0,0,3,36,23,30,39,14,16,18,34,4,0,0,211,4,0,0,0,14,6,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,4,4,4,6,0,0,0,0,0,0,19,0,0,0,4,5,9,37,5,5,3,0,0,0,4,6,84,0,6,3,0,3,10,19,23,6,3,11,3,0,0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,14,13,6,0,3,0,0,0,0,47,64,166,244,112,106,26,77,48,3,6,11,3,0,9,41,910,0,0,6,7,0,0,21,7,0,4,7,3,4,0,0,54,0,0,0,3,4,10,9,4,0,0,0,4,0,0,3,43,14,45,49,54,40,28,119,48,13,8,9,24,3,0,18,476,130,474,430,304,348,199,625,383,108,87,129,173,42,27,138,3597
UCL212009,0,0,0,4,17,17,35,43,16,17,22,30,7,0,3,219,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,10,0,0,0,3,7,11,34,22,9,5,3,23,0,10,0,119,0,4,0,0,9,11,23,37,11,10,4,14,4,0,0,126,0,0,0,0,0,0,6,18,0,12,9,4,0,0,0,50,0,0,0,0,0,3,23,21,13,8,11,3,0,0,0,83,18,99,220,76,67,51,77,39,4,6,5,13,4,0,29,712,0,0,4,5,10,6,11,15,5,0,0,3,0,0,3,67,0,0,0,0,3,0,5,9,5,16,16,60,6,0,5,113,8,5,25,28,25,38,78,54,8,14,28,65,28,4,13,412,41,207,312,205,249,265,593,430,119,140,216,316,81,28,108,3296
UCL213001,0,0,0,0,17,21,17,34,11,13,7,10,4,4,0,139,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,4,3,4,13,6,0,0,3,3,0,4,5,40,0,0,5,0,0,4,3,11,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,12,0,0,0,0,0,0,4,11,8,6,6,10,0,0,0,44,26,66,131,62,34,17,55,11,0,0,0,3,0,0,17,430,3,0,3,3,0,5,7,5,0,0,0,0,0,0,0,25,0,0,0,0,0,12,9,7,3,0,0,8,0,0,6,55,11,30,27,14,17,7,18,26,3,0,9,11,7,0,4,181,55,201,228,136,122,113,207,216,42,52,55,67,33,15,58,1599
UCL213002,0,0,0,0,4,3,10,4,0,0,0,0,0,0,0,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,9,9,0,0,0,0,0,0,0,0,30,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,6,13,59,107,69,59,31,54,22,0,9,3,5,0,3,42,487,0,0,5,20,3,9,13,3,0,0,0,0,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,9,13,19,17,23,7,35,10,0,5,3,0,0,0,59,202,39,122,195,152,153,125,199,90,14,18,19,13,14,3,267,1411
UCL213003,0,0,3,0,5,0,22,12,0,6,7,11,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,9,0,9,10,0,5,0,0,29,0,0,0,0,0,0,5,9,14,11,37,45,7,0,0,135,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,14,14,36,69,23,12,12,16,6,0,0,0,0,0,0,6,203,0,0,0,4,0,4,3,5,0,0,3,0,0,0,0,20,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,12,0,10,12,7,9,18,45,21,4,0,3,13,0,23,9,178,30,104,109,57,76,63,205,139,45,82,125,119,29,28,32,1254
UCL213004,0,0,0,0,17,13,13,15,4,3,0,7,0,0,4,79,0,0,3,0,9,0,4,0,0,0,0,0,0,0,0,18,0,0,0,3,0,6,8,0,0,0,0,0,0,0,0,7,0,0,0,5,10,6,25,8,0,8,9,3,6,0,0,81,0,0,5,0,8,6,11,5,0,3,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,12,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,24,77,203,112,78,28,90,38,0,0,0,3,3,4,26,697,0,0,4,6,4,5,3,3,0,4,0,0,0,0,0,29,0,0,0,0,0,4,3,5,0,0,0,3,0,0,0,15,9,22,50,39,49,23,35,23,0,0,0,3,0,0,3,275,60,235,334,220,255,138,305,171,31,33,23,42,18,0,55,1923
UCL213005,0,0,0,4,12,9,12,16,9,4,7,5,4,0,0,82,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,13,0,6,0,11,22,3,24,18,0,0,0,4,0,0,0,84,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,4,0,0,0,0,27,38,138,277,152,112,56,141,63,15,16,11,3,0,5,25,1061,4,0,4,5,8,8,22,9,0,0,0,0,0,0,4,61,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,4,38,56,28,25,24,47,32,11,5,4,7,0,0,3,282,69,329,471,271,278,170,383,233,60,45,39,36,13,10,46,2453
UCL213006,0,0,0,0,4,5,4,7,0,0,0,0,0,0,0,20,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,9,5,3,0,0,0,0,0,0,11,0,0,0,0,3,3,22,5,0,0,0,0,0,0,4,42,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,12,6,35,120,94,56,38,97,38,4,0,3,9,0,0,21,518,0,0,0,6,3,4,9,4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,9,26,30,32,29,12,35,12,4,0,0,0,8,6,3,196,32,118,201,192,166,108,294,121,35,18,20,14,13,5,51,1378
UCL213007,0,0,0,0,4,5,37,21,10,12,20,8,3,0,3,130,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,12,3,0,0,0,3,39,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,19,19,0,4,4,0,0,0,0,47,9,35,63,26,11,12,17,11,4,0,8,0,3,0,9,206,0,0,0,3,0,0,0,10,0,0,0,6,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,8,11,11,11,18,6,69,31,8,6,17,14,5,0,0,216,32,107,102,71,69,61,296,218,47,57,79,57,42,0,34,1257
UCL213008,0,0,0,8,13,15,180,34,18,7,13,7,4,0,3,300,0,0,0,0,10,0,0,0,0,0,0,4,0,0,4,16,0,0,3,0,0,5,18,4,0,0,0,0,0,0,0,31,0,0,0,0,0,8,9,3,3,0,0,0,0,3,0,34,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,5,19,8,6,0,6,6,0,0,0,45,21,103,235,85,61,48,86,72,4,11,5,0,0,0,11,749,0,0,3,0,3,3,6,14,0,0,0,0,0,0,0,33,0,0,0,0,14,7,15,7,0,0,0,0,0,0,8,49,4,29,45,31,36,39,56,38,26,11,4,0,0,0,5,316,34,262,355,176,196,199,628,395,110,71,67,59,20,8,45,2625
UCL213009,0,0,0,3,11,13,26,10,3,5,4,10,10,0,0,89,3,0,3,0,4,3,3,0,0,0,0,0,0,0,0,23,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,10,0,0,0,5,7,5,26,6,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,3,5,0,0,0,0,0,0,0,13,16,74,156,79,53,20,50,24,3,0,0,3,6,0,24,507,0,0,0,0,5,5,10,3,0,0,0,0,0,0,0,24,0,0,0,7,3,0,0,0,0,0,0,4,0,0,0,6,7,20,25,24,16,12,31,22,0,8,0,3,5,3,4,194,53,214,262,169,168,107,263,161,29,22,24,34,20,5,48,1577
UCL213010,0,0,0,3,34,14,29,19,9,11,3,13,3,6,9,160,5,0,0,3,5,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,6,9,0,0,3,0,0,0,0,24,64,160,174,82,82,7,24,11,0,0,0,0,0,0,31,631,0,0,0,6,3,0,11,12,0,0,0,0,0,0,0,30,0,0,0,4,0,0,3,6,0,0,0,0,0,0,0,19,19,87,86,54,44,32,38,17,0,5,5,3,16,18,17,437,154,465,346,212,259,119,201,112,20,16,23,28,36,16,82,2097
UCL213011,0,0,0,3,28,20,34,35,7,7,10,25,10,0,11,177,0,0,5,0,21,0,6,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,7,0,0,0,0,0,0,0,26,0,0,0,5,0,0,10,6,7,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,12,28,0,0,3,3,0,0,0,49,31,137,146,60,24,7,6,3,0,0,3,0,0,0,32,443,0,0,0,0,0,4,11,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,3,0,3,0,0,0,3,8,33,9,66,70,49,35,22,92,85,6,4,11,3,0,0,14,455,70,412,411,184,173,103,289,260,38,35,49,76,35,3,124,2267
UCL213012,0,0,0,0,16,10,10,9,9,11,3,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4,0,0,0,7,0,0,0,32,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,3,5,3,0,0,0,3,0,0,0,18,12,55,108,50,40,10,17,6,0,0,0,3,0,0,12,317,0,0,4,9,6,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,8,3,6,22,15,23,16,12,15,4,0,0,9,0,0,6,139,19,136,163,105,142,89,120,94,26,39,32,19,12,3,28,1032
UCL213013,0,0,0,3,17,16,16,24,0,6,9,5,3,0,4,99,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,23,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,9,0,3,0,0,4,5,17,0,0,0,14,0,12,0,4,62,0,0,3,0,0,0,11,20,5,3,0,3,0,0,0,49,0,0,0,0,0,0,3,10,0,0,4,3,0,0,0,17,0,0,0,0,5,0,8,7,0,0,3,0,0,0,0,21,16,60,148,63,31,32,57,24,6,4,13,0,4,0,18,483,0,0,5,7,0,4,11,5,0,4,3,7,0,0,0,44,0,0,0,5,10,4,15,13,4,0,0,3,4,0,3,53,13,13,29,21,15,15,28,30,4,3,4,12,13,3,5,204,60,181,245,168,152,121,331,234,33,48,77,65,48,7,49,1826
UCL213014,0,0,0,0,5,9,16,32,8,12,13,16,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,10,4,0,0,0,6,0,0,0,40,0,0,0,0,0,3,4,3,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,6,21,37,10,15,8,18,6,0,0,4,0,0,0,3,122,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,4,3,6,11,5,52,41,9,0,0,8,141,0,0,8,3,7,6,30,16,3,5,6,10,5,5,5,104,9,90,91,24,52,57,245,284,64,142,175,129,26,21,55,1463
UCL213015,0,0,0,3,16,3,28,29,3,0,3,10,0,5,0,98,0,4,3,4,9,0,0,5,0,0,0,0,0,0,0,23,0,0,0,0,3,6,12,0,0,7,0,0,0,0,0,29,0,0,0,0,9,11,27,20,0,0,6,0,0,0,0,79,0,0,4,0,3,7,42,11,10,0,5,0,0,0,0,95,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,11,9,11,0,0,3,0,0,0,0,40,6,24,79,61,38,30,87,40,4,0,6,5,0,0,3,394,0,0,0,0,5,3,10,4,0,3,0,0,4,0,0,23,0,0,0,0,0,5,6,3,4,0,0,6,0,0,0,28,5,29,47,36,54,58,136,75,25,21,19,8,3,0,9,528,26,97,226,162,226,243,875,507,119,91,98,101,29,16,49,2873
UCL213016,0,0,0,4,18,13,9,22,13,7,10,27,17,0,6,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,9,0,0,0,4,0,3,18,6,3,6,0,0,0,0,0,52,0,0,6,0,0,0,17,0,10,7,3,0,3,0,0,46,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,5,6,4,5,0,0,3,0,0,0,26,16,56,120,57,43,30,45,27,3,3,0,5,11,0,21,434,0,0,0,8,0,6,12,6,0,0,0,4,0,0,0,31,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,17,14,15,34,33,27,21,34,27,4,5,6,7,0,0,12,238,70,276,277,164,128,123,270,197,81,67,77,83,43,14,72,1936
UCL213017,0,0,0,0,13,11,15,19,3,8,7,5,7,0,3,86,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,21,0,0,0,6,11,14,25,18,0,0,3,0,0,0,6,79,0,0,5,9,3,11,27,13,6,3,4,0,0,0,0,76,0,0,0,0,0,0,4,6,3,6,19,32,7,0,0,85,0,0,0,0,3,7,10,10,0,5,3,4,0,0,0,45,25,129,201,101,71,50,92,41,7,0,6,7,0,0,23,760,0,0,3,11,7,6,12,3,0,6,6,0,0,0,0,57,0,0,0,0,3,3,9,11,0,0,0,9,3,0,3,43,9,19,50,35,64,37,83,35,10,15,9,23,13,4,3,411,63,292,356,238,272,231,484,249,59,85,95,135,51,9,62,2691
UCL213018,0,0,0,0,0,0,8,19,0,0,4,5,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,14,11,38,108,48,13,8,11,0,0,0,0,0,0,0,11,252,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,13,21,9,4,5,13,12,0,0,0,5,0,0,0,82,32,111,167,96,42,37,87,69,11,11,18,21,11,0,15,721
UCL214001,0,0,0,0,8,11,19,10,4,5,0,5,8,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,11,16,0,0,0,43,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,11,25,48,18,3,9,12,4,0,0,0,0,9,0,4,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,11,5,8,4,10,5,7,20,5,0,4,0,12,10,29,5,112,26,66,79,36,45,58,130,85,26,38,51,57,36,28,22,787
UCL214002,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,11,3,28,71,23,37,7,36,15,5,0,0,4,0,0,6,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,25,17,12,9,11,3,0,4,4,0,0,0,5,101,12,74,123,64,75,41,99,50,9,8,11,7,0,3,24,588
UCL214003,0,0,0,0,5,4,9,4,5,5,3,3,3,0,9,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,53,95,42,17,3,24,11,0,0,4,5,4,0,11,282,0,0,0,10,0,3,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,19,3,6,0,24,10,3,0,9,17,0,0,3,127,43,155,154,95,64,49,126,83,24,40,60,50,25,6,32,991
UCL214004,0,0,0,0,3,3,9,8,0,0,0,4,0,0,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,19,0,0,0,0,0,0,13,8,7,5,0,0,0,0,0,27,9,28,66,17,8,4,4,3,0,0,0,0,3,0,7,144,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,11,0,3,5,5,0,0,0,0,0,0,0,52,32,107,123,59,31,34,130,115,66,59,49,44,16,3,32,885
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,10,17,10,3,4,4,0,0,0,5,0,0,3,62
UCL214006,0,0,0,0,4,3,0,7,0,0,0,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,5,12,5,0,0,0,0,0,0,0,40,0,0,3,4,0,9,0,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,5,0,0,4,0,0,0,0,17,25,88,145,89,60,22,24,9,0,4,0,7,5,0,24,501,0,3,0,4,6,0,8,3,0,0,0,0,0,0,0,25,0,0,0,3,5,0,0,5,0,0,0,0,0,0,0,25,4,27,25,19,22,6,22,10,0,6,0,0,3,3,6,147,47,174,248,162,146,86,152,94,23,22,30,33,19,3,49,1305
UCL214007,0,0,0,4,0,7,43,60,0,5,0,6,3,0,0,142,0,0,0,0,5,0,4,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,15,19,4,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,20,0,6,24,18,9,9,13,9,9,0,0,0,0,0,3,97,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,14,0,6,18,22,11,17,36,14,4,7,0,0,7,0,0,156,8,29,74,70,58,81,354,289,45,47,35,66,21,0,24,1203
