UCL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL101001,121710,68946,42939,24239,8765,1746,380485,1927,15919,19915,17451,13447,9764,3103,590,82119,66004,261513,217355,142512,94634,58049,23170,6689,869928,27412,70968,80468,75866,57215,35252,15880,5155,368213,38385,84130,78900,77415,66475,39718,20846,6726,412596,5211,5282,5795,6187,5670,3521,1273,333,33266,4033,7219,10284,14761,15750,12474,6240,2137,72907,47633,96628,94978,98367,87887,55712,28362,9204,518767,2020,5651,6073,5135,4956,4610,2819,996,32259,33881,56072,47053,34999,30661,27660,24598,19416,274343,183661,614105,587561,443266,331741,215282,106697,43800,2526109
UCL102001,723,538,344,138,34,0,2569,14,143,198,246,159,77,21,0,859,279,1407,1147,845,562,299,114,23,4686,127,557,651,767,554,224,77,18,2979,520,1229,984,990,843,404,147,59,5169,67,82,68,58,58,26,11,3,383,33,57,71,118,122,87,38,16,553,622,1364,1125,1176,1024,516,192,77,6098,4,25,36,29,24,31,5,0,153,209,436,305,259,283,200,149,81,1911,1277,4711,4184,3851,2946,1486,598,204,19256
UCL102002,2361,1911,1650,1277,475,72,9504,122,631,927,902,941,877,249,45,4702,1507,7374,8109,6272,4489,3852,1606,402,33604,1093,3700,4958,5755,4814,3531,1675,389,25915,4599,9856,10007,10137,9898,6402,3488,956,55348,679,592,527,589,609,525,204,35,3767,360,508,754,1151,1404,1470,739,204,6587,5637,10953,11292,11878,11912,8399,4436,1198,65705,97,175,229,288,336,454,318,84,1984,1982,2274,2380,2382,2566,3189,3476,2678,20927,10514,26797,30255,29392,26707,21574,12241,4865,162336
UCL102003,387,334,301,300,77,16,1716,11,142,185,192,217,181,55,19,993,244,1332,1637,1238,970,840,343,92,6699,176,659,936,1035,1081,901,412,130,5337,767,1507,1654,1901,2029,1614,923,282,10680,121,82,101,108,120,113,35,10,692,51,95,154,200,286,292,174,62,1316,935,1684,1908,2212,2438,2018,1131,358,12689,12,29,31,33,62,82,74,39,360,406,577,610,578,647,762,922,713,5209,1801,4708,5691,5621,5720,5091,3019,1361,33009
UCL102004,4267,3001,2189,1549,554,124,15122,133,1028,1377,1263,1213,1079,283,48,6416,2902,12988,11259,8061,5411,4264,1697,396,46977,1212,4291,5072,5627,4942,3379,1547,414,26483,5454,11161,9819,9982,9592,6404,3103,1007,56520,832,604,552,578,561,423,150,35,3738,376,496,591,1049,1340,1351,703,210,6119,6664,12257,10958,11607,11496,8182,3958,1258,66373,141,201,213,250,312,341,244,93,1789,2382,2549,2271,2202,2281,2694,2802,2091,19256,13564,36629,35415,32008,27838,21477,11080,4409,182416
UCL102005,3077,2309,1853,1268,382,52,12462,121,926,1062,878,821,696,181,40,4722,2789,9171,7077,5438,3742,2640,977,229,32069,1258,3559,4402,4665,3740,2447,901,261,21234,4627,9206,8445,8293,7851,4839,2356,715,46348,608,507,487,490,533,319,117,35,3099,328,421,583,994,1256,1070,503,128,5288,5562,10139,9521,9780,9641,6236,2978,883,54735,84,141,191,204,277,289,165,53,1403,2004,2065,1888,1786,1841,1902,2136,1575,15208,12019,29310,27222,25061,21919,15477,7733,3094,141832
UCL111001,401,268,230,139,49,3,1589,21,165,226,211,197,156,46,3,1026,273,1446,1427,983,639,569,220,45,5595,177,722,715,768,725,522,222,61,3915,890,2034,1613,1547,1438,942,393,139,8984,116,136,93,96,84,61,13,5,604,50,70,108,143,190,168,79,30,838,1055,2235,1816,1785,1702,1169,491,171,10423,15,29,37,24,19,49,39,11,222,459,504,457,399,461,432,447,235,3395,2026,5566,5082,4442,3977,3032,1517,531,26171
UCL111002,300,306,218,206,71,18,1356,11,117,159,163,190,188,66,8,900,211,1106,1218,1017,766,729,287,67,5399,91,492,645,854,812,644,300,95,3945,703,1473,1482,1518,1522,1063,544,141,8451,115,128,87,78,116,96,28,10,655,53,98,105,144,189,250,137,34,1003,869,1701,1678,1738,1824,1413,702,182,10114,5,30,29,43,35,44,44,11,251,410,530,504,501,479,579,635,501,4139,1619,4201,4526,4622,4326,3804,2102,892,26086
UCL111003,580,390,296,166,53,10,1899,36,233,246,227,187,168,33,5,1125,387,2176,1903,1292,764,623,236,73,7458,302,1262,1468,1338,1083,656,266,48,6424,1663,4288,3548,2963,2457,1438,647,134,17140,236,264,209,164,127,89,29,3,1122,108,161,163,233,323,256,115,29,1388,2015,4707,3916,3363,2904,1783,794,166,19647,21,41,52,53,48,89,45,17,370,475,648,597,479,502,500,532,287,4024,3261,9455,8762,7146,5782,3981,1956,602,40949
UCL112001,427,280,283,193,107,32,1693,8,76,101,96,87,94,30,4,492,186,742,502,404,353,271,142,45,2650,70,202,215,229,228,164,118,38,1263,307,598,397,384,367,239,132,41,2464,110,40,34,29,30,19,10,4,278,30,24,29,50,60,56,39,11,302,449,665,465,463,460,316,183,54,3045,14,18,15,14,16,21,16,3,109,823,342,229,176,194,161,241,138,2302,1564,2396,1953,1650,1623,1225,836,319,11556
